tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
11-03-2020,1,1,0,0,1,0,1,0
12-03-2020,0,0,0,0,1,0,1,0
13-03-2020,0,0,0,0,1,0,1,0
14-03-2020,0,0,0,0,1,0,1,0
15-03-2020,0,0,0,0,1,0,1,0
16-03-2020,0,0,0,0,1,0,1,0
17-03-2020,0,0,0,0,1,0,1,0
18-03-2020,0,0,0,0,1,0,1,0
19-03-2020,1,1,0,0,2,0,2,0
20-03-2020,0,0,0,0,2,0,2,0
21-03-2020,0,0,0,0,2,0,2,0
22-03-2020,0,0,0,0,2,0,2,0
23-03-2020,0,0,0,0,2,0,2,0
24-03-2020,0,0,0,0,2,0,2,0
25-03-2020,0,0,0,0,2,0,2,0
26-03-2020,0,0,0,0,2,0,2,0
27-03-2020,0,0,0,0,2,0,2,0
28-03-2020,0,0,0,0,2,0,2,0
29-03-2020,1,0,0,1,3,0,2,1
30-03-2020,9,0,0,9,12,0,2,10
31-03-2020,0,0,1,-1,12,1,2,9
01-04-2020,6,0,1,5,18,2,2,14
02-04-2020,0,0,0,0,18,2,2,14
03-04-2020,3,0,0,3,21,2,2,17
04-04-2020,5,0,0,5,26,2,2,22
05-04-2020,5,0,4,1,31,6,2,23
06-04-2020,7,0,0,7,38,6,2,30
07-04-2020,0,0,0,0,38,6,2,30
08-04-2020,6,0,0,6,44,6,2,36
09-04-2020,14,0,0,14,58,6,2,50
10-04-2020,12,0,1,11,70,7,2,61
11-04-2020,4,0,0,4,74,7,2,65
12-04-2020,2,0,0,2,76,7,2,67
13-04-2020,5,0,0,5,81,7,2,72
14-04-2020,6,0,0,6,87,7,2,78
15-04-2020,6,0,0,6,93,7,2,84
16-04-2020,15,0,2,13,108,9,2,97
17-04-2020,11,0,1,10,119,10,2,107
18-04-2020,7,0,1,6,126,11,2,113
19-04-2020,4,0,2,2,130,13,2,115
20-04-2020,5,0,4,1,135,17,2,116
21-04-2020,10,0,0,10,145,17,2,126
22-04-2020,2,1,5,-4,147,22,3,122
23-04-2020,15,0,7,8,162,29,3,130
24-04-2020,10,0,2,8,172,31,3,138
25-04-2020,6,0,9,-3,178,40,3,135
26-04-2020,3,0,0,3,181,40,3,138
27-04-2020,7,0,6,1,188,46,3,139
28-04-2020,22,0,6,16,210,52,3,155
29-04-2020,0,0,7,-7,210,59,3,148
30-04-2020,7,0,11,-4,217,70,3,144
