tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
06-03-2020,1,0,1,0,1,1,0,0
07-03-2020,0,0,0,0,1,1,0,0
08-03-2020,1,0,3,-2,2,4,0,-2
09-03-2020,0,0,0,0,2,4,0,-2
10-03-2020,0,0,8,-8,2,12,0,-10
11-03-2020,0,0,8,-8,2,20,0,-18
12-03-2020,0,1,2,-3,2,22,1,-21
13-03-2020,1,1,0,0,3,22,2,-21
14-03-2020,1,0,2,-1,4,24,2,-22
15-03-2020,1,0,5,-4,5,29,2,-26
16-03-2020,1,0,4,-3,6,33,2,-29
17-03-2020,0,1,3,-4,6,36,3,-33
18-03-2020,0,1,1,-2,6,37,4,-35
19-03-2020,0,1,3,-4,6,40,5,-39
20-03-2020,0,3,3,-6,6,43,8,-45
21-03-2020,0,0,2,-2,6,45,8,-47
22-03-2020,0,2,0,-2,6,45,10,-49
23-03-2020,0,2,3,-5,6,48,12,-54
24-03-2020,0,1,3,-4,6,51,13,-58
25-03-2020,0,1,3,-4,6,54,14,-62
26-03-2020,0,0,4,-4,6,58,14,-66
27-03-2020,25,2,3,20,31,61,16,-46
28-03-2020,10,2,7,1,41,68,18,-45
29-03-2020,2,2,2,-2,43,70,20,-47
30-03-2020,22,0,3,19,65,73,20,-28
31-03-2020,14,2,1,11,79,74,22,-17
01-04-2020,12,1,6,5,91,80,23,-12
02-04-2020,6,2,1,3,97,81,25,-9
03-04-2020,4,0,4,0,101,85,25,-9
04-04-2020,3,2,2,-1,104,87,27,-10
05-04-2020,4,2,4,-2,108,91,29,-12
06-04-2020,10,2,8,0,118,99,31,-12
07-04-2020,6,0,4,2,124,103,31,-10
08-04-2020,19,0,6,13,143,109,31,3
09-04-2020,3,3,10,-10,146,119,34,-7
10-04-2020,21,1,4,16,167,123,35,9
11-04-2020,31,2,20,9,198,143,37,18
12-04-2020,2,1,7,-6,200,150,38,12
13-04-2020,3,2,9,-8,203,159,40,4
14-04-2020,5,2,3,0,208,162,42,4
15-04-2020,0,1,8,-9,208,170,43,-5
16-04-2020,15,0,4,11,223,174,43,6
17-04-2020,9,1,8,0,232,182,44,6
18-04-2020,11,1,4,6,243,186,45,12
19-04-2020,3,0,4,-1,246,190,45,11
20-04-2020,29,0,8,21,275,198,45,32
21-04-2020,0,4,6,-10,275,204,49,22
22-04-2020,1,0,7,-6,276,211,49,16
23-04-2020,3,0,1,2,279,212,49,18
24-04-2020,23,0,2,21,302,214,49,39
25-04-2020,11,2,2,7,313,216,51,46
26-04-2020,0,4,1,-5,313,217,55,41
27-04-2020,12,1,5,6,325,222,56,47
28-04-2020,6,0,3,3,331,225,56,50
29-04-2020,0,0,11,-11,331,236,56,39
30-04-2020,16,0,9,7,347,245,56,46
01-05-2020,14,0,3,11,361,248,56,57
02-05-2020,9,1,9,-1,370,257,57,56
03-05-2020,5,0,1,4,375,258,57,60
04-05-2020,14,0,9,5,389,267,57,65
05-05-2020,10,2,19,-11,399,286,59,54
06-05-2020,29,0,4,25,428,290,59,79
07-05-2020,0,0,3,-3,428,293,59,76
08-05-2020,20,1,7,12,448,300,60,88
09-05-2020,20,1,5,14,468,305,61,102
10-05-2020,10,0,7,3,478,312,61,105
11-05-2020,8,0,5,3,486,317,61,108
12-05-2020,18,0,5,13,504,322,61,121
13-05-2020,20,0,6,14,524,328,61,135
14-05-2020,14,2,16,-4,538,344,63,131
15-05-2020,28,0,18,10,566,362,63,141
16-05-2020,0,0,9,-9,566,371,63,132
17-05-2020,24,0,9,15,590,380,63,147
18-05-2020,31,0,18,13,621,398,63,160
19-05-2020,21,0,15,6,642,413,63,166
20-05-2020,1,0,30,-29,643,443,63,137
21-05-2020,53,1,8,44,696,451,64,181
22-05-2020,15,1,7,7,711,458,65,188
23-05-2020,0,0,6,-6,711,464,65,182
24-05-2020,21,0,4,17,732,468,65,199
25-05-2020,0,0,6,-6,732,474,65,193
26-05-2020,18,0,10,8,750,484,65,201
27-05-2020,10,0,10,0,760,494,65,201
28-05-2020,14,3,19,-8,774,513,68,193
29-05-2020,13,0,12,1,787,525,68,194
30-05-2020,14,0,25,-11,801,550,68,183
31-05-2020,3,0,0,3,804,550,68,186
01-06-2020,7,1,11,-5,811,561,69,181
02-06-2020,14,0,21,-7,825,582,69,174
03-06-2020,71,0,25,46,896,607,69,220
04-06-2020,10,0,11,-1,906,618,69,219
05-06-2020,24,1,25,-2,930,643,70,217
06-06-2020,36,1,6,29,966,649,71,246
07-06-2020,10,1,2,7,976,651,72,253
08-06-2020,11,1,5,5,987,656,73,258
09-06-2020,16,1,8,7,1003,664,74,265
10-06-2020,33,0,46,-13,1036,710,74,252
11-06-2020,25,0,25,0,1061,735,74,252
12-06-2020,35,0,12,23,1096,747,74,275
13-06-2020,74,1,2,71,1170,749,75,346
14-06-2020,9,0,8,1,1179,757,75,347
15-06-2020,4,0,25,-21,1183,782,75,326
16-06-2020,37,0,9,28,1220,791,75,354
17-06-2020,31,0,25,6,1251,816,75,360
18-06-2020,17,0,16,1,1268,832,75,361
19-06-2020,5,0,24,-19,1273,856,75,342
20-06-2020,16,0,14,2,1289,870,75,344
21-06-2020,9,0,6,3,1298,876,75,347
22-06-2020,8,1,21,-14,1306,897,76,333
23-06-2020,11,0,15,-4,1317,912,76,329
24-06-2020,20,1,36,-17,1337,948,77,312
25-06-2020,17,0,6,11,1354,954,77,323
26-06-2020,13,0,6,7,1367,960,77,330
27-06-2020,20,0,3,17,1387,963,77,347
28-06-2020,4,1,12,-9,1391,975,78,338
29-06-2020,3,0,6,-3,1394,981,78,335
30-06-2020,11,0,7,4,1405,988,78,339
01-07-2020,11,0,12,-1,1416,1000,78,338
02-07-2020,10,0,10,0,1426,1010,78,338
03-07-2020,21,0,21,0,1447,1031,78,338
04-07-2020,14,1,12,1,1461,1043,79,339
05-07-2020,7,1,6,0,1468,1049,80,339
06-07-2020,12,1,5,6,1480,1054,81,345
07-07-2020,6,0,10,-4,1486,1064,81,341
08-07-2020,16,0,15,1,1502,1079,81,342
09-07-2020,13,1,24,-12,1515,1103,82,330
10-07-2020,10,0,27,-17,1525,1130,82,313
