tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
31-03-2020,1,1,0,0,1,0,1,0
01-04-2020,0,0,0,0,1,0,1,0
02-04-2020,0,0,0,0,1,0,1,0
03-04-2020,1,0,0,1,2,0,1,1
04-04-2020,0,0,0,0,2,0,1,1
05-04-2020,0,0,0,0,2,0,1,1
06-04-2020,0,0,0,0,2,0,1,1
07-04-2020,0,0,0,0,2,0,1,1
08-04-2020,0,0,0,0,2,0,1,1
09-04-2020,2,0,0,2,4,0,1,3
10-04-2020,0,0,0,0,4,0,1,3
11-04-2020,0,0,0,0,4,0,1,3
12-04-2020,0,0,0,0,4,0,1,3
13-04-2020,0,0,0,0,4,0,1,3
14-04-2020,0,0,0,0,4,0,1,3
15-04-2020,0,0,0,0,4,0,1,3
16-04-2020,0,0,0,0,4,0,1,3
17-04-2020,0,0,0,0,4,0,1,3
18-04-2020,0,0,1,-1,4,1,1,2
19-04-2020,0,0,0,0,4,1,1,2
20-04-2020,0,0,0,0,4,1,1,2
21-04-2020,4,0,0,4,8,1,1,6
22-04-2020,0,0,0,0,8,1,1,6
23-04-2020,0,0,0,0,8,1,1,6
24-04-2020,0,0,0,0,8,1,1,6
25-04-2020,0,0,0,0,8,1,1,6
26-04-2020,0,0,0,0,8,1,1,6
27-04-2020,0,0,0,0,8,1,1,6
28-04-2020,0,1,0,-1,8,1,2,5
29-04-2020,4,0,0,4,12,1,2,9
30-04-2020,0,0,0,0,12,1,2,9
01-05-2020,0,0,0,0,12,1,2,9
02-05-2020,0,0,0,0,12,1,2,9
03-05-2020,0,0,0,0,12,1,2,9
04-05-2020,0,0,0,0,12,1,2,9
05-05-2020,0,0,0,0,12,1,2,9
06-05-2020,2,0,0,2,14,1,2,11
07-05-2020,0,0,0,0,14,1,2,11
08-05-2020,0,0,0,0,14,1,2,11
09-05-2020,23,0,0,23,37,1,2,34
10-05-2020,0,0,0,0,37,1,2,34
11-05-2020,0,0,0,0,37,1,2,34
12-05-2020,3,0,0,3,40,1,2,37
13-05-2020,0,0,0,0,40,1,2,37
14-05-2020,2,0,0,2,42,1,2,39
15-05-2020,11,0,0,11,53,1,2,50
16-05-2020,3,0,0,3,56,1,2,53
17-05-2020,9,0,0,9,65,1,2,62
18-05-2020,1,0,0,1,66,1,2,63
19-05-2020,1,0,0,1,67,1,2,64
20-05-2020,0,0,6,-6,67,7,2,58
21-05-2020,2,0,2,0,69,9,2,58
22-05-2020,0,0,0,0,69,9,2,58
23-05-2020,0,0,0,0,69,9,2,58
24-05-2020,0,0,0,0,69,9,2,58
25-05-2020,0,0,0,0,69,9,2,58
26-05-2020,0,1,2,-3,69,11,3,55
27-05-2020,0,0,8,-8,69,19,3,47
28-05-2020,2,0,1,1,71,20,3,48
29-05-2020,1,0,2,-1,72,22,3,47
30-05-2020,14,0,0,14,86,22,3,61
31-05-2020,5,0,0,5,91,22,3,66
01-06-2020,0,0,3,-3,91,25,3,63
02-06-2020,1,0,0,1,92,25,3,64
03-06-2020,0,0,0,0,92,25,3,64
04-06-2020,0,0,0,0,92,25,3,64
05-06-2020,0,1,0,-1,92,25,4,63
06-06-2020,0,0,12,-12,92,37,4,51
07-06-2020,0,0,3,-3,92,40,4,48
08-06-2020,0,0,0,0,92,40,4,48
09-06-2020,0,0,6,-6,92,46,4,42
10-06-2020,0,0,1,-1,92,47,4,41
11-06-2020,0,0,1,-1,92,48,4,40
12-06-2020,3,1,1,1,95,49,5,41
13-06-2020,3,1,9,-7,98,58,6,34
14-06-2020,3,0,0,3,101,58,6,37
15-06-2020,0,0,4,-4,101,62,6,33
16-06-2020,3,0,1,2,104,63,6,35
17-06-2020,1,0,2,-1,105,65,6,34
18-06-2020,0,2,0,-2,105,65,8,32
19-06-2020,2,0,3,-1,107,68,8,31
20-06-2020,9,0,3,6,116,71,8,37
21-06-2020,0,1,1,-2,116,72,9,35
22-06-2020,0,0,0,0,116,72,9,35
23-06-2020,2,1,0,1,118,72,10,36
24-06-2020,0,0,1,-1,118,73,10,35
25-06-2020,2,0,5,-3,120,78,10,32
26-06-2020,4,0,10,-6,124,88,10,26
27-06-2020,1,0,1,0,125,89,10,26
28-06-2020,0,1,0,-1,125,89,11,25
29-06-2020,0,1,0,-1,125,89,12,24
30-06-2020,0,0,0,0,125,89,12,24
01-07-2020,4,0,1,3,129,90,12,27
02-07-2020,1,0,1,0,130,91,12,27
03-07-2020,6,1,3,2,136,94,13,29
04-07-2020,1,0,0,1,137,94,13,30
05-07-2020,4,0,1,3,141,95,13,33
06-07-2020,0,0,0,0,141,95,13,33
07-07-2020,3,0,1,2,144,96,13,35
08-07-2020,7,1,2,4,151,98,14,39
09-07-2020,4,0,1,3,155,99,14,42
10-07-2020,3,2,2,-1,158,101,16,41
11-07-2020,4,0,1,3,162,102,16,44
12-07-2020,1,0,0,1,163,102,16,45
13-07-2020,0,0,1,-1,163,103,16,44
14-07-2020,5,0,1,4,168,104,16,48
15-07-2020,2,0,1,1,170,105,16,49
16-07-2020,1,0,1,0,171,106,16,49
17-07-2020,2,0,1,1,173,107,16,50
18-07-2020,6,0,0,6,179,107,16,56
19-07-2020,2,0,3,-1,181,110,16,55
20-07-2020,0,0,0,0,181,110,16,55
21-07-2020,0,0,1,-1,181,111,16,54
22-07-2020,4,0,0,4,185,111,16,58
23-07-2020,10,0,5,5,195,116,16,63
24-07-2020,1,0,1,0,196,117,16,63
25-07-2020,4,0,0,4,200,117,16,67
26-07-2020,0,0,0,0,200,117,16,67
27-07-2020,0,0,0,0,200,117,16,67
28-07-2020,10,0,0,10,210,117,16,77
29-07-2020,2,2,1,-1,212,118,18,76
30-07-2020,2,0,0,2,214,118,18,78
31-07-2020,3,0,0,3,217,118,18,81
01-08-2020,1,1,0,0,218,118,19,81
02-08-2020,17,0,0,17,235,118,19,98
03-08-2020,0,0,0,0,235,118,19,98
04-08-2020,3,1,0,2,238,118,20,100
05-08-2020,1,0,17,-16,239,135,20,84
06-08-2020,1,0,0,1,240,135,20,85
07-08-2020,0,0,13,-13,240,148,20,72
08-08-2020,3,1,0,2,243,148,21,74
09-08-2020,9,0,0,9,252,148,21,83
10-08-2020,1,1,1,-1,253,149,22,82
11-08-2020,5,0,2,3,258,151,22,85
12-08-2020,2,2,0,0,260,151,24,85
13-08-2020,4,0,7,-3,264,158,24,82
14-08-2020,10,0,0,10,274,158,24,92
15-08-2020,3,0,0,3,277,158,24,95
16-08-2020,2,0,0,2,279,158,24,97
17-08-2020,0,0,0,0,279,158,24,97
18-08-2020,1,0,0,1,280,158,24,98
19-08-2020,6,0,0,6,286,158,24,104
20-08-2020,0,0,1,-1,286,159,24,103
21-08-2020,1,0,1,0,287,160,24,103
22-08-2020,1,0,0,1,288,160,24,104
23-08-2020,0,0,4,-4,288,164,24,100
24-08-2020,1,0,1,0,289,165,24,100
25-08-2020,11,0,1,10,300,166,24,110
26-08-2020,3,0,5,-2,303,171,24,108
27-08-2020,2,1,0,1,305,171,25,109
28-08-2020,24,0,2,22,329,173,25,131
29-08-2020,3,0,0,3,332,173,25,134
30-08-2020,11,0,9,2,343,182,25,136
31-08-2020,0,0,4,-4,343,186,25,132
01-09-2020,6,0,0,6,349,186,25,138
02-09-2020,4,0,0,4,353,186,25,142
03-09-2020,8,0,0,8,361,186,25,150
04-09-2020,3,0,0,3,364,186,25,153
05-09-2020,5,1,1,3,369,187,26,156
06-09-2020,22,0,0,22,391,187,26,178
07-09-2020,0,0,10,-10,391,197,26,168
08-09-2020,3,0,0,3,394,197,26,171
09-09-2020,3,0,5,-2,397,202,26,169
10-09-2020,3,1,8,-6,400,210,27,163
11-09-2020,30,1,0,29,430,210,28,192
12-09-2020,28,2,0,26,458,210,30,218
13-09-2020,8,0,0,8,466,210,30,226
14-09-2020,1,0,0,1,467,210,30,227
