tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
16-03-2020,1,0,0,1,1,0,0,1
17-03-2020,0,0,0,0,1,0,0,1
18-03-2020,0,0,0,0,1,0,0,1
19-03-2020,0,0,0,0,1,0,0,1
20-03-2020,0,0,1,-1,1,1,0,0
21-03-2020,0,0,0,0,1,1,0,0
22-03-2020,0,0,0,0,1,1,0,0
23-03-2020,0,1,0,-1,1,1,1,-1
24-03-2020,0,0,0,0,1,1,1,-1
25-03-2020,0,1,0,-1,1,1,2,-2
26-03-2020,0,0,0,0,1,1,2,-2
27-03-2020,1,0,0,1,2,1,2,-1
28-03-2020,0,0,0,0,2,1,2,-1
29-03-2020,0,0,0,0,2,1,2,-1
30-03-2020,1,0,1,0,3,2,2,-1
31-03-2020,5,0,0,5,8,2,2,4
01-04-2020,5,0,1,4,13,3,2,8
02-04-2020,0,1,0,-1,13,3,3,7
03-04-2020,0,0,0,0,13,3,3,7
04-04-2020,5,0,0,5,18,3,3,12
05-04-2020,1,0,0,1,19,3,3,13
06-04-2020,3,0,1,2,22,4,3,15
07-04-2020,1,0,0,1,23,4,3,16
08-04-2020,0,3,3,-6,23,7,6,10
09-04-2020,2,0,3,-1,25,10,6,9
10-04-2020,0,0,3,-3,25,13,6,6
11-04-2020,0,0,0,0,25,13,6,6
12-04-2020,0,0,5,-5,25,18,6,1
13-04-2020,16,0,0,16,41,18,6,17
14-04-2020,5,0,4,1,46,22,6,18
15-04-2020,1,0,0,1,47,22,6,19
16-04-2020,1,0,0,1,48,22,6,20
17-04-2020,1,1,3,-3,49,25,7,17
18-04-2020,3,0,2,1,52,27,7,18
19-04-2020,0,0,1,-1,52,28,7,17
20-04-2020,2,0,0,2,54,28,7,19
21-04-2020,3,0,3,0,57,31,7,19
22-04-2020,3,0,5,-2,60,36,7,17
23-04-2020,1,0,1,0,61,37,7,17
24-04-2020,1,0,0,1,62,37,7,18
25-04-2020,2,0,0,2,64,37,7,20
26-04-2020,3,0,0,3,67,37,7,23
27-04-2020,1,0,2,-1,68,39,7,22
28-04-2020,10,0,1,9,78,40,7,31
29-04-2020,1,0,3,-2,79,43,7,29
30-04-2020,1,0,0,1,80,43,7,30
01-05-2020,9,0,5,4,89,48,7,34
02-05-2020,10,0,0,10,99,48,7,44
03-05-2020,1,0,0,1,100,48,7,45
04-05-2020,0,0,4,-4,100,52,7,41
05-05-2020,6,0,1,5,106,53,7,46
06-05-2020,1,0,5,-4,107,58,7,42
07-05-2020,15,0,1,14,122,59,7,56
08-05-2020,6,0,0,6,128,59,7,62
09-05-2020,3,0,2,1,131,61,7,63
10-05-2020,7,0,0,7,138,61,7,70
11-05-2020,6,1,6,-1,144,67,8,69
12-05-2020,10,0,0,10,154,67,8,79
13-05-2020,12,0,1,11,166,68,8,90
14-05-2020,4,0,7,-3,170,75,8,87
15-05-2020,3,0,12,-9,173,87,8,78
16-05-2020,6,0,1,5,179,88,8,83
17-05-2020,5,0,3,2,184,91,8,85
18-05-2020,1,0,3,-2,185,94,8,83
19-05-2020,7,0,12,-5,192,106,8,78
20-05-2020,2,0,8,-6,194,114,8,72
21-05-2020,6,0,7,-1,200,121,8,71
22-05-2020,5,0,2,3,205,123,8,74
23-05-2020,5,0,6,-1,210,129,8,73
24-05-2020,1,0,4,-3,211,133,8,70
25-05-2020,0,0,1,-1,211,134,8,69
26-05-2020,0,0,4,-4,211,138,8,65
27-05-2020,2,0,9,-7,213,147,8,58
28-05-2020,0,0,8,-8,213,155,8,50
29-05-2020,2,0,6,-4,215,161,8,46
30-05-2020,3,0,1,2,218,162,8,48
31-05-2020,3,0,7,-4,221,169,8,44
