tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
01-03-2020,2,0,0,2,2,0,0,2
02-03-2020,2,0,0,2,4,0,0,4
03-03-2020,2,0,0,2,6,0,0,6
04-03-2020,2,0,0,2,8,0,0,8
05-03-2020,0,1,0,-1,8,0,1,7
06-03-2020,0,0,0,0,8,0,1,7
07-03-2020,0,2,0,-2,8,0,3,5
08-03-2020,0,0,0,0,8,0,3,5
09-03-2020,0,1,0,-1,8,0,4,4
10-03-2020,0,0,0,0,8,0,4,4
11-03-2020,0,0,0,0,8,0,4,4
12-03-2020,2,1,4,-3,10,4,5,1
13-03-2020,4,1,3,0,14,7,6,1
14-03-2020,2,1,1,0,16,8,7,1
15-03-2020,8,3,0,5,24,8,10,6
16-03-2020,2,3,0,-1,26,8,13,5
17-03-2020,2,1,0,1,28,8,14,6
18-03-2020,1,1,0,0,29,8,15,6
19-03-2020,2,0,1,1,31,9,15,7
20-03-2020,5,3,1,1,36,10,18,8
21-03-2020,8,3,6,-1,44,16,21,7
22-03-2020,2,0,3,-1,46,19,21,6
23-03-2020,0,0,0,0,46,19,21,6
24-03-2020,16,19,3,-6,62,22,40,0
25-03-2020,1,1,0,0,63,22,41,0
26-03-2020,57,2,0,55,120,22,43,55
27-03-2020,74,7,6,61,194,28,50,116
28-03-2020,48,9,9,30,242,37,59,146
29-03-2020,52,10,0,42,294,37,69,188
30-03-2020,33,7,0,26,327,37,76,214
31-03-2020,44,10,0,34,371,37,86,248
01-04-2020,59,1,0,58,430,37,87,306
02-04-2020,70,5,2,63,500,39,92,369
03-04-2020,71,6,2,63,571,41,98,432
04-04-2020,57,8,5,44,628,46,106,476
05-04-2020,87,11,2,74,715,48,117,550
06-04-2020,103,7,7,89,818,55,124,639
07-04-2020,113,14,3,96,931,58,138,735
08-04-2020,90,8,5,77,1021,63,146,812
09-04-2020,228,34,5,189,1249,68,180,1001
10-04-2020,53,11,4,38,1302,72,191,1039
11-04-2020,190,10,7,173,1492,79,201,1212
12-04-2020,156,33,37,86,1648,116,234,1298
13-04-2020,135,7,1,127,1783,117,241,1425
14-04-2020,122,10,0,112,1905,117,251,1537
15-04-2020,143,9,20,114,2048,137,260,1651
16-04-2020,174,1,0,173,2222,137,261,1824
17-04-2020,170,7,35,128,2392,172,268,1952
18-04-2020,101,7,1,93,2493,173,275,2045
19-04-2020,113,3,25,85,2606,198,278,2130
20-04-2020,74,5,7,62,2680,205,283,2192
21-04-2020,183,2,59,122,2863,264,285,2314
22-04-2020,110,1,8,101,2973,272,286,2415
23-04-2020,122,0,4,118,3095,276,286,2533
24-04-2020,78,0,1,77,3173,277,286,2610
25-04-2020,78,19,7,52,3251,284,305,2662
26-04-2020,104,7,1,96,3355,285,312,2758
27-04-2020,66,13,1,52,3421,286,325,2810
28-04-2020,124,4,22,98,3545,308,329,2908
29-04-2020,110,0,75,35,3655,383,329,2943
30-04-2020,106,0,46,60,3761,429,329,3003
01-05-2020,135,4,2,129,3896,431,333,3132
02-05-2020,92,17,24,51,3988,455,350,3183
03-05-2020,129,5,112,12,4117,567,355,3195
04-05-2020,80,8,3,69,4197,570,363,3264
05-05-2020,132,1,66,65,4329,636,364,3329
06-05-2020,106,5,37,64,4435,673,369,3393
07-05-2020,82,8,4,70,4517,677,377,3463
08-05-2020,96,1,0,95,4613,677,378,3558
09-05-2020,98,3,5,90,4711,682,381,3648
10-05-2020,125,6,49,70,4836,731,387,3718
11-05-2020,81,6,9,66,4917,740,393,3784
12-05-2020,96,2,108,-14,5013,848,395,3770
13-05-2020,180,6,96,78,5193,944,401,3848
14-05-2020,135,2,134,-1,5328,1078,403,3847
15-05-2020,86,7,106,-27,5414,1184,410,3820
16-05-2020,101,0,18,83,5515,1202,410,3903
17-05-2020,127,3,11,113,5642,1213,413,4016
18-05-2020,79,0,0,79,5721,1213,413,4095
19-05-2020,94,7,21,66,5815,1234,420,4161
20-05-2020,84,1,3,80,5899,1237,421,4241
21-05-2020,70,8,130,-68,5969,1367,429,4173
22-05-2020,106,29,55,22,6075,1422,458,4195
23-05-2020,111,1,54,56,6186,1476,459,4251
24-05-2020,112,0,20,92,6298,1496,459,4343
25-05-2020,76,0,65,11,6374,1561,459,4354
26-05-2020,87,0,13,74,6461,1574,459,4428
27-05-2020,109,8,16,85,6570,1590,467,4513
28-05-2020,100,0,20,80,6670,1610,467,4593
29-05-2020,125,0,38,87,6795,1648,467,4680
30-05-2020,108,7,255,-154,6903,1903,474,4526
31-05-2020,113,1,70,42,7016,1973,475,4568
01-06-2020,157,2,185,-30,7173,2158,477,4538
02-06-2020,59,0,120,-61,7232,2278,477,4477
03-06-2020,91,5,181,-95,7323,2459,482,4382
04-06-2020,109,0,21,88,7432,2480,482,4470
05-06-2020,70,1,138,-69,7502,2618,483,4401
06-06-2020,117,0,86,31,7619,2704,483,4432
07-06-2020,168,4,287,-123,7787,2991,487,4309
08-06-2020,90,0,75,15,7877,3066,487,4324
09-06-2020,239,4,163,72,8116,3229,491,4396
10-06-2020,166,2,141,23,8282,3370,493,4419
11-06-2020,131,1,147,-17,8413,3517,494,4402
12-06-2020,92,4,118,-30,8505,3635,498,4372
13-06-2020,121,8,58,55,8626,3693,506,4427
14-06-2020,118,9,246,-137,8744,3939,515,4290
15-06-2020,141,2,111,28,8885,4050,517,4318
16-06-2020,97,0,132,-35,8982,4182,517,4283
17-06-2020,122,5,115,2,9104,4297,522,4285
18-06-2020,171,30,130,11,9275,4427,552,4296
19-06-2020,133,1,126,6,9408,4553,553,4302
20-06-2020,189,8,123,58,9597,4676,561,4360
21-06-2020,141,1,234,-94,9738,4910,562,4266
22-06-2020,123,0,75,48,9861,4985,562,4314
23-06-2020,160,8,109,43,10021,5094,570,4357
24-06-2020,152,8,97,47,10173,5191,578,4404
25-06-2020,181,9,220,-48,10354,5411,587,4356
26-06-2020,197,4,0,193,10551,5411,591,4549
27-06-2020,192,8,68,116,10743,5479,599,4665
28-06-2020,132,1,255,-124,10875,5734,600,4541
29-06-2020,122,0,252,-130,10997,5986,600,4411
30-06-2020,182,8,394,-220,11179,6380,608,4191
01-07-2020,215,0,168,47,11394,6548,608,4238
02-07-2020,200,6,192,2,11594,6740,614,4240
03-07-2020,140,5,240,-105,11734,6980,619,4135
04-07-2020,218,0,268,-50,11952,7248,619,4085
05-07-2020,255,5,286,-36,12207,7534,624,4049
06-07-2020,221,0,374,-153,12428,7908,624,3896
07-07-2020,193,12,242,-61,12621,8150,636,3835
08-07-2020,350,6,147,197,12971,8297,642,4032
09-07-2020,277,6,223,48,13248,8520,648,4080
10-07-2020,252,0,180,72,13500,8700,648,4152
11-07-2020,383,10,215,158,13883,8915,658,4310
12-07-2020,395,10,159,226,14278,9074,668,4536
13-07-2020,281,7,208,66,14559,9282,675,4602
14-07-2020,266,4,120,142,14825,9402,679,4744
15-07-2020,251,5,197,49,15076,9599,684,4793
16-07-2020,309,8,135,166,15385,9734,692,4959
17-07-2020,257,6,139,112,15642,9873,698,5071
18-07-2020,339,8,121,210,15981,9994,706,5281
19-07-2020,319,9,327,-17,16300,10321,715,5264
20-07-2020,381,9,155,217,16681,10476,724,5481
21-07-2020,432,8,266,158,17113,10742,732,5639
22-07-2020,387,5,367,15,17500,11109,737,5654
23-07-2020,462,2,168,292,17962,11277,739,5946
24-07-2020,293,4,270,19,18255,11547,743,5965
25-07-2020,369,0,175,194,18624,11722,743,6159
26-07-2020,384,4,161,219,19008,11883,747,6378
27-07-2020,501,10,112,379,19509,11995,757,6757
28-07-2020,409,16,374,19,19918,12369,773,6776
29-07-2020,617,14,250,353,20535,12619,787,7129
30-07-2020,397,19,188,190,20932,12807,806,7319
31-07-2020,430,14,405,11,21362,13212,820,7330
01-08-2020,368,12,680,-324,21730,13892,832,7006
02-08-2020,377,0,141,236,22107,14033,832,7242
03-08-2020,472,16,134,322,22579,14167,848,7564
04-08-2020,410,14,224,172,22989,14391,862,7736
05-08-2020,354,14,379,-39,23343,14770,876,7697
06-08-2020,556,13,248,295,23899,15018,889,7992
07-08-2020,665,12,196,457,24564,15214,901,8449
08-08-2020,686,11,509,166,25250,15723,912,8615
09-08-2020,440,6,560,-126,25690,16283,918,8489
10-08-2020,433,2,179,252,26123,16462,920,8741
11-08-2020,462,12,184,266,26585,16646,932,9007
12-08-2020,529,15,822,-308,27114,17468,947,8699
13-08-2020,608,11,400,197,27722,17868,958,8896
14-08-2020,538,4,694,-160,28260,18562,962,8736
15-08-2020,583,6,527,50,28843,19089,968,8786
16-08-2020,518,1,654,-137,29361,19743,969,8649
17-08-2020,552,14,209,329,29913,19952,983,8978
18-08-2020,513,19,589,-95,30426,20541,1002,8883
19-08-2020,551,18,570,-37,30977,21111,1020,8846
20-08-2020,594,16,729,-151,31571,21840,1036,8695
21-08-2020,657,16,435,206,32228,22275,1052,8901
22-08-2020,588,17,653,-82,32816,22928,1069,8819
23-08-2020,614,17,693,-96,33430,23621,1086,8723
24-08-2020,633,16,1901,-1284,34063,25522,1102,7439
25-08-2020,638,15,526,97,34701,26048,1117,7536
26-08-2020,713,7,764,-58,35414,26812,1124,7478
27-08-2020,760,11,1539,-790,36174,28351,1135,6688
28-08-2020,869,10,880,-21,37043,29231,1145,6667
29-08-2020,861,18,600,243,37904,29831,1163,6910
30-08-2020,1094,9,368,717,38998,30199,1172,7627
31-08-2020,1049,14,402,633,40047,30601,1186,8260
01-09-2020,901,17,737,147,40948,31338,1203,8407
02-09-2020,1054,17,479,558,42002,31817,1220,8965
03-09-2020,1359,15,702,642,43361,32519,1235,9607
04-09-2020,880,6,823,51,44241,33342,1241,9658
05-09-2020,877,14,731,132,45118,34073,1255,9790
06-09-2020,1176,10,805,361,46294,34878,1265,10151
07-09-2020,1046,22,662,362,47340,35540,1287,10513
08-09-2020,1014,21,931,62,48354,36471,1308,10575
09-09-2020,1004,17,844,143,49358,37315,1325,10718
10-09-2020,1274,17,1008,249,50632,38323,1342,10967
11-09-2020,964,17,904,43,51596,39227,1359,11010
12-09-2020,1205,18,665,522,52801,39892,1377,11532
13-09-2020,1380,5,957,418,54181,40849,1382,11950
14-09-2020,879,27,1511,-659,55060,42360,1409,11291
15-09-2020,1076,33,982,61,56136,43342,1442,11352
16-09-2020,1294,31,1146,117,57430,44488,1473,11469
17-09-2020,1113,14,748,351,58543,45236,1487,11820
18-09-2020,1258,22,1036,200,59801,46272,1509,12020
19-09-2020,988,10,1032,-54,60789,47304,1519,11966
20-09-2020,1138,14,1069,55,61927,48373,1533,12021
21-09-2020,1352,29,1294,29,63279,49667,1562,12050
22-09-2020,1236,30,849,357,64515,50516,1592,12407
23-09-2020,1135,28,1105,2,65650,51621,1620,12409
24-09-2020,1044,20,1162,-138,66694,52783,1640,12271
25-09-2020,1171,13,1626,-468,67865,54409,1653,11803
26-09-2020,1323,12,764,547,69188,55173,1665,12350
27-09-2020,1217,13,1294,-90,70405,56467,1678,12260
28-09-2020,898,9,1331,-442,71303,57798,1687,11818
29-09-2020,1238,21,1121,96,72541,58919,1708,11914
30-09-2020,1159,13,1452,-306,73700,60371,1721,11608
01-10-2020,1253,6,1118,129,74953,61489,1727,11737
02-10-2020,1198,3,675,520,76151,62164,1730,12257
03-10-2020,1265,4,1190,71,77416,63354,1734,12328
04-10-2020,1398,13,1031,354,78814,64385,1747,12682
05-10-2020,1022,16,980,26,79836,65365,1763,12708
06-10-2020,1106,31,1016,59,80942,66381,1794,12767
07-10-2020,1211,15,987,209,82153,67368,1809,12976
08-10-2020,1182,17,1047,118,83335,68415,1826,13094
09-10-2020,943,21,849,73,84278,69264,1847,13167
