tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
10-04-2020,1,0,0,1,1,0,0,1
11-04-2020,0,0,0,0,1,0,0,1
12-04-2020,0,0,0,0,1,0,0,1
13-04-2020,0,0,0,0,1,0,0,1
14-04-2020,0,0,0,0,1,0,0,1
15-04-2020,0,0,0,0,1,0,0,1
16-04-2020,3,0,0,3,4,0,0,4
17-04-2020,0,0,0,0,4,0,0,4
18-04-2020,0,0,0,0,4,0,0,4
19-04-2020,0,0,0,0,4,0,0,4
20-04-2020,0,0,0,0,4,0,0,4
21-04-2020,3,1,0,2,7,0,1,6
22-04-2020,0,0,0,0,7,0,1,6
23-04-2020,0,0,0,0,7,0,1,6
24-04-2020,5,0,0,5,12,0,1,11
25-04-2020,2,0,0,2,14,0,1,13
26-04-2020,0,0,0,0,14,0,1,13
27-04-2020,0,0,0,0,14,0,1,13
28-04-2020,1,0,2,-1,15,2,1,12
29-04-2020,0,0,0,0,15,2,1,12
30-04-2020,0,0,0,0,15,2,1,12
01-05-2020,0,0,0,0,15,2,1,12
02-05-2020,0,0,0,0,15,2,1,12
03-05-2020,0,0,0,0,15,2,1,12
04-05-2020,0,0,0,0,15,2,1,12
05-05-2020,0,0,4,-4,15,6,1,8
06-05-2020,0,0,1,-1,15,7,1,7
07-05-2020,4,0,0,4,19,7,1,11
08-05-2020,0,0,3,-3,19,10,1,8
09-05-2020,0,0,0,0,19,10,1,8
10-05-2020,0,0,1,-1,19,11,1,7
11-05-2020,0,0,0,0,19,11,1,7
12-05-2020,0,0,0,0,19,11,1,7
13-05-2020,0,0,1,-1,19,12,1,6
14-05-2020,2,0,1,1,21,13,1,7
15-05-2020,1,0,1,0,22,14,1,7
16-05-2020,1,1,0,0,23,14,2,7
17-05-2020,1,0,0,1,24,14,2,8
18-05-2020,4,0,0,4,28,14,2,12
19-05-2020,0,0,0,0,28,14,2,12
20-05-2020,0,0,1,-1,28,15,2,11
21-05-2020,16,0,0,16,44,15,2,27
22-05-2020,3,0,2,1,47,17,2,28
23-05-2020,2,0,1,1,49,18,2,29
24-05-2020,9,0,0,9,58,18,2,38
25-05-2020,0,0,0,0,58,18,2,38
26-05-2020,0,0,0,0,58,18,2,38
27-05-2020,2,0,0,2,60,18,2,40
28-05-2020,5,1,1,3,65,19,3,43
29-05-2020,3,0,4,-1,68,23,3,42
30-05-2020,1,2,0,-1,69,23,5,41
31-05-2020,25,1,3,21,94,26,6,62
01-06-2020,0,0,0,0,94,26,6,62
02-06-2020,14,0,3,11,108,29,6,73
03-06-2020,10,0,0,10,118,29,6,83
04-06-2020,3,0,1,2,121,30,6,85
05-06-2020,0,0,4,-4,121,34,6,81
06-06-2020,5,0,21,-16,126,55,6,65
07-06-2020,8,0,4,4,134,59,6,69
08-06-2020,0,1,4,-5,134,63,7,64
09-06-2020,5,0,7,-2,139,70,7,62
10-06-2020,6,0,2,4,145,72,7,66
11-06-2020,3,0,10,-7,148,82,7,59
12-06-2020,33,0,1,32,181,83,7,91
13-06-2020,4,1,0,3,185,83,8,94
14-06-2020,0,0,8,-8,185,91,8,86
15-06-2020,23,0,1,22,208,92,8,108
16-06-2020,6,0,2,4,214,94,8,112
17-06-2020,0,0,32,-32,214,126,8,80
18-06-2020,0,0,0,0,214,126,8,80
19-06-2020,6,0,0,6,220,126,8,86
20-06-2020,0,0,13,-13,220,139,8,73
21-06-2020,7,0,1,6,227,140,8,79
22-06-2020,3,0,5,-2,230,145,8,77
