tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
20-03-2020,1,0,0,1,1,0,0,1
21-03-2020,0,0,0,0,1,0,0,1
22-03-2020,0,0,0,0,1,0,0,1
23-03-2020,0,0,0,0,1,0,0,1
24-03-2020,0,0,0,0,1,0,0,1
25-03-2020,0,0,0,0,1,0,0,1
26-03-2020,0,0,0,0,1,0,0,1
27-03-2020,0,0,0,0,1,0,0,1
28-03-2020,0,0,0,0,1,0,0,1
29-03-2020,0,0,0,0,1,0,0,1
30-03-2020,1,0,0,1,2,0,0,2
31-03-2020,0,0,0,0,2,0,0,2
01-04-2020,0,0,0,0,2,0,0,2
02-04-2020,0,0,0,0,2,0,0,2
03-04-2020,0,0,0,0,2,0,0,2
04-04-2020,0,0,0,0,2,0,0,2
05-04-2020,0,0,0,0,2,0,0,2
06-04-2020,0,0,0,0,2,0,0,2
07-04-2020,0,0,0,0,2,0,0,2
08-04-2020,0,0,0,0,2,0,0,2
09-04-2020,0,0,0,0,2,0,0,2
10-04-2020,0,0,0,0,2,0,0,2
11-04-2020,2,0,0,2,4,0,0,4
12-04-2020,0,0,0,0,4,0,0,4
13-04-2020,0,0,0,0,4,0,0,4
14-04-2020,1,0,0,1,5,0,0,5
15-04-2020,1,0,0,1,6,0,0,6
16-04-2020,1,0,0,1,7,0,0,7
17-04-2020,1,0,0,1,8,0,0,8
18-04-2020,0,0,1,-1,8,1,0,7
19-04-2020,0,0,0,0,8,1,0,7
20-04-2020,0,0,0,0,8,1,0,7
21-04-2020,5,0,0,5,13,1,0,12
22-04-2020,0,0,0,0,13,1,0,12
23-04-2020,1,0,0,1,14,1,0,13
24-04-2020,4,0,0,4,18,1,0,17
25-04-2020,3,0,0,3,21,1,0,20
26-04-2020,10,0,0,10,31,1,0,30
27-04-2020,0,0,0,0,31,1,0,30
28-04-2020,0,0,0,0,31,1,0,30
29-04-2020,0,0,0,0,31,1,0,30
30-04-2020,0,0,0,0,31,1,0,30
01-05-2020,0,0,0,0,31,1,0,30
02-05-2020,0,0,0,0,31,1,0,30
03-05-2020,6,0,0,6,37,1,0,36
04-05-2020,0,0,0,0,37,1,0,36
05-05-2020,5,0,0,5,42,1,0,41
06-05-2020,4,0,0,4,46,1,0,45
07-05-2020,0,0,0,0,46,1,0,45
08-05-2020,0,0,0,0,46,1,0,45
09-05-2020,15,0,2,13,61,3,0,58
10-05-2020,2,0,0,2,63,3,0,60
11-05-2020,1,0,0,1,64,3,0,61
12-05-2020,0,0,0,0,64,3,0,61
13-05-2020,0,0,0,0,64,3,0,61
14-05-2020,1,0,0,1,65,3,0,62
15-05-2020,3,0,0,3,68,3,0,65
16-05-2020,10,0,1,9,78,4,0,74
17-05-2020,1,0,0,1,79,4,0,75
18-05-2020,1,0,0,1,80,4,0,76
19-05-2020,3,0,0,3,83,4,0,79
20-05-2020,5,0,2,3,88,6,0,82
21-05-2020,0,0,2,-2,88,8,0,80
22-05-2020,2,0,0,2,90,8,0,82
23-05-2020,0,0,5,-5,90,13,0,77
24-05-2020,4,0,2,2,94,15,0,79
25-05-2020,2,0,0,2,96,15,0,81
26-05-2020,0,0,0,0,96,15,0,81
27-05-2020,0,0,0,0,96,15,0,81
28-05-2020,0,0,0,0,96,15,0,81
29-05-2020,0,0,0,0,96,15,0,81
30-05-2020,0,0,0,0,96,15,0,81
31-05-2020,0,0,0,0,96,15,0,81
01-06-2020,0,0,5,-5,96,20,0,76
02-06-2020,0,0,0,0,96,20,0,76
03-06-2020,0,0,7,-7,96,27,0,69
04-06-2020,2,0,0,2,98,27,0,71
05-06-2020,2,0,0,2,100,27,0,73
06-06-2020,1,0,0,1,101,27,0,74
07-06-2020,0,0,0,0,101,27,0,74
08-06-2020,0,0,0,0,101,27,0,74
09-06-2020,0,0,0,0,101,27,0,74
10-06-2020,2,0,0,2,103,27,0,76
11-06-2020,0,0,0,0,103,27,0,76
12-06-2020,1,0,0,1,104,27,0,77
13-06-2020,2,0,10,-8,106,37,0,69
14-06-2020,0,0,0,0,106,37,0,69
15-06-2020,0,0,0,0,106,37,0,69
16-06-2020,0,0,7,-7,106,44,0,62
17-06-2020,1,0,0,1,107,44,0,63
18-06-2020,0,0,0,0,107,44,0,63
19-06-2020,3,0,1,2,110,45,0,65
20-06-2020,0,0,0,0,110,45,0,65
21-06-2020,0,0,0,0,110,45,0,65
22-06-2020,0,0,0,0,110,45,0,65
23-06-2020,2,0,20,-18,112,65,0,47
24-06-2020,0,0,0,0,112,65,0,47
25-06-2020,0,1,0,-1,112,65,1,46
26-06-2020,0,0,0,0,112,65,1,46
27-06-2020,3,0,3,0,115,68,1,46
28-06-2020,0,0,0,0,115,68,1,46
29-06-2020,0,0,0,0,115,68,1,46
30-06-2020,0,0,0,0,115,68,1,46
01-07-2020,0,0,7,-7,115,75,1,39
02-07-2020,0,0,0,0,115,75,1,39
03-07-2020,0,0,0,0,115,75,1,39
04-07-2020,0,0,0,0,115,75,1,39
05-07-2020,3,1,4,-2,118,79,2,37
06-07-2020,0,0,0,0,118,79,2,37
07-07-2020,1,0,0,1,119,79,2,38
08-07-2020,0,0,0,0,119,79,2,38
09-07-2020,1,0,0,1,120,79,2,39
10-07-2020,0,0,3,-3,120,82,2,36
11-07-2020,0,0,0,0,120,82,2,36
12-07-2020,0,0,9,-9,120,91,2,27
13-07-2020,0,1,0,-1,120,91,3,26
14-07-2020,2,0,0,2,122,91,3,28
15-07-2020,1,0,2,-1,123,93,3,27
16-07-2020,0,0,0,0,123,93,3,27
17-07-2020,1,0,3,-2,124,96,3,25
18-07-2020,5,0,3,2,129,99,3,27
19-07-2020,0,0,3,-3,129,102,3,24
20-07-2020,0,0,0,0,129,102,3,24
21-07-2020,2,0,0,2,131,102,3,26
22-07-2020,2,0,3,-1,133,105,3,25
23-07-2020,0,0,3,-3,133,108,3,22
24-07-2020,1,0,1,0,134,109,3,22
25-07-2020,1,0,1,0,135,110,3,22
26-07-2020,0,0,0,0,135,110,3,22
27-07-2020,0,0,0,0,135,110,3,22
28-07-2020,0,0,1,-1,135,111,3,21
29-07-2020,15,2,2,11,150,113,5,32
30-07-2020,2,0,0,2,152,113,5,34
31-07-2020,6,0,0,6,158,113,5,40
01-08-2020,5,0,0,5,163,113,5,45
02-08-2020,1,0,0,1,164,113,5,46
03-08-2020,0,0,0,0,164,113,5,46
04-08-2020,19,0,1,18,183,114,5,64
05-08-2020,5,0,0,5,188,114,5,69
06-08-2020,0,0,0,0,188,114,5,69
07-08-2020,12,0,1,11,200,115,5,80
08-08-2020,5,0,0,5,205,115,5,85
09-08-2020,0,0,1,-1,205,116,5,84
10-08-2020,0,0,0,0,205,116,5,84
11-08-2020,0,0,0,0,205,116,5,84
12-08-2020,5,0,1,4,210,117,5,88
13-08-2020,0,0,0,0,210,117,5,88
14-08-2020,7,0,1,6,217,118,5,94
15-08-2020,3,0,1,2,220,119,5,96
16-08-2020,0,0,0,0,220,119,5,96
17-08-2020,20,0,1,19,240,120,5,115
18-08-2020,0,0,0,0,240,120,5,115
19-08-2020,5,0,4,1,245,124,5,116
20-08-2020,0,0,0,0,245,124,5,116
21-08-2020,21,1,4,16,266,128,6,132
22-08-2020,3,0,1,2,269,129,6,134
23-08-2020,0,0,0,0,269,129,6,134
24-08-2020,0,0,0,0,269,129,6,134
25-08-2020,7,0,2,5,276,131,6,139
26-08-2020,8,0,3,5,284,134,6,144
27-08-2020,5,0,0,5,289,134,6,149
28-08-2020,6,0,6,0,295,140,6,149
29-08-2020,0,0,6,-6,295,146,6,143
30-08-2020,0,0,0,0,295,146,6,143
31-08-2020,0,0,6,-6,295,152,6,137
01-09-2020,0,0,0,0,295,152,6,137
02-09-2020,1,0,0,1,296,152,6,138
03-09-2020,0,0,1,-1,296,153,6,137
04-09-2020,1,0,12,-11,297,165,6,126
05-09-2020,0,0,11,-11,297,176,6,115
06-09-2020,0,0,0,0,297,176,6,115
07-09-2020,0,0,0,0,297,176,6,115
08-09-2020,0,0,0,0,297,176,6,115
09-09-2020,4,0,6,-2,301,182,6,113
10-09-2020,1,1,25,-25,302,207,7,88
11-09-2020,5,1,10,-6,307,217,8,82
12-09-2020,5,0,7,-2,312,224,8,80
13-09-2020,2,0,4,-2,314,228,8,78
14-09-2020,0,0,0,0,314,228,8,78
15-09-2020,10,0,0,10,324,228,8,88
16-09-2020,14,0,8,6,338,236,8,94
17-09-2020,6,1,8,-3,344,244,9,91
18-09-2020,7,0,3,4,351,247,9,95
19-09-2020,14,0,2,12,365,249,9,107
20-09-2020,14,0,1,13,379,250,9,120
21-09-2020,0,0,1,-1,379,251,9,119
22-09-2020,0,0,0,0,379,251,9,119
23-09-2020,9,0,4,5,388,255,9,124
24-09-2020,4,0,2,2,392,257,9,126
25-09-2020,10,0,1,9,402,258,9,135
26-09-2020,16,1,0,15,418,258,10,150
27-09-2020,21,0,2,19,439,260,10,169
28-09-2020,21,0,0,21,460,260,10,190
29-09-2020,23,2,0,21,483,260,12,211
30-09-2020,23,0,0,23,506,260,12,234
01-10-2020,21,0,3,18,527,263,12,252
02-10-2020,24,3,5,16,551,268,15,268
03-10-2020,13,0,2,11,564,270,15,279
04-10-2020,22,0,5,17,586,275,15,296
05-10-2020,25,0,5,20,611,280,15,316
06-10-2020,29,0,7,22,640,287,15,338
07-10-2020,18,0,10,8,658,297,15,346
08-10-2020,34,0,1,33,692,298,15,379
09-10-2020,35,2,5,28,727,303,17,407
10-10-2020,30,0,1,29,757,304,17,436
11-10-2020,21,0,6,15,778,310,17,451
12-10-2020,8,0,0,8,786,310,17,459
13-10-2020,30,0,2,28,816,312,17,487
14-10-2020,23,0,0,23,839,312,17,510
15-10-2020,9,0,3,6,848,315,17,516
16-10-2020,16,0,19,-3,864,334,17,513
17-10-2020,20,0,26,-6,884,360,17,507
18-10-2020,14,0,0,14,898,360,17,521
19-10-2020,6,1,3,2,904,363,18,523
20-10-2020,30,2,9,19,934,372,20,542
21-10-2020,13,0,0,13,947,372,20,555
22-10-2020,19,0,38,-19,966,410,20,536
23-10-2020,24,0,6,18,990,416,20,554
24-10-2020,22,0,21,1,1012,437,20,555
25-10-2020,22,0,50,-28,1034,487,20,527
26-10-2020,7,1,15,-9,1041,502,21,518
27-10-2020,4,0,22,-18,1045,524,21,500
28-10-2020,32,1,31,0,1077,555,22,500
29-10-2020,31,0,18,13,1108,573,22,513
30-10-2020,11,0,12,-1,1119,585,22,512
31-10-2020,0,0,10,-10,1119,595,22,502
01-11-2020,0,0,0,0,1119,595,22,502
02-11-2020,0,0,0,0,1119,595,22,502
03-11-2020,7,0,27,-20,1126,622,22,482
04-11-2020,5,0,7,-2,1131,629,22,480
05-11-2020,10,0,18,-8,1141,647,22,472
06-11-2020,12,0,14,-2,1153,661,22,470
07-11-2020,18,0,18,0,1171,679,22,470
08-11-2020,41,0,28,13,1212,707,22,483
09-11-2020,36,0,28,8,1248,735,22,491
10-11-2020,11,0,42,-31,1259,777,22,460
11-11-2020,11,1,22,-12,1270,799,23,448
12-11-2020,15,2,27,-14,1285,826,25,434
13-11-2020,20,1,15,4,1305,841,26,438
14-11-2020,19,2,16,1,1324,857,28,439
15-11-2020,16,0,39,-23,1340,896,28,416
16-11-2020,0,0,9,-9,1340,905,28,407
17-11-2020,10,2,7,1,1350,912,30,408
18-11-2020,27,0,33,-6,1377,945,30,402
19-11-2020,40,1,44,-5,1417,989,31,397
20-11-2020,45,0,37,8,1462,1026,31,405
21-11-2020,44,1,28,15,1506,1054,32,420
22-11-2020,29,1,0,28,1535,1054,33,448
23-11-2020,0,0,24,-24,1535,1078,33,424
24-11-2020,41,1,8,32,1576,1086,34,456
25-11-2020,45,0,36,9,1621,1122,34,465
26-11-2020,39,0,4,35,1660,1126,34,500
27-11-2020,46,1,38,7,1706,1164,35,507
28-11-2020,47,0,5,42,1753,1169,35,549
29-11-2020,46,0,33,13,1799,1202,35,562
30-11-2020,30,0,21,9,1829,1223,35,571
01-12-2020,50,0,47,3,1879,1270,35,574
02-12-2020,81,0,43,38,1960,1313,35,612
03-12-2020,94,2,21,71,2054,1334,37,683
04-12-2020,55,0,0,55,2109,1334,37,738
05-12-2020,113,0,23,90,2222,1357,37,828
06-12-2020,19,2,1,16,2241,1358,39,844
07-12-2020,0,0,13,-13,2241,1371,39,831
08-12-2020,77,1,15,61,2318,1386,40,892
09-12-2020,54,0,5,49,2372,1391,40,941
10-12-2020,32,0,0,32,2404,1391,40,973
11-12-2020,39,3,6,30,2443,1397,43,1003
12-12-2020,46,0,30,16,2489,1427,43,1019
13-12-2020,39,2,25,12,2528,1452,45,1031
14-12-2020,0,0,0,0,2528,1452,45,1031
15-12-2020,45,0,62,-17,2573,1514,45,1014
16-12-2020,20,0,39,-19,2593,1553,45,995
17-12-2020,58,0,90,-32,2651,1643,45,963
18-12-2020,16,1,69,-54,2667,1712,46,909
19-12-2020,28,0,39,-11,2695,1751,46,898
20-12-2020,35,0,9,26,2730,1760,46,924
21-12-2020,15,1,42,-28,2745,1802,47,896
22-12-2020,36,0,62,-26,2781,1864,47,870
23-12-2020,39,2,12,25,2820,1876,49,895
24-12-2020,32,0,46,-14,2852,1922,49,881
25-12-2020,28,0,32,-4,2880,1954,49,877
26-12-2020,0,1,45,-46,2880,1999,50,831
27-12-2020,20,0,22,-2,2900,2021,50,829
28-12-2020,11,0,32,-21,2911,2053,50,808
29-12-2020,27,2,15,10,2938,2068,52,818
30-12-2020,31,0,57,-26,2969,2125,52,792
31-12-2020,35,1,47,-13,3004,2172,53,779
01-01-2021,36,0,29,7,3040,2201,53,786
02-01-2021,33,1,26,6,3073,2227,54,792
03-01-2021,26,1,1,24,3099,2228,55,816
04-01-2021,14,0,14,0,3113,2242,55,816
05-01-2021,20,0,39,-19,3133,2281,55,797
06-01-2021,41,0,27,14,3174,2308,55,811
07-01-2021,57,0,39,18,3231,2347,55,829
08-01-2021,72,0,30,42,3303,2377,55,871
09-01-2021,44,0,39,5,3347,2416,55,876
10-01-2021,31,1,14,16,3378,2430,56,892
11-01-2021,14,0,10,4,3392,2440,56,896
12-01-2021,34,0,10,24,3426,2450,56,920
13-01-2021,78,1,16,61,3504,2466,57,981
14-01-2021,80,0,1,79,3584,2467,57,1060
15-01-2021,51,0,36,15,3635,2503,57,1075
16-01-2021,36,2,3,31,3671,2506,59,1106
17-01-2021,52,0,57,-5,3723,2563,59,1101
18-01-2021,29,0,4,25,3752,2567,59,1126
19-01-2021,49,0,5,44,3801,2572,59,1170
20-01-2021,32,0,34,-2,3833,2606,59,1168
21-01-2021,71,0,17,54,3904,2623,59,1222
22-01-2021,62,1,49,12,3966,2672,60,1234
23-01-2021,36,0,12,24,4002,2684,60,1258
24-01-2021,38,0,58,-20,4040,2742,60,1238
25-01-2021,26,0,6,20,4066,2748,60,1258
26-01-2021,39,0,33,6,4105,2781,60,1264
27-01-2021,60,1,66,-7,4165,2847,61,1257
28-01-2021,65,0,44,21,4230,2891,61,1278
29-01-2021,46,0,43,3,4276,2934,61,1281
30-01-2021,44,0,30,14,4320,2964,61,1295
31-01-2021,37,1,36,0,4357,3000,62,1295
01-02-2021,0,0,0,0,4357,3000,62,1295
02-02-2021,53,0,26,27,4410,3026,62,1322
03-02-2021,60,0,6,54,4470,3032,62,1376
04-02-2021,48,0,14,34,4518,3046,62,1410
05-02-2021,56,4,129,-77,4574,3175,66,1333
06-02-2021,37,0,71,-34,4611,3246,66,1299
07-02-2021,25,0,31,-6,4636,3277,66,1293
08-02-2021,2,0,11,-9,4638,3288,66,1284
09-02-2021,22,0,21,1,4660,3309,66,1285
10-02-2021,45,0,80,-35,4705,3389,66,1250
11-02-2021,33,0,41,-8,4738,3430,66,1242
12-02-2021,30,0,19,11,4768,3449,66,1253
13-02-2021,33,0,3,30,4801,3452,66,1283
14-02-2021,34,0,22,12,4835,3474,66,1295
15-02-2021,9,0,16,-7,4844,3490,66,1288
16-02-2021,24,0,0,24,4868,3490,66,1312
17-02-2021,22,0,3,19,4890,3493,66,1331
18-02-2021,55,2,50,3,4945,3543,68,1334
19-02-2021,10,0,27,-17,4955,3570,68,1317
20-02-2021,20,0,38,-18,4975,3608,68,1299
21-02-2021,21,1,23,-3,4996,3631,69,1296
22-02-2021,20,0,21,-1,5016,3652,69,1295
23-02-2021,26,0,21,5,5042,3673,69,1300
24-02-2021,56,0,48,8,5098,3721,69,1308
25-02-2021,28,1,39,-12,5126,3760,70,1296
26-02-2021,24,1,39,-16,5150,3799,71,1280
27-02-2021,83,0,40,43,5233,3839,71,1323
28-02-2021,32,0,35,-3,5265,3874,71,1320
01-03-2021,1,0,43,-42,5266,3917,71,1278
02-03-2021,45,0,0,45,5311,3917,71,1323
03-03-2021,9,0,62,-53,5320,3979,71,1270
04-03-2021,44,0,21,23,5364,4000,71,1293
05-03-2021,7,2,23,-18,5371,4023,73,1275
06-03-2021,17,0,45,-28,5388,4068,73,1247
07-03-2021,20,1,15,4,5408,4083,74,1251
08-03-2021,6,0,8,-2,5414,4091,74,1249
09-03-2021,20,1,42,-23,5434,4133,75,1226
10-03-2021,18,0,48,-30,5452,4181,75,1196
11-03-2021,9,0,13,-4,5461,4194,75,1192
12-03-2021,29,0,2,27,5490,4196,75,1219
13-03-2021,21,1,45,-25,5511,4241,76,1194
14-03-2021,0,0,23,-23,5511,4264,76,1171
15-03-2021,5,0,32,-27,5516,4296,76,1144
16-03-2021,36,0,54,-18,5552,4350,76,1126
17-03-2021,25,0,10,15,5577,4360,76,1141
18-03-2021,35,2,84,-51,5612,4444,78,1090
19-03-2021,32,2,85,-55,5644,4529,80,1035
20-03-2021,25,6,76,-57,5669,4605,86,978
21-03-2021,22,0,16,6,5691,4621,86,984
22-03-2021,14,0,31,-17,5705,4652,86,967
23-03-2021,19,0,27,-8,5724,4679,86,959
24-03-2021,24,0,10,14,5748,4689,86,973
25-03-2021,48,0,2,46,5796,4691,86,1019
26-03-2021,15,2,10,3,5811,4701,88,1022
27-03-2021,45,1,27,17,5856,4728,89,1039
28-03-2021,53,0,12,41,5909,4740,89,1080
29-03-2021,46,2,33,11,5955,4773,91,1091
30-03-2021,20,0,15,5,5975,4788,91,1096
31-03-2021,27,0,77,-50,6002,4865,91,1046
01-04-2021,62,0,16,46,6064,4881,91,1092
02-04-2021,42,0,10,32,6106,4891,91,1124
03-04-2021,32,1,26,5,6138,4917,92,1129
04-04-2021,23,0,17,6,6161,4934,92,1135
05-04-2021,21,0,15,6,6182,4949,92,1141
06-04-2021,60,0,36,24,6242,4985,92,1165
07-04-2021,47,1,26,20,6289,5011,93,1185
08-04-2021,50,0,27,23,6339,5038,93,1208
09-04-2021,50,0,28,22,6389,5066,93,1230
10-04-2021,8,0,42,-34,6397,5108,93,1196
11-04-2021,20,1,9,10,6417,5117,94,1206
12-04-2021,5,0,8,-3,6422,5125,94,1203
13-04-2021,40,0,54,-14,6462,5179,94,1189
14-04-2021,51,0,32,19,6513,5211,94,1208
15-04-2021,49,0,70,-21,6562,5281,94,1187
16-04-2021,53,0,45,8,6615,5326,94,1195
17-04-2021,68,2,43,23,6683,5369,96,1218
18-04-2021,48,0,25,23,6731,5394,96,1241
19-04-2021,25,1,30,-6,6756,5424,97,1235
20-04-2021,74,2,42,30,6830,5466,99,1265
21-04-2021,56,0,26,30,6886,5492,99,1295
22-04-2021,87,2,41,44,6973,5533,101,1339
23-04-2021,43,1,78,-36,7016,5611,102,1303
24-04-2021,65,0,67,-2,7081,5678,102,1301
25-04-2021,29,0,19,10,7110,5697,102,1311
26-04-2021,42,2,50,-10,7152,5747,104,1301
27-04-2021,32,2,20,10,7184,5767,106,1311
28-04-2021,97,1,52,44,7281,5819,107,1355
29-04-2021,92,1,97,-6,7373,5916,108,1349
30-04-2021,74,0,29,45,7447,5945,108,1394
01-05-2021,60,3,50,7,7507,5995,111,1401
02-05-2021,78,2,33,43,7585,6028,113,1444
03-05-2021,82,1,44,37,7667,6072,114,1481
04-05-2021,50,3,63,-16,7717,6135,117,1465
05-05-2021,102,2,63,37,7819,6198,119,1502
06-05-2021,84,2,45,37,7903,6243,121,1539
07-05-2021,87,9,93,-15,7990,6336,130,1524
