tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
18-03-2020,7,1,0,6,7,0,1,6
19-03-2020,3,0,0,3,10,0,1,9
20-03-2020,9,0,0,9,19,0,1,18
21-03-2020,9,1,0,8,28,0,2,26
22-03-2020,14,0,0,14,42,0,2,40
23-03-2020,2,1,0,1,44,0,3,41
24-03-2020,3,1,0,2,47,0,4,43
25-03-2020,7,0,1,6,54,1,4,49
26-03-2020,10,1,0,9,64,1,5,58
27-03-2020,2,1,0,1,66,1,6,59
28-03-2020,7,2,2,3,73,3,8,62
29-03-2020,10,0,27,-17,83,30,8,45
30-03-2020,7,1,0,6,90,30,9,51
31-03-2020,1,0,0,1,91,30,9,52
01-04-2020,7,4,74,-71,98,104,13,-19
02-04-2020,0,12,91,-103,98,195,25,-122
03-04-2020,39,0,5,34,137,200,25,-88
04-04-2020,5,2,3,0,142,203,27,-88
05-04-2020,25,2,7,16,167,210,29,-72
06-04-2020,9,5,11,-7,176,221,34,-79
07-04-2020,5,4,1,0,181,222,38,-79
08-04-2020,15,23,14,-22,196,236,61,-101
09-04-2020,36,12,42,-18,232,278,73,-119
10-04-2020,30,4,34,-8,262,312,77,-127
11-04-2020,15,8,26,-19,277,338,85,-146
12-04-2020,111,1,7,103,388,345,86,-43
13-04-2020,42,3,4,35,430,349,89,-8
14-04-2020,25,2,10,13,455,359,91,5
15-04-2020,25,4,2,19,480,361,95,24
16-04-2020,13,4,3,6,493,364,99,30
17-04-2020,10,6,2,2,503,366,105,32
18-04-2020,34,2,7,25,537,373,107,57
19-04-2020,35,5,2,28,572,375,112,85
20-04-2020,5,3,1,1,577,376,115,86
21-04-2020,10,5,1,4,587,377,120,90
22-04-2020,29,5,28,-4,616,405,125,86
23-04-2020,27,4,11,12,643,416,129,98
24-04-2020,20,11,11,-2,663,427,140,96
25-04-2020,75,7,19,49,738,446,147,145
26-04-2020,12,7,4,1,750,450,154,146
27-04-2020,12,2,8,2,762,458,156,148
28-04-2020,47,1,21,25,809,479,157,173
29-04-2020,20,3,10,7,829,489,160,180
30-04-2020,75,5,8,62,904,497,165,242
01-05-2020,83,5,32,46,987,529,170,288
02-05-2020,6,10,45,-49,993,574,180,239
03-05-2020,63,5,9,49,1056,583,185,288
04-05-2020,13,8,7,-2,1069,590,193,286
05-05-2020,41,7,19,15,1110,609,200,301
06-05-2020,38,13,10,15,1148,619,213,316
07-05-2020,34,14,9,11,1182,628,227,327
08-05-2020,30,18,43,-31,1212,671,245,296
09-05-2020,158,12,62,84,1370,733,257,380
10-05-2020,78,7,46,25,1448,779,264,405
11-05-2020,54,13,69,-28,1502,848,277,377
12-05-2020,111,11,25,75,1613,873,288,452
13-05-2020,141,6,43,92,1754,916,294,544
14-05-2020,85,14,16,55,1839,932,308,599
15-05-2020,57,13,12,32,1896,944,321,631
16-05-2020,168,11,23,134,2064,967,332,765
17-05-2020,57,11,30,16,2121,997,343,781
18-05-2020,124,13,14,97,2245,1011,356,878
19-05-2020,84,13,46,25,2329,1057,369,903
20-05-2020,124,19,42,63,2453,1099,388,966
21-05-2020,431,14,13,404,2884,1112,402,1370
22-05-2020,155,9,51,95,3039,1163,411,1465
23-05-2020,465,21,88,356,3504,1251,432,1821
24-05-2020,72,11,55,6,3576,1306,443,1827
