tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
29-03-2020,4,0,2,2,4,2,0,2
30-03-2020,1,0,0,1,5,2,0,3
31-03-2020,0,0,0,0,5,2,0,3
01-04-2020,1,0,0,1,6,2,0,4
02-04-2020,0,1,0,-1,6,2,1,3
03-04-2020,0,0,0,0,6,2,1,3
04-04-2020,0,0,0,0,6,2,1,3
05-04-2020,0,0,0,0,6,2,1,3
06-04-2020,0,0,0,0,6,2,1,3
07-04-2020,0,0,1,-1,6,3,1,2
08-04-2020,0,0,0,0,6,3,1,2
09-04-2020,0,0,0,0,6,3,1,2
10-04-2020,0,0,0,0,6,3,1,2
11-04-2020,0,0,0,0,6,3,1,2
12-04-2020,3,0,0,3,9,3,1,5
13-04-2020,0,0,0,0,9,3,1,5
14-04-2020,0,0,1,-1,9,4,1,4
15-04-2020,0,0,0,0,9,4,1,4
16-04-2020,8,0,0,8,17,4,1,12
17-04-2020,0,0,0,0,17,4,1,12
18-04-2020,0,0,0,0,17,4,1,12
19-04-2020,0,0,0,0,17,4,1,12
20-04-2020,0,0,0,0,17,4,1,12
21-04-2020,6,0,1,5,23,5,1,17
22-04-2020,4,0,1,3,27,6,1,20
23-04-2020,19,0,0,19,46,6,1,39
24-04-2020,0,0,0,0,46,6,1,39
25-04-2020,1,0,0,1,47,6,1,40
26-04-2020,0,0,0,0,47,6,1,40
27-04-2020,0,0,0,0,47,6,1,40
28-04-2020,0,0,0,0,47,6,1,40
29-04-2020,7,0,0,7,54,6,1,47
30-04-2020,0,0,0,0,54,6,1,47
01-05-2020,3,0,0,3,57,6,1,50
02-05-2020,7,0,0,7,64,6,1,57
03-05-2020,2,0,0,2,66,6,1,59
04-05-2020,3,0,0,3,69,6,1,62
05-05-2020,0,0,0,0,69,6,1,62
06-05-2020,13,0,3,10,82,9,1,72
07-05-2020,5,0,0,5,87,9,1,77
08-05-2020,0,0,0,0,87,9,1,77
09-05-2020,23,0,0,23,110,9,1,100
10-05-2020,2,0,0,2,112,9,1,102
11-05-2020,0,0,0,0,112,9,1,102
12-05-2020,3,0,9,-6,115,18,1,96
13-05-2020,6,1,2,3,121,20,2,99
14-05-2020,0,0,0,0,121,20,2,99
15-05-2020,0,0,0,0,121,20,2,99
16-05-2020,2,0,0,2,123,20,2,101
17-05-2020,1,0,2,-1,124,22,2,100
18-05-2020,0,0,8,-8,124,30,2,92
19-05-2020,0,0,0,0,124,30,2,92
20-05-2020,0,0,0,0,124,30,2,92
21-05-2020,1,0,5,-4,125,35,2,88
22-05-2020,7,0,0,7,132,35,2,95
23-05-2020,28,0,0,28,160,35,2,123
24-05-2020,0,0,0,0,160,35,2,123
25-05-2020,7,0,4,3,167,39,2,126
26-05-2020,1,0,1,0,168,40,2,126
27-05-2020,7,0,0,7,175,40,2,133
28-05-2020,1,0,0,1,176,40,2,134
29-05-2020,0,0,3,-3,176,43,2,131
30-05-2020,0,0,0,0,176,43,2,131
31-05-2020,5,0,5,0,181,48,2,131
01-06-2020,7,0,3,4,188,51,2,135
02-06-2020,0,0,0,0,188,51,2,135
03-06-2020,5,0,24,-19,193,75,2,116
04-06-2020,0,0,15,-15,193,90,2,101
05-06-2020,3,0,15,-12,196,105,2,89
06-06-2020,3,0,5,-2,199,110,2,87
07-06-2020,0,0,0,0,199,110,2,87
08-06-2020,0,0,3,-3,199,113,2,84
09-06-2020,24,0,1,23,223,114,2,107
10-06-2020,11,0,19,-8,234,133,2,99
11-06-2020,0,0,6,-6,234,139,2,93
12-06-2020,22,0,1,21,256,140,2,114
13-06-2020,0,0,4,-4,256,144,2,110
14-06-2020,1,0,9,-8,257,153,2,102
15-06-2020,0,0,7,-7,257,160,2,95
16-06-2020,2,0,1,1,259,161,2,96
17-06-2020,9,0,0,9,268,161,2,105
18-06-2020,0,0,5,-5,268,166,2,100
19-06-2020,14,0,12,2,282,178,2,102
20-06-2020,2,0,9,-7,284,187,2,95
21-06-2020,0,0,21,-21,284,208,2,74
22-06-2020,0,0,3,-3,284,211,2,71
23-06-2020,15,0,4,11,299,215,2,82
24-06-2020,0,0,5,-5,299,220,2,77
25-06-2020,0,0,5,-5,299,225,2,72
26-06-2020,0,0,6,-6,299,231,2,66
27-06-2020,7,0,9,-2,306,240,2,64
28-06-2020,0,0,7,-7,306,247,2,57
29-06-2020,0,0,4,-4,306,251,2,53
30-06-2020,0,0,5,-5,306,256,2,48
01-07-2020,13,0,3,10,319,259,2,58
02-07-2020,0,0,0,0,319,259,2,58
03-07-2020,0,0,6,-6,319,265,2,52
04-07-2020,0,0,3,-3,319,268,2,49
05-07-2020,3,0,18,-15,322,286,2,34
06-07-2020,0,0,0,0,322,286,2,34
07-07-2020,5,0,5,0,327,291,2,34
08-07-2020,0,0,1,-1,327,292,2,33
09-07-2020,2,0,2,0,329,294,2,33
10-07-2020,0,0,0,0,329,294,2,33
11-07-2020,0,0,19,-19,329,313,2,14
12-07-2020,3,0,0,3,332,313,2,17
13-07-2020,5,0,1,4,337,314,2,21
14-07-2020,0,0,11,-11,337,325,2,10
15-07-2020,0,0,0,0,337,325,2,10
16-07-2020,4,0,1,3,341,326,2,13
17-07-2020,0,0,0,0,341,326,2,13
18-07-2020,0,0,5,-5,341,331,2,8
19-07-2020,0,0,4,-4,341,335,2,4
20-07-2020,0,0,0,0,341,335,2,4
21-07-2020,0,0,0,0,341,335,2,4
22-07-2020,0,0,4,-4,341,339,2,0
23-07-2020,0,0,0,0,341,339,2,0
24-07-2020,0,0,0,0,341,339,2,0
25-07-2020,5,0,0,5,346,339,2,5
26-07-2020,0,0,0,0,346,339,2,5
27-07-2020,0,0,0,0,346,339,2,5
28-07-2020,16,0,0,16,362,339,2,21
29-07-2020,0,0,0,0,362,339,2,21
30-07-2020,0,0,0,0,362,339,2,21
31-07-2020,4,0,0,4,366,339,2,25
01-08-2020,0,0,0,0,366,339,2,25
02-08-2020,0,0,0,0,366,339,2,25
03-08-2020,0,0,0,0,366,339,2,25
04-08-2020,0,0,16,-16,366,355,2,9
05-08-2020,0,0,0,0,366,355,2,9
06-08-2020,7,0,0,7,373,355,2,16
07-08-2020,3,0,2,1,376,357,2,17
08-08-2020,0,0,0,0,376,357,2,17
09-08-2020,13,0,4,9,389,361,2,26
