tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
30-03-2020,5,0,0,5,5,0,0,5
31-03-2020,2,0,0,2,7,0,0,7
01-04-2020,0,0,0,0,7,0,0,7
02-04-2020,0,0,0,0,7,0,0,7
03-04-2020,0,0,0,0,7,0,0,7
04-04-2020,0,0,0,0,7,0,0,7
05-04-2020,8,1,0,7,15,0,1,14
06-04-2020,2,0,0,2,17,0,1,16
07-04-2020,0,2,0,-2,17,0,3,14
08-04-2020,4,0,1,3,21,1,3,17
09-04-2020,0,1,2,-3,21,3,4,14
10-04-2020,7,0,0,7,28,3,4,21
11-04-2020,0,1,0,-1,28,3,5,20
12-04-2020,5,0,0,5,33,3,5,25
13-04-2020,1,0,1,0,34,4,5,25
14-04-2020,3,2,0,1,37,4,7,26
15-04-2020,12,0,1,11,49,5,7,37
16-04-2020,9,0,4,5,58,9,7,42
17-04-2020,15,0,0,15,73,9,7,57
18-04-2020,18,0,1,17,91,10,7,74
19-04-2020,4,0,0,4,95,10,7,78
20-04-2020,0,0,0,0,95,10,7,78
21-04-2020,2,0,1,1,97,11,7,79
22-04-2020,10,0,0,10,107,11,7,89
23-04-2020,7,1,0,6,114,11,8,95
24-04-2020,18,0,0,18,132,11,8,113
25-04-2020,14,0,4,10,146,15,8,123
26-04-2020,0,0,1,-1,146,16,8,122
27-04-2020,4,0,0,4,150,16,8,126
28-04-2020,0,1,4,-5,150,20,9,121
29-04-2020,7,0,0,7,157,20,9,128
30-04-2020,13,0,0,13,170,20,9,141
01-05-2020,9,0,4,5,179,24,9,146
02-05-2020,0,0,0,0,179,24,9,146
03-05-2020,16,0,0,16,195,24,9,162
04-05-2020,3,0,0,3,198,24,9,165
05-05-2020,14,0,0,14,212,24,9,179
06-05-2020,13,0,0,13,225,24,9,192
07-05-2020,13,0,0,13,238,24,9,205
08-05-2020,8,0,0,8,246,24,9,213
09-05-2020,7,0,0,7,253,24,9,220
10-05-2020,7,0,0,7,260,24,9,227
11-05-2020,0,0,0,0,260,24,9,227
