tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
26-03-2020,2,0,0,2,2,0,0,2
27-03-2020,0,0,0,0,2,0,0,2
28-03-2020,1,0,0,1,3,0,0,3
29-03-2020,0,0,0,0,3,0,0,3
30-03-2020,0,0,0,0,3,0,0,3
31-03-2020,4,0,2,2,7,2,0,5
01-04-2020,0,0,0,0,7,2,0,5
02-04-2020,0,0,0,0,7,2,0,5
03-04-2020,2,0,0,2,9,2,0,7
04-04-2020,1,0,2,-1,10,4,0,6
05-04-2020,0,0,0,0,10,4,0,6
06-04-2020,9,0,0,9,19,4,0,15
07-04-2020,1,0,2,-1,20,6,0,14
08-04-2020,0,1,0,-1,20,6,1,13
09-04-2020,0,0,0,0,20,6,1,13
10-04-2020,4,0,1,3,24,7,1,16
11-04-2020,0,0,0,0,24,7,1,16
12-04-2020,0,0,0,0,24,7,1,16
13-04-2020,1,0,1,0,25,8,1,16
14-04-2020,0,1,0,-1,25,8,2,15
15-04-2020,8,0,0,8,33,8,2,23
16-04-2020,1,0,0,1,34,8,2,24
17-04-2020,1,0,0,1,35,8,2,25
18-04-2020,6,1,0,5,41,8,3,30
19-04-2020,5,0,0,5,46,8,3,35
20-04-2020,14,1,1,12,60,9,4,47
21-04-2020,7,1,0,6,67,9,5,53
22-04-2020,15,0,0,15,82,9,5,68
23-04-2020,1,0,0,1,83,9,5,69
24-04-2020,11,0,0,11,94,9,5,80
25-04-2020,6,0,0,6,100,9,5,86
26-04-2020,4,0,1,3,104,10,5,89
27-04-2020,8,0,0,8,112,10,5,97
28-04-2020,9,1,2,6,121,12,6,103
29-04-2020,6,0,0,6,127,12,6,109
30-04-2020,18,0,1,17,145,13,6,126
01-05-2020,11,1,2,8,156,15,7,134
02-05-2020,1,0,0,1,157,15,7,135
03-05-2020,0,0,0,0,157,15,7,135
04-05-2020,23,0,1,22,180,16,7,157
05-05-2020,1,2,0,-1,181,16,9,156
06-05-2020,5,0,13,-8,186,29,9,148
07-05-2020,2,1,0,1,188,29,10,149
08-05-2020,0,0,1,-1,188,30,10,148
09-05-2020,1,0,0,1,189,30,10,149
10-05-2020,4,0,0,4,193,30,10,153
11-05-2020,7,0,0,7,200,30,10,160
12-05-2020,4,0,1,3,204,31,10,163
13-05-2020,16,0,1,15,220,32,10,178
14-05-2020,3,0,10,-7,223,42,10,171
15-05-2020,4,0,7,-3,227,49,10,168
16-05-2020,0,0,0,0,227,49,10,168
17-05-2020,0,0,0,0,227,49,10,168
18-05-2020,0,0,0,0,227,49,10,168
19-05-2020,5,0,0,5,232,49,10,173
20-05-2020,9,0,18,-9,241,67,10,164
21-05-2020,13,0,10,3,254,77,10,167
22-05-2020,35,4,15,16,289,92,14,183
23-05-2020,2,0,0,2,291,92,14,185
24-05-2020,15,0,0,15,306,92,14,200
25-05-2020,2,2,21,-21,308,113,16,179
26-05-2020,12,0,0,12,320,113,16,191
27-05-2020,8,0,0,8,328,113,16,199
28-05-2020,6,0,0,6,334,113,16,205
29-05-2020,29,0,7,22,363,120,16,227
30-05-2020,31,2,6,23,394,126,18,250
31-05-2020,12,0,0,12,406,126,18,262
01-06-2020,9,0,1,8,415,127,18,270
02-06-2020,9,1,17,-9,424,144,19,261
03-06-2020,28,4,7,17,452,151,23,278
04-06-2020,13,0,0,13,465,151,23,291
05-06-2020,15,2,0,13,480,151,25,304
06-06-2020,15,0,0,15,495,151,25,319
07-06-2020,1,0,10,-9,496,161,25,310
08-06-2020,8,2,2,4,504,163,27,314
09-06-2020,18,0,0,18,522,163,27,332
10-06-2020,15,1,11,3,537,174,28,335
11-06-2020,15,0,0,15,552,174,28,350
12-06-2020,13,0,4,9,565,178,28,359
13-06-2020,21,1,1,19,586,179,29,378
14-06-2020,0,3,17,-20,586,196,32,358
15-06-2020,45,4,2,39,631,198,36,397
16-06-2020,26,0,10,16,657,208,36,413
17-06-2020,45,1,1,43,702,209,37,456
18-06-2020,36,6,39,-9,738,248,43,447
19-06-2020,0,0,0,0,738,248,43,447
20-06-2020,26,2,10,14,764,258,45,461
21-06-2020,0,0,0,0,764,258,45,461
22-06-2020,21,3,7,11,785,265,48,472
23-06-2020,11,1,7,3,796,272,49,475
24-06-2020,4,0,0,4,800,272,49,479
25-06-2020,10,0,0,10,810,272,49,489
26-06-2020,7,2,29,-24,817,301,51,465
27-06-2020,5,1,0,4,822,301,52,469
28-06-2020,12,0,0,12,834,301,52,481
29-06-2020,47,0,50,-3,881,351,52,478
30-06-2020,13,2,1,10,894,352,54,488
01-07-2020,37,0,0,37,931,352,54,525
02-07-2020,15,0,0,15,946,352,54,540
03-07-2020,50,4,45,1,996,397,58,541
04-07-2020,8,2,26,-20,1004,423,60,521
05-07-2020,28,0,4,24,1032,427,60,545
06-07-2020,8,1,1,6,1040,428,61,551
07-07-2020,18,0,19,-1,1058,447,61,550
08-07-2020,15,0,6,9,1073,453,61,559
09-07-2020,23,3,22,-2,1096,475,64,557
10-07-2020,35,0,1,34,1131,476,64,591
11-07-2020,26,1,28,-3,1157,504,65,588
12-07-2020,39,5,12,22,1196,516,70,610
13-07-2020,26,0,3,23,1222,519,70,633
