tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
14-03-2020,3,0,0,3,3,0,0,3
15-03-2020,2,0,0,2,5,0,0,5
16-03-2020,1,0,0,1,6,0,0,6
17-03-2020,1,0,0,1,7,0,0,7
18-03-2020,0,0,0,0,7,0,0,7
19-03-2020,0,0,0,0,7,0,0,7
20-03-2020,0,0,0,0,7,0,0,7
21-03-2020,0,0,0,0,7,0,0,7
22-03-2020,0,0,0,0,7,0,0,7
23-03-2020,1,0,0,1,8,0,0,8
24-03-2020,0,0,0,0,8,0,0,8
25-03-2020,0,0,0,0,8,0,0,8
26-03-2020,0,0,0,0,8,0,0,8
27-03-2020,0,0,0,0,8,0,0,8
28-03-2020,5,0,0,5,13,0,0,13
29-03-2020,0,0,0,0,13,0,0,13
30-03-2020,0,0,0,0,13,0,0,13
31-03-2020,1,1,0,0,14,0,1,13
01-04-2020,1,0,0,1,15,0,1,14
02-04-2020,0,0,0,0,15,0,1,14
03-04-2020,1,0,0,1,16,0,1,15
04-04-2020,2,0,1,1,18,1,1,16
05-04-2020,0,0,0,0,18,1,1,16
06-04-2020,6,0,0,6,24,1,1,22
07-04-2020,0,0,0,0,24,1,1,22
08-04-2020,1,0,0,1,25,1,1,23
09-04-2020,0,0,5,-5,25,6,1,18
10-04-2020,4,0,0,4,29,6,1,22
11-04-2020,0,0,0,0,29,6,1,22
12-04-2020,0,0,0,0,29,6,1,22
13-04-2020,0,0,0,0,29,6,1,22
14-04-2020,0,0,0,0,29,6,1,22
15-04-2020,0,0,0,0,29,6,1,22
16-04-2020,9,0,4,5,38,10,1,27
17-04-2020,0,0,1,-1,38,11,1,26
18-04-2020,10,0,0,10,48,11,1,36
19-04-2020,4,0,0,4,52,11,1,40
20-04-2020,4,0,0,4,56,11,1,44
21-04-2020,5,0,0,5,61,11,1,49
22-04-2020,1,0,0,1,62,11,1,50
23-04-2020,5,0,0,5,67,11,1,55
24-04-2020,11,0,2,9,78,13,1,64
25-04-2020,12,0,0,12,90,13,1,76
26-04-2020,7,0,1,6,97,14,1,82
27-04-2020,2,0,1,1,99,15,1,83
28-04-2020,7,0,0,7,106,15,1,90
