tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
30-03-2020,1,0,0,1,1,0,0,1
31-03-2020,1,1,0,0,2,0,1,1
01-04-2020,0,0,0,0,2,0,1,1
02-04-2020,0,0,0,0,2,0,1,1
03-04-2020,0,0,0,0,2,0,1,1
04-04-2020,0,0,0,0,2,0,1,1
05-04-2020,0,0,0,0,2,0,1,1
06-04-2020,0,0,0,0,2,0,1,1
07-04-2020,0,0,0,0,2,0,1,1
08-04-2020,1,0,0,1,3,0,1,2
09-04-2020,1,0,0,1,4,0,1,3
10-04-2020,0,0,0,0,4,0,1,3
11-04-2020,1,0,0,1,5,0,1,4
12-04-2020,0,0,0,0,5,0,1,4
13-04-2020,0,0,0,0,5,0,1,4
14-04-2020,0,0,0,0,5,0,1,4
15-04-2020,1,0,0,1,6,0,1,5
16-04-2020,1,0,0,1,7,0,1,6
17-04-2020,0,0,0,0,7,0,1,6
18-04-2020,0,0,1,-1,7,1,1,5
19-04-2020,1,0,0,1,8,1,1,6
20-04-2020,0,0,0,0,8,1,1,6
21-04-2020,1,0,2,-1,9,3,1,5
22-04-2020,0,0,0,0,9,3,1,5
23-04-2020,1,0,0,1,10,3,1,6
24-04-2020,0,0,0,0,10,3,1,6
25-04-2020,0,0,0,0,10,3,1,6
26-04-2020,1,0,0,1,11,3,1,7
27-04-2020,0,0,0,0,11,3,1,7
28-04-2020,0,0,0,0,11,3,1,7
29-04-2020,0,0,0,0,11,3,1,7
30-04-2020,0,0,2,-2,11,5,1,5
01-05-2020,9,0,0,9,20,5,1,14
02-05-2020,0,0,0,0,20,5,1,14
03-05-2020,1,0,0,1,21,5,1,15
04-05-2020,0,0,0,0,21,5,1,15
05-05-2020,8,0,0,8,29,5,1,23
06-05-2020,0,0,2,-2,29,7,1,21
07-05-2020,0,0,0,0,29,7,1,21
08-05-2020,0,0,1,-1,29,8,1,20
09-05-2020,0,0,0,0,29,8,1,20
10-05-2020,1,0,0,1,30,8,1,21
11-05-2020,0,0,0,0,30,8,1,21
12-05-2020,0,0,0,0,30,8,1,21
13-05-2020,0,0,0,0,30,8,1,21
14-05-2020,0,0,0,0,30,8,1,21
15-05-2020,0,0,17,-17,30,25,1,4
16-05-2020,0,0,0,0,30,25,1,4
17-05-2020,0,0,0,0,30,25,1,4
18-05-2020,0,0,0,0,30,25,1,4
19-05-2020,0,0,0,0,30,25,1,4
20-05-2020,6,0,1,5,36,26,1,9
21-05-2020,1,0,1,0,37,27,1,9
22-05-2020,0,0,0,0,37,27,1,9
23-05-2020,3,0,1,2,40,28,1,11
24-05-2020,0,0,0,0,40,28,1,11
25-05-2020,0,0,0,0,40,28,1,11
26-05-2020,0,0,0,0,40,28,1,11
27-05-2020,3,0,0,3,43,28,1,14
28-05-2020,0,0,0,0,43,28,1,14
29-05-2020,0,0,0,0,43,28,1,14
30-05-2020,3,0,0,3,46,28,1,17
31-05-2020,1,0,1,0,47,29,1,17
01-06-2020,0,0,0,0,47,29,1,17
02-06-2020,4,0,1,3,51,30,1,20
03-06-2020,9,0,3,6,60,33,1,26
04-06-2020,10,0,2,8,70,35,1,34
05-06-2020,9,0,0,9,79,35,1,43
06-06-2020,16,0,1,15,95,36,1,58
07-06-2020,3,0,1,2,98,37,1,60
08-06-2020,0,0,1,-1,98,38,1,59
09-06-2020,19,0,4,15,117,42,1,74
10-06-2020,2,0,1,1,119,43,1,75
11-06-2020,3,0,2,1,122,45,1,76
12-06-2020,6,0,7,-1,128,52,1,75
13-06-2020,4,0,9,-5,132,61,1,70
14-06-2020,8,1,0,7,140,61,2,77
15-06-2020,0,0,0,0,140,61,2,77
16-06-2020,1,0,4,-3,141,65,2,74
17-06-2020,1,0,26,-25,142,91,2,49
18-06-2020,0,0,6,-6,142,97,2,43
19-06-2020,0,0,6,-6,142,103,2,37
20-06-2020,0,0,0,0,142,103,2,37
21-06-2020,0,0,0,0,142,103,2,37
22-06-2020,0,0,10,-10,142,113,2,27
23-06-2020,0,0,0,0,142,113,2,27
24-06-2020,0,0,9,-9,142,122,2,18
25-06-2020,0,0,1,-1,142,123,2,17
26-06-2020,0,0,3,-3,142,126,2,14
27-06-2020,1,0,2,-1,143,128,2,13
28-06-2020,0,0,0,0,143,128,2,13
29-06-2020,2,0,1,1,145,129,2,14
30-06-2020,0,0,1,-1,145,130,2,13
01-07-2020,3,0,0,3,148,130,2,16
02-07-2020,0,0,1,-1,148,131,2,15
03-07-2020,2,0,0,2,150,131,2,17
04-07-2020,4,0,0,4,154,131,2,21
05-07-2020,2,0,0,2,156,131,2,23
06-07-2020,6,0,0,6,162,131,2,29
07-07-2020,2,0,3,-1,164,134,2,28
08-07-2020,0,0,0,0,164,134,2,28
09-07-2020,0,0,0,0,164,134,2,28
10-07-2020,0,0,1,-1,164,135,2,27
11-07-2020,1,0,1,0,165,136,2,27
12-07-2020,0,0,0,0,165,136,2,27
13-07-2020,0,0,3,-3,165,139,2,24
14-07-2020,2,0,0,2,167,139,2,26
15-07-2020,1,0,5,-4,168,144,2,22
16-07-2020,0,0,16,-16,168,160,2,6
17-07-2020,0,0,0,0,168,160,2,6
18-07-2020,0,0,1,-1,168,161,2,5
19-07-2020,0,0,0,0,168,161,2,5
20-07-2020,3,0,0,3,171,161,2,8
21-07-2020,0,0,0,0,171,161,2,8
22-07-2020,1,0,1,0,172,162,2,8
23-07-2020,0,0,0,0,172,162,2,8
24-07-2020,2,0,0,2,174,162,2,10
25-07-2020,0,0,3,-3,174,165,2,7
26-07-2020,2,0,1,1,176,166,2,8
27-07-2020,2,0,0,2,178,166,2,10
28-07-2020,0,0,0,0,178,166,2,10
29-07-2020,2,0,0,2,180,166,2,12
30-07-2020,0,0,0,0,180,166,2,12
31-07-2020,0,0,0,0,180,166,2,12
01-08-2020,0,0,0,0,180,166,2,12
02-08-2020,0,0,0,0,180,166,2,12
03-08-2020,3,0,0,3,183,166,2,15
04-08-2020,0,0,1,-1,183,167,2,14
05-08-2020,1,0,5,-4,184,172,2,10
06-08-2020,0,0,0,0,184,172,2,10
07-08-2020,3,0,2,1,187,174,2,11
08-08-2020,0,0,3,-3,187,177,2,8
09-08-2020,1,0,0,1,188,177,2,9
10-08-2020,2,0,0,2,190,177,2,11
11-08-2020,0,0,0,0,190,177,2,11
12-08-2020,0,0,5,-5,190,182,2,6
13-08-2020,0,0,0,0,190,182,2,6
14-08-2020,2,0,0,2,192,182,2,8
