tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
30-03-2020,1,2,0,-1,1,0,2,-1
31-03-2020,1,0,0,1,2,0,2,0
01-04-2020,0,0,0,0,2,0,2,0
02-04-2020,0,1,2,-3,2,2,3,-3
03-04-2020,2,0,0,2,4,2,3,-1
04-04-2020,0,0,0,0,4,2,3,-1
05-04-2020,0,0,0,0,4,2,3,-1
06-04-2020,0,0,0,0,4,2,3,-1
07-04-2020,0,0,0,0,4,2,3,-1
08-04-2020,0,0,0,0,4,2,3,-1
09-04-2020,11,0,0,11,15,2,3,10
10-04-2020,0,0,0,0,15,2,3,10
11-04-2020,0,2,0,-2,15,2,5,8
12-04-2020,0,0,0,0,15,2,5,8
13-04-2020,0,0,0,0,15,2,5,8
14-04-2020,5,2,0,3,20,2,7,11
15-04-2020,5,0,3,2,25,5,7,13
16-04-2020,7,0,0,7,32,5,7,20
17-04-2020,19,0,1,18,51,6,7,38
18-04-2020,21,0,0,21,72,6,7,59
19-04-2020,0,0,1,-1,72,7,7,58
20-04-2020,0,1,1,-2,72,8,8,56
21-04-2020,2,0,1,1,74,9,8,57
22-04-2020,0,0,0,0,74,9,8,57
23-04-2020,2,0,0,2,76,9,8,59
24-04-2020,0,0,0,0,76,9,8,59
25-04-2020,0,0,2,-2,76,11,8,57
26-04-2020,2,0,0,2,78,11,8,59
27-04-2020,1,0,0,1,79,11,8,60
28-04-2020,2,0,0,2,81,11,8,62
29-04-2020,0,0,4,-4,81,15,8,58
30-04-2020,0,0,0,0,81,15,8,58
01-05-2020,0,0,23,-23,81,38,8,35
02-05-2020,0,0,11,-11,81,49,8,24
03-05-2020,3,1,1,1,84,50,9,25
04-05-2020,0,0,1,-1,84,51,9,24
05-05-2020,5,0,6,-1,89,57,9,23
06-05-2020,1,0,6,-5,90,63,9,18
07-05-2020,0,0,3,-3,90,66,9,15
08-05-2020,2,0,2,0,92,68,9,15
09-05-2020,1,1,1,-1,93,69,10,14
10-05-2020,0,0,1,-1,93,70,10,13
11-05-2020,3,0,7,-4,96,77,10,9
12-05-2020,2,0,1,1,98,78,10,10
13-05-2020,5,0,0,5,103,78,10,15
14-05-2020,0,0,0,0,103,78,10,15
15-05-2020,4,0,3,1,107,81,10,16
16-05-2020,1,0,0,1,108,81,10,17
17-05-2020,0,1,0,-1,108,81,11,16
18-05-2020,11,0,1,10,119,82,11,26
19-05-2020,13,0,0,13,132,82,11,39
20-05-2020,0,0,0,0,132,82,11,39
21-05-2020,0,0,0,0,132,82,11,39
22-05-2020,1,0,4,-3,133,86,11,36
23-05-2020,8,1,1,6,141,87,12,42
24-05-2020,4,0,0,4,145,87,12,46
25-05-2020,0,0,0,0,145,87,12,46
26-05-2020,0,1,1,-2,145,88,13,44
27-05-2020,8,0,1,7,153,89,13,51
28-05-2020,13,1,7,5,166,96,14,56
29-05-2020,3,0,5,-2,169,101,14,54
30-05-2020,18,0,0,18,187,101,14,72
31-05-2020,0,0,0,0,187,101,14,72
01-06-2020,0,0,0,0,187,101,14,72
02-06-2020,12,0,0,12,199,101,14,84
03-06-2020,0,0,1,-1,199,102,14,83
04-06-2020,11,0,1,10,210,103,14,93
05-06-2020,3,0,11,-8,213,114,14,85
06-06-2020,2,0,5,-3,215,119,14,82
07-06-2020,1,0,0,1,216,119,14,83
08-06-2020,1,0,3,-2,217,122,14,81
09-06-2020,0,0,0,0,217,122,14,81
10-06-2020,0,0,5,-5,217,127,14,76
11-06-2020,10,0,0,10,227,127,14,86
12-06-2020,0,0,10,-10,227,137,14,76
13-06-2020,1,0,6,-5,228,143,14,71
14-06-2020,0,0,13,-13,228,156,14,58
15-06-2020,15,0,3,12,243,159,14,70
16-06-2020,0,0,2,-2,243,161,14,68
17-06-2020,8,0,10,-2,251,171,14,66
18-06-2020,1,0,0,1,252,171,14,67
19-06-2020,2,0,10,-8,254,181,14,59
20-06-2020,0,0,1,-1,254,182,14,58
21-06-2020,13,0,0,13,267,182,14,71
22-06-2020,1,0,10,-9,268,192,14,62
23-06-2020,0,0,1,-1,268,193,14,61
24-06-2020,2,0,1,1,270,194,14,62
25-06-2020,3,0,12,-9,273,206,14,53
26-06-2020,0,0,10,-10,273,216,14,43
27-06-2020,0,0,15,-15,273,231,14,28
28-06-2020,1,0,1,0,274,232,14,28
29-06-2020,0,0,3,-3,274,235,14,25
30-06-2020,0,0,2,-2,274,237,14,23
01-07-2020,8,0,1,7,282,238,14,30
02-07-2020,4,0,9,-5,286,247,14,25
03-07-2020,3,0,4,-1,289,251,14,24
04-07-2020,1,0,0,1,290,251,14,25
05-07-2020,2,0,4,-2,292,255,14,23
06-07-2020,0,0,0,0,292,255,14,23
07-07-2020,0,0,4,-4,292,259,14,19
08-07-2020,5,0,8,-3,297,267,14,16
09-07-2020,1,0,0,1,298,267,14,17
10-07-2020,0,0,4,-4,298,271,14,13
11-07-2020,6,0,6,0,304,277,14,13
12-07-2020,5,0,1,4,309,278,14,17
13-07-2020,0,0,1,-1,309,279,14,16
14-07-2020,5,0,1,4,314,280,14,20
15-07-2020,4,0,5,-1,318,285,14,19
16-07-2020,0,0,0,0,318,285,14,19
17-07-2020,0,0,0,0,318,285,14,19
18-07-2020,3,0,0,3,321,285,14,22
19-07-2020,1,0,0,1,322,285,14,23
20-07-2020,1,0,1,0,323,286,14,23
21-07-2020,0,0,0,0,323,286,14,23
22-07-2020,4,0,1,3,327,287,14,26
23-07-2020,0,0,4,-4,327,291,14,22
24-07-2020,2,0,9,-7,329,300,14,15
25-07-2020,3,0,1,2,332,301,14,17
26-07-2020,1,1,0,0,333,301,15,17
27-07-2020,2,0,0,2,335,301,15,19
28-07-2020,8,0,5,3,343,306,15,22
29-07-2020,8,1,0,7,351,306,16,29
30-07-2020,0,0,0,0,351,306,16,29
31-07-2020,60,1,0,59,411,306,17,88
01-08-2020,33,0,0,33,444,306,17,121
02-08-2020,1,0,0,1,445,306,17,122
03-08-2020,0,0,0,0,445,306,17,122
04-08-2020,0,0,0,0,445,306,17,122
05-08-2020,7,3,0,4,452,306,20,126
06-08-2020,0,0,0,0,452,306,20,126
07-08-2020,17,0,1,16,469,307,20,142
08-08-2020,9,0,0,9,478,307,20,151
09-08-2020,8,1,0,7,486,307,21,158
10-08-2020,21,0,2,19,507,309,21,177
11-08-2020,16,0,6,10,523,315,21,187
12-08-2020,27,1,0,26,550,315,22,213
13-08-2020,15,1,23,-9,565,338,23,204
14-08-2020,12,0,16,-4,577,354,23,200
15-08-2020,22,1,5,16,599,359,24,216
16-08-2020,10,1,2,7,609,361,25,223
17-08-2020,12,0,8,4,621,369,25,227
18-08-2020,0,0,0,0,621,369,25,227
19-08-2020,15,0,10,5,636,379,25,232
20-08-2020,1,2,8,-9,637,387,27,223
21-08-2020,23,1,27,-5,660,414,28,218
22-08-2020,0,1,0,-1,660,414,29,217
23-08-2020,39,2,17,20,699,431,31,237
24-08-2020,11,0,3,8,710,434,31,245
25-08-2020,10,1,48,-39,720,482,32,206
26-08-2020,7,0,11,-4,727,493,32,202
27-08-2020,50,3,6,41,777,499,35,243
28-08-2020,41,0,6,35,818,505,35,278
29-08-2020,35,2,13,20,853,518,37,298
30-08-2020,1,0,0,1,854,518,37,299
31-08-2020,88,1,23,64,942,541,38,363
01-09-2020,27,0,0,27,969,541,38,390
02-09-2020,47,0,6,41,1016,547,38,431
03-09-2020,26,0,8,18,1042,555,38,449
04-09-2020,50,0,8,42,1092,563,38,491
05-09-2020,17,0,1,16,1109,564,38,507
06-09-2020,0,0,0,0,1109,564,38,507
07-09-2020,53,2,52,-1,1162,616,40,506
08-09-2020,24,1,6,17,1186,622,41,523
09-09-2020,52,0,1,51,1238,623,41,574
