tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
26-03-2020,2,0,0,2,2,0,0,2
27-03-2020,1,0,0,1,3,0,0,3
28-03-2020,0,0,0,0,3,0,0,3
29-03-2020,0,0,0,0,3,0,0,3
30-03-2020,4,1,0,3,7,0,1,6
31-03-2020,0,1,0,-1,7,0,2,5
01-04-2020,0,0,0,0,7,0,2,5
02-04-2020,0,0,0,0,7,0,2,5
03-04-2020,3,1,0,2,10,0,3,7
04-04-2020,0,0,0,0,10,0,3,7
05-04-2020,0,0,0,0,10,0,3,7
06-04-2020,1,0,0,1,11,0,3,8
07-04-2020,0,0,0,0,11,0,3,8
08-04-2020,3,2,0,1,14,0,5,9
09-04-2020,1,0,2,-1,15,2,5,8
10-04-2020,5,0,0,5,20,2,5,13
11-04-2020,0,0,2,-2,20,4,5,11
12-04-2020,0,0,0,0,20,4,5,11
13-04-2020,1,0,0,1,21,4,5,12
14-04-2020,0,0,0,0,21,4,5,12
15-04-2020,0,0,0,0,21,4,5,12
16-04-2020,5,0,0,5,26,4,5,17
17-04-2020,0,0,0,0,26,4,5,17
18-04-2020,0,0,0,0,26,4,5,17
19-04-2020,0,0,0,0,26,4,5,17
20-04-2020,0,0,0,0,26,4,5,17
21-04-2020,1,0,1,0,27,5,5,17
22-04-2020,0,0,1,-1,27,6,5,16
23-04-2020,11,0,0,11,38,6,5,27
24-04-2020,0,0,0,0,38,6,5,27
25-04-2020,0,0,1,-1,38,7,5,26
26-04-2020,4,0,0,4,42,7,5,30
27-04-2020,0,0,1,-1,42,8,5,29
28-04-2020,2,0,2,0,44,10,5,29
29-04-2020,2,0,3,-1,46,13,5,28
30-04-2020,0,0,7,-7,46,20,5,21
01-05-2020,4,0,0,4,50,20,5,25
02-05-2020,0,0,0,0,50,20,5,25
03-05-2020,0,0,0,0,50,20,5,25
04-05-2020,4,0,0,4,54,20,5,29
05-05-2020,1,0,1,0,55,21,5,29
06-05-2020,8,0,5,3,63,26,5,32
07-05-2020,0,0,0,0,63,26,5,32
08-05-2020,3,0,0,3,66,26,5,35
09-05-2020,0,0,0,0,66,26,5,35
10-05-2020,0,1,0,-1,66,26,6,34
11-05-2020,0,1,0,-1,66,26,7,33
12-05-2020,0,0,0,0,66,26,7,33
13-05-2020,0,0,0,0,66,26,7,33
14-05-2020,0,0,0,0,66,26,7,33
15-05-2020,0,1,2,-3,66,28,8,30
16-05-2020,0,0,2,-2,66,30,8,28
17-05-2020,1,0,0,1,67,30,8,29
18-05-2020,16,0,2,14,83,32,8,43
19-05-2020,1,0,4,-3,84,36,8,40
20-05-2020,2,0,0,2,86,36,8,42
21-05-2020,16,0,2,14,102,38,8,56
22-05-2020,4,0,5,-1,106,43,8,55
23-05-2020,0,0,4,-4,106,47,8,51
24-05-2020,4,2,5,-3,110,52,10,48
25-05-2020,7,1,0,6,117,52,11,54
26-05-2020,0,0,2,-2,117,54,11,52
27-05-2020,2,0,0,2,119,54,11,54
28-05-2020,0,0,0,0,119,54,11,54
29-05-2020,13,0,0,13,132,54,11,67
30-05-2020,1,0,11,-10,133,65,11,57
31-05-2020,1,0,4,-3,134,69,11,54
01-06-2020,2,0,5,-3,136,74,11,51
02-06-2020,0,0,6,-6,136,80,11,45
03-06-2020,0,0,4,-4,136,84,11,41
04-06-2020,4,0,3,1,140,87,11,42
05-06-2020,1,0,11,-10,141,98,11,32
06-06-2020,2,0,3,-1,143,101,11,31
07-06-2020,1,0,1,0,144,102,11,31
08-06-2020,1,0,3,-2,145,105,11,29
09-06-2020,3,0,3,0,148,108,11,29
10-06-2020,2,0,1,1,150,109,11,30
11-06-2020,2,0,0,2,152,109,11,32
12-06-2020,1,0,2,-1,153,111,11,31
13-06-2020,12,1,3,8,165,114,12,39
14-06-2020,1,0,1,0,166,115,12,39
15-06-2020,0,0,0,0,166,115,12,39
16-06-2020,0,0,2,-2,166,117,12,37
17-06-2020,3,0,1,2,169,118,12,39
18-06-2020,2,0,3,-1,171,121,12,38
19-06-2020,1,0,2,-1,172,123,12,37
