tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
22-03-2020,1,0,0,1,1,0,0,1
23-03-2020,0,0,0,0,1,0,0,1
24-03-2020,0,0,0,0,1,0,0,1
25-03-2020,0,0,0,0,1,0,0,1
26-03-2020,0,0,0,0,1,0,0,1
27-03-2020,0,0,0,0,1,0,0,1
28-03-2020,0,0,0,0,1,0,0,1
29-03-2020,0,0,0,0,1,0,0,1
30-03-2020,0,0,0,0,1,0,0,1
31-03-2020,0,0,0,0,1,0,0,1
01-04-2020,0,0,1,-1,1,1,0,0
02-04-2020,0,0,0,0,1,1,0,0
03-04-2020,0,0,0,0,1,1,0,0
04-04-2020,0,0,0,0,1,1,0,0
05-04-2020,0,0,0,0,1,1,0,0
06-04-2020,0,0,0,0,1,1,0,0
07-04-2020,0,0,0,0,1,1,0,0
08-04-2020,2,0,0,2,3,1,0,2
09-04-2020,0,0,0,0,3,1,0,2
10-04-2020,0,0,0,0,3,1,0,2
11-04-2020,0,0,0,0,3,1,0,2
12-04-2020,8,0,0,8,11,1,0,10
13-04-2020,0,0,0,0,11,1,0,10
14-04-2020,0,0,0,0,11,1,0,10
15-04-2020,3,0,0,3,14,1,0,13
16-04-2020,0,0,0,0,14,1,0,13
17-04-2020,0,0,0,0,14,1,0,13
18-04-2020,3,0,5,-2,17,6,0,11
19-04-2020,0,0,0,0,17,6,0,11
20-04-2020,0,0,4,-4,17,10,0,7
21-04-2020,0,0,0,0,17,10,0,7
22-04-2020,0,0,0,0,17,10,0,7
23-04-2020,0,0,0,0,17,10,0,7
24-04-2020,0,0,1,-1,17,11,0,6
25-04-2020,3,0,0,3,20,11,0,9
26-04-2020,0,0,0,0,20,11,0,9
27-04-2020,0,0,0,0,20,11,0,9
28-04-2020,1,0,1,0,21,12,0,9
29-04-2020,1,0,0,1,22,12,0,10
30-04-2020,0,0,0,0,22,12,0,10
01-05-2020,0,0,0,0,22,12,0,10
02-05-2020,0,0,0,0,22,12,0,10
03-05-2020,0,0,0,0,22,12,0,10
04-05-2020,0,0,0,0,22,12,0,10
05-05-2020,0,0,0,0,22,12,0,10
06-05-2020,0,2,0,-2,22,12,2,8
07-05-2020,0,0,0,0,22,12,2,8
08-05-2020,9,0,0,9,31,12,2,17
09-05-2020,0,0,0,0,31,12,2,17
10-05-2020,0,0,1,-1,31,13,2,16
11-05-2020,0,2,4,-6,31,17,4,10
12-05-2020,18,0,0,18,49,17,4,28
13-05-2020,0,0,0,0,49,17,4,28
14-05-2020,12,0,0,12,61,17,4,40
15-05-2020,0,0,0,0,61,17,4,40
16-05-2020,0,0,0,0,61,17,4,40
17-05-2020,22,2,4,16,83,21,6,56
18-05-2020,23,0,0,23,106,21,6,79
19-05-2020,0,0,0,0,106,21,6,79
20-05-2020,17,1,0,16,123,21,7,95
21-05-2020,11,0,1,10,134,22,7,105
22-05-2020,22,0,0,22,156,22,7,127
23-05-2020,0,0,0,0,156,22,7,127
24-05-2020,2,0,5,-3,158,27,7,124
25-05-2020,1,0,0,1,159,27,7,125
26-05-2020,0,0,0,0,159,27,7,125
27-05-2020,10,1,7,2,169,34,8,127
28-05-2020,18,0,1,17,187,35,8,144
29-05-2020,27,0,0,27,214,35,8,171
30-05-2020,0,0,1,-1,214,36,8,170
31-05-2020,8,0,0,8,222,36,8,178
01-06-2020,0,0,0,0,222,36,8,178
02-06-2020,0,0,19,-19,222,55,8,159
03-06-2020,12,0,0,12,234,55,8,171
04-06-2020,0,0,7,-7,234,62,8,164
05-06-2020,16,0,2,14,250,64,8,178
06-06-2020,6,0,3,3,256,67,8,181
07-06-2020,4,0,0,4,260,67,8,185
08-06-2020,30,0,13,17,290,80,8,202
09-06-2020,8,0,9,-1,298,89,8,201
10-06-2020,13,0,0,13,311,89,8,214
11-06-2020,0,0,0,0,311,89,8,214
12-06-2020,58,2,15,41,369,104,10,255
13-06-2020,13,0,1,12,382,105,10,267
14-06-2020,21,0,4,17,403,109,10,284
15-06-2020,32,0,0,32,435,109,10,316
16-06-2020,44,2,2,40,479,111,12,356
17-06-2020,22,0,2,20,501,113,12,376
18-06-2020,10,0,0,10,511,113,12,386
19-06-2020,10,0,20,-10,521,133,12,376
20-06-2020,32,0,24,8,553,157,12,384
21-06-2020,17,0,0,17,570,157,12,401
22-06-2020,29,0,3,26,599,160,12,427
23-06-2020,1,0,4,-3,600,164,12,424
24-06-2020,29,0,4,25,629,168,12,449
25-06-2020,12,0,16,-4,641,184,12,445
26-06-2020,4,1,5,-2,645,189,13,443
27-06-2020,14,0,19,-5,659,208,13,438
28-06-2020,4,0,12,-8,663,220,13,430
29-06-2020,14,0,27,-13,677,247,13,417
30-06-2020,13,1,7,5,690,254,14,422
01-07-2020,5,0,17,-12,695,271,14,410
02-07-2020,11,0,22,-11,706,293,14,399
03-07-2020,7,0,7,0,713,300,14,399
04-07-2020,6,0,56,-50,719,356,14,349
05-07-2020,19,0,2,17,738,358,14,366
06-07-2020,10,0,4,6,748,362,14,372
07-07-2020,26,0,27,-1,774,389,14,371
08-07-2020,7,0,48,-41,781,437,14,330
09-07-2020,8,0,19,-11,789,456,14,319
10-07-2020,13,0,19,-6,802,475,14,313
11-07-2020,6,0,29,-23,808,504,14,290
12-07-2020,10,0,22,-12,818,526,14,278
13-07-2020,26,0,4,22,844,530,14,300
14-07-2020,0,0,0,0,844,530,14,300
15-07-2020,20,0,9,11,864,539,14,311
16-07-2020,5,0,17,-12,869,556,14,299
17-07-2020,2,0,1,1,871,557,14,300
18-07-2020,1,1,0,0,872,557,15,300
19-07-2020,31,2,4,25,903,561,17,325
20-07-2020,11,0,10,1,914,571,17,326
21-07-2020,19,0,8,11,933,579,17,337
22-07-2020,0,0,0,0,933,579,17,337
23-07-2020,8,0,7,1,941,586,17,338
24-07-2020,0,0,3,-3,941,589,17,335
25-07-2020,4,0,0,4,945,589,17,339
26-07-2020,29,1,2,26,974,591,18,365
27-07-2020,0,0,7,-7,974,598,18,358
28-07-2020,23,1,37,-15,997,635,19,343
29-07-2020,1,0,15,-14,998,650,19,329
30-07-2020,24,0,2,22,1022,652,19,351
31-07-2020,0,0,0,0,1022,652,19,351
01-08-2020,24,0,44,-20,1046,696,19,331
02-08-2020,8,0,5,3,1054,701,19,334
03-08-2020,0,0,2,-2,1054,703,19,332
04-08-2020,11,0,6,5,1065,709,19,337
05-08-2020,29,0,10,19,1094,719,19,356
06-08-2020,46,2,10,34,1140,729,21,390
07-08-2020,71,0,6,65,1211,735,21,455
08-08-2020,6,0,4,2,1217,739,21,457
09-08-2020,32,0,1,31,1249,740,21,488
10-08-2020,15,0,12,3,1264,752,21,491
11-08-2020,2,0,49,-47,1266,801,21,444
12-08-2020,20,0,29,-9,1286,830,21,435
13-08-2020,39,0,21,18,1325,851,21,453
14-08-2020,10,0,1,9,1335,852,21,462
15-08-2020,32,3,24,5,1367,876,24,467
16-08-2020,47,0,9,38,1414,885,24,505
17-08-2020,26,1,0,25,1440,885,25,530
18-08-2020,9,1,28,-20,1449,913,26,510
19-08-2020,23,0,20,3,1472,933,26,513
20-08-2020,58,1,0,57,1530,933,27,570
21-08-2020,0,0,0,0,1530,933,27,570
