tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
23-03-2020,1,0,0,1,1,0,0,1
24-03-2020,0,0,0,0,1,0,0,1
25-03-2020,0,0,0,0,1,0,0,1
26-03-2020,0,0,0,0,1,0,0,1
27-03-2020,0,0,0,0,1,0,0,1
28-03-2020,0,0,0,0,1,0,0,1
29-03-2020,0,0,0,0,1,0,0,1
30-03-2020,0,0,0,0,1,0,0,1
31-03-2020,0,0,0,0,1,0,0,1
01-04-2020,0,0,0,0,1,0,0,1
02-04-2020,0,0,0,0,1,0,0,1
03-04-2020,0,0,0,0,1,0,0,1
04-04-2020,0,0,0,0,1,0,0,1
05-04-2020,0,0,0,0,1,0,0,1
06-04-2020,0,0,0,0,1,0,0,1
07-04-2020,0,0,0,0,1,0,0,1
08-04-2020,1,0,0,1,2,0,0,2
09-04-2020,0,0,1,-1,2,1,0,1
10-04-2020,0,0,0,0,2,1,0,1
11-04-2020,0,0,0,0,2,1,0,1
12-04-2020,0,0,0,0,2,1,0,1
13-04-2020,0,0,0,0,2,1,0,1
14-04-2020,0,0,0,0,2,1,0,1
15-04-2020,2,0,1,1,4,2,0,2
16-04-2020,0,0,0,0,4,2,0,2
17-04-2020,0,0,0,0,4,2,0,2
18-04-2020,0,0,0,0,4,2,0,2
19-04-2020,0,0,0,0,4,2,0,2
20-04-2020,0,0,0,0,4,2,0,2
21-04-2020,0,0,0,0,4,2,0,2
22-04-2020,8,0,0,8,12,2,0,10
23-04-2020,2,0,0,2,14,2,0,12
24-04-2020,0,0,0,0,14,2,0,12
25-04-2020,0,0,1,-1,14,3,0,11
26-04-2020,12,0,0,12,26,3,0,23
27-04-2020,0,0,0,0,26,3,0,23
28-04-2020,0,0,1,-1,26,4,0,22
29-04-2020,0,0,0,0,26,4,0,22
30-04-2020,14,0,0,14,40,4,0,36
01-05-2020,1,0,0,1,41,4,0,37
02-05-2020,0,0,0,0,41,4,0,37
03-05-2020,9,0,2,7,50,6,0,44
04-05-2020,0,0,0,0,50,6,0,44
05-05-2020,0,0,0,0,50,6,0,44
06-05-2020,0,0,0,0,50,6,0,44
07-05-2020,0,0,0,0,50,6,0,44
08-05-2020,0,0,3,-3,50,9,0,41
09-05-2020,4,0,0,4,54,9,0,45
10-05-2020,0,0,0,0,54,9,0,45
11-05-2020,0,0,0,0,54,9,0,45
12-05-2020,0,0,0,0,54,9,0,45
13-05-2020,23,3,0,20,77,9,3,65
14-05-2020,4,0,3,1,81,12,3,66
15-05-2020,4,1,1,2,85,13,4,68
16-05-2020,3,0,0,3,88,13,4,71
17-05-2020,4,0,0,4,92,13,4,75
18-05-2020,1,0,0,1,93,13,4,76
19-05-2020,2,0,0,2,95,13,4,78
20-05-2020,1,0,0,1,96,13,4,79
21-05-2020,1,0,0,1,97,13,4,80
22-05-2020,2,0,0,2,99,13,4,82
23-05-2020,0,0,0,0,99,13,4,82
24-05-2020,1,1,0,0,100,13,5,82
25-05-2020,7,0,0,7,107,13,5,89
26-05-2020,11,1,4,6,118,17,6,95
27-05-2020,1,0,4,-3,119,21,6,92
28-05-2020,9,1,0,8,128,21,7,100
29-05-2020,11,0,0,11,139,21,7,111
30-05-2020,7,0,6,1,146,27,7,112
31-05-2020,7,3,0,4,153,27,10,116
01-06-2020,7,3,2,2,160,29,13,118
02-06-2020,14,1,0,13,174,29,14,131
03-06-2020,2,1,1,0,176,30,15,131
04-06-2020,1,2,0,-1,177,30,17,130
05-06-2020,1,0,0,1,178,30,17,131
06-06-2020,7,0,3,4,185,33,17,135
07-06-2020,1,0,0,1,186,33,17,136
08-06-2020,0,0,0,0,186,33,17,136
09-06-2020,28,0,0,28,214,33,17,164
10-06-2020,13,0,4,9,227,37,17,173
11-06-2020,35,5,2,28,262,39,22,201
12-06-2020,22,0,1,21,284,40,22,222
13-06-2020,17,0,0,17,301,40,22,239
14-06-2020,8,0,8,0,309,48,22,239
15-06-2020,2,0,0,2,311,48,22,241
16-06-2020,3,0,0,3,314,48,22,244
17-06-2020,7,0,0,7,321,48,22,251
18-06-2020,21,0,1,20,342,49,22,271
19-06-2020,40,0,2,38,382,51,22,309
20-06-2020,17,0,5,12,399,56,22,321
21-06-2020,11,0,0,11,410,56,22,332
22-06-2020,20,2,14,4,430,70,24,336
23-06-2020,33,1,12,20,463,82,25,356
24-06-2020,96,0,6,90,559,88,25,446
25-06-2020,77,3,1,73,636,89,28,519
26-06-2020,34,2,8,24,670,97,30,543
27-06-2020,37,0,2,35,707,99,30,578
28-06-2020,11,0,4,7,718,103,30,585
29-06-2020,0,0,0,0,718,103,30,585
30-06-2020,9,0,2,7,727,105,30,592
01-07-2020,140,0,7,133,867,112,30,725
02-07-2020,68,0,5,63,935,117,30,788
03-07-2020,10,1,2,7,945,119,31,795
04-07-2020,3,0,4,-1,948,123,31,794
05-07-2020,0,0,0,0,948,123,31,794
06-07-2020,0,0,0,0,948,123,31,794
07-07-2020,14,0,1,13,962,124,31,807
08-07-2020,70,0,4,66,1032,128,31,873
09-07-2020,73,2,2,69,1105,130,33,942
10-07-2020,24,0,1,23,1129,131,33,965
11-07-2020,23,0,0,23,1152,131,33,988
12-07-2020,8,4,1,3,1160,132,37,991
13-07-2020,13,1,4,8,1173,136,38,999
14-07-2020,2,0,4,-2,1175,140,38,997
15-07-2020,39,0,3,36,1214,143,38,1033
16-07-2020,27,0,4,23,1241,147,38,1056
17-07-2020,11,0,5,6,1252,152,38,1062
18-07-2020,33,0,23,10,1285,175,38,1072
19-07-2020,8,0,10,-2,1293,185,38,1070
20-07-2020,3,0,5,-2,1296,190,38,1068
21-07-2020,42,0,6,36,1338,196,38,1104
22-07-2020,8,2,8,-2,1346,204,40,1102
23-07-2020,9,0,37,-28,1355,241,40,1074
24-07-2020,27,2,18,7,1382,259,42,1081
25-07-2020,37,3,5,29,1419,264,45,1110
26-07-2020,32,1,4,27,1451,268,46,1137
27-07-2020,14,1,21,-8,1465,289,47,1129
28-07-2020,38,0,22,16,1503,311,47,1145
29-07-2020,31,1,17,13,1534,328,48,1158
30-07-2020,6,2,0,4,1540,328,50,1162
31-07-2020,0,0,0,0,1540,328,50,1162
01-08-2020,13,0,2,11,1553,330,50,1173
02-08-2020,14,0,0,14,1567,330,50,1187
03-08-2020,5,0,17,-12,1572,347,50,1175
04-08-2020,6,0,216,-210,1578,563,50,965
05-08-2020,7,0,201,-194,1585,764,50,771
06-08-2020,7,0,88,-81,1592,852,50,690
07-08-2020,31,0,4,27,1623,856,50,717
08-08-2020,47,0,0,47,1670,856,50,764
09-08-2020,4,2,0,2,1674,856,52,766
10-08-2020,6,4,4,-2,1680,860,56,764
11-08-2020,11,0,13,-2,1691,873,56,762
12-08-2020,18,3,51,-36,1709,924,59,726
13-08-2020,8,0,36,-28,1717,960,59,698
14-08-2020,12,0,0,12,1729,960,59,710
15-08-2020,10,0,48,-38,1739,1008,59,672
16-08-2020,2,0,23,-21,1741,1031,59,651
17-08-2020,3,0,6,-3,1744,1037,59,648
18-08-2020,2,0,0,2,1746,1037,59,650
19-08-2020,10,0,458,-448,1756,1495,59,202
20-08-2020,5,0,1,4,1761,1496,59,206
21-08-2020,0,2,0,-2,1761,1496,61,204
22-08-2020,9,0,0,9,1770,1496,61,213
23-08-2020,4,0,0,4,1774,1496,61,217
24-08-2020,4,0,0,4,1778,1496,61,221
25-08-2020,1,0,14,-13,1779,1510,61,208
26-08-2020,30,0,0,30,1809,1510,61,238
27-08-2020,16,2,53,-39,1825,1563,63,199
28-08-2020,15,2,0,13,1840,1563,65,212
29-08-2020,0,0,18,-18,1840,1581,65,194
30-08-2020,18,1,0,17,1858,1581,66,211
31-08-2020,2,0,0,2,1860,1581,66,213
01-09-2020,6,0,0,6,1866,1581,66,219
02-09-2020,5,0,0,5,1871,1581,66,224
03-09-2020,7,0,0,7,1878,1581,66,231
04-09-2020,9,0,0,9,1887,1581,66,240
05-09-2020,0,0,0,0,1887,1581,66,240
06-09-2020,0,0,0,0,1887,1581,66,240
07-09-2020,9,1,0,8,1896,1581,67,248
08-09-2020,4,1,0,3,1900,1581,68,251
09-09-2020,10,2,0,8,1910,1581,70,259
10-09-2020,1,1,0,0,1911,1581,71,259
11-09-2020,7,0,5,2,1918,1586,71,261
12-09-2020,3,0,0,3,1921,1586,71,264
13-09-2020,14,0,8,6,1935,1594,71,270
14-09-2020,5,0,0,5,1940,1594,71,275
15-09-2020,16,1,1,14,1956,1595,72,289
16-09-2020,10,0,16,-6,1966,1611,72,283
17-09-2020,6,0,164,-158,1972,1775,72,125
18-09-2020,1,0,12,-11,1973,1787,72,114
19-09-2020,19,0,0,19,1992,1787,72,133
20-09-2020,0,0,0,0,1992,1787,72,133
21-09-2020,19,1,0,18,2011,1787,73,151
22-09-2020,3,0,0,3,2014,1787,73,154
23-09-2020,21,0,0,21,2035,1787,73,175
24-09-2020,4,0,12,-8,2039,1799,73,167
25-09-2020,6,0,0,6,2045,1799,73,173
26-09-2020,3,0,0,3,2048,1799,73,176
27-09-2020,0,0,0,0,2048,1799,73,176
28-09-2020,4,1,0,3,2052,1799,74,179
29-09-2020,7,0,3,4,2059,1802,74,183
30-09-2020,6,0,0,6,2065,1802,74,189
01-10-2020,2,0,0,2,2067,1802,74,191
02-10-2020,7,0,0,7,2074,1802,74,198
03-10-2020,1,0,9,-8,2075,1811,74,190
04-10-2020,0,0,0,0,2075,1811,74,190
05-10-2020,2,0,8,-6,2077,1819,74,184
06-10-2020,0,0,4,-4,2077,1823,74,180
07-10-2020,0,0,8,-8,2077,1831,74,172
08-10-2020,5,0,0,5,2082,1831,74,177
09-10-2020,0,0,33,-33,2082,1864,74,144
10-10-2020,7,0,0,7,2089,1864,74,151
11-10-2020,0,0,0,0,2089,1864,74,151
12-10-2020,16,0,4,12,2105,1868,74,163
13-10-2020,5,0,20,-15,2110,1888,74,148
14-10-2020,4,0,4,0,2114,1892,74,148
15-10-2020,1,0,0,1,2115,1892,74,149
16-10-2020,5,0,14,-9,2120,1906,74,140
17-10-2020,0,0,0,0,2120,1906,74,140
18-10-2020,0,0,0,0,2120,1906,74,140
19-10-2020,11,0,3,8,2131,1909,74,148
20-10-2020,11,0,19,-8,2142,1928,74,140
21-10-2020,10,0,0,10,2152,1928,74,150
22-10-2020,28,0,0,28,2180,1928,74,178
23-10-2020,7,0,0,7,2187,1928,74,185
24-10-2020,1,0,0,1,2188,1928,74,186
25-10-2020,0,0,0,0,2188,1928,74,186
26-10-2020,4,0,0,4,2192,1928,74,190
27-10-2020,1,0,0,1,2193,1928,74,191
28-10-2020,3,1,0,2,2196,1928,75,193
29-10-2020,0,0,0,0,2196,1928,75,193
30-10-2020,3,0,0,3,2199,1928,75,196
31-10-2020,0,0,0,0,2199,1928,75,196
01-11-2020,0,0,0,0,2199,1928,75,196
02-11-2020,33,0,18,15,2232,1946,75,211
03-11-2020,0,0,0,0,2232,1946,75,211
04-11-2020,2,0,0,2,2234,1946,75,213
05-11-2020,1,0,0,1,2235,1946,75,214
06-11-2020,3,0,0,3,2238,1946,75,217
07-11-2020,2,0,0,2,2240,1946,75,219
08-11-2020,0,0,0,0,2240,1946,75,219
09-11-2020,4,0,0,4,2244,1946,75,223
10-11-2020,3,0,0,3,2247,1946,75,226
