tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
09-04-2020,1,0,0,1,1,0,0,1
10-04-2020,0,0,0,0,1,0,0,1
11-04-2020,0,0,0,0,1,0,0,1
12-04-2020,0,0,0,0,1,0,0,1
13-04-2020,0,0,0,0,1,0,0,1
14-04-2020,0,0,0,0,1,0,0,1
15-04-2020,0,0,0,0,1,0,0,1
16-04-2020,0,0,0,0,1,0,0,1
17-04-2020,0,0,0,0,1,0,0,1
18-04-2020,0,0,0,0,1,0,0,1
19-04-2020,0,0,0,0,1,0,0,1
20-04-2020,0,0,0,0,1,0,0,1
21-04-2020,0,0,0,0,1,0,0,1
22-04-2020,0,0,0,0,1,0,0,1
23-04-2020,0,0,0,0,1,0,0,1
24-04-2020,0,0,1,-1,1,1,0,0
25-04-2020,0,0,0,0,1,1,0,0
26-04-2020,0,0,0,0,1,1,0,0
27-04-2020,0,0,0,0,1,1,0,0
28-04-2020,0,0,0,0,1,1,0,0
29-04-2020,0,0,0,0,1,1,0,0
30-04-2020,2,0,0,2,3,1,0,2
01-05-2020,0,0,0,0,3,1,0,2
02-05-2020,0,0,0,0,3,1,0,2
03-05-2020,7,0,0,7,10,1,0,9
04-05-2020,0,0,0,0,10,1,0,9
05-05-2020,3,0,0,3,13,1,0,12
06-05-2020,0,0,0,0,13,1,0,12
07-05-2020,0,0,0,0,13,1,0,12
08-05-2020,0,0,0,0,13,1,0,12
09-05-2020,0,0,0,0,13,1,0,12
10-05-2020,1,0,0,1,14,1,0,13
11-05-2020,0,0,0,0,14,1,0,13
12-05-2020,1,0,0,1,15,1,0,14
13-05-2020,6,0,0,6,21,1,0,20
14-05-2020,2,1,0,1,23,1,1,21
15-05-2020,0,0,0,0,23,1,1,21
16-05-2020,27,0,1,26,50,2,1,47
17-05-2020,12,0,4,8,62,6,1,55
18-05-2020,14,0,0,14,76,6,1,69
19-05-2020,3,0,0,3,79,6,1,72
20-05-2020,2,0,0,2,81,6,1,74
21-05-2020,3,0,0,3,84,6,1,77
22-05-2020,0,0,0,0,84,6,1,77
23-05-2020,0,0,0,0,84,6,1,77
24-05-2020,0,0,0,0,84,6,1,77
25-05-2020,1,0,0,1,85,6,1,78
26-05-2020,3,0,1,2,88,7,1,80
27-05-2020,0,0,2,-2,88,9,1,78
28-05-2020,0,0,0,0,88,9,1,78
29-05-2020,2,0,3,-1,90,12,1,77
30-05-2020,1,0,0,1,91,12,1,78
31-05-2020,1,0,2,-1,92,14,1,77
01-06-2020,5,0,0,5,97,14,1,82
02-06-2020,0,0,0,0,97,14,1,82
03-06-2020,1,0,0,1,98,14,1,83
04-06-2020,0,0,0,0,98,14,1,83
05-06-2020,0,0,0,0,98,14,1,83
06-06-2020,0,0,0,0,98,14,1,83
07-06-2020,0,0,0,0,98,14,1,83
08-06-2020,5,0,16,-11,103,30,1,72
09-06-2020,0,0,0,0,103,30,1,72
10-06-2020,2,0,7,-5,105,37,1,67
11-06-2020,0,0,0,0,105,37,1,67
12-06-2020,1,0,5,-4,106,42,1,63
13-06-2020,0,0,0,0,106,42,1,63
14-06-2020,2,0,0,2,108,42,1,65
15-06-2020,0,0,0,0,108,42,1,65
16-06-2020,0,0,0,0,108,42,1,65
17-06-2020,0,0,2,-2,108,44,1,63
18-06-2020,0,0,0,0,108,44,1,63
19-06-2020,0,0,0,0,108,44,1,63
20-06-2020,0,0,0,0,108,44,1,63
21-06-2020,3,0,0,3,111,44,1,66
22-06-2020,0,0,1,-1,111,45,1,65
23-06-2020,1,0,1,0,112,46,1,65
24-06-2020,0,0,0,0,112,46,1,65
25-06-2020,0,0,1,-1,112,47,1,64
26-06-2020,1,0,0,1,113,47,1,65
27-06-2020,0,0,0,0,113,47,1,65
28-06-2020,0,0,0,0,113,47,1,65
29-06-2020,0,0,0,0,113,47,1,65
30-06-2020,0,0,0,0,113,47,1,65
01-07-2020,0,0,0,0,113,47,1,65
02-07-2020,5,0,10,-5,118,57,1,60
03-07-2020,0,0,0,0,118,57,1,60
04-07-2020,0,0,0,0,118,57,1,60
05-07-2020,0,0,0,0,118,57,1,60
06-07-2020,0,0,0,0,118,57,1,60
07-07-2020,0,0,0,0,118,57,1,60
08-07-2020,3,0,34,-31,121,91,1,29
09-07-2020,0,0,0,0,121,91,1,29
10-07-2020,0,0,0,0,121,91,1,29
11-07-2020,0,0,0,0,121,91,1,29
12-07-2020,0,0,0,0,121,91,1,29
13-07-2020,0,0,0,0,121,91,1,29
14-07-2020,0,0,0,0,121,91,1,29
15-07-2020,0,0,0,0,121,91,1,29
16-07-2020,0,0,1,-1,121,92,1,28
17-07-2020,0,0,0,0,121,92,1,28
18-07-2020,10,0,12,-2,131,104,1,26
19-07-2020,0,0,0,0,131,104,1,26
20-07-2020,3,0,3,0,134,107,1,26
21-07-2020,3,0,4,-1,137,111,1,25
22-07-2020,0,0,0,0,137,111,1,25
23-07-2020,0,0,0,0,137,111,1,25
24-07-2020,0,0,0,0,137,111,1,25
25-07-2020,0,0,0,0,137,111,1,25
26-07-2020,8,0,0,8,145,111,1,33
27-07-2020,0,0,0,0,145,111,1,33
28-07-2020,0,0,0,0,145,111,1,33
29-07-2020,0,0,0,0,145,111,1,33
30-07-2020,0,0,0,0,145,111,1,33
31-07-2020,0,0,0,0,145,111,1,33
01-08-2020,0,0,0,0,145,111,1,33
02-08-2020,6,0,9,-3,151,120,1,30
03-08-2020,0,0,0,0,151,120,1,30
04-08-2020,0,0,0,0,151,120,1,30
05-08-2020,1,0,9,-8,152,129,1,22
06-08-2020,0,0,0,0,152,129,1,22
07-08-2020,0,0,1,-1,152,130,1,21
08-08-2020,0,0,0,0,152,130,1,21
09-08-2020,0,0,0,0,152,130,1,21
10-08-2020,0,0,0,0,152,130,1,21
11-08-2020,3,0,1,2,155,131,1,23
12-08-2020,7,0,6,1,162,137,1,24
13-08-2020,0,0,0,0,162,137,1,24
14-08-2020,0,0,0,0,162,137,1,24
15-08-2020,3,0,1,2,165,138,1,26
16-08-2020,0,0,0,0,165,138,1,26
17-08-2020,0,0,0,0,165,138,1,26
18-08-2020,0,0,0,0,165,138,1,26
19-08-2020,0,0,0,0,165,138,1,26
20-08-2020,0,0,0,0,165,138,1,26
21-08-2020,0,0,0,0,165,138,1,26
22-08-2020,6,1,10,-5,171,148,2,21
23-08-2020,0,0,1,-1,171,149,2,20
24-08-2020,0,0,0,0,171,149,2,20
25-08-2020,1,0,0,1,172,149,2,21
26-08-2020,1,0,0,1,173,149,2,22
27-08-2020,1,0,6,-5,174,155,2,17
28-08-2020,2,0,1,1,176,156,2,18
29-08-2020,0,0,0,0,176,156,2,18
30-08-2020,1,0,0,1,177,156,2,19
31-08-2020,0,0,0,0,177,156,2,19
01-09-2020,2,0,0,2,179,156,2,21
02-09-2020,12,0,3,9,191,159,2,30
03-09-2020,9,0,4,5,200,163,2,35
04-09-2020,2,0,0,2,202,163,2,37
05-09-2020,2,0,6,-4,204,169,2,33
06-09-2020,2,0,1,1,206,170,2,34
07-09-2020,0,1,0,-1,206,170,3,33
08-09-2020,3,0,0,3,209,170,3,36
09-09-2020,4,1,0,3,213,170,4,39
10-09-2020,0,0,0,0,213,170,4,39
11-09-2020,0,0,0,0,213,170,4,39
12-09-2020,4,1,0,3,217,170,5,42
13-09-2020,20,0,2,18,237,172,5,60
14-09-2020,0,0,0,0,237,172,5,60
15-09-2020,39,0,0,39,276,172,5,99
16-09-2020,13,0,1,12,289,173,5,111
17-09-2020,13,0,2,11,302,175,5,122
18-09-2020,11,0,4,7,313,179,5,129
19-09-2020,2,0,1,1,315,180,5,130
20-09-2020,6,0,51,-45,321,231,5,85
21-09-2020,0,0,0,0,321,231,5,85
22-09-2020,11,0,0,11,332,231,5,96
23-09-2020,17,1,9,7,349,240,6,103
24-09-2020,18,0,0,18,367,240,6,121
25-09-2020,21,0,0,21,388,240,6,142
26-09-2020,6,0,10,-4,394,250,6,138
27-09-2020,8,0,0,8,402,250,6,146
28-09-2020,0,0,13,-13,402,263,6,133
29-09-2020,4,0,5,-1,406,268,6,132
30-09-2020,18,0,6,12,424,274,6,144
01-10-2020,5,0,8,-3,429,282,6,141
02-10-2020,10,0,3,7,439,285,6,148
03-10-2020,9,0,0,9,448,285,6,157
04-10-2020,16,0,21,-5,464,306,6,152
05-10-2020,1,0,13,-12,465,319,6,140
06-10-2020,2,0,14,-12,467,333,6,128
07-10-2020,18,0,3,15,485,336,6,143
08-10-2020,47,1,7,39,532,343,7,182
09-10-2020,19,0,6,13,551,349,7,195
10-10-2020,7,0,3,4,558,352,7,199
11-10-2020,7,0,0,7,565,352,7,206
12-10-2020,0,0,1,-1,565,353,7,205
13-10-2020,7,0,9,-2,572,362,7,203
14-10-2020,2,0,7,-5,574,369,7,198
15-10-2020,1,0,0,1,575,369,7,199
16-10-2020,7,0,31,-24,582,400,7,175
17-10-2020,2,0,6,-4,584,406,7,171
18-10-2020,3,0,0,3,587,406,7,174
19-10-2020,1,0,0,1,588,406,7,175
20-10-2020,4,0,5,-1,592,411,7,174
21-10-2020,13,0,5,8,605,416,7,182
22-10-2020,10,0,6,4,615,422,7,186
23-10-2020,19,0,12,7,634,434,7,193
24-10-2020,15,0,9,6,649,443,7,199
25-10-2020,3,0,0,3,652,443,7,202
26-10-2020,1,0,0,1,653,443,7,203
27-10-2020,14,0,6,8,667,449,7,211
28-10-2020,2,0,14,-12,669,463,7,199
29-10-2020,10,0,2,8,679,465,7,207
30-10-2020,0,0,33,-33,679,498,7,174
31-10-2020,2,0,0,2,681,498,7,176
01-11-2020,9,0,1,8,690,499,7,184
02-11-2020,4,0,1,3,694,500,7,187
03-11-2020,24,2,18,4,718,518,9,191
04-11-2020,10,0,5,5,728,523,9,196
05-11-2020,15,2,9,4,743,532,11,200
06-11-2020,8,0,21,-13,751,553,11,187
07-11-2020,17,0,4,13,768,557,11,200
08-11-2020,10,0,15,-5,778,572,11,195
09-11-2020,1,0,8,-7,779,580,11,188
10-11-2020,8,0,5,3,787,585,11,191
11-11-2020,6,0,0,6,793,585,11,197
12-11-2020,12,0,2,10,805,587,11,207
13-11-2020,0,3,8,-11,805,595,14,196
14-11-2020,0,0,13,-13,805,608,14,183
15-11-2020,0,0,1,-1,805,609,14,182
16-11-2020,0,0,13,-13,805,622,14,169
17-11-2020,0,1,4,-5,805,626,15,164
18-11-2020,33,0,6,27,838,632,15,191
19-11-2020,0,0,0,0,838,632,15,191
20-11-2020,13,0,21,-8,851,653,15,183
