tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
22-03-2020,2,0,0,2,2,0,0,2
23-03-2020,0,0,0,0,2,0,0,2
24-03-2020,0,0,0,0,2,0,0,2
25-03-2020,0,0,0,0,2,0,0,2
26-03-2020,4,0,0,4,6,0,0,6
27-03-2020,0,0,0,0,6,0,0,6
28-03-2020,0,0,0,0,6,0,0,6
29-03-2020,2,0,0,2,8,0,0,8
30-03-2020,0,0,0,0,8,0,0,8
31-03-2020,1,0,1,0,9,1,0,8
01-04-2020,0,0,1,-1,9,2,0,7
02-04-2020,0,0,1,-1,9,3,0,6
03-04-2020,6,1,0,5,15,3,1,11
04-04-2020,2,0,1,1,17,4,1,12
05-04-2020,8,0,0,8,25,4,1,20
06-04-2020,0,1,0,-1,25,4,2,19
07-04-2020,0,1,0,-1,25,4,3,18
08-04-2020,11,0,0,11,36,4,3,29
09-04-2020,0,0,0,0,36,4,3,29
10-04-2020,0,1,1,-2,36,5,4,27
11-04-2020,24,0,2,22,60,7,4,49
12-04-2020,1,0,2,-1,61,9,4,48
13-04-2020,6,0,0,6,67,9,4,54
14-04-2020,0,0,0,0,67,9,4,54
15-04-2020,7,0,0,7,74,9,4,61
16-04-2020,6,2,5,-1,80,14,6,60
17-04-2020,9,0,0,9,89,14,6,69
18-04-2020,6,0,0,6,95,14,6,75
19-04-2020,12,0,0,12,107,14,6,87
20-04-2020,0,0,14,-14,107,28,6,73
21-04-2020,11,0,4,7,118,32,6,80
22-04-2020,5,0,0,5,123,32,6,85
23-04-2020,7,0,0,7,130,32,6,92
24-04-2020,6,0,0,6,136,32,6,98
25-04-2020,0,0,0,0,136,32,6,98
26-04-2020,5,0,0,5,141,32,6,103
27-04-2020,10,0,0,10,151,32,6,113
28-04-2020,26,0,16,10,177,48,6,123
29-04-2020,12,0,0,12,189,48,6,135
30-04-2020,16,0,0,16,205,48,6,151
01-05-2020,5,0,1,4,210,49,6,155
02-05-2020,29,0,0,29,239,49,6,184
03-05-2020,0,0,0,0,239,49,6,184
04-05-2020,0,0,0,0,239,49,6,184
05-05-2020,6,0,0,6,245,49,6,190
06-05-2020,1,0,0,1,246,49,6,191
07-05-2020,4,0,0,4,250,49,6,195
08-05-2020,13,0,0,13,263,49,6,208
09-05-2020,12,0,0,12,275,49,6,220
10-05-2020,30,0,0,30,305,49,6,250
11-05-2020,0,0,0,0,305,49,6,250
12-05-2020,16,0,0,16,321,49,6,266
13-05-2020,5,0,0,5,326,49,6,271
14-05-2020,4,0,0,4,330,49,6,275
15-05-2020,3,0,0,3,333,49,6,278
16-05-2020,15,0,0,15,348,49,6,293
17-05-2020,33,0,0,33,381,49,6,326
18-05-2020,0,0,0,0,381,49,6,326
19-05-2020,6,0,0,6,387,49,6,332
20-05-2020,20,0,0,20,407,49,6,352
21-05-2020,1,0,0,1,408,49,6,353
22-05-2020,27,0,0,27,435,49,6,380
23-05-2020,56,0,0,56,491,49,6,436
24-05-2020,62,0,0,62,553,49,6,498
25-05-2020,9,0,20,-11,562,69,6,487
26-05-2020,0,0,0,0,562,69,6,487
27-05-2020,14,0,0,14,576,69,6,501
28-05-2020,4,0,0,4,580,69,6,505
29-05-2020,56,0,0,56,636,69,6,561
30-05-2020,18,0,0,18,654,69,6,579
31-05-2020,17,0,0,17,671,69,6,596
01-06-2020,41,0,0,41,712,69,6,637
02-06-2020,99,1,10,88,811,79,7,725
03-06-2020,46,0,0,46,857,79,7,771
04-06-2020,17,0,0,17,874,79,7,788
05-06-2020,42,0,0,42,916,79,7,830
06-06-2020,86,0,0,86,1002,79,7,916
07-06-2020,54,0,0,54,1056,79,7,970
08-06-2020,22,0,0,22,1078,79,7,992
09-06-2020,16,0,0,16,1094,79,7,1008
10-06-2020,28,0,0,28,1122,79,7,1036
11-06-2020,19,0,0,19,1141,79,7,1055
12-06-2020,31,0,0,31,1172,79,7,1086
13-06-2020,42,0,0,42,1214,79,7,1128
14-06-2020,12,0,50,-38,1226,129,7,1090
15-06-2020,0,0,63,-63,1226,192,7,1027
16-06-2020,29,0,103,-74,1255,295,7,953
17-06-2020,29,0,3,26,1284,298,7,979
18-06-2020,38,0,0,38,1322,298,7,1017
19-06-2020,18,0,0,18,1340,298,7,1035
20-06-2020,12,0,0,12,1352,298,7,1047
21-06-2020,49,0,0,49,1401,298,7,1096
22-06-2020,11,0,0,11,1412,298,7,1107
23-06-2020,49,0,0,49,1461,298,7,1156
24-06-2020,55,0,0,55,1516,298,7,1211
25-06-2020,56,0,0,56,1572,298,7,1267
26-06-2020,17,0,0,17,1589,298,7,1284
27-06-2020,35,0,0,35,1624,298,7,1319
28-06-2020,25,0,337,-312,1649,635,7,1007
29-06-2020,2,0,105,-103,1651,740,7,904
30-06-2020,62,8,119,-65,1713,859,15,839
01-07-2020,94,0,14,80,1807,873,15,919
02-07-2020,70,1,0,69,1877,873,16,988
03-07-2020,23,0,10,13,1900,883,16,1001
04-07-2020,38,0,0,38,1938,883,16,1039
05-07-2020,36,0,0,36,1974,883,16,1075
06-07-2020,7,2,48,-43,1981,931,18,1032
07-07-2020,30,1,35,-6,2011,966,19,1026
08-07-2020,18,1,23,-6,2029,989,20,1020
09-07-2020,28,0,57,-29,2057,1046,20,991
10-07-2020,85,0,16,69,2142,1062,20,1060
11-07-2020,28,0,19,9,2170,1081,20,1069
12-07-2020,67,2,7,58,2237,1088,22,1127
13-07-2020,101,0,9,92,2338,1097,22,1219
14-07-2020,1,0,2,-1,2339,1099,22,1218
15-07-2020,68,3,59,6,2407,1158,25,1224
16-07-2020,55,1,9,45,2462,1167,26,1269
17-07-2020,21,0,35,-14,2483,1202,26,1255
18-07-2020,58,0,11,47,2541,1213,26,1302
19-07-2020,50,1,13,36,2591,1226,27,1338
20-07-2020,41,0,10,31,2632,1236,27,1369
21-07-2020,9,3,7,-1,2641,1243,30,1368
22-07-2020,32,0,13,19,2673,1256,30,1387
23-07-2020,46,0,4,42,2719,1260,30,1429
24-07-2020,68,0,2,66,2787,1262,30,1495
25-07-2020,42,2,52,-12,2829,1314,32,1483
26-07-2020,57,0,8,49,2886,1322,32,1532
27-07-2020,56,0,16,40,2942,1338,32,1572
28-07-2020,19,0,9,10,2961,1347,32,1582
29-07-2020,27,0,17,10,2988,1364,32,1592
30-07-2020,33,0,14,19,3021,1378,32,1611
31-07-2020,38,0,0,38,3059,1378,32,1649
01-08-2020,28,0,0,28,3087,1378,32,1677
02-08-2020,27,1,22,4,3114,1400,33,1681
03-08-2020,0,0,0,0,3114,1400,33,1681
04-08-2020,50,0,47,3,3164,1447,33,1684
05-08-2020,11,0,27,-16,3175,1474,33,1668
06-08-2020,17,1,49,-33,3192,1523,34,1635
07-08-2020,22,0,223,-201,3214,1746,34,1434
08-08-2020,0,1,0,-1,3214,1746,35,1433
09-08-2020,43,0,106,-63,3257,1852,35,1370
10-08-2020,21,0,30,-9,3278,1882,35,1361
11-08-2020,1,0,56,-55,3279,1938,35,1306
12-08-2020,26,0,15,11,3305,1953,35,1317
13-08-2020,31,0,9,22,3336,1962,35,1339
14-08-2020,9,0,3,6,3345,1965,35,1345
15-08-2020,0,0,36,-36,3345,2001,35,1309
16-08-2020,77,1,20,56,3422,2021,36,1365
17-08-2020,10,0,4,6,3432,2025,36,1371
18-08-2020,0,0,0,0,3432,2025,36,1371
19-08-2020,21,2,6,13,3453,2031,38,1384
20-08-2020,67,4,65,-2,3520,2096,42,1382
21-08-2020,14,0,150,-136,3534,2246,42,1246
22-08-2020,33,0,36,-3,3567,2282,42,1243
23-08-2020,0,0,0,0,3567,2282,42,1243
24-08-2020,83,0,409,-326,3650,2691,42,917
25-08-2020,0,0,0,0,3650,2691,42,917
26-08-2020,36,0,340,-304,3686,3031,42,613
27-08-2020,23,0,12,11,3709,3043,42,624
28-08-2020,26,0,53,-27,3735,3096,42,597
29-08-2020,36,0,20,16,3771,3116,42,613
30-08-2020,25,1,5,19,3796,3121,43,632
31-08-2020,0,0,0,0,3796,3121,43,632
01-09-2020,66,1,25,40,3862,3146,44,672
02-09-2020,11,0,21,-10,3873,3167,44,662
03-09-2020,28,1,0,27,3901,3167,45,689
04-09-2020,72,1,18,53,3973,3185,46,742
05-09-2020,101,2,69,30,4074,3254,48,772
06-09-2020,0,0,0,0,4074,3254,48,772
07-09-2020,74,2,38,34,4148,3292,50,806
08-09-2020,14,0,24,-10,4162,3316,50,796
09-09-2020,0,0,0,0,4162,3316,50,796
10-09-2020,113,2,21,90,4275,3337,52,886
11-09-2020,54,2,26,26,4329,3363,54,912
12-09-2020,62,0,27,35,4391,3390,54,947
13-09-2020,84,3,18,63,4475,3408,57,1010
14-09-2020,96,0,0,96,4571,3408,57,1106
15-09-2020,65,2,20,43,4636,3428,59,1149
16-09-2020,126,2,11,113,4762,3439,61,1262
17-09-2020,73,3,16,54,4835,3455,64,1316
18-09-2020,58,5,67,-14,4893,3522,69,1302
19-09-2020,203,3,43,157,5096,3565,72,1459
20-09-2020,50,0,0,50,5146,3565,72,1509
21-09-2020,29,0,0,29,5175,3565,72,1538
22-09-2020,73,2,13,58,5248,3578,74,1596
23-09-2020,139,4,50,85,5387,3628,78,1681
24-09-2020,266,2,68,196,5653,3696,80,1877
25-09-2020,110,0,0,110,5763,3696,80,1987
26-09-2020,77,0,55,22,5840,3751,80,2009
27-09-2020,113,1,0,112,5953,3751,81,2121
28-09-2020,46,0,0,46,5999,3751,81,2167
29-09-2020,0,0,0,0,5999,3751,81,2167
30-09-2020,322,6,92,224,6321,3843,87,2391
01-10-2020,61,5,32,24,6382,3875,92,2415
02-10-2020,122,3,60,59,6504,3935,95,2474
03-10-2020,186,5,47,134,6690,3982,100,2608
04-10-2020,91,4,31,56,6781,4013,104,2664
05-10-2020,100,0,0,100,6881,4013,104,2764
06-10-2020,192,3,55,134,7073,4068,107,2898
07-10-2020,141,0,51,90,7214,4119,107,2988
08-10-2020,98,1,47,50,7312,4166,108,3038
09-10-2020,116,0,0,116,7428,4166,108,3154
10-10-2020,44,3,51,-10,7472,4217,111,3144
11-10-2020,150,0,0,150,7622,4217,111,3294
12-10-2020,0,0,0,0,7622,4217,111,3294
13-10-2020,142,1,114,27,7764,4331,112,3321
14-10-2020,224,1,46,177,7988,4377,113,3498
15-10-2020,111,1,58,52,8099,4435,114,3550
16-10-2020,0,0,0,0,8099,4435,114,3550
17-10-2020,69,4,18,47,8168,4453,118,3597
18-10-2020,71,0,0,71,8239,4453,118,3668
19-10-2020,0,1,0,-1,8239,4453,119,3667
20-10-2020,129,3,95,31,8368,4548,122,3698
21-10-2020,0,0,0,0,8368,4548,122,3698
22-10-2020,95,0,0,95,8463,4548,122,3793
23-10-2020,49,1,0,48,8512,4548,123,3841
24-10-2020,57,0,0,57,8569,4548,123,3898
25-10-2020,49,0,0,49,8618,4548,123,3947
26-10-2020,167,5,66,96,8785,4614,128,4043
27-10-2020,0,0,0,0,8785,4614,128,4043
28-10-2020,125,5,39,81,8910,4653,133,4124
29-10-2020,20,0,0,20,8930,4653,133,4144
30-10-2020,62,0,0,62,8992,4653,133,4206
31-10-2020,45,0,0,45,9037,4653,133,4251
01-11-2020,0,0,0,0,9037,4653,133,4251
02-11-2020,0,0,0,0,9037,4653,133,4251
03-11-2020,45,0,22,23,9082,4675,133,4274
04-11-2020,0,0,0,0,9082,4675,133,4274
05-11-2020,193,4,165,24,9275,4840,137,4298
06-11-2020,0,1,0,-1,9275,4840,138,4297
07-11-2020,0,0,0,0,9275,4840,138,4297
08-11-2020,33,3,50,-20,9308,4890,141,4277
09-11-2020,0,0,0,0,9308,4890,141,4277
10-11-2020,0,0,0,0,9308,4890,141,4277
11-11-2020,0,0,0,0,9308,4890,141,4277
12-11-2020,100,1,35,64,9408,4925,142,4341
13-11-2020,147,0,0,147,9555,4925,142,4488
14-11-2020,177,1,27,149,9732,4952,143,4637
15-11-2020,0,0,0,0,9732,4952,143,4637
16-11-2020,17,0,77,-60,9749,5029,143,4577
17-11-2020,6,0,0,6,9755,5029,143,4583
18-11-2020,4,0,0,4,9759,5029,143,4587
19-11-2020,0,0,0,0,9759,5029,143,4587
20-11-2020,0,0,0,0,9759,5029,143,4587
21-11-2020,0,0,0,0,9759,5029,143,4587
