tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
28-03-2020,1,0,0,1,1,0,0,1
29-03-2020,0,0,0,0,1,0,0,1
30-03-2020,0,0,0,0,1,0,0,1
31-03-2020,0,0,0,0,1,0,0,1
01-04-2020,0,0,0,0,1,0,0,1
02-04-2020,0,0,0,0,1,0,0,1
03-04-2020,1,0,0,1,2,0,0,2
04-04-2020,0,0,0,0,2,0,0,2
05-04-2020,0,0,0,0,2,0,0,2
06-04-2020,0,0,0,0,2,0,0,2
07-04-2020,0,0,0,0,2,0,0,2
08-04-2020,0,0,0,0,2,0,0,2
09-04-2020,0,0,0,0,2,0,0,2
10-04-2020,1,0,0,1,3,0,0,3
11-04-2020,2,1,1,0,5,1,1,3
12-04-2020,0,0,0,0,5,1,1,3
13-04-2020,0,0,0,0,5,1,1,3
14-04-2020,0,0,0,0,5,1,1,3
15-04-2020,2,0,0,2,7,1,1,5
16-04-2020,0,0,0,0,7,1,1,5
17-04-2020,0,0,0,0,7,1,1,5
18-04-2020,0,0,0,0,7,1,1,5
19-04-2020,0,0,0,0,7,1,1,5
20-04-2020,0,0,0,0,7,1,1,5
21-04-2020,0,0,0,0,7,1,1,5
22-04-2020,1,0,0,1,8,1,1,6
23-04-2020,0,0,0,0,8,1,1,6
24-04-2020,25,0,0,25,33,1,1,31
25-04-2020,2,0,0,2,35,1,1,33
26-04-2020,0,0,0,0,35,1,1,33
27-04-2020,0,0,0,0,35,1,1,33
28-04-2020,2,0,2,0,37,3,1,33
29-04-2020,1,0,1,0,38,4,1,33
30-04-2020,4,0,0,4,42,4,1,37
01-05-2020,1,0,1,0,43,5,1,37
02-05-2020,1,0,0,1,44,5,1,38
03-05-2020,0,0,0,0,44,5,1,38
04-05-2020,0,0,0,0,44,5,1,38
05-05-2020,14,1,0,13,58,5,2,51
06-05-2020,0,0,0,0,58,5,2,51
07-05-2020,0,0,0,0,58,5,2,51
08-05-2020,2,0,0,2,60,5,2,53
09-05-2020,2,0,0,2,62,5,2,55
10-05-2020,0,0,0,0,62,5,2,55
11-05-2020,0,0,0,0,62,5,2,55
12-05-2020,5,0,2,3,67,7,2,58
13-05-2020,6,0,0,6,73,7,2,64
14-05-2020,1,0,13,-12,74,20,2,52
15-05-2020,0,0,2,-2,74,22,2,50
16-05-2020,1,0,1,0,75,23,2,50
