tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
19-03-2020,2,0,0,2,2,0,0,2
20-03-2020,0,0,0,0,2,0,0,2
21-03-2020,0,0,0,0,2,0,0,2
22-03-2020,0,0,0,0,2,0,0,2
23-03-2020,0,1,0,-1,2,0,1,1
24-03-2020,2,0,0,2,4,0,1,3
25-03-2020,7,0,0,7,11,0,1,10
26-03-2020,12,0,0,12,23,0,1,22
27-03-2020,2,0,0,2,25,0,1,24
28-03-2020,3,0,0,3,28,0,1,27
29-03-2020,12,0,0,12,40,0,1,39
30-03-2020,2,1,0,1,42,0,2,40
31-03-2020,0,1,0,-1,42,0,3,39
01-04-2020,12,0,0,12,54,0,3,51
02-04-2020,0,2,4,-6,54,4,5,45
03-04-2020,11,0,0,11,65,4,5,56
04-04-2020,0,0,4,-4,65,8,5,52
05-04-2020,1,1,11,-11,66,19,6,41
06-04-2020,29,0,0,29,95,19,6,70
07-04-2020,4,0,1,3,99,20,6,73
08-04-2020,5,1,0,4,104,20,7,77
09-04-2020,6,0,0,6,110,20,7,83
10-04-2020,33,1,0,32,143,20,8,115
11-04-2020,11,6,0,5,154,20,14,120
12-04-2020,45,0,0,45,199,20,14,165
13-04-2020,0,1,4,-5,199,24,15,160
14-04-2020,4,2,4,-2,203,28,17,158
15-04-2020,10,1,9,0,213,37,18,158
16-04-2020,27,2,0,25,240,37,20,183
17-04-2020,65,2,2,61,305,39,22,244
18-04-2020,10,2,5,3,315,44,24,247
19-04-2020,25,1,8,16,340,52,25,263
20-04-2020,0,1,9,-10,340,61,26,253
21-04-2020,6,2,0,4,346,61,28,257
22-04-2020,12,0,4,8,358,65,28,265
23-04-2020,10,0,5,5,368,70,28,270
24-04-2020,22,0,1,21,390,71,28,291
25-04-2020,13,1,1,11,403,72,29,302
26-04-2020,6,1,16,-11,409,88,30,291
27-04-2020,0,0,5,-5,409,93,30,286
28-04-2020,9,0,2,7,418,95,30,293
29-04-2020,12,0,8,4,430,103,30,297
30-04-2020,26,0,4,22,456,107,30,319
01-05-2020,56,0,12,44,512,119,30,363
02-05-2020,27,3,8,16,539,127,33,379
03-05-2020,24,0,6,18,563,133,33,397
04-05-2020,6,0,47,-41,569,180,33,356
05-05-2020,33,2,27,4,602,207,35,360
06-05-2020,20,3,6,11,622,213,38,371
07-05-2020,15,1,2,12,637,215,39,383
08-05-2020,24,2,13,9,661,228,41,392
