tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
26-03-2020,1,0,1,0,1,1,0,0
27-03-2020,0,0,0,0,1,1,0,0
28-03-2020,0,0,0,0,1,1,0,0
29-03-2020,0,0,0,0,1,1,0,0
30-03-2020,0,0,0,0,1,1,0,0
31-03-2020,0,0,0,0,1,1,0,0
01-04-2020,2,0,0,2,3,1,0,2
02-04-2020,0,0,0,0,3,1,0,2
03-04-2020,0,0,0,0,3,1,0,2
04-04-2020,0,1,0,-1,3,1,1,1
05-04-2020,0,0,0,0,3,1,1,1
06-04-2020,2,0,0,2,5,1,1,3
07-04-2020,3,1,0,2,8,1,2,5
08-04-2020,0,0,0,0,8,1,2,5
09-04-2020,0,0,0,0,8,1,2,5
10-04-2020,5,1,0,4,13,1,3,9
11-04-2020,0,0,1,-1,13,2,3,8
12-04-2020,4,0,0,4,17,2,3,12
13-04-2020,0,0,0,0,17,2,3,12
14-04-2020,0,0,2,-2,17,4,3,10
15-04-2020,1,0,0,1,18,4,3,11
16-04-2020,0,0,1,-1,18,5,3,10
17-04-2020,0,0,0,0,18,5,3,10
18-04-2020,2,0,0,2,20,5,3,12
19-04-2020,0,0,0,0,20,5,3,12
20-04-2020,0,0,0,0,20,5,3,12
21-04-2020,0,0,0,0,20,5,3,12
22-04-2020,0,0,0,0,20,5,3,12
23-04-2020,11,0,2,9,31,7,3,21
24-04-2020,5,0,0,5,36,7,3,26
25-04-2020,0,0,0,0,36,7,3,26
26-04-2020,4,0,6,-2,40,13,3,24
27-04-2020,0,0,0,0,40,13,3,24
28-04-2020,3,0,0,3,43,13,3,27
29-04-2020,1,0,1,0,44,14,3,27
30-04-2020,1,1,0,0,45,14,4,27
01-05-2020,0,0,0,0,45,14,4,27
02-05-2020,0,0,3,-3,45,17,4,24
03-05-2020,0,0,0,0,45,17,4,24
04-05-2020,0,0,0,0,45,17,4,24
05-05-2020,0,0,0,0,45,17,4,24
06-05-2020,0,0,0,0,45,17,4,24
07-05-2020,0,0,0,0,45,17,4,24
08-05-2020,2,0,0,2,47,17,4,26
09-05-2020,6,1,0,5,53,17,5,31
10-05-2020,18,1,0,17,71,17,6,48
11-05-2020,0,0,0,0,71,17,6,48
12-05-2020,3,0,9,-6,74,26,6,42
13-05-2020,8,1,0,7,82,26,7,49
14-05-2020,1,1,4,-4,83,30,8,45
15-05-2020,22,1,0,21,105,30,9,66
16-05-2020,9,0,1,8,114,31,9,74
17-05-2020,0,4,0,-4,114,31,13,70
18-05-2020,2,1,0,1,116,31,14,71
19-05-2020,10,0,0,10,126,31,14,81
20-05-2020,24,1,0,23,150,31,15,104
21-05-2020,30,4,0,26,180,31,19,130
22-05-2020,18,4,0,14,198,31,23,144
23-05-2020,3,2,1,0,201,32,25,144
24-05-2020,29,1,2,26,230,34,26,170
25-05-2020,9,1,0,8,239,34,27,178
26-05-2020,26,5,1,20,265,35,32,198
27-05-2020,16,2,1,13,281,36,34,211
28-05-2020,16,0,2,14,297,38,34,225
29-05-2020,9,1,1,7,306,39,35,232
30-05-2020,16,0,1,15,322,40,35,247
31-05-2020,17,2,11,4,339,51,37,251
01-06-2020,0,1,1,-2,339,52,38,249
02-06-2020,15,1,0,14,354,52,39,263
03-06-2020,23,4,4,15,377,56,43,278
04-06-2020,4,1,6,-3,381,62,44,275
05-06-2020,10,1,0,9,391,62,45,284
06-06-2020,79,1,0,78,470,62,46,362
07-06-2020,25,5,2,18,495,64,51,380
08-06-2020,15,3,9,3,510,73,54,383
09-06-2020,17,0,0,17,527,73,54,400
10-06-2020,18,0,7,11,545,80,54,411
11-06-2020,34,4,18,12,579,98,58,423
12-06-2020,56,0,0,56,635,98,58,479
13-06-2020,16,6,1,9,651,99,64,488
14-06-2020,7,0,2,5,658,101,64,493
15-06-2020,17,0,7,10,675,108,64,503
16-06-2020,26,6,7,13,701,115,70,516
17-06-2020,35,0,7,28,736,122,70,544
18-06-2020,25,3,7,15,761,129,73,559
19-06-2020,23,1,8,14,784,137,74,573
20-06-2020,24,3,3,18,808,140,77,591
21-06-2020,45,0,3,42,853,143,77,633
22-06-2020,1,2,2,-3,854,145,79,630
23-06-2020,7,1,2,4,861,147,80,634
24-06-2020,31,3,2,26,892,149,83,660
25-06-2020,36,4,3,29,928,152,87,689
26-06-2020,42,5,19,18,970,171,92,707
27-06-2020,54,2,1,51,1024,172,94,758
28-06-2020,32,0,0,32,1056,172,94,790
29-06-2020,26,0,5,21,1082,177,94,811
30-06-2020,27,0,10,17,1109,187,94,828
01-07-2020,20,2,14,4,1129,201,96,832
02-07-2020,30,1,18,11,1159,219,97,843
03-07-2020,19,4,14,1,1178,233,101,844
04-07-2020,13,2,17,-6,1191,250,103,838
05-07-2020,17,1,17,-1,1208,267,104,837
06-07-2020,10,2,31,-23,1218,298,106,814
07-07-2020,34,1,18,15,1252,316,107,829
08-07-2020,89,1,12,76,1341,328,108,905
09-07-2020,87,0,27,60,1428,355,108,965
10-07-2020,130,1,5,124,1558,360,109,1089
11-07-2020,75,0,5,70,1633,365,109,1159
12-07-2020,27,0,1,26,1660,366,109,1185
13-07-2020,20,1,8,11,1680,374,110,1196
14-07-2020,16,1,16,-1,1696,390,111,1195
15-07-2020,44,0,12,32,1740,402,111,1227
16-07-2020,29,1,15,13,1769,417,112,1240
17-07-2020,28,1,107,-80,1797,524,113,1160
18-07-2020,54,1,76,-23,1851,600,114,1137
19-07-2020,47,2,21,24,1898,621,116,1161
20-07-2020,64,2,39,23,1962,660,118,1184
21-07-2020,38,3,51,-16,2000,711,121,1168
22-07-2020,74,1,125,-52,2074,836,122,1116
23-07-2020,43,0,111,-68,2117,947,122,1048
24-07-2020,44,0,54,-10,2161,1001,122,1038
25-07-2020,54,1,23,30,2215,1024,123,1068
26-07-2020,47,0,38,9,2262,1062,123,1077
27-07-2020,50,0,23,27,2312,1085,123,1104
28-07-2020,44,3,64,-23,2356,1149,126,1081
29-07-2020,57,0,39,18,2413,1188,126,1099
30-07-2020,86,3,22,61,2499,1210,129,1160
31-07-2020,81,3,16,62,2580,1226,132,1222
01-08-2020,68,0,19,49,2648,1245,132,1271
02-08-2020,20,1,60,-41,2668,1305,133,1230
03-08-2020,78,1,49,28,2746,1354,134,1258
04-08-2020,29,0,37,-8,2775,1391,134,1250
05-08-2020,19,0,35,-16,2794,1426,134,1234
06-08-2020,28,1,31,-4,2822,1457,135,1230
07-08-2020,18,3,30,-15,2840,1487,138,1215
08-08-2020,20,0,88,-68,2860,1575,138,1147
09-08-2020,44,2,43,-1,2904,1618,140,1146
10-08-2020,72,0,20,52,2976,1638,140,1198
11-08-2020,36,3,51,-18,3012,1689,143,1180
12-08-2020,12,0,30,-18,3024,1719,143,1162
13-08-2020,126,0,20,106,3150,1739,143,1268
14-08-2020,61,0,82,-21,3211,1821,143,1247
15-08-2020,50,1,55,-6,3261,1876,144,1241
16-08-2020,21,2,91,-72,3282,1967,146,1169
17-08-2020,6,1,68,-63,3288,2035,147,1106
18-08-2020,27,1,82,-56,3315,2117,148,1050
19-08-2020,21,0,38,-17,3336,2155,148,1033
20-08-2020,65,1,36,28,3401,2191,149,1061
21-08-2020,50,0,134,-84,3451,2325,149,977
22-08-2020,70,0,29,41,3521,2354,149,1018
23-08-2020,30,0,67,-37,3551,2421,149,981
24-08-2020,3,5,34,-36,3554,2455,154,945
25-08-2020,44,0,30,14,3598,2485,154,959
26-08-2020,15,1,34,-20,3613,2519,155,939
27-08-2020,38,0,20,18,3651,2539,155,957
28-08-2020,34,0,62,-28,3685,2601,155,929
29-08-2020,66,0,49,17,3751,2650,155,946
30-08-2020,82,1,52,29,3833,2702,156,975
31-08-2020,15,0,36,-21,3848,2738,156,954
01-09-2020,45,0,33,12,3893,2771,156,966
02-09-2020,14,1,51,-38,3907,2822,157,928
03-09-2020,34,1,35,-2,3941,2857,158,926
04-09-2020,30,0,40,-10,3971,2897,158,916
05-09-2020,18,0,43,-25,3989,2940,158,891
06-09-2020,12,1,20,-9,4001,2960,159,882
07-09-2020,1,1,52,-52,4002,3012,160,830
08-09-2020,21,0,18,3,4023,3030,160,833
09-09-2020,22,0,24,-2,4045,3054,160,831
10-09-2020,18,0,36,-18,4063,3090,160,813
11-09-2020,21,0,26,-5,4084,3116,160,808
12-09-2020,21,0,40,-19,4105,3156,160,789
13-09-2020,44,1,12,31,4149,3168,161,820
14-09-2020,16,1,40,-25,4165,3208,162,795
15-09-2020,6,0,26,-20,4171,3234,162,775
16-09-2020,11,2,15,-6,4182,3249,164,769
17-09-2020,30,1,21,8,4212,3270,165,777
18-09-2020,20,0,25,-5,4232,3295,165,772
19-09-2020,22,2,30,-10,4254,3325,167,762
20-09-2020,40,1,26,13,4294,3351,168,775
21-09-2020,23,2,20,1,4317,3371,170,776
22-09-2020,12,1,28,-17,4329,3399,171,759
23-09-2020,6,0,16,-10,4335,3415,171,749
24-09-2020,22,1,36,-15,4357,3451,172,734
25-09-2020,33,0,12,21,4390,3463,172,755
26-09-2020,21,1,34,-14,4411,3497,173,741
27-09-2020,26,0,22,4,4437,3519,173,745
28-09-2020,7,0,36,-29,4444,3555,173,716
29-09-2020,12,2,20,-10,4456,3575,175,706
30-09-2020,31,1,22,8,4487,3597,176,714
01-10-2020,17,0,24,-7,4504,3621,176,707
02-10-2020,25,1,38,-14,4529,3659,177,693
03-10-2020,22,0,25,-3,4551,3684,177,690
04-10-2020,25,0,27,-2,4576,3711,177,688
05-10-2020,19,1,41,-23,4595,3752,178,665
06-10-2020,35,0,15,20,4630,3767,178,685
07-10-2020,22,1,51,-30,4652,3818,179,655
08-10-2020,32,0,23,9,4684,3841,179,664
09-10-2020,18,1,35,-18,4702,3876,180,646
10-10-2020,41,0,28,13,4743,3904,180,659
11-10-2020,54,0,50,4,4797,3954,180,663
