tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
26-03-2020,1,0,0,1,1,0,0,1
27-03-2020,2,0,0,2,3,0,0,3
28-03-2020,0,0,0,0,3,0,0,3
29-03-2020,0,0,0,0,3,0,0,3
30-03-2020,2,0,0,2,5,0,0,5
31-03-2020,0,0,0,0,5,0,0,5
01-04-2020,0,0,0,0,5,0,0,5
02-04-2020,0,0,0,0,5,0,0,5
03-04-2020,0,0,0,0,5,0,0,5
04-04-2020,0,0,0,0,5,0,0,5
05-04-2020,0,0,0,0,5,0,0,5
06-04-2020,10,0,0,10,15,0,0,15
07-04-2020,0,0,0,0,15,0,0,15
08-04-2020,0,0,0,0,15,0,0,15
09-04-2020,0,0,0,0,15,0,0,15
10-04-2020,13,3,4,6,28,4,3,21
11-04-2020,0,0,0,0,28,4,3,21
12-04-2020,13,0,1,12,41,5,3,33
13-04-2020,1,0,0,1,42,5,3,34
14-04-2020,3,1,0,2,45,5,4,36
15-04-2020,7,0,1,6,52,6,4,42
16-04-2020,0,0,0,0,52,6,4,42
17-04-2020,7,2,3,2,59,9,6,44
18-04-2020,9,1,2,6,68,11,7,50
19-04-2020,1,0,0,1,69,11,7,51
20-04-2020,2,0,1,1,71,12,7,52
21-04-2020,2,1,0,1,73,12,8,53
22-04-2020,3,1,0,2,76,12,9,55
23-04-2020,5,0,3,2,81,15,9,57
24-04-2020,10,1,1,8,91,16,10,65
25-04-2020,1,1,3,-3,92,19,11,62
26-04-2020,4,0,0,4,96,19,11,66
27-04-2020,19,3,4,12,115,23,14,78
28-04-2020,17,0,0,17,132,23,14,95
29-04-2020,1,1,0,0,133,23,15,95
30-04-2020,3,0,1,2,136,24,15,97
01-05-2020,24,0,5,19,160,29,15,116
02-05-2020,9,1,0,8,169,29,16,124
03-05-2020,11,0,4,7,180,33,16,131
04-05-2020,8,0,1,7,188,34,16,138
05-05-2020,18,0,1,17,206,35,16,155
06-05-2020,15,1,0,14,221,35,17,169
07-05-2020,14,1,2,11,235,37,18,180
08-05-2020,18,0,5,13,253,42,18,193
09-05-2020,16,0,7,9,269,49,18,202
10-05-2020,13,0,2,11,282,51,18,213
11-05-2020,0,0,10,-10,282,61,18,203
12-05-2020,20,1,3,16,302,64,19,219
13-05-2020,20,1,13,6,322,77,20,225
14-05-2020,32,2,2,28,354,79,22,253
15-05-2020,22,0,3,19,376,82,22,272
16-05-2020,3,1,3,-1,379,85,23,271
17-05-2020,12,0,3,9,391,88,23,280
18-05-2020,1,0,11,-10,392,99,23,270
19-05-2020,11,0,10,1,403,109,23,271
20-05-2020,8,1,26,-19,411,135,24,252
21-05-2020,8,0,7,1,419,142,24,253
22-05-2020,2,0,4,-2,421,146,24,251
23-05-2020,5,1,19,-15,426,165,25,236
24-05-2020,35,0,5,30,461,170,25,266
25-05-2020,0,0,5,-5,461,175,25,261
26-05-2020,32,0,20,12,493,195,25,273
27-05-2020,27,1,28,-2,520,223,26,271
28-05-2020,4,0,8,-4,524,231,26,267
29-05-2020,0,0,6,-6,524,237,26,261
30-05-2020,11,0,6,5,535,243,26,266
31-05-2020,15,0,9,6,550,252,26,272
01-06-2020,0,0,2,-2,550,254,26,270
02-06-2020,7,0,5,2,557,259,26,272
03-06-2020,9,0,5,4,566,264,26,276
04-06-2020,11,0,35,-24,577,299,26,252
05-06-2020,13,1,21,-9,590,320,27,243
06-06-2020,10,0,3,7,600,323,27,250
07-06-2020,5,0,4,1,605,327,27,251
08-06-2020,0,0,11,-11,605,338,27,240
09-06-2020,19,2,10,7,624,348,29,247
10-06-2020,14,0,28,-14,638,376,29,233
11-06-2020,2,0,3,-1,640,379,29,232
12-06-2020,10,0,15,-5,650,394,29,227
13-06-2020,3,0,4,-1,653,398,29,226
14-06-2020,7,1,12,-6,660,410,30,220
15-06-2020,0,0,0,0,660,410,30,220
16-06-2020,6,0,36,-30,666,446,30,190
17-06-2020,3,0,5,-2,669,451,30,188
18-06-2020,5,0,17,-12,674,468,30,176
19-06-2020,4,0,11,-7,678,479,30,169
20-06-2020,3,0,4,-1,681,483,30,168
21-06-2020,4,0,6,-2,685,489,30,166
22-06-2020,0,0,2,-2,685,491,30,164
23-06-2020,5,0,19,-14,690,510,30,150
24-06-2020,3,0,15,-12,693,525,30,138
25-06-2020,2,0,21,-19,695,546,30,119
26-06-2020,2,1,10,-9,697,556,31,110
27-06-2020,2,0,10,-8,699,566,31,102
28-06-2020,2,0,6,-4,701,572,31,98
29-06-2020,0,0,1,-1,701,573,31,97
30-06-2020,1,0,12,-11,702,585,31,86
01-07-2020,12,0,7,5,714,592,31,91
02-07-2020,6,0,11,-5,720,603,31,86
03-07-2020,10,0,4,6,730,607,31,92
04-07-2020,2,0,2,0,732,609,31,92
05-07-2020,13,0,1,12,745,610,31,104
06-07-2020,0,0,2,-2,745,612,31,102
07-07-2020,5,0,10,-5,750,622,31,97
08-07-2020,0,1,9,-10,750,631,32,87
09-07-2020,5,0,8,-3,755,639,32,84
10-07-2020,6,0,6,0,761,645,32,84
11-07-2020,3,0,4,-1,764,649,32,83
12-07-2020,6,0,5,1,770,654,32,84
13-07-2020,0,0,0,0,770,654,32,84
14-07-2020,3,0,9,-6,773,663,32,78
15-07-2020,2,0,5,-3,775,668,32,75
16-07-2020,1,0,3,-2,776,671,32,73
17-07-2020,7,0,2,5,783,673,32,78
18-07-2020,4,0,5,-1,787,678,32,77
19-07-2020,9,1,4,4,796,682,33,81
20-07-2020,1,0,0,1,797,682,33,82
21-07-2020,8,0,7,1,805,689,33,83
22-07-2020,10,0,1,9,815,690,33,92
23-07-2020,3,0,3,0,818,693,33,92
24-07-2020,3,0,5,-2,821,698,33,90
25-07-2020,9,0,12,-3,830,710,33,87
26-07-2020,5,0,6,-1,835,716,33,86
27-07-2020,0,0,2,-2,835,718,33,84
28-07-2020,5,0,4,1,840,722,33,85
29-07-2020,17,0,7,10,857,729,33,95
30-07-2020,16,0,7,9,873,736,33,104
31-07-2020,32,1,2,29,905,738,34,133
01-08-2020,0,0,0,0,905,738,34,133
02-08-2020,6,0,7,-1,911,745,34,132
03-08-2020,13,0,2,11,924,747,34,143
04-08-2020,13,0,2,11,937,749,34,154
05-08-2020,19,0,3,16,956,752,34,170
06-08-2020,32,0,11,21,988,763,34,191
07-08-2020,41,0,8,33,1029,771,34,224
08-08-2020,23,0,3,20,1052,774,34,244
