date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,DZ,Algeria,AFRO,0,0,0,0
04-01-2020,DZ,Algeria,AFRO,0,0,0,0
05-01-2020,DZ,Algeria,AFRO,0,0,0,0
06-01-2020,DZ,Algeria,AFRO,0,0,0,0
07-01-2020,DZ,Algeria,AFRO,0,0,0,0
08-01-2020,DZ,Algeria,AFRO,0,0,0,0
09-01-2020,DZ,Algeria,AFRO,0,0,0,0
10-01-2020,DZ,Algeria,AFRO,0,0,0,0
11-01-2020,DZ,Algeria,AFRO,0,0,0,0
12-01-2020,DZ,Algeria,AFRO,0,0,0,0
13-01-2020,DZ,Algeria,AFRO,0,0,0,0
14-01-2020,DZ,Algeria,AFRO,0,0,0,0
15-01-2020,DZ,Algeria,AFRO,0,0,0,0
16-01-2020,DZ,Algeria,AFRO,0,0,0,0
17-01-2020,DZ,Algeria,AFRO,0,0,0,0
18-01-2020,DZ,Algeria,AFRO,0,0,0,0
19-01-2020,DZ,Algeria,AFRO,0,0,0,0
20-01-2020,DZ,Algeria,AFRO,0,0,0,0
21-01-2020,DZ,Algeria,AFRO,0,0,0,0
22-01-2020,DZ,Algeria,AFRO,0,0,0,0
23-01-2020,DZ,Algeria,AFRO,0,0,0,0
24-01-2020,DZ,Algeria,AFRO,0,0,0,0
25-01-2020,DZ,Algeria,AFRO,0,0,0,0
26-01-2020,DZ,Algeria,AFRO,0,0,0,0
27-01-2020,DZ,Algeria,AFRO,0,0,0,0
28-01-2020,DZ,Algeria,AFRO,0,0,0,0
29-01-2020,DZ,Algeria,AFRO,0,0,0,0
30-01-2020,DZ,Algeria,AFRO,0,0,0,0
31-01-2020,DZ,Algeria,AFRO,0,0,0,0
01-02-2020,DZ,Algeria,AFRO,0,0,0,0
02-02-2020,DZ,Algeria,AFRO,0,0,0,0
03-02-2020,DZ,Algeria,AFRO,0,0,0,0
04-02-2020,DZ,Algeria,AFRO,0,0,0,0
05-02-2020,DZ,Algeria,AFRO,0,0,0,0
06-02-2020,DZ,Algeria,AFRO,0,0,0,0
07-02-2020,DZ,Algeria,AFRO,0,0,0,0
08-02-2020,DZ,Algeria,AFRO,0,0,0,0
09-02-2020,DZ,Algeria,AFRO,0,0,0,0
10-02-2020,DZ,Algeria,AFRO,0,0,0,0
11-02-2020,DZ,Algeria,AFRO,0,0,0,0
12-02-2020,DZ,Algeria,AFRO,0,0,0,0
13-02-2020,DZ,Algeria,AFRO,0,0,0,0
14-02-2020,DZ,Algeria,AFRO,0,0,0,0
15-02-2020,DZ,Algeria,AFRO,0,0,0,0
16-02-2020,DZ,Algeria,AFRO,0,0,0,0
17-02-2020,DZ,Algeria,AFRO,0,0,0,0
18-02-2020,DZ,Algeria,AFRO,0,0,0,0
19-02-2020,DZ,Algeria,AFRO,0,0,0,0
20-02-2020,DZ,Algeria,AFRO,0,0,0,0
21-02-2020,DZ,Algeria,AFRO,0,0,0,0
22-02-2020,DZ,Algeria,AFRO,0,0,0,0
23-02-2020,DZ,Algeria,AFRO,0,0,0,0
24-02-2020,DZ,Algeria,AFRO,0,0,0,0
25-02-2020,DZ,Algeria,AFRO,5,5,0,0
26-02-2020,DZ,Algeria,AFRO,0,5,0,0
27-02-2020,DZ,Algeria,AFRO,0,5,0,0
28-02-2020,DZ,Algeria,AFRO,0,5,0,0
29-02-2020,DZ,Algeria,AFRO,0,5,0,0
01-03-2020,DZ,Algeria,AFRO,0,5,0,0
02-03-2020,DZ,Algeria,AFRO,2,7,0,0
03-03-2020,DZ,Algeria,AFRO,2,9,0,0
04-03-2020,DZ,Algeria,AFRO,3,12,0,0
05-03-2020,DZ,Algeria,AFRO,4,16,0,0
06-03-2020,DZ,Algeria,AFRO,5,21,0,0
07-03-2020,DZ,Algeria,AFRO,0,21,0,0
08-03-2020,DZ,Algeria,AFRO,0,21,0,0
09-03-2020,DZ,Algeria,AFRO,3,24,0,0
10-03-2020,DZ,Algeria,AFRO,0,24,0,0
11-03-2020,DZ,Algeria,AFRO,0,24,0,0
12-03-2020,DZ,Algeria,AFRO,5,29,1,1
13-03-2020,DZ,Algeria,AFRO,0,29,0,1
14-03-2020,DZ,Algeria,AFRO,1,30,1,2
15-03-2020,DZ,Algeria,AFRO,11,41,1,3
16-03-2020,DZ,Algeria,AFRO,12,53,1,4
17-03-2020,DZ,Algeria,AFRO,11,64,0,4
18-03-2020,DZ,Algeria,AFRO,12,76,2,6
19-03-2020,DZ,Algeria,AFRO,10,86,1,7
20-03-2020,DZ,Algeria,AFRO,8,94,3,10
21-03-2020,DZ,Algeria,AFRO,0,94,5,15
22-03-2020,DZ,Algeria,AFRO,45,139,0,15
23-03-2020,DZ,Algeria,AFRO,62,201,2,17
24-03-2020,DZ,Algeria,AFRO,30,231,0,17
25-03-2020,DZ,Algeria,AFRO,33,264,0,17
26-03-2020,DZ,Algeria,AFRO,0,264,0,17
27-03-2020,DZ,Algeria,AFRO,41,305,4,21
28-03-2020,DZ,Algeria,AFRO,62,367,4,25
29-03-2020,DZ,Algeria,AFRO,42,409,1,26
30-03-2020,DZ,Algeria,AFRO,45,454,3,29
31-03-2020,DZ,Algeria,AFRO,57,511,2,31
01-04-2020,DZ,Algeria,AFRO,73,584,4,35
02-04-2020,DZ,Algeria,AFRO,263,847,23,58
03-04-2020,DZ,Algeria,AFRO,139,986,25,83
04-04-2020,DZ,Algeria,AFRO,185,1171,22,105
05-04-2020,DZ,Algeria,AFRO,80,1251,25,130
06-04-2020,DZ,Algeria,AFRO,0,1251,0,130
07-04-2020,DZ,Algeria,AFRO,172,1423,43,173
08-04-2020,DZ,Algeria,AFRO,45,1468,21,194
09-04-2020,DZ,Algeria,AFRO,104,1572,11,205
10-04-2020,DZ,Algeria,AFRO,94,1666,30,235
11-04-2020,DZ,Algeria,AFRO,95,1761,21,256
12-04-2020,DZ,Algeria,AFRO,64,1825,19,275
13-04-2020,DZ,Algeria,AFRO,89,1914,18,293
14-04-2020,DZ,Algeria,AFRO,69,1983,20,313
15-04-2020,DZ,Algeria,AFRO,87,2070,13,326
16-04-2020,DZ,Algeria,AFRO,90,2160,10,336
17-04-2020,DZ,Algeria,AFRO,108,2268,12,348
