date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,AR,Argentina,AMRO,0,0,0,0
04-01-2020,AR,Argentina,AMRO,0,0,0,0
05-01-2020,AR,Argentina,AMRO,0,0,0,0
06-01-2020,AR,Argentina,AMRO,0,0,0,0
07-01-2020,AR,Argentina,AMRO,0,0,0,0
08-01-2020,AR,Argentina,AMRO,0,0,0,0
09-01-2020,AR,Argentina,AMRO,0,0,0,0
10-01-2020,AR,Argentina,AMRO,0,0,0,0
11-01-2020,AR,Argentina,AMRO,0,0,0,0
12-01-2020,AR,Argentina,AMRO,0,0,0,0
13-01-2020,AR,Argentina,AMRO,0,0,0,0
14-01-2020,AR,Argentina,AMRO,0,0,0,0
15-01-2020,AR,Argentina,AMRO,0,0,0,0
16-01-2020,AR,Argentina,AMRO,0,0,0,0
17-01-2020,AR,Argentina,AMRO,0,0,0,0
18-01-2020,AR,Argentina,AMRO,0,0,0,0
19-01-2020,AR,Argentina,AMRO,0,0,0,0
20-01-2020,AR,Argentina,AMRO,0,0,0,0
21-01-2020,AR,Argentina,AMRO,0,0,0,0
22-01-2020,AR,Argentina,AMRO,0,0,0,0
23-01-2020,AR,Argentina,AMRO,0,0,0,0
24-01-2020,AR,Argentina,AMRO,0,0,0,0
25-01-2020,AR,Argentina,AMRO,0,0,0,0
26-01-2020,AR,Argentina,AMRO,0,0,0,0
27-01-2020,AR,Argentina,AMRO,0,0,0,0
28-01-2020,AR,Argentina,AMRO,0,0,0,0
29-01-2020,AR,Argentina,AMRO,0,0,0,0
30-01-2020,AR,Argentina,AMRO,0,0,0,0
31-01-2020,AR,Argentina,AMRO,0,0,0,0
01-02-2020,AR,Argentina,AMRO,0,0,0,0
02-02-2020,AR,Argentina,AMRO,0,0,0,0
03-02-2020,AR,Argentina,AMRO,0,0,0,0
04-02-2020,AR,Argentina,AMRO,0,0,0,0
05-02-2020,AR,Argentina,AMRO,0,0,0,0
06-02-2020,AR,Argentina,AMRO,0,0,0,0
07-02-2020,AR,Argentina,AMRO,0,0,0,0
08-02-2020,AR,Argentina,AMRO,0,0,0,0
09-02-2020,AR,Argentina,AMRO,0,0,0,0
10-02-2020,AR,Argentina,AMRO,0,0,0,0
11-02-2020,AR,Argentina,AMRO,0,0,0,0
12-02-2020,AR,Argentina,AMRO,0,0,0,0
13-02-2020,AR,Argentina,AMRO,0,0,0,0
14-02-2020,AR,Argentina,AMRO,0,0,0,0
15-02-2020,AR,Argentina,AMRO,0,0,0,0
16-02-2020,AR,Argentina,AMRO,0,0,0,0
17-02-2020,AR,Argentina,AMRO,0,0,0,0
18-02-2020,AR,Argentina,AMRO,0,0,0,0
19-02-2020,AR,Argentina,AMRO,0,0,0,0
20-02-2020,AR,Argentina,AMRO,0,0,0,0
21-02-2020,AR,Argentina,AMRO,0,0,0,0
22-02-2020,AR,Argentina,AMRO,0,0,0,0
23-02-2020,AR,Argentina,AMRO,0,0,0,0
24-02-2020,AR,Argentina,AMRO,0,0,0,0
25-02-2020,AR,Argentina,AMRO,0,0,0,0
26-02-2020,AR,Argentina,AMRO,0,0,0,0
27-02-2020,AR,Argentina,AMRO,0,0,0,0
28-02-2020,AR,Argentina,AMRO,0,0,0,0
29-02-2020,AR,Argentina,AMRO,0,0,0,0
01-03-2020,AR,Argentina,AMRO,0,0,0,0
02-03-2020,AR,Argentina,AMRO,0,0,0,0
03-03-2020,AR,Argentina,AMRO,5,5,0,0
04-03-2020,AR,Argentina,AMRO,0,5,0,0
05-03-2020,AR,Argentina,AMRO,0,5,0,0
06-03-2020,AR,Argentina,AMRO,1,6,0,0
07-03-2020,AR,Argentina,AMRO,7,13,1,1
08-03-2020,AR,Argentina,AMRO,3,16,0,1
09-03-2020,AR,Argentina,AMRO,0,16,0,1
10-03-2020,AR,Argentina,AMRO,0,16,0,1
11-03-2020,AR,Argentina,AMRO,5,21,0,1
12-03-2020,AR,Argentina,AMRO,2,23,0,1
13-03-2020,AR,Argentina,AMRO,2,25,0,1
14-03-2020,AR,Argentina,AMRO,13,38,1,2
15-03-2020,AR,Argentina,AMRO,11,49,0,2
16-03-2020,AR,Argentina,AMRO,11,60,0,2
17-03-2020,AR,Argentina,AMRO,9,69,0,2
18-03-2020,AR,Argentina,AMRO,14,83,0,2
19-03-2020,AR,Argentina,AMRO,0,83,0,2
20-03-2020,AR,Argentina,AMRO,45,128,1,3
21-03-2020,AR,Argentina,AMRO,30,158,0,3
22-03-2020,AR,Argentina,AMRO,0,158,0,3
23-03-2020,AR,Argentina,AMRO,67,225,1,4
24-03-2020,AR,Argentina,AMRO,41,266,0,4
25-03-2020,AR,Argentina,AMRO,35,301,0,4
26-03-2020,AR,Argentina,AMRO,86,387,2,6
27-03-2020,AR,Argentina,AMRO,115,502,2,8
28-03-2020,AR,Argentina,AMRO,87,589,4,12
29-03-2020,AR,Argentina,AMRO,101,690,5,17
30-03-2020,AR,Argentina,AMRO,55,745,2,19
31-03-2020,AR,Argentina,AMRO,75,820,1,20
01-04-2020,AR,Argentina,AMRO,146,966,4,24
02-04-2020,AR,Argentina,AMRO,88,1054,3,27
03-04-2020,AR,Argentina,AMRO,79,1133,4,31
04-04-2020,AR,Argentina,AMRO,132,1265,6,37
05-04-2020,AR,Argentina,AMRO,88,1353,5,42
06-04-2020,AR,Argentina,AMRO,98,1451,2,44
07-04-2020,AR,Argentina,AMRO,103,1554,2,46
08-04-2020,AR,Argentina,AMRO,74,1628,7,53
09-04-2020,AR,Argentina,AMRO,87,1715,7,60
10-04-2020,AR,Argentina,AMRO,80,1795,7,67
11-04-2020,AR,Argentina,AMRO,134,1929,12,79
12-04-2020,AR,Argentina,AMRO,46,1975,3,82
13-04-2020,AR,Argentina,AMRO,0,1975,0,82
14-04-2020,AR,Argentina,AMRO,277,2252,13,95
15-04-2020,AR,Argentina,AMRO,84,2336,6,101
16-04-2020,AR,Argentina,AMRO,141,2477,7,108
17-04-2020,AR,Argentina,AMRO,121,2598,7,115
18-04-2020,AR,Argentina,AMRO,96,2694,7,122
19-04-2020,AR,Argentina,AMRO,90,2784,7,129
20-04-2020,AR,Argentina,AMRO,55,2839,3,132
21-04-2020,AR,Argentina,AMRO,121,2960,4,136
22-04-2020,AR,Argentina,AMRO,113,3073,9,145
23-04-2020,AR,Argentina,AMRO,124,3197,7,152
24-04-2020,AR,Argentina,AMRO,143,3340,7,159
25-04-2020,AR,Argentina,AMRO,139,3479,8,167
26-04-2020,AR,Argentina,AMRO,222,3701,12,179
27-04-2020,AR,Argentina,AMRO,137,3838,0,179
28-04-2020,AR,Argentina,AMRO,54,3892,13,192
29-04-2020,AR,Argentina,AMRO,127,4019,5,197
30-04-2020,AR,Argentina,AMRO,182,4201,10,207
01-05-2020,AR,Argentina,AMRO,103,4304,8,215
02-05-2020,AR,Argentina,AMRO,172,4476,5,220
03-05-2020,AR,Argentina,AMRO,56,4532,9,229
04-05-2020,AR,Argentina,AMRO,149,4681,12,241
05-05-2020,AR,Argentina,AMRO,118,4799,9,250
06-05-2020,AR,Argentina,AMRO,123,4922,12,262
07-05-2020,AR,Argentina,AMRO,154,5076,2,264
08-05-2020,AR,Argentina,AMRO,229,5305,11,275
09-05-2020,AR,Argentina,AMRO,225,5530,14,289
10-05-2020,AR,Argentina,AMRO,150,5680,8,297
11-05-2020,AR,Argentina,AMRO,244,5924,3,300
12-05-2020,AR,Argentina,AMRO,110,6034,5,305
13-05-2020,AR,Argentina,AMRO,244,6278,12,317
14-05-2020,AR,Argentina,AMRO,285,6563,4,321
15-05-2020,AR,Argentina,AMRO,410,6973,24,345
16-05-2020,AR,Argentina,AMRO,161,7134,8,353
17-05-2020,AR,Argentina,AMRO,345,7479,10,363
18-05-2020,AR,Argentina,AMRO,326,7805,3,366
19-05-2020,AR,Argentina,AMRO,263,8068,7,373
20-05-2020,AR,Argentina,AMRO,303,8371,9,382
21-05-2020,AR,Argentina,AMRO,438,8809,11,393
22-05-2020,AR,Argentina,AMRO,474,9283,10,403
23-05-2020,AR,Argentina,AMRO,648,9931,16,419
24-05-2020,AR,Argentina,AMRO,718,10649,20,439
25-05-2020,AR,Argentina,AMRO,704,11353,6,445
26-05-2020,AR,Argentina,AMRO,723,12076,7,452
27-05-2020,AR,Argentina,AMRO,552,12628,19,471
28-05-2020,AR,Argentina,AMRO,600,13228,21,492
29-05-2020,AR,Argentina,AMRO,705,13933,9,501
30-05-2020,AR,Argentina,AMRO,769,14702,9,510
31-05-2020,AR,Argentina,AMRO,0,14702,0,510
01-06-2020,AR,Argentina,AMRO,1512,16214,20,530
02-06-2020,AR,Argentina,AMRO,637,16851,11,541
03-06-2020,AR,Argentina,AMRO,564,17415,19,560
04-06-2020,AR,Argentina,AMRO,904,18319,10,570
