date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,AU,Australia,WPRO,0,0,0,0
04-01-2020,AU,Australia,WPRO,0,0,0,0
05-01-2020,AU,Australia,WPRO,0,0,0,0
06-01-2020,AU,Australia,WPRO,0,0,0,0
07-01-2020,AU,Australia,WPRO,0,0,0,0
08-01-2020,AU,Australia,WPRO,0,0,0,0
09-01-2020,AU,Australia,WPRO,0,0,0,0
10-01-2020,AU,Australia,WPRO,0,0,0,0
11-01-2020,AU,Australia,WPRO,0,0,0,0
12-01-2020,AU,Australia,WPRO,0,0,0,0
13-01-2020,AU,Australia,WPRO,0,0,0,0
14-01-2020,AU,Australia,WPRO,0,0,0,0
15-01-2020,AU,Australia,WPRO,0,0,0,0
16-01-2020,AU,Australia,WPRO,0,0,0,0
17-01-2020,AU,Australia,WPRO,0,0,0,0
18-01-2020,AU,Australia,WPRO,0,0,0,0
19-01-2020,AU,Australia,WPRO,0,0,0,0
20-01-2020,AU,Australia,WPRO,0,0,0,0
21-01-2020,AU,Australia,WPRO,0,0,0,0
22-01-2020,AU,Australia,WPRO,0,0,0,0
23-01-2020,AU,Australia,WPRO,0,0,0,0
24-01-2020,AU,Australia,WPRO,0,0,0,0
25-01-2020,AU,Australia,WPRO,1,1,0,0
26-01-2020,AU,Australia,WPRO,3,4,0,0
27-01-2020,AU,Australia,WPRO,0,4,0,0
28-01-2020,AU,Australia,WPRO,1,5,0,0
29-01-2020,AU,Australia,WPRO,0,5,0,0
30-01-2020,AU,Australia,WPRO,2,7,0,0
31-01-2020,AU,Australia,WPRO,2,9,0,0
01-02-2020,AU,Australia,WPRO,0,9,0,0
02-02-2020,AU,Australia,WPRO,3,12,0,0
03-02-2020,AU,Australia,WPRO,0,12,0,0
04-02-2020,AU,Australia,WPRO,0,12,0,0
05-02-2020,AU,Australia,WPRO,1,13,0,0
06-02-2020,AU,Australia,WPRO,1,14,0,0
07-02-2020,AU,Australia,WPRO,1,15,0,0
08-02-2020,AU,Australia,WPRO,0,15,0,0
09-02-2020,AU,Australia,WPRO,0,15,0,0
10-02-2020,AU,Australia,WPRO,0,15,0,0
11-02-2020,AU,Australia,WPRO,0,15,0,0
12-02-2020,AU,Australia,WPRO,0,15,0,0
13-02-2020,AU,Australia,WPRO,0,15,0,0
14-02-2020,AU,Australia,WPRO,0,15,0,0
15-02-2020,AU,Australia,WPRO,0,15,0,0
16-02-2020,AU,Australia,WPRO,0,15,0,0
17-02-2020,AU,Australia,WPRO,0,15,0,0
18-02-2020,AU,Australia,WPRO,0,15,0,0
19-02-2020,AU,Australia,WPRO,0,15,0,0
20-02-2020,AU,Australia,WPRO,0,15,0,0
21-02-2020,AU,Australia,WPRO,0,15,0,0
22-02-2020,AU,Australia,WPRO,6,21,0,0
23-02-2020,AU,Australia,WPRO,1,22,0,0
24-02-2020,AU,Australia,WPRO,0,22,0,0
25-02-2020,AU,Australia,WPRO,0,22,0,0
26-02-2020,AU,Australia,WPRO,1,23,0,0
27-02-2020,AU,Australia,WPRO,0,23,0,0
28-02-2020,AU,Australia,WPRO,0,23,0,0
29-02-2020,AU,Australia,WPRO,2,25,0,0
01-03-2020,AU,Australia,WPRO,0,25,1,1
02-03-2020,AU,Australia,WPRO,4,29,0,1
03-03-2020,AU,Australia,WPRO,0,29,0,1
04-03-2020,AU,Australia,WPRO,4,33,1,2
05-03-2020,AU,Australia,WPRO,10,43,0,2
06-03-2020,AU,Australia,WPRO,14,57,0,2
07-03-2020,AU,Australia,WPRO,6,63,0,2
08-03-2020,AU,Australia,WPRO,7,70,1,3
09-03-2020,AU,Australia,WPRO,7,77,0,3
10-03-2020,AU,Australia,WPRO,15,92,0,3
11-03-2020,AU,Australia,WPRO,8,100,0,3
12-03-2020,AU,Australia,WPRO,22,122,0,3
13-03-2020,AU,Australia,WPRO,18,140,0,3
14-03-2020,AU,Australia,WPRO,57,197,0,3
15-03-2020,AU,Australia,WPRO,52,249,0,3
16-03-2020,AU,Australia,WPRO,49,298,0,3
17-03-2020,AU,Australia,WPRO,38,336,2,5
18-03-2020,AU,Australia,WPRO,78,414,1,6
19-03-2020,AU,Australia,WPRO,151,565,0,6
20-03-2020,AU,Australia,WPRO,126,691,1,7
21-03-2020,AU,Australia,WPRO,182,873,0,7
22-03-2020,AU,Australia,WPRO,208,1081,0,7
23-03-2020,AU,Australia,WPRO,315,1396,0,7
24-03-2020,AU,Australia,WPRO,313,1709,0,7
25-03-2020,AU,Australia,WPRO,543,2252,1,8
26-03-2020,AU,Australia,WPRO,171,2423,0,8
27-03-2020,AU,Australia,WPRO,562,2985,5,13
28-03-2020,AU,Australia,WPRO,393,3378,0,13
29-03-2020,AU,Australia,WPRO,431,3809,1,14
30-03-2020,AU,Australia,WPRO,284,4093,2,16
31-03-2020,AU,Australia,WPRO,266,4359,2,18
01-04-2020,AU,Australia,WPRO,348,4707,2,20
02-04-2020,AU,Australia,WPRO,269,4976,1,21
03-04-2020,AU,Australia,WPRO,248,5224,2,23
04-04-2020,AU,Australia,WPRO,230,5454,5,28
05-04-2020,AU,Australia,WPRO,181,5635,6,34
06-04-2020,AU,Australia,WPRO,109,5744,0,34
07-04-2020,AU,Australia,WPRO,100,5844,8,42
08-04-2020,AU,Australia,WPRO,112,5956,3,45
09-04-2020,AU,Australia,WPRO,96,6052,5,50
10-04-2020,AU,Australia,WPRO,100,6152,2,52
11-04-2020,AU,Australia,WPRO,86,6238,2,54
12-04-2020,AU,Australia,WPRO,51,6289,3,57
13-04-2020,AU,Australia,WPRO,33,6322,4,61
14-04-2020,AU,Australia,WPRO,44,6366,0,61
15-04-2020,AU,Australia,WPRO,50,6416,0,61
16-04-2020,AU,Australia,WPRO,42,6458,2,63
