date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,BH,Bahrain,EMRO,0,0,0,0
04-01-2020,BH,Bahrain,EMRO,0,0,0,0
05-01-2020,BH,Bahrain,EMRO,0,0,0,0
06-01-2020,BH,Bahrain,EMRO,0,0,0,0
07-01-2020,BH,Bahrain,EMRO,0,0,0,0
08-01-2020,BH,Bahrain,EMRO,0,0,0,0
09-01-2020,BH,Bahrain,EMRO,0,0,0,0
10-01-2020,BH,Bahrain,EMRO,0,0,0,0
11-01-2020,BH,Bahrain,EMRO,0,0,0,0
12-01-2020,BH,Bahrain,EMRO,0,0,0,0
13-01-2020,BH,Bahrain,EMRO,0,0,0,0
14-01-2020,BH,Bahrain,EMRO,0,0,0,0
15-01-2020,BH,Bahrain,EMRO,0,0,0,0
16-01-2020,BH,Bahrain,EMRO,0,0,0,0
17-01-2020,BH,Bahrain,EMRO,0,0,0,0
18-01-2020,BH,Bahrain,EMRO,0,0,0,0
19-01-2020,BH,Bahrain,EMRO,0,0,0,0
20-01-2020,BH,Bahrain,EMRO,0,0,0,0
21-01-2020,BH,Bahrain,EMRO,0,0,0,0
22-01-2020,BH,Bahrain,EMRO,0,0,0,0
23-01-2020,BH,Bahrain,EMRO,0,0,0,0
24-01-2020,BH,Bahrain,EMRO,0,0,0,0
25-01-2020,BH,Bahrain,EMRO,0,0,0,0
26-01-2020,BH,Bahrain,EMRO,0,0,0,0
27-01-2020,BH,Bahrain,EMRO,0,0,0,0
28-01-2020,BH,Bahrain,EMRO,0,0,0,0
29-01-2020,BH,Bahrain,EMRO,0,0,0,0
30-01-2020,BH,Bahrain,EMRO,0,0,0,0
31-01-2020,BH,Bahrain,EMRO,0,0,0,0
01-02-2020,BH,Bahrain,EMRO,0,0,0,0
02-02-2020,BH,Bahrain,EMRO,0,0,0,0
03-02-2020,BH,Bahrain,EMRO,0,0,0,0
04-02-2020,BH,Bahrain,EMRO,0,0,0,0
05-02-2020,BH,Bahrain,EMRO,0,0,0,0
06-02-2020,BH,Bahrain,EMRO,0,0,0,0
07-02-2020,BH,Bahrain,EMRO,0,0,0,0
08-02-2020,BH,Bahrain,EMRO,0,0,0,0
09-02-2020,BH,Bahrain,EMRO,0,0,0,0
10-02-2020,BH,Bahrain,EMRO,0,0,0,0
11-02-2020,BH,Bahrain,EMRO,0,0,0,0
12-02-2020,BH,Bahrain,EMRO,0,0,0,0
13-02-2020,BH,Bahrain,EMRO,0,0,0,0
14-02-2020,BH,Bahrain,EMRO,0,0,0,0
15-02-2020,BH,Bahrain,EMRO,0,0,0,0
16-02-2020,BH,Bahrain,EMRO,0,0,0,0
17-02-2020,BH,Bahrain,EMRO,0,0,0,0
18-02-2020,BH,Bahrain,EMRO,0,0,0,0
19-02-2020,BH,Bahrain,EMRO,0,0,0,0
20-02-2020,BH,Bahrain,EMRO,0,0,0,0
21-02-2020,BH,Bahrain,EMRO,0,0,0,0
22-02-2020,BH,Bahrain,EMRO,0,0,0,0
23-02-2020,BH,Bahrain,EMRO,0,0,0,0
24-02-2020,BH,Bahrain,EMRO,5,5,0,0
25-02-2020,BH,Bahrain,EMRO,7,12,0,0
26-02-2020,BH,Bahrain,EMRO,18,30,0,0
27-02-2020,BH,Bahrain,EMRO,7,37,0,0
28-02-2020,BH,Bahrain,EMRO,3,40,0,0
29-02-2020,BH,Bahrain,EMRO,4,44,0,0
01-03-2020,BH,Bahrain,EMRO,0,44,0,0
02-03-2020,BH,Bahrain,EMRO,7,51,0,0
03-03-2020,BH,Bahrain,EMRO,2,53,0,0
04-03-2020,BH,Bahrain,EMRO,0,53,0,0
05-03-2020,BH,Bahrain,EMRO,0,53,0,0
06-03-2020,BH,Bahrain,EMRO,0,53,0,0
07-03-2020,BH,Bahrain,EMRO,7,60,0,0
08-03-2020,BH,Bahrain,EMRO,23,83,0,0
09-03-2020,BH,Bahrain,EMRO,16,99,0,0
10-03-2020,BH,Bahrain,EMRO,14,113,0,0
11-03-2020,BH,Bahrain,EMRO,80,193,0,0
12-03-2020,BH,Bahrain,EMRO,6,199,0,0
13-03-2020,BH,Bahrain,EMRO,0,199,0,0
14-03-2020,BH,Bahrain,EMRO,15,214,0,0
15-03-2020,BH,Bahrain,EMRO,4,218,0,0
16-03-2020,BH,Bahrain,EMRO,7,225,1,1
17-03-2020,BH,Bahrain,EMRO,8,233,0,1
18-03-2020,BH,Bahrain,EMRO,27,260,0,1
19-03-2020,BH,Bahrain,EMRO,13,273,0,1
20-03-2020,BH,Bahrain,EMRO,12,285,0,1
21-03-2020,BH,Bahrain,EMRO,12,297,0,1
22-03-2020,BH,Bahrain,EMRO,23,320,0,1
23-03-2020,BH,Bahrain,EMRO,17,337,1,2
24-03-2020,BH,Bahrain,EMRO,40,377,0,2
25-03-2020,BH,Bahrain,EMRO,15,392,1,3
26-03-2020,BH,Bahrain,EMRO,27,419,1,4
27-03-2020,BH,Bahrain,EMRO,39,458,0,4
28-03-2020,BH,Bahrain,EMRO,15,473,0,4
29-03-2020,BH,Bahrain,EMRO,3,476,0,4
30-03-2020,BH,Bahrain,EMRO,39,515,0,4
31-03-2020,BH,Bahrain,EMRO,52,567,0,4
01-04-2020,BH,Bahrain,EMRO,2,569,0,4
02-04-2020,BH,Bahrain,EMRO,66,635,0,4
03-04-2020,BH,Bahrain,EMRO,8,643,0,4
04-04-2020,BH,Bahrain,EMRO,30,673,0,4
05-04-2020,BH,Bahrain,EMRO,15,688,0,4
06-04-2020,BH,Bahrain,EMRO,12,700,0,4
07-04-2020,BH,Bahrain,EMRO,56,756,0,4
08-04-2020,BH,Bahrain,EMRO,55,811,1,5
09-04-2020,BH,Bahrain,EMRO,12,823,0,5
10-04-2020,BH,Bahrain,EMRO,64,887,0,5
11-04-2020,BH,Bahrain,EMRO,111,998,1,6
12-04-2020,BH,Bahrain,EMRO,42,1040,0,6
13-04-2020,BH,Bahrain,EMRO,96,1136,0,6
