date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,BY,Belarus,EURO,0,0,0,0
04-01-2020,BY,Belarus,EURO,0,0,0,0
05-01-2020,BY,Belarus,EURO,0,0,0,0
06-01-2020,BY,Belarus,EURO,0,0,0,0
07-01-2020,BY,Belarus,EURO,0,0,0,0
08-01-2020,BY,Belarus,EURO,0,0,0,0
09-01-2020,BY,Belarus,EURO,0,0,0,0
10-01-2020,BY,Belarus,EURO,0,0,0,0
11-01-2020,BY,Belarus,EURO,0,0,0,0
12-01-2020,BY,Belarus,EURO,0,0,0,0
13-01-2020,BY,Belarus,EURO,0,0,0,0
14-01-2020,BY,Belarus,EURO,0,0,0,0
15-01-2020,BY,Belarus,EURO,0,0,0,0
16-01-2020,BY,Belarus,EURO,0,0,0,0
17-01-2020,BY,Belarus,EURO,0,0,0,0
18-01-2020,BY,Belarus,EURO,0,0,0,0
19-01-2020,BY,Belarus,EURO,0,0,0,0
20-01-2020,BY,Belarus,EURO,0,0,0,0
21-01-2020,BY,Belarus,EURO,0,0,0,0
22-01-2020,BY,Belarus,EURO,0,0,0,0
23-01-2020,BY,Belarus,EURO,0,0,0,0
24-01-2020,BY,Belarus,EURO,0,0,0,0
25-01-2020,BY,Belarus,EURO,0,0,0,0
26-01-2020,BY,Belarus,EURO,0,0,0,0
27-01-2020,BY,Belarus,EURO,0,0,0,0
28-01-2020,BY,Belarus,EURO,0,0,0,0
29-01-2020,BY,Belarus,EURO,0,0,0,0
30-01-2020,BY,Belarus,EURO,0,0,0,0
31-01-2020,BY,Belarus,EURO,0,0,0,0
01-02-2020,BY,Belarus,EURO,0,0,0,0
02-02-2020,BY,Belarus,EURO,0,0,0,0
03-02-2020,BY,Belarus,EURO,0,0,0,0
04-02-2020,BY,Belarus,EURO,0,0,0,0
05-02-2020,BY,Belarus,EURO,0,0,0,0
06-02-2020,BY,Belarus,EURO,0,0,0,0
07-02-2020,BY,Belarus,EURO,0,0,0,0
08-02-2020,BY,Belarus,EURO,0,0,0,0
09-02-2020,BY,Belarus,EURO,0,0,0,0
10-02-2020,BY,Belarus,EURO,0,0,0,0
11-02-2020,BY,Belarus,EURO,0,0,0,0
12-02-2020,BY,Belarus,EURO,0,0,0,0
13-02-2020,BY,Belarus,EURO,0,0,0,0
14-02-2020,BY,Belarus,EURO,0,0,0,0
15-02-2020,BY,Belarus,EURO,0,0,0,0
16-02-2020,BY,Belarus,EURO,0,0,0,0
17-02-2020,BY,Belarus,EURO,0,0,0,0
18-02-2020,BY,Belarus,EURO,0,0,0,0
19-02-2020,BY,Belarus,EURO,0,0,0,0
20-02-2020,BY,Belarus,EURO,0,0,0,0
21-02-2020,BY,Belarus,EURO,0,0,0,0
22-02-2020,BY,Belarus,EURO,0,0,0,0
23-02-2020,BY,Belarus,EURO,0,0,0,0
24-02-2020,BY,Belarus,EURO,0,0,0,0
25-02-2020,BY,Belarus,EURO,0,0,0,0
26-02-2020,BY,Belarus,EURO,0,0,0,0
27-02-2020,BY,Belarus,EURO,0,0,0,0
28-02-2020,BY,Belarus,EURO,0,0,0,0
29-02-2020,BY,Belarus,EURO,1,1,0,0
01-03-2020,BY,Belarus,EURO,0,1,0,0
02-03-2020,BY,Belarus,EURO,0,1,0,0
03-03-2020,BY,Belarus,EURO,0,1,0,0
04-03-2020,BY,Belarus,EURO,0,1,0,0
05-03-2020,BY,Belarus,EURO,5,6,0,0
06-03-2020,BY,Belarus,EURO,0,6,0,0
07-03-2020,BY,Belarus,EURO,0,6,0,0
08-03-2020,BY,Belarus,EURO,0,6,0,0
09-03-2020,BY,Belarus,EURO,0,6,0,0
10-03-2020,BY,Belarus,EURO,0,6,0,0
11-03-2020,BY,Belarus,EURO,3,9,0,0
12-03-2020,BY,Belarus,EURO,3,12,0,0
13-03-2020,BY,Belarus,EURO,0,12,0,0
14-03-2020,BY,Belarus,EURO,9,21,0,0
15-03-2020,BY,Belarus,EURO,0,21,0,0
16-03-2020,BY,Belarus,EURO,0,21,0,0
17-03-2020,BY,Belarus,EURO,15,36,0,0
18-03-2020,BY,Belarus,EURO,0,36,0,0
19-03-2020,BY,Belarus,EURO,0,36,0,0
20-03-2020,BY,Belarus,EURO,0,36,0,0
21-03-2020,BY,Belarus,EURO,0,36,0,0
22-03-2020,BY,Belarus,EURO,40,76,0,0
23-03-2020,BY,Belarus,EURO,5,81,0,0
24-03-2020,BY,Belarus,EURO,0,81,0,0
25-03-2020,BY,Belarus,EURO,0,81,0,0
26-03-2020,BY,Belarus,EURO,5,86,0,0
27-03-2020,BY,Belarus,EURO,8,94,0,0
28-03-2020,BY,Belarus,EURO,0,94,0,0
29-03-2020,BY,Belarus,EURO,0,94,0,0
30-03-2020,BY,Belarus,EURO,0,94,0,0
31-03-2020,BY,Belarus,EURO,58,152,0,0
01-04-2020,BY,Belarus,EURO,40,192,2,2
02-04-2020,BY,Belarus,EURO,0,192,0,2
03-04-2020,BY,Belarus,EURO,62,254,2,4
04-04-2020,BY,Belarus,EURO,0,254,0,4
05-04-2020,BY,Belarus,EURO,186,440,0,4
06-04-2020,BY,Belarus,EURO,122,562,4,8
07-04-2020,BY,Belarus,EURO,138,700,5,13
08-04-2020,BY,Belarus,EURO,161,861,0,13
09-04-2020,BY,Belarus,EURO,205,1066,0,13
10-04-2020,BY,Belarus,EURO,0,1066,0,13
11-04-2020,BY,Belarus,EURO,915,1981,6,19
12-04-2020,BY,Belarus,EURO,245,2226,4,23
13-04-2020,BY,Belarus,EURO,352,2578,3,26
14-04-2020,BY,Belarus,EURO,341,2919,3,29
15-04-2020,BY,Belarus,EURO,362,3281,4,33
16-04-2020,BY,Belarus,EURO,447,3728,3,36
17-04-2020,BY,Belarus,EURO,476,4204,4,40
18-04-2020,BY,Belarus,EURO,575,4779,3,43
19-04-2020,BY,Belarus,EURO,510,5289,2,45
20-04-2020,BY,Belarus,EURO,518,5807,2,47
21-04-2020,BY,Belarus,EURO,457,6264,4,51
22-04-2020,BY,Belarus,EURO,459,6723,4,55
23-04-2020,BY,Belarus,EURO,558,7281,5,60
24-04-2020,BY,Belarus,EURO,741,8022,0,60
25-04-2020,BY,Belarus,EURO,751,8773,3,63
26-04-2020,BY,Belarus,EURO,817,9590,4,67
27-04-2020,BY,Belarus,EURO,873,10463,5,72
28-04-2020,BY,Belarus,EURO,1745,12208,7,79
