date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,BG,Bulgaria,EURO,0,0,0,0
04-01-2020,BG,Bulgaria,EURO,0,0,0,0
05-01-2020,BG,Bulgaria,EURO,0,0,0,0
06-01-2020,BG,Bulgaria,EURO,0,0,0,0
07-01-2020,BG,Bulgaria,EURO,0,0,0,0
08-01-2020,BG,Bulgaria,EURO,0,0,0,0
09-01-2020,BG,Bulgaria,EURO,0,0,0,0
10-01-2020,BG,Bulgaria,EURO,0,0,0,0
11-01-2020,BG,Bulgaria,EURO,0,0,0,0
12-01-2020,BG,Bulgaria,EURO,0,0,0,0
13-01-2020,BG,Bulgaria,EURO,0,0,0,0
14-01-2020,BG,Bulgaria,EURO,0,0,0,0
15-01-2020,BG,Bulgaria,EURO,0,0,0,0
16-01-2020,BG,Bulgaria,EURO,0,0,0,0
17-01-2020,BG,Bulgaria,EURO,0,0,0,0
18-01-2020,BG,Bulgaria,EURO,0,0,0,0
19-01-2020,BG,Bulgaria,EURO,0,0,0,0
20-01-2020,BG,Bulgaria,EURO,0,0,0,0
21-01-2020,BG,Bulgaria,EURO,0,0,0,0
22-01-2020,BG,Bulgaria,EURO,0,0,0,0
23-01-2020,BG,Bulgaria,EURO,0,0,0,0
24-01-2020,BG,Bulgaria,EURO,0,0,0,0
25-01-2020,BG,Bulgaria,EURO,0,0,0,0
26-01-2020,BG,Bulgaria,EURO,0,0,0,0
27-01-2020,BG,Bulgaria,EURO,0,0,0,0
28-01-2020,BG,Bulgaria,EURO,0,0,0,0
29-01-2020,BG,Bulgaria,EURO,0,0,0,0
30-01-2020,BG,Bulgaria,EURO,0,0,0,0
31-01-2020,BG,Bulgaria,EURO,0,0,0,0
01-02-2020,BG,Bulgaria,EURO,0,0,0,0
02-02-2020,BG,Bulgaria,EURO,0,0,0,0
03-02-2020,BG,Bulgaria,EURO,0,0,0,0
04-02-2020,BG,Bulgaria,EURO,0,0,0,0
05-02-2020,BG,Bulgaria,EURO,0,0,0,0
06-02-2020,BG,Bulgaria,EURO,0,0,0,0
07-02-2020,BG,Bulgaria,EURO,0,0,0,0
08-02-2020,BG,Bulgaria,EURO,0,0,0,0
09-02-2020,BG,Bulgaria,EURO,0,0,0,0
10-02-2020,BG,Bulgaria,EURO,0,0,0,0
11-02-2020,BG,Bulgaria,EURO,0,0,0,0
12-02-2020,BG,Bulgaria,EURO,0,0,0,0
13-02-2020,BG,Bulgaria,EURO,0,0,0,0
14-02-2020,BG,Bulgaria,EURO,0,0,0,0
15-02-2020,BG,Bulgaria,EURO,0,0,0,0
16-02-2020,BG,Bulgaria,EURO,0,0,0,0
17-02-2020,BG,Bulgaria,EURO,0,0,0,0
18-02-2020,BG,Bulgaria,EURO,0,0,0,0
19-02-2020,BG,Bulgaria,EURO,0,0,0,0
20-02-2020,BG,Bulgaria,EURO,0,0,0,0
21-02-2020,BG,Bulgaria,EURO,0,0,0,0
22-02-2020,BG,Bulgaria,EURO,0,0,0,0
23-02-2020,BG,Bulgaria,EURO,0,0,0,0
24-02-2020,BG,Bulgaria,EURO,0,0,0,0
25-02-2020,BG,Bulgaria,EURO,0,0,0,0
26-02-2020,BG,Bulgaria,EURO,0,0,0,0
27-02-2020,BG,Bulgaria,EURO,0,0,0,0
28-02-2020,BG,Bulgaria,EURO,0,0,0,0
29-02-2020,BG,Bulgaria,EURO,0,0,0,0
01-03-2020,BG,Bulgaria,EURO,0,0,0,0
02-03-2020,BG,Bulgaria,EURO,0,0,0,0
03-03-2020,BG,Bulgaria,EURO,0,0,0,0
04-03-2020,BG,Bulgaria,EURO,0,0,0,0
05-03-2020,BG,Bulgaria,EURO,0,0,0,0
06-03-2020,BG,Bulgaria,EURO,0,0,0,0
07-03-2020,BG,Bulgaria,EURO,0,0,0,0
08-03-2020,BG,Bulgaria,EURO,2,2,0,0
09-03-2020,BG,Bulgaria,EURO,2,4,0,0
10-03-2020,BG,Bulgaria,EURO,0,4,0,0
11-03-2020,BG,Bulgaria,EURO,0,4,0,0
12-03-2020,BG,Bulgaria,EURO,3,7,1,1
13-03-2020,BG,Bulgaria,EURO,16,23,0,1
14-03-2020,BG,Bulgaria,EURO,8,31,0,1
15-03-2020,BG,Bulgaria,EURO,10,41,1,2
16-03-2020,BG,Bulgaria,EURO,10,51,0,2
17-03-2020,BG,Bulgaria,EURO,11,62,0,2
18-03-2020,BG,Bulgaria,EURO,19,81,0,2
19-03-2020,BG,Bulgaria,EURO,11,92,0,2
20-03-2020,BG,Bulgaria,EURO,13,105,1,3
21-03-2020,BG,Bulgaria,EURO,22,127,0,3
22-03-2020,BG,Bulgaria,EURO,36,163,0,3
23-03-2020,BG,Bulgaria,EURO,22,185,0,3
24-03-2020,BG,Bulgaria,EURO,16,201,0,3
25-03-2020,BG,Bulgaria,EURO,19,220,0,3
26-03-2020,BG,Bulgaria,EURO,22,242,0,3
27-03-2020,BG,Bulgaria,EURO,22,264,0,3
28-03-2020,BG,Bulgaria,EURO,29,293,0,3
29-03-2020,BG,Bulgaria,EURO,38,331,4,7
30-03-2020,BG,Bulgaria,EURO,15,346,1,8
31-03-2020,BG,Bulgaria,EURO,13,359,0,8
01-04-2020,BG,Bulgaria,EURO,40,399,0,8
02-04-2020,BG,Bulgaria,EURO,23,422,2,10
03-04-2020,BG,Bulgaria,EURO,35,457,0,10
04-04-2020,BG,Bulgaria,EURO,28,485,4,14
05-04-2020,BG,Bulgaria,EURO,18,503,3,17
06-04-2020,BG,Bulgaria,EURO,28,531,3,20
07-04-2020,BG,Bulgaria,EURO,18,549,2,22
08-04-2020,BG,Bulgaria,EURO,28,577,1,23
09-04-2020,BG,Bulgaria,EURO,16,593,1,24
10-04-2020,BG,Bulgaria,EURO,31,624,0,24
11-04-2020,BG,Bulgaria,EURO,11,635,1,25
12-04-2020,BG,Bulgaria,EURO,26,661,3,28
13-04-2020,BG,Bulgaria,EURO,14,675,1,29
14-04-2020,BG,Bulgaria,EURO,10,685,3,32
15-04-2020,BG,Bulgaria,EURO,28,713,3,35
16-04-2020,BG,Bulgaria,EURO,34,747,1,36
17-04-2020,BG,Bulgaria,EURO,53,800,2,38
18-04-2020,BG,Bulgaria,EURO,46,846,3,41
19-04-2020,BG,Bulgaria,EURO,32,878,0,41
20-04-2020,BG,Bulgaria,EURO,37,915,2,43
21-04-2020,BG,Bulgaria,EURO,14,929,0,43
22-04-2020,BG,Bulgaria,EURO,46,975,2,45
23-04-2020,BG,Bulgaria,EURO,49,1024,4,49
24-04-2020,BG,Bulgaria,EURO,73,1097,3,52
25-04-2020,BG,Bulgaria,EURO,91,1188,2,54
26-04-2020,BG,Bulgaria,EURO,59,1247,1,55
27-04-2020,BG,Bulgaria,EURO,53,1300,1,56
28-04-2020,BG,Bulgaria,EURO,63,1363,2,58
