date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,CA,Canada,AMRO,0,0,0,0
04-01-2020,CA,Canada,AMRO,0,0,0,0
05-01-2020,CA,Canada,AMRO,0,0,0,0
06-01-2020,CA,Canada,AMRO,0,0,0,0
07-01-2020,CA,Canada,AMRO,0,0,0,0
08-01-2020,CA,Canada,AMRO,0,0,0,0
09-01-2020,CA,Canada,AMRO,0,0,0,0
10-01-2020,CA,Canada,AMRO,0,0,0,0
11-01-2020,CA,Canada,AMRO,0,0,0,0
12-01-2020,CA,Canada,AMRO,0,0,0,0
13-01-2020,CA,Canada,AMRO,0,0,0,0
14-01-2020,CA,Canada,AMRO,0,0,0,0
15-01-2020,CA,Canada,AMRO,0,0,0,0
16-01-2020,CA,Canada,AMRO,0,0,0,0
17-01-2020,CA,Canada,AMRO,0,0,0,0
18-01-2020,CA,Canada,AMRO,0,0,0,0
19-01-2020,CA,Canada,AMRO,0,0,0,0
20-01-2020,CA,Canada,AMRO,0,0,0,0
21-01-2020,CA,Canada,AMRO,0,0,0,0
22-01-2020,CA,Canada,AMRO,0,0,0,0
23-01-2020,CA,Canada,AMRO,0,0,0,0
24-01-2020,CA,Canada,AMRO,0,0,0,0
25-01-2020,CA,Canada,AMRO,0,0,0,0
26-01-2020,CA,Canada,AMRO,5,5,0,0
27-01-2020,CA,Canada,AMRO,1,6,0,0
28-01-2020,CA,Canada,AMRO,1,7,0,0
29-01-2020,CA,Canada,AMRO,0,7,0,0
30-01-2020,CA,Canada,AMRO,0,7,0,0
31-01-2020,CA,Canada,AMRO,1,8,0,0
01-02-2020,CA,Canada,AMRO,0,8,0,0
02-02-2020,CA,Canada,AMRO,0,8,0,0
03-02-2020,CA,Canada,AMRO,0,8,0,0
04-02-2020,CA,Canada,AMRO,0,8,0,0
05-02-2020,CA,Canada,AMRO,1,9,0,0
06-02-2020,CA,Canada,AMRO,0,9,0,0
07-02-2020,CA,Canada,AMRO,2,11,0,0
08-02-2020,CA,Canada,AMRO,0,11,0,0
09-02-2020,CA,Canada,AMRO,0,11,0,0
10-02-2020,CA,Canada,AMRO,0,11,0,0
11-02-2020,CA,Canada,AMRO,0,11,0,0
12-02-2020,CA,Canada,AMRO,0,11,0,0
13-02-2020,CA,Canada,AMRO,0,11,0,0
14-02-2020,CA,Canada,AMRO,0,11,0,0
15-02-2020,CA,Canada,AMRO,0,11,0,0
16-02-2020,CA,Canada,AMRO,0,11,0,0
17-02-2020,CA,Canada,AMRO,1,12,0,0
18-02-2020,CA,Canada,AMRO,0,12,0,0
19-02-2020,CA,Canada,AMRO,0,12,0,0
20-02-2020,CA,Canada,AMRO,0,12,0,0
21-02-2020,CA,Canada,AMRO,0,12,0,0
22-02-2020,CA,Canada,AMRO,1,13,0,0
23-02-2020,CA,Canada,AMRO,0,13,0,0
24-02-2020,CA,Canada,AMRO,1,14,0,0
25-02-2020,CA,Canada,AMRO,0,14,0,0
26-02-2020,CA,Canada,AMRO,1,15,0,0
27-02-2020,CA,Canada,AMRO,0,15,0,0
28-02-2020,CA,Canada,AMRO,3,18,0,0
29-02-2020,CA,Canada,AMRO,0,18,0,0
01-03-2020,CA,Canada,AMRO,5,23,0,0
02-03-2020,CA,Canada,AMRO,5,28,0,0
03-03-2020,CA,Canada,AMRO,6,34,0,0
04-03-2020,CA,Canada,AMRO,0,34,0,0
05-03-2020,CA,Canada,AMRO,4,38,0,0
06-03-2020,CA,Canada,AMRO,15,53,0,0
07-03-2020,CA,Canada,AMRO,2,55,0,0
08-03-2020,CA,Canada,AMRO,9,64,0,0
09-03-2020,CA,Canada,AMRO,2,66,0,0
10-03-2020,CA,Canada,AMRO,15,81,0,0
11-03-2020,CA,Canada,AMRO,2,83,1,1
12-03-2020,CA,Canada,AMRO,14,97,0,1
13-03-2020,CA,Canada,AMRO,45,142,0,1
14-03-2020,CA,Canada,AMRO,38,180,0,1
15-03-2020,CA,Canada,AMRO,68,248,0,1
16-03-2020,CA,Canada,AMRO,60,308,0,1
17-03-2020,CA,Canada,AMRO,120,428,0,1
18-03-2020,CA,Canada,AMRO,145,573,8,9
19-03-2020,CA,Canada,AMRO,117,690,0,9
20-03-2020,CA,Canada,AMRO,156,846,0,9
21-03-2020,CA,Canada,AMRO,202,1048,4,13
22-03-2020,CA,Canada,AMRO,0,1048,0,13
23-03-2020,CA,Canada,AMRO,336,1384,6,19
24-03-2020,CA,Canada,AMRO,48,1432,1,20
25-03-2020,CA,Canada,AMRO,307,1739,5,25
26-03-2020,CA,Canada,AMRO,1670,3409,10,35
27-03-2020,CA,Canada,AMRO,146,3555,0,35
28-03-2020,CA,Canada,AMRO,463,4018,4,39
29-03-2020,CA,Canada,AMRO,739,4757,16,55
30-03-2020,CA,Canada,AMRO,898,5655,6,61
31-03-2020,CA,Canada,AMRO,662,6317,5,66
01-04-2020,CA,Canada,AMRO,1378,7695,23,89
02-04-2020,CA,Canada,AMRO,1310,9005,16,105
03-04-2020,CA,Canada,AMRO,1109,10114,22,127
04-04-2020,CA,Canada,AMRO,1618,11732,25,152
05-04-2020,CA,Canada,AMRO,1206,12938,62,214
06-04-2020,CA,Canada,AMRO,966,13904,17,231
07-04-2020,CA,Canada,AMRO,1902,15806,62,293
08-04-2020,CA,Canada,AMRO,1243,17049,52,345
09-04-2020,CA,Canada,AMRO,1384,18433,56,401
10-04-2020,CA,Canada,AMRO,1326,19759,60,461
11-04-2020,CA,Canada,AMRO,1467,21226,70,531
12-04-2020,CA,Canada,AMRO,1318,22544,69,600
13-04-2020,CA,Canada,AMRO,1158,23702,74,674
14-04-2020,CA,Canada,AMRO,1084,24786,60,734
15-04-2020,CA,Canada,AMRO,1360,26146,89,823
16-04-2020,CA,Canada,AMRO,1394,27540,131,954
17-04-2020,CA,Canada,AMRO,1344,28884,94,1048
18-04-2020,CA,Canada,AMRO,1775,30659,202,1250
19-04-2020,CA,Canada,AMRO,1741,32400,96,1346
20-04-2020,CA,Canada,AMRO,1509,33909,160,1506
21-04-2020,CA,Canada,AMRO,1474,35383,105,1611
22-04-2020,CA,Canada,AMRO,1991,37374,117,1728
23-04-2020,CA,Canada,AMRO,1549,38923,143,1871
24-04-2020,CA,Canada,AMRO,1890,40813,157,2028
25-04-2020,CA,Canada,AMRO,1926,42739,169,2197
26-04-2020,CA,Canada,AMRO,1614,44353,153,2350
27-04-2020,CA,Canada,AMRO,1425,45778,139,2489
28-04-2020,CA,Canada,AMRO,1538,47316,128,2617
29-04-2020,CA,Canada,AMRO,1698,49014,149,2766
30-04-2020,CA,Canada,AMRO,1349,50363,138,2904
01-05-2020,CA,Canada,AMRO,1693,52056,178,3082
02-05-2020,CA,Canada,AMRO,1601,53657,141,3223
03-05-2020,CA,Canada,AMRO,1915,55572,223,3446
04-05-2020,CA,Canada,AMRO,3793,59365,235,3681
05-05-2020,CA,Canada,AMRO,479,59844,85,3766
06-05-2020,CA,Canada,AMRO,1315,61159,149,3915
07-05-2020,CA,Canada,AMRO,1299,62458,196,4111
08-05-2020,CA,Canada,AMRO,1437,63895,169,4280
09-05-2020,CA,Canada,AMRO,1504,65399,191,4471
10-05-2020,CA,Canada,AMRO,1381,66780,157,4628
11-05-2020,CA,Canada,AMRO,1216,67996,100,4728
12-05-2020,CA,Canada,AMRO,1160,69156,178,4906
13-05-2020,CA,Canada,AMRO,1186,70342,143,5049
14-05-2020,CA,Canada,AMRO,1144,71486,160,5209
15-05-2020,CA,Canada,AMRO,1050,72536,128,5337
16-05-2020,CA,Canada,AMRO,1293,73829,162,5499
17-05-2020,CA,Canada,AMRO,1164,74993,96,5595
18-05-2020,CA,Canada,AMRO,1211,76204,107,5702
19-05-2020,CA,Canada,AMRO,1102,77306,103,5805
20-05-2020,CA,Canada,AMRO,1193,78499,52,5857
21-05-2020,CA,Canada,AMRO,1003,79502,98,5955
22-05-2020,CA,Canada,AMRO,1053,80555,107,6062
23-05-2020,CA,Canada,AMRO,1210,81765,118,6180
24-05-2020,CA,Canada,AMRO,1127,82892,97,6277
25-05-2020,CA,Canada,AMRO,1189,84081,103,6380
26-05-2020,CA,Canada,AMRO,1022,85103,73,6453
27-05-2020,CA,Canada,AMRO,895,85998,113,6566
28-05-2020,CA,Canada,AMRO,941,86939,105,6671
29-05-2020,CA,Canada,AMRO,963,87902,128,6799
30-05-2020,CA,Canada,AMRO,954,88856,119,6918
31-05-2020,CA,Canada,AMRO,885,89741,78,6996
01-06-2020,CA,Canada,AMRO,775,90516,96,7092
02-06-2020,CA,Canada,AMRO,835,91351,213,7305
03-06-2020,CA,Canada,AMRO,800,92151,39,7344
04-06-2020,CA,Canada,AMRO,597,92748,70,7414
05-06-2020,CA,Canada,AMRO,693,93441,129,7543
06-06-2020,CA,Canada,AMRO,629,94070,109,7652
07-06-2020,CA,Canada,AMRO,265,94335,51,7703
08-06-2020,CA,Canada,AMRO,722,95057,70,7773
09-06-2020,CA,Canada,AMRO,642,95699,27,7800
10-06-2020,CA,Canada,AMRO,545,96244,35,7835
11-06-2020,CA,Canada,AMRO,409,96653,62,7897
12-06-2020,CA,Canada,AMRO,472,97125,63,7960
13-06-2020,CA,Canada,AMRO,405,97530,34,7994
14-06-2020,CA,Canada,AMRO,413,97943,55,8049
15-06-2020,CA,Canada,AMRO,467,98410,58,8107
16-06-2020,CA,Canada,AMRO,377,98787,39,8146
17-06-2020,CA,Canada,AMRO,360,99147,29,8175
18-06-2020,CA,Canada,AMRO,320,99467,38,8213
19-06-2020,CA,Canada,AMRO,386,99853,41,8254
20-06-2020,CA,Canada,AMRO,367,100220,46,8300
21-06-2020,CA,Canada,AMRO,409,100629,46,8346
22-06-2020,CA,Canada,AMRO,390,101019,64,8410
23-06-2020,CA,Canada,AMRO,318,101337,20,8430
24-06-2020,CA,Canada,AMRO,300,101637,6,8436
25-06-2020,CA,Canada,AMRO,326,101963,18,8454
26-06-2020,CA,Canada,AMRO,279,102242,30,8484
27-06-2020,CA,Canada,AMRO,380,102622,20,8504
28-06-2020,CA,Canada,AMRO,172,102794,4,8508
29-06-2020,CA,Canada,AMRO,238,103032,8,8516
30-06-2020,CA,Canada,AMRO,218,103250,6,8522
01-07-2020,CA,Canada,AMRO,668,103918,44,8566
02-07-2020,CA,Canada,AMRO,286,104204,25,8591
03-07-2020,CA,Canada,AMRO,0,104204,0,8591
