date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,CN,China,WPRO,0,0,0,0
04-01-2020,CN,China,WPRO,1,1,0,0
05-01-2020,CN,China,WPRO,0,1,0,0
06-01-2020,CN,China,WPRO,3,4,0,0
07-01-2020,CN,China,WPRO,0,4,0,0
08-01-2020,CN,China,WPRO,0,4,0,0
09-01-2020,CN,China,WPRO,0,4,0,0
10-01-2020,CN,China,WPRO,0,4,0,0
11-01-2020,CN,China,WPRO,0,4,0,0
12-01-2020,CN,China,WPRO,41,45,1,1
13-01-2020,CN,China,WPRO,0,45,0,1
14-01-2020,CN,China,WPRO,0,45,0,1
15-01-2020,CN,China,WPRO,0,45,0,1
16-01-2020,CN,China,WPRO,0,45,0,1
17-01-2020,CN,China,WPRO,4,49,1,2
18-01-2020,CN,China,WPRO,0,49,0,2
19-01-2020,CN,China,WPRO,76,125,1,3
20-01-2020,CN,China,WPRO,77,202,1,4
21-01-2020,CN,China,WPRO,93,295,2,6
22-01-2020,CN,China,WPRO,147,442,11,17
23-01-2020,CN,China,WPRO,132,574,1,18
24-01-2020,CN,China,WPRO,261,835,8,26
25-01-2020,CN,China,WPRO,462,1297,16,42
26-01-2020,CN,China,WPRO,688,1985,14,56
27-01-2020,CN,China,WPRO,776,2761,26,82
28-01-2020,CN,China,WPRO,1772,4533,49,131
29-01-2020,CN,China,WPRO,1464,5997,2,133
30-01-2020,CN,China,WPRO,1739,7736,38,171
31-01-2020,CN,China,WPRO,1984,9720,42,213
01-02-2020,CN,China,WPRO,2101,11821,46,259
02-02-2020,CN,China,WPRO,2590,14411,102,361
03-02-2020,CN,China,WPRO,2827,17238,64,425
04-02-2020,CN,China,WPRO,3233,20471,66,491
05-02-2020,CN,China,WPRO,3892,24363,72,563
06-02-2020,CN,China,WPRO,3697,28060,70,633
07-02-2020,CN,China,WPRO,3151,31211,85,718
08-02-2020,CN,China,WPRO,3387,34598,87,805
09-02-2020,CN,China,WPRO,2653,37251,100,905
10-02-2020,CN,China,WPRO,2984,40235,107,1012
11-02-2020,CN,China,WPRO,2473,42708,100,1112
12-02-2020,CN,China,WPRO,2022,44730,5,1117
13-02-2020,CN,China,WPRO,15152,59882,252,1369
14-02-2020,CN,China,WPRO,4050,63932,152,1521
15-02-2020,CN,China,WPRO,2644,66576,142,1663
16-02-2020,CN,China,WPRO,2008,68584,104,1767
17-02-2020,CN,China,WPRO,2051,70635,98,1865
18-02-2020,CN,China,WPRO,1893,72528,139,2004
19-02-2020,CN,China,WPRO,1750,74278,113,2117
20-02-2020,CN,China,WPRO,397,74675,122,2239
21-02-2020,CN,China,WPRO,893,75568,0,2239
22-02-2020,CN,China,WPRO,825,76393,205,2444
23-02-2020,CN,China,WPRO,649,77042,2,2446
