date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,CO,Colombia,AMRO,0,0,0,0
04-01-2020,CO,Colombia,AMRO,0,0,0,0
05-01-2020,CO,Colombia,AMRO,0,0,0,0
06-01-2020,CO,Colombia,AMRO,0,0,0,0
07-01-2020,CO,Colombia,AMRO,0,0,0,0
08-01-2020,CO,Colombia,AMRO,0,0,0,0
09-01-2020,CO,Colombia,AMRO,0,0,0,0
10-01-2020,CO,Colombia,AMRO,0,0,0,0
11-01-2020,CO,Colombia,AMRO,0,0,0,0
12-01-2020,CO,Colombia,AMRO,0,0,0,0
13-01-2020,CO,Colombia,AMRO,0,0,0,0
14-01-2020,CO,Colombia,AMRO,0,0,0,0
15-01-2020,CO,Colombia,AMRO,0,0,0,0
16-01-2020,CO,Colombia,AMRO,0,0,0,0
17-01-2020,CO,Colombia,AMRO,0,0,0,0
18-01-2020,CO,Colombia,AMRO,0,0,0,0
19-01-2020,CO,Colombia,AMRO,0,0,0,0
20-01-2020,CO,Colombia,AMRO,0,0,0,0
21-01-2020,CO,Colombia,AMRO,0,0,0,0
22-01-2020,CO,Colombia,AMRO,0,0,0,0
23-01-2020,CO,Colombia,AMRO,0,0,0,0
24-01-2020,CO,Colombia,AMRO,0,0,0,0
25-01-2020,CO,Colombia,AMRO,0,0,0,0
26-01-2020,CO,Colombia,AMRO,0,0,0,0
27-01-2020,CO,Colombia,AMRO,0,0,0,0
28-01-2020,CO,Colombia,AMRO,0,0,0,0
29-01-2020,CO,Colombia,AMRO,0,0,0,0
30-01-2020,CO,Colombia,AMRO,0,0,0,0
31-01-2020,CO,Colombia,AMRO,0,0,0,0
01-02-2020,CO,Colombia,AMRO,0,0,0,0
02-02-2020,CO,Colombia,AMRO,0,0,0,0
03-02-2020,CO,Colombia,AMRO,0,0,0,0
04-02-2020,CO,Colombia,AMRO,0,0,0,0
05-02-2020,CO,Colombia,AMRO,0,0,0,0
06-02-2020,CO,Colombia,AMRO,0,0,0,0
07-02-2020,CO,Colombia,AMRO,0,0,0,0
08-02-2020,CO,Colombia,AMRO,0,0,0,0
09-02-2020,CO,Colombia,AMRO,0,0,0,0
10-02-2020,CO,Colombia,AMRO,0,0,0,0
11-02-2020,CO,Colombia,AMRO,0,0,0,0
12-02-2020,CO,Colombia,AMRO,0,0,0,0
13-02-2020,CO,Colombia,AMRO,0,0,0,0
14-02-2020,CO,Colombia,AMRO,0,0,0,0
15-02-2020,CO,Colombia,AMRO,0,0,0,0
16-02-2020,CO,Colombia,AMRO,0,0,0,0
17-02-2020,CO,Colombia,AMRO,0,0,0,0
18-02-2020,CO,Colombia,AMRO,0,0,0,0
19-02-2020,CO,Colombia,AMRO,0,0,0,0
20-02-2020,CO,Colombia,AMRO,0,0,0,0
21-02-2020,CO,Colombia,AMRO,0,0,0,0
22-02-2020,CO,Colombia,AMRO,0,0,0,0
23-02-2020,CO,Colombia,AMRO,0,0,0,0
24-02-2020,CO,Colombia,AMRO,0,0,0,0
25-02-2020,CO,Colombia,AMRO,0,0,0,0
26-02-2020,CO,Colombia,AMRO,0,0,0,0
27-02-2020,CO,Colombia,AMRO,0,0,0,0
28-02-2020,CO,Colombia,AMRO,0,0,0,0
29-02-2020,CO,Colombia,AMRO,0,0,0,0
01-03-2020,CO,Colombia,AMRO,0,0,0,0
02-03-2020,CO,Colombia,AMRO,0,0,0,0
03-03-2020,CO,Colombia,AMRO,0,0,0,0
04-03-2020,CO,Colombia,AMRO,0,0,0,0
05-03-2020,CO,Colombia,AMRO,0,0,0,0
06-03-2020,CO,Colombia,AMRO,5,5,0,0
07-03-2020,CO,Colombia,AMRO,0,5,0,0
08-03-2020,CO,Colombia,AMRO,0,5,0,0
09-03-2020,CO,Colombia,AMRO,0,5,0,0
10-03-2020,CO,Colombia,AMRO,2,7,0,0
11-03-2020,CO,Colombia,AMRO,0,7,0,0
12-03-2020,CO,Colombia,AMRO,6,13,0,0
13-03-2020,CO,Colombia,AMRO,7,20,0,0
14-03-2020,CO,Colombia,AMRO,8,28,0,0
15-03-2020,CO,Colombia,AMRO,0,28,0,0
16-03-2020,CO,Colombia,AMRO,10,38,0,0
17-03-2020,CO,Colombia,AMRO,11,49,0,0
18-03-2020,CO,Colombia,AMRO,20,69,0,0
19-03-2020,CO,Colombia,AMRO,39,108,0,0
20-03-2020,CO,Colombia,AMRO,37,145,0,0
21-03-2020,CO,Colombia,AMRO,51,196,0,0
22-03-2020,CO,Colombia,AMRO,0,196,0,0
23-03-2020,CO,Colombia,AMRO,0,196,2,2
24-03-2020,CO,Colombia,AMRO,81,277,1,3
25-03-2020,CO,Colombia,AMRO,29,306,0,3
26-03-2020,CO,Colombia,AMRO,164,470,1,4
27-03-2020,CO,Colombia,AMRO,0,470,0,4
28-03-2020,CO,Colombia,AMRO,21,491,2,6
29-03-2020,CO,Colombia,AMRO,48,539,0,6
30-03-2020,CO,Colombia,AMRO,69,608,0,6
31-03-2020,CO,Colombia,AMRO,94,702,4,10
01-04-2020,CO,Colombia,AMRO,96,798,4,14
02-04-2020,CO,Colombia,AMRO,108,906,2,16
03-04-2020,CO,Colombia,AMRO,159,1065,1,17
04-04-2020,CO,Colombia,AMRO,96,1161,2,19
05-04-2020,CO,Colombia,AMRO,106,1267,6,25
06-04-2020,CO,Colombia,AMRO,139,1406,7,32
07-04-2020,CO,Colombia,AMRO,79,1485,3,35
08-04-2020,CO,Colombia,AMRO,94,1579,11,46
09-04-2020,CO,Colombia,AMRO,201,1780,4,50
10-04-2020,CO,Colombia,AMRO,274,2054,5,55
11-04-2020,CO,Colombia,AMRO,169,2223,14,69
12-04-2020,CO,Colombia,AMRO,250,2473,11,80
13-04-2020,CO,Colombia,AMRO,236,2709,20,100
14-04-2020,CO,Colombia,AMRO,67,2776,9,109
15-04-2020,CO,Colombia,AMRO,76,2852,3,112
16-04-2020,CO,Colombia,AMRO,127,2979,15,127
17-04-2020,CO,Colombia,AMRO,126,3105,4,131
18-04-2020,CO,Colombia,AMRO,128,3233,13,144
19-04-2020,CO,Colombia,AMRO,206,3439,9,153
20-04-2020,CO,Colombia,AMRO,182,3621,13,166
21-04-2020,CO,Colombia,AMRO,171,3792,13,179
22-04-2020,CO,Colombia,AMRO,185,3977,10,189
23-04-2020,CO,Colombia,AMRO,172,4149,7,196
24-04-2020,CO,Colombia,AMRO,207,4356,10,206
25-04-2020,CO,Colombia,AMRO,205,4561,9,215
26-04-2020,CO,Colombia,AMRO,320,4881,10,225
27-04-2020,CO,Colombia,AMRO,261,5142,8,233
28-04-2020,CO,Colombia,AMRO,237,5379,11,244
29-04-2020,CO,Colombia,AMRO,218,5597,9,253
30-04-2020,CO,Colombia,AMRO,352,5949,16,269
