date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,HR,Croatia,EURO,0,0,0,0
04-01-2020,HR,Croatia,EURO,0,0,0,0
05-01-2020,HR,Croatia,EURO,0,0,0,0
06-01-2020,HR,Croatia,EURO,0,0,0,0
07-01-2020,HR,Croatia,EURO,0,0,0,0
08-01-2020,HR,Croatia,EURO,0,0,0,0
09-01-2020,HR,Croatia,EURO,0,0,0,0
10-01-2020,HR,Croatia,EURO,0,0,0,0
11-01-2020,HR,Croatia,EURO,0,0,0,0
12-01-2020,HR,Croatia,EURO,0,0,0,0
13-01-2020,HR,Croatia,EURO,0,0,0,0
14-01-2020,HR,Croatia,EURO,0,0,0,0
15-01-2020,HR,Croatia,EURO,0,0,0,0
16-01-2020,HR,Croatia,EURO,0,0,0,0
17-01-2020,HR,Croatia,EURO,0,0,0,0
18-01-2020,HR,Croatia,EURO,0,0,0,0
19-01-2020,HR,Croatia,EURO,0,0,0,0
20-01-2020,HR,Croatia,EURO,0,0,0,0
21-01-2020,HR,Croatia,EURO,0,0,0,0
22-01-2020,HR,Croatia,EURO,0,0,0,0
23-01-2020,HR,Croatia,EURO,0,0,0,0
24-01-2020,HR,Croatia,EURO,0,0,0,0
25-01-2020,HR,Croatia,EURO,0,0,0,0
26-01-2020,HR,Croatia,EURO,0,0,0,0
27-01-2020,HR,Croatia,EURO,0,0,0,0
28-01-2020,HR,Croatia,EURO,0,0,0,0
29-01-2020,HR,Croatia,EURO,0,0,0,0
30-01-2020,HR,Croatia,EURO,0,0,0,0
31-01-2020,HR,Croatia,EURO,0,0,0,0
01-02-2020,HR,Croatia,EURO,0,0,0,0
02-02-2020,HR,Croatia,EURO,0,0,0,0
03-02-2020,HR,Croatia,EURO,0,0,0,0
04-02-2020,HR,Croatia,EURO,0,0,0,0
05-02-2020,HR,Croatia,EURO,0,0,0,0
06-02-2020,HR,Croatia,EURO,0,0,0,0
07-02-2020,HR,Croatia,EURO,0,0,0,0
08-02-2020,HR,Croatia,EURO,0,0,0,0
09-02-2020,HR,Croatia,EURO,0,0,0,0
10-02-2020,HR,Croatia,EURO,0,0,0,0
11-02-2020,HR,Croatia,EURO,0,0,0,0
12-02-2020,HR,Croatia,EURO,0,0,0,0
13-02-2020,HR,Croatia,EURO,0,0,0,0
14-02-2020,HR,Croatia,EURO,0,0,0,0
15-02-2020,HR,Croatia,EURO,0,0,0,0
16-02-2020,HR,Croatia,EURO,0,0,0,0
17-02-2020,HR,Croatia,EURO,0,0,0,0
18-02-2020,HR,Croatia,EURO,0,0,0,0
19-02-2020,HR,Croatia,EURO,0,0,0,0
20-02-2020,HR,Croatia,EURO,0,0,0,0
21-02-2020,HR,Croatia,EURO,0,0,0,0
22-02-2020,HR,Croatia,EURO,0,0,0,0
23-02-2020,HR,Croatia,EURO,0,0,0,0
24-02-2020,HR,Croatia,EURO,0,0,0,0
25-02-2020,HR,Croatia,EURO,0,0,0,0
26-02-2020,HR,Croatia,EURO,1,1,0,0
27-02-2020,HR,Croatia,EURO,1,2,0,0
28-02-2020,HR,Croatia,EURO,1,3,0,0
29-02-2020,HR,Croatia,EURO,2,5,0,0
01-03-2020,HR,Croatia,EURO,0,5,0,0
02-03-2020,HR,Croatia,EURO,2,7,0,0
03-03-2020,HR,Croatia,EURO,1,8,0,0
04-03-2020,HR,Croatia,EURO,1,9,0,0
05-03-2020,HR,Croatia,EURO,0,9,0,0
06-03-2020,HR,Croatia,EURO,1,10,0,0
07-03-2020,HR,Croatia,EURO,1,11,0,0
08-03-2020,HR,Croatia,EURO,1,12,0,0
09-03-2020,HR,Croatia,EURO,0,12,0,0
10-03-2020,HR,Croatia,EURO,0,12,0,0
11-03-2020,HR,Croatia,EURO,1,13,0,0
12-03-2020,HR,Croatia,EURO,3,16,0,0
13-03-2020,HR,Croatia,EURO,9,25,0,0
14-03-2020,HR,Croatia,EURO,6,31,0,0
15-03-2020,HR,Croatia,EURO,6,37,0,0
16-03-2020,HR,Croatia,EURO,11,48,0,0
17-03-2020,HR,Croatia,EURO,8,56,0,0
18-03-2020,HR,Croatia,EURO,13,69,0,0
19-03-2020,HR,Croatia,EURO,12,81,0,0
20-03-2020,HR,Croatia,EURO,23,104,0,0
21-03-2020,HR,Croatia,EURO,22,126,0,0
22-03-2020,HR,Croatia,EURO,80,206,0,0
23-03-2020,HR,Croatia,EURO,29,235,0,0
24-03-2020,HR,Croatia,EURO,71,306,0,0
25-03-2020,HR,Croatia,EURO,76,382,1,1
26-03-2020,HR,Croatia,EURO,36,418,0,1
27-03-2020,HR,Croatia,EURO,77,495,1,2
28-03-2020,HR,Croatia,EURO,91,586,1,3
29-03-2020,HR,Croatia,EURO,71,657,2,5
30-03-2020,HR,Croatia,EURO,56,713,1,6
31-03-2020,HR,Croatia,EURO,77,790,0,6
01-04-2020,HR,Croatia,EURO,77,867,0,6
02-04-2020,HR,Croatia,EURO,96,963,0,6
03-04-2020,HR,Croatia,EURO,48,1011,1,7
04-04-2020,HR,Croatia,EURO,68,1079,1,8
05-04-2020,HR,Croatia,EURO,47,1126,4,12
06-04-2020,HR,Croatia,EURO,56,1182,3,15
07-04-2020,HR,Croatia,EURO,40,1222,1,16
08-04-2020,HR,Croatia,EURO,60,1282,2,18
09-04-2020,HR,Croatia,EURO,61,1343,1,19
10-04-2020,HR,Croatia,EURO,64,1407,1,20
11-04-2020,HR,Croatia,EURO,88,1495,1,21
12-04-2020,HR,Croatia,EURO,39,1534,0,21
13-04-2020,HR,Croatia,EURO,66,1600,2,23
14-04-2020,HR,Croatia,EURO,50,1650,2,25
15-04-2020,HR,Croatia,EURO,54,1704,6,31
16-04-2020,HR,Croatia,EURO,37,1741,3,34
17-04-2020,HR,Croatia,EURO,50,1791,1,35
18-04-2020,HR,Croatia,EURO,23,1814,1,36
