date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,EC,Ecuador,AMRO,0,0,0,0
04-01-2020,EC,Ecuador,AMRO,0,0,0,0
05-01-2020,EC,Ecuador,AMRO,0,0,0,0
06-01-2020,EC,Ecuador,AMRO,0,0,0,0
07-01-2020,EC,Ecuador,AMRO,0,0,0,0
08-01-2020,EC,Ecuador,AMRO,0,0,0,0
09-01-2020,EC,Ecuador,AMRO,0,0,0,0
10-01-2020,EC,Ecuador,AMRO,0,0,0,0
11-01-2020,EC,Ecuador,AMRO,0,0,0,0
12-01-2020,EC,Ecuador,AMRO,0,0,0,0
13-01-2020,EC,Ecuador,AMRO,0,0,0,0
14-01-2020,EC,Ecuador,AMRO,0,0,0,0
15-01-2020,EC,Ecuador,AMRO,0,0,0,0
16-01-2020,EC,Ecuador,AMRO,0,0,0,0
17-01-2020,EC,Ecuador,AMRO,0,0,0,0
18-01-2020,EC,Ecuador,AMRO,0,0,0,0
19-01-2020,EC,Ecuador,AMRO,0,0,0,0
20-01-2020,EC,Ecuador,AMRO,0,0,0,0
21-01-2020,EC,Ecuador,AMRO,0,0,0,0
22-01-2020,EC,Ecuador,AMRO,0,0,0,0
23-01-2020,EC,Ecuador,AMRO,0,0,0,0
24-01-2020,EC,Ecuador,AMRO,0,0,0,0
25-01-2020,EC,Ecuador,AMRO,0,0,0,0
26-01-2020,EC,Ecuador,AMRO,0,0,0,0
27-01-2020,EC,Ecuador,AMRO,0,0,0,0
28-01-2020,EC,Ecuador,AMRO,0,0,0,0
29-01-2020,EC,Ecuador,AMRO,0,0,0,0
30-01-2020,EC,Ecuador,AMRO,0,0,0,0
31-01-2020,EC,Ecuador,AMRO,0,0,0,0
01-02-2020,EC,Ecuador,AMRO,0,0,0,0
02-02-2020,EC,Ecuador,AMRO,0,0,0,0
03-02-2020,EC,Ecuador,AMRO,0,0,0,0
04-02-2020,EC,Ecuador,AMRO,0,0,0,0
05-02-2020,EC,Ecuador,AMRO,0,0,0,0
06-02-2020,EC,Ecuador,AMRO,0,0,0,0
07-02-2020,EC,Ecuador,AMRO,0,0,0,0
08-02-2020,EC,Ecuador,AMRO,0,0,0,0
09-02-2020,EC,Ecuador,AMRO,0,0,0,0
10-02-2020,EC,Ecuador,AMRO,0,0,0,0
11-02-2020,EC,Ecuador,AMRO,0,0,0,0
12-02-2020,EC,Ecuador,AMRO,0,0,0,0
13-02-2020,EC,Ecuador,AMRO,0,0,0,0
14-02-2020,EC,Ecuador,AMRO,0,0,0,0
15-02-2020,EC,Ecuador,AMRO,0,0,0,0
16-02-2020,EC,Ecuador,AMRO,0,0,0,0
17-02-2020,EC,Ecuador,AMRO,0,0,0,0
18-02-2020,EC,Ecuador,AMRO,0,0,0,0
19-02-2020,EC,Ecuador,AMRO,0,0,0,0
20-02-2020,EC,Ecuador,AMRO,0,0,0,0
21-02-2020,EC,Ecuador,AMRO,0,0,0,0
22-02-2020,EC,Ecuador,AMRO,0,0,0,0
23-02-2020,EC,Ecuador,AMRO,0,0,0,0
24-02-2020,EC,Ecuador,AMRO,0,0,0,0
25-02-2020,EC,Ecuador,AMRO,0,0,0,0
26-02-2020,EC,Ecuador,AMRO,0,0,0,0
27-02-2020,EC,Ecuador,AMRO,0,0,0,0
28-02-2020,EC,Ecuador,AMRO,0,0,0,0
29-02-2020,EC,Ecuador,AMRO,5,5,0,0
01-03-2020,EC,Ecuador,AMRO,0,5,0,0
02-03-2020,EC,Ecuador,AMRO,5,10,0,0
03-03-2020,EC,Ecuador,AMRO,1,11,0,0
04-03-2020,EC,Ecuador,AMRO,0,11,0,0
05-03-2020,EC,Ecuador,AMRO,6,17,0,0
06-03-2020,EC,Ecuador,AMRO,0,17,0,0
07-03-2020,EC,Ecuador,AMRO,1,18,0,0
08-03-2020,EC,Ecuador,AMRO,0,18,0,0
09-03-2020,EC,Ecuador,AMRO,1,19,0,0
10-03-2020,EC,Ecuador,AMRO,0,19,0,0
11-03-2020,EC,Ecuador,AMRO,0,19,0,0
12-03-2020,EC,Ecuador,AMRO,2,21,0,0
13-03-2020,EC,Ecuador,AMRO,6,27,0,0
14-03-2020,EC,Ecuador,AMRO,0,27,0,0
15-03-2020,EC,Ecuador,AMRO,0,27,0,0
16-03-2020,EC,Ecuador,AMRO,14,41,2,2
17-03-2020,EC,Ecuador,AMRO,21,62,0,2
18-03-2020,EC,Ecuador,AMRO,97,159,0,2
19-03-2020,EC,Ecuador,AMRO,-4,155,1,3
20-03-2020,EC,Ecuador,AMRO,212,367,2,5
21-03-2020,EC,Ecuador,AMRO,139,506,2,7
22-03-2020,EC,Ecuador,AMRO,0,506,0,7
23-03-2020,EC,Ecuador,AMRO,26,532,0,7
24-03-2020,EC,Ecuador,AMRO,258,790,1,8
25-03-2020,EC,Ecuador,AMRO,0,790,0,8
26-03-2020,EC,Ecuador,AMRO,421,1211,0,8
27-03-2020,EC,Ecuador,AMRO,0,1211,0,8
28-03-2020,EC,Ecuador,AMRO,384,1595,0,8
29-03-2020,EC,Ecuador,AMRO,228,1823,0,8
30-03-2020,EC,Ecuador,AMRO,12,1835,0,8
31-03-2020,EC,Ecuador,AMRO,127,1962,0,8
01-04-2020,EC,Ecuador,AMRO,278,2240,0,8
02-04-2020,EC,Ecuador,AMRO,132,2372,71,79
03-04-2020,EC,Ecuador,AMRO,791,3163,41,120
04-04-2020,EC,Ecuador,AMRO,0,3163,0,120
05-04-2020,EC,Ecuador,AMRO,302,3465,52,172
06-04-2020,EC,Ecuador,AMRO,0,3465,0,172
07-04-2020,EC,Ecuador,AMRO,282,3747,19,191
08-04-2020,EC,Ecuador,AMRO,0,3747,0,191
09-04-2020,EC,Ecuador,AMRO,703,4450,51,242
10-04-2020,EC,Ecuador,AMRO,515,4965,30,272
11-04-2020,EC,Ecuador,AMRO,2196,7161,25,297
12-04-2020,EC,Ecuador,AMRO,96,7257,18,315
13-04-2020,EC,Ecuador,AMRO,209,7466,18,333
14-04-2020,EC,Ecuador,AMRO,63,7529,22,355
15-04-2020,EC,Ecuador,AMRO,74,7603,14,369
16-04-2020,EC,Ecuador,AMRO,255,7858,19,388
17-04-2020,EC,Ecuador,AMRO,367,8225,15,403
18-04-2020,EC,Ecuador,AMRO,225,8450,18,421
19-04-2020,EC,Ecuador,AMRO,572,9022,35,456
20-04-2020,EC,Ecuador,AMRO,446,9468,18,474
21-04-2020,EC,Ecuador,AMRO,660,10128,33,507
22-04-2020,EC,Ecuador,AMRO,270,10398,13,520
23-04-2020,EC,Ecuador,AMRO,452,10850,17,537
24-04-2020,EC,Ecuador,AMRO,333,11183,23,560
25-04-2020,EC,Ecuador,AMRO,11536,22719,16,576
26-04-2020,EC,Ecuador,AMRO,0,22719,0,576
27-04-2020,EC,Ecuador,AMRO,0,22719,0,576
28-04-2020,EC,Ecuador,AMRO,521,23240,87,663
29-04-2020,EC,Ecuador,AMRO,1018,24258,208,871
30-04-2020,EC,Ecuador,AMRO,417,24675,12,883
01-05-2020,EC,Ecuador,AMRO,259,24934,17,900
02-05-2020,EC,Ecuador,AMRO,1402,26336,163,1063
03-05-2020,EC,Ecuador,AMRO,1128,27464,308,1371
04-05-2020,EC,Ecuador,AMRO,2074,29538,193,1564
05-05-2020,EC,Ecuador,AMRO,2343,31881,5,1569
06-05-2020,EC,Ecuador,AMRO,0,31881,0,1569
07-05-2020,EC,Ecuador,AMRO,-2461,29420,49,1618
08-05-2020,EC,Ecuador,AMRO,878,30298,36,1654
09-05-2020,EC,Ecuador,AMRO,0,30298,0,1654
10-05-2020,EC,Ecuador,AMRO,-1480,28818,50,1704
11-05-2020,EC,Ecuador,AMRO,741,29559,423,2127
12-05-2020,EC,Ecuador,AMRO,-50,29509,18,2145
13-05-2020,EC,Ecuador,AMRO,910,30419,182,2327
14-05-2020,EC,Ecuador,AMRO,67,30486,7,2334
15-05-2020,EC,Ecuador,AMRO,16,30502,4,2338
16-05-2020,EC,Ecuador,AMRO,0,30502,0,2338
17-05-2020,EC,Ecuador,AMRO,965,31467,256,2594
18-05-2020,EC,Ecuador,AMRO,1256,32723,94,2688
19-05-2020,EC,Ecuador,AMRO,459,33182,48,2736
20-05-2020,EC,Ecuador,AMRO,969,34151,103,2839
21-05-2020,EC,Ecuador,AMRO,0,34151,0,2839
22-05-2020,EC,Ecuador,AMRO,703,34854,49,2888
23-05-2020,EC,Ecuador,AMRO,974,35828,168,3056
24-05-2020,EC,Ecuador,AMRO,430,36258,40,3096
25-05-2020,EC,Ecuador,AMRO,498,36756,12,3108
26-05-2020,EC,Ecuador,AMRO,599,37355,95,3203
27-05-2020,EC,Ecuador,AMRO,301,37656,18,3221
