date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,EE,Estonia,EURO,0,0,0,0
04-01-2020,EE,Estonia,EURO,0,0,0,0
05-01-2020,EE,Estonia,EURO,0,0,0,0
06-01-2020,EE,Estonia,EURO,0,0,0,0
07-01-2020,EE,Estonia,EURO,0,0,0,0
08-01-2020,EE,Estonia,EURO,0,0,0,0
09-01-2020,EE,Estonia,EURO,0,0,0,0
10-01-2020,EE,Estonia,EURO,0,0,0,0
11-01-2020,EE,Estonia,EURO,0,0,0,0
12-01-2020,EE,Estonia,EURO,0,0,0,0
13-01-2020,EE,Estonia,EURO,0,0,0,0
14-01-2020,EE,Estonia,EURO,0,0,0,0
15-01-2020,EE,Estonia,EURO,0,0,0,0
16-01-2020,EE,Estonia,EURO,0,0,0,0
17-01-2020,EE,Estonia,EURO,0,0,0,0
18-01-2020,EE,Estonia,EURO,0,0,0,0
19-01-2020,EE,Estonia,EURO,0,0,0,0
20-01-2020,EE,Estonia,EURO,0,0,0,0
21-01-2020,EE,Estonia,EURO,0,0,0,0
22-01-2020,EE,Estonia,EURO,0,0,0,0
23-01-2020,EE,Estonia,EURO,0,0,0,0
24-01-2020,EE,Estonia,EURO,0,0,0,0
25-01-2020,EE,Estonia,EURO,0,0,0,0
26-01-2020,EE,Estonia,EURO,0,0,0,0
27-01-2020,EE,Estonia,EURO,0,0,0,0
28-01-2020,EE,Estonia,EURO,0,0,0,0
29-01-2020,EE,Estonia,EURO,0,0,0,0
30-01-2020,EE,Estonia,EURO,0,0,0,0
31-01-2020,EE,Estonia,EURO,0,0,0,0
01-02-2020,EE,Estonia,EURO,0,0,0,0
02-02-2020,EE,Estonia,EURO,0,0,0,0
03-02-2020,EE,Estonia,EURO,0,0,0,0
04-02-2020,EE,Estonia,EURO,0,0,0,0
05-02-2020,EE,Estonia,EURO,0,0,0,0
06-02-2020,EE,Estonia,EURO,0,0,0,0
07-02-2020,EE,Estonia,EURO,0,0,0,0
08-02-2020,EE,Estonia,EURO,0,0,0,0
09-02-2020,EE,Estonia,EURO,0,0,0,0
10-02-2020,EE,Estonia,EURO,0,0,0,0
11-02-2020,EE,Estonia,EURO,0,0,0,0
12-02-2020,EE,Estonia,EURO,0,0,0,0
13-02-2020,EE,Estonia,EURO,0,0,0,0
14-02-2020,EE,Estonia,EURO,0,0,0,0
15-02-2020,EE,Estonia,EURO,0,0,0,0
16-02-2020,EE,Estonia,EURO,0,0,0,0
17-02-2020,EE,Estonia,EURO,0,0,0,0
18-02-2020,EE,Estonia,EURO,0,0,0,0
19-02-2020,EE,Estonia,EURO,0,0,0,0
20-02-2020,EE,Estonia,EURO,0,0,0,0
21-02-2020,EE,Estonia,EURO,0,0,0,0
22-02-2020,EE,Estonia,EURO,0,0,0,0
23-02-2020,EE,Estonia,EURO,0,0,0,0
24-02-2020,EE,Estonia,EURO,0,0,0,0
25-02-2020,EE,Estonia,EURO,0,0,0,0
26-02-2020,EE,Estonia,EURO,0,0,0,0
27-02-2020,EE,Estonia,EURO,0,0,0,0
28-02-2020,EE,Estonia,EURO,1,1,0,0
29-02-2020,EE,Estonia,EURO,0,1,0,0
01-03-2020,EE,Estonia,EURO,0,1,0,0
02-03-2020,EE,Estonia,EURO,0,1,0,0
03-03-2020,EE,Estonia,EURO,0,1,0,0
04-03-2020,EE,Estonia,EURO,1,2,0,0
05-03-2020,EE,Estonia,EURO,0,2,0,0
06-03-2020,EE,Estonia,EURO,3,5,0,0
07-03-2020,EE,Estonia,EURO,5,10,0,0
08-03-2020,EE,Estonia,EURO,0,10,0,0
09-03-2020,EE,Estonia,EURO,0,10,0,0
10-03-2020,EE,Estonia,EURO,0,10,0,0
11-03-2020,EE,Estonia,EURO,3,13,0,0
12-03-2020,EE,Estonia,EURO,3,16,0,0
13-03-2020,EE,Estonia,EURO,11,27,0,0
14-03-2020,EE,Estonia,EURO,52,79,0,0
15-03-2020,EE,Estonia,EURO,36,115,0,0
16-03-2020,EE,Estonia,EURO,56,171,0,0
17-03-2020,EE,Estonia,EURO,34,205,0,0
18-03-2020,EE,Estonia,EURO,20,225,0,0
19-03-2020,EE,Estonia,EURO,33,258,0,0
20-03-2020,EE,Estonia,EURO,9,267,0,0
21-03-2020,EE,Estonia,EURO,16,283,0,0
22-03-2020,EE,Estonia,EURO,23,306,0,0
23-03-2020,EE,Estonia,EURO,20,326,0,0
24-03-2020,EE,Estonia,EURO,26,352,0,0
25-03-2020,EE,Estonia,EURO,17,369,0,0
26-03-2020,EE,Estonia,EURO,35,404,1,1
27-03-2020,EE,Estonia,EURO,134,538,0,1
28-03-2020,EE,Estonia,EURO,37,575,0,1
29-03-2020,EE,Estonia,EURO,65,640,0,1
30-03-2020,EE,Estonia,EURO,39,679,2,3
31-03-2020,EE,Estonia,EURO,36,715,0,3
01-04-2020,EE,Estonia,EURO,30,745,1,4
02-04-2020,EE,Estonia,EURO,34,779,1,5
03-04-2020,EE,Estonia,EURO,79,858,6,11
04-04-2020,EE,Estonia,EURO,103,961,1,12
05-04-2020,EE,Estonia,EURO,57,1018,1,13
06-04-2020,EE,Estonia,EURO,79,1097,2,15
07-04-2020,EE,Estonia,EURO,11,1108,4,19
08-04-2020,EE,Estonia,EURO,41,1149,2,21
09-04-2020,EE,Estonia,EURO,36,1185,3,24
10-04-2020,EE,Estonia,EURO,22,1207,0,24
11-04-2020,EE,Estonia,EURO,51,1258,0,24
12-04-2020,EE,Estonia,EURO,46,1304,0,24
13-04-2020,EE,Estonia,EURO,5,1309,1,25
14-04-2020,EE,Estonia,EURO,23,1332,3,28
15-04-2020,EE,Estonia,EURO,41,1373,3,31
16-04-2020,EE,Estonia,EURO,29,1402,4,35
17-04-2020,EE,Estonia,EURO,32,1434,1,36
18-04-2020,EE,Estonia,EURO,25,1459,2,38
19-04-2020,EE,Estonia,EURO,53,1512,0,38
20-04-2020,EE,Estonia,EURO,16,1528,2,40
21-04-2020,EE,Estonia,EURO,7,1535,0,40
22-04-2020,EE,Estonia,EURO,17,1552,3,43
23-04-2020,EE,Estonia,EURO,7,1559,1,44
24-04-2020,EE,Estonia,EURO,33,1592,1,45
25-04-2020,EE,Estonia,EURO,13,1605,1,46
26-04-2020,EE,Estonia,EURO,30,1635,0,46
27-04-2020,EE,Estonia,EURO,8,1643,3,49
28-04-2020,EE,Estonia,EURO,4,1647,1,50
29-04-2020,EE,Estonia,EURO,13,1660,0,50
30-04-2020,EE,Estonia,EURO,6,1666,0,50
01-05-2020,EE,Estonia,EURO,23,1689,2,52
02-05-2020,EE,Estonia,EURO,5,1694,0,52
03-05-2020,EE,Estonia,EURO,5,1699,1,53
04-05-2020,EE,Estonia,EURO,1,1700,2,55
05-05-2020,EE,Estonia,EURO,3,1703,0,55
06-05-2020,EE,Estonia,EURO,8,1711,0,55
07-05-2020,EE,Estonia,EURO,2,1713,0,55
