date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,FR,France,EURO,0,0,0,0
04-01-2020,FR,France,EURO,0,0,0,0
05-01-2020,FR,France,EURO,0,0,0,0
06-01-2020,FR,France,EURO,0,0,0,0
07-01-2020,FR,France,EURO,0,0,0,0
08-01-2020,FR,France,EURO,0,0,0,0
09-01-2020,FR,France,EURO,0,0,0,0
10-01-2020,FR,France,EURO,0,0,0,0
11-01-2020,FR,France,EURO,0,0,0,0
12-01-2020,FR,France,EURO,0,0,0,0
13-01-2020,FR,France,EURO,0,0,0,0
14-01-2020,FR,France,EURO,0,0,0,0
15-01-2020,FR,France,EURO,0,0,0,0
16-01-2020,FR,France,EURO,0,0,0,0
17-01-2020,FR,France,EURO,0,0,0,0
18-01-2020,FR,France,EURO,0,0,0,0
19-01-2020,FR,France,EURO,0,0,0,0
20-01-2020,FR,France,EURO,0,0,0,0
21-01-2020,FR,France,EURO,0,0,0,0
22-01-2020,FR,France,EURO,0,0,0,0
23-01-2020,FR,France,EURO,0,0,0,0
24-01-2020,FR,France,EURO,3,3,0,0
25-01-2020,FR,France,EURO,0,3,0,0
26-01-2020,FR,France,EURO,0,3,0,0
27-01-2020,FR,France,EURO,0,3,0,0
28-01-2020,FR,France,EURO,0,3,0,0
29-01-2020,FR,France,EURO,1,4,0,0
30-01-2020,FR,France,EURO,1,5,0,0
31-01-2020,FR,France,EURO,1,6,0,0
01-02-2020,FR,France,EURO,0,6,0,0
02-02-2020,FR,France,EURO,0,6,0,0
03-02-2020,FR,France,EURO,0,6,0,0
04-02-2020,FR,France,EURO,0,6,0,0
05-02-2020,FR,France,EURO,0,6,0,0
06-02-2020,FR,France,EURO,0,6,0,0
07-02-2020,FR,France,EURO,0,6,0,0
08-02-2020,FR,France,EURO,5,11,0,0
09-02-2020,FR,France,EURO,0,11,0,0
10-02-2020,FR,France,EURO,0,11,0,0
11-02-2020,FR,France,EURO,0,11,0,0
12-02-2020,FR,France,EURO,0,11,0,0
13-02-2020,FR,France,EURO,0,11,0,0
14-02-2020,FR,France,EURO,0,11,0,0
15-02-2020,FR,France,EURO,0,11,1,1
16-02-2020,FR,France,EURO,0,11,0,1
17-02-2020,FR,France,EURO,1,12,0,1
18-02-2020,FR,France,EURO,0,12,0,1
19-02-2020,FR,France,EURO,0,12,0,1
20-02-2020,FR,France,EURO,0,12,0,1
21-02-2020,FR,France,EURO,0,12,0,1
22-02-2020,FR,France,EURO,0,12,0,1
23-02-2020,FR,France,EURO,0,12,0,1
24-02-2020,FR,France,EURO,0,12,0,1
25-02-2020,FR,France,EURO,0,12,0,1
26-02-2020,FR,France,EURO,2,14,0,1
27-02-2020,FR,France,EURO,3,17,1,2
28-02-2020,FR,France,EURO,21,38,0,2
29-02-2020,FR,France,EURO,19,57,0,2
01-03-2020,FR,France,EURO,43,100,0,2
02-03-2020,FR,France,EURO,23,123,0,2
03-03-2020,FR,France,EURO,48,171,1,3
04-03-2020,FR,France,EURO,34,205,1,4
05-03-2020,FR,France,EURO,73,278,0,4
06-03-2020,FR,France,EURO,138,416,3,7
07-03-2020,FR,France,EURO,179,595,2,9
08-03-2020,FR,France,EURO,103,698,1,10
09-03-2020,FR,France,EURO,410,1108,9,19
10-03-2020,FR,France,EURO,286,1394,11,30
11-03-2020,FR,France,EURO,371,1765,3,33
12-03-2020,FR,France,EURO,497,2262,15,48
13-03-2020,FR,France,EURO,586,2848,13,61
14-03-2020,FR,France,EURO,770,3618,18,79
15-03-2020,FR,France,EURO,818,4436,12,91
16-03-2020,FR,France,EURO,923,5359,36,127
17-03-2020,FR,France,EURO,1198,6557,21,148
18-03-2020,FR,France,EURO,1070,7627,27,175
19-03-2020,FR,France,EURO,1377,9004,69,244
20-03-2020,FR,France,EURO,1846,10850,128,372
21-03-2020,FR,France,EURO,1595,12445,78,450
22-03-2020,FR,France,EURO,1847,14292,112,562
23-03-2020,FR,France,EURO,1529,15821,112,674
24-03-2020,FR,France,EURO,3794,19615,186,860
25-03-2020,FR,France,EURO,2410,22025,240,1100
26-03-2020,FR,France,EURO,2895,24920,230,1330
27-03-2020,FR,France,EURO,3866,28786,365,1695
28-03-2020,FR,France,EURO,3748,32534,297,1992
29-03-2020,FR,France,EURO,4611,37145,319,2311
30-03-2020,FR,France,EURO,2491,39636,291,2602
31-03-2020,FR,France,EURO,4341,43977,415,3017
01-04-2020,FR,France,EURO,7500,51477,497,3514
02-04-2020,FR,France,EURO,4784,56261,505,4019
03-04-2020,FR,France,EURO,2066,58327,471,4490
04-04-2020,FR,France,EURO,5209,63536,2003,6493
05-04-2020,FR,France,EURO,4221,67757,1053,7546
06-04-2020,FR,France,EURO,1850,69607,518,8064
07-04-2020,FR,France,EURO,3881,73488,832,8896
08-04-2020,FR,France,EURO,3737,77225,1417,10313
09-04-2020,FR,France,EURO,3869,81094,540,10853
10-04-2020,FR,France,EURO,4256,85350,1339,12192
11-04-2020,FR,France,EURO,4333,89683,987,13179
12-04-2020,FR,France,EURO,3104,92787,635,13814
13-04-2020,FR,France,EURO,1595,94382,560,14374
14-04-2020,FR,France,EURO,2669,97051,572,14946
15-04-2020,FR,France,EURO,5483,102534,762,15708
16-04-2020,FR,France,EURO,2621,105155,1438,17146
