date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,GR,Greece,EURO,0,0,0,0
04-01-2020,GR,Greece,EURO,0,0,0,0
05-01-2020,GR,Greece,EURO,0,0,0,0
06-01-2020,GR,Greece,EURO,0,0,0,0
07-01-2020,GR,Greece,EURO,0,0,0,0
08-01-2020,GR,Greece,EURO,0,0,0,0
09-01-2020,GR,Greece,EURO,0,0,0,0
10-01-2020,GR,Greece,EURO,0,0,0,0
11-01-2020,GR,Greece,EURO,0,0,0,0
12-01-2020,GR,Greece,EURO,0,0,0,0
13-01-2020,GR,Greece,EURO,0,0,0,0
14-01-2020,GR,Greece,EURO,0,0,0,0
15-01-2020,GR,Greece,EURO,0,0,0,0
16-01-2020,GR,Greece,EURO,0,0,0,0
17-01-2020,GR,Greece,EURO,0,0,0,0
18-01-2020,GR,Greece,EURO,0,0,0,0
19-01-2020,GR,Greece,EURO,0,0,0,0
20-01-2020,GR,Greece,EURO,0,0,0,0
21-01-2020,GR,Greece,EURO,0,0,0,0
22-01-2020,GR,Greece,EURO,0,0,0,0
23-01-2020,GR,Greece,EURO,0,0,0,0
24-01-2020,GR,Greece,EURO,0,0,0,0
25-01-2020,GR,Greece,EURO,0,0,0,0
26-01-2020,GR,Greece,EURO,0,0,0,0
27-01-2020,GR,Greece,EURO,0,0,0,0
28-01-2020,GR,Greece,EURO,0,0,0,0
29-01-2020,GR,Greece,EURO,0,0,0,0
30-01-2020,GR,Greece,EURO,0,0,0,0
31-01-2020,GR,Greece,EURO,0,0,0,0
01-02-2020,GR,Greece,EURO,0,0,0,0
02-02-2020,GR,Greece,EURO,0,0,0,0
03-02-2020,GR,Greece,EURO,0,0,0,0
04-02-2020,GR,Greece,EURO,0,0,0,0
05-02-2020,GR,Greece,EURO,0,0,0,0
06-02-2020,GR,Greece,EURO,0,0,0,0
07-02-2020,GR,Greece,EURO,0,0,0,0
08-02-2020,GR,Greece,EURO,0,0,0,0
09-02-2020,GR,Greece,EURO,0,0,0,0
10-02-2020,GR,Greece,EURO,0,0,0,0
11-02-2020,GR,Greece,EURO,0,0,0,0
12-02-2020,GR,Greece,EURO,0,0,0,0
13-02-2020,GR,Greece,EURO,0,0,0,0
14-02-2020,GR,Greece,EURO,0,0,0,0
15-02-2020,GR,Greece,EURO,0,0,0,0
16-02-2020,GR,Greece,EURO,0,0,0,0
17-02-2020,GR,Greece,EURO,0,0,0,0
18-02-2020,GR,Greece,EURO,0,0,0,0
19-02-2020,GR,Greece,EURO,0,0,0,0
20-02-2020,GR,Greece,EURO,0,0,0,0
21-02-2020,GR,Greece,EURO,0,0,0,0
22-02-2020,GR,Greece,EURO,0,0,0,0
23-02-2020,GR,Greece,EURO,0,0,0,0
24-02-2020,GR,Greece,EURO,0,0,0,0
25-02-2020,GR,Greece,EURO,0,0,0,0
26-02-2020,GR,Greece,EURO,0,0,0,0
27-02-2020,GR,Greece,EURO,1,1,0,0
28-02-2020,GR,Greece,EURO,2,3,0,0
29-02-2020,GR,Greece,EURO,1,4,0,0
01-03-2020,GR,Greece,EURO,1,5,0,0
02-03-2020,GR,Greece,EURO,2,7,0,0
03-03-2020,GR,Greece,EURO,0,7,0,0
04-03-2020,GR,Greece,EURO,1,8,0,0
05-03-2020,GR,Greece,EURO,1,9,0,0
06-03-2020,GR,Greece,EURO,22,31,0,0
07-03-2020,GR,Greece,EURO,14,45,0,0
08-03-2020,GR,Greece,EURO,21,66,0,0
09-03-2020,GR,Greece,EURO,18,84,0,0
10-03-2020,GR,Greece,EURO,0,84,0,0
11-03-2020,GR,Greece,EURO,5,89,0,0
12-03-2020,GR,Greece,EURO,10,99,0,0
13-03-2020,GR,Greece,EURO,18,117,1,1
14-03-2020,GR,Greece,EURO,73,190,0,1
15-03-2020,GR,Greece,EURO,38,228,2,3
16-03-2020,GR,Greece,EURO,103,331,1,4
17-03-2020,GR,Greece,EURO,21,352,0,4
18-03-2020,GR,Greece,EURO,35,387,1,5
19-03-2020,GR,Greece,EURO,31,418,0,5
20-03-2020,GR,Greece,EURO,46,464,1,6
21-03-2020,GR,Greece,EURO,31,495,3,9
22-03-2020,GR,Greece,EURO,35,530,4,13
23-03-2020,GR,Greece,EURO,94,624,2,15
24-03-2020,GR,Greece,EURO,71,695,2,17
25-03-2020,GR,Greece,EURO,48,743,3,20
26-03-2020,GR,Greece,EURO,92,835,2,22
27-03-2020,GR,Greece,EURO,57,892,5,27
28-03-2020,GR,Greece,EURO,74,966,1,28
29-03-2020,GR,Greece,EURO,95,1061,4,32
30-03-2020,GR,Greece,EURO,95,1156,6,38
31-03-2020,GR,Greece,EURO,56,1212,5,43
01-04-2020,GR,Greece,EURO,102,1314,6,49
02-04-2020,GR,Greece,EURO,101,1415,1,50
03-04-2020,GR,Greece,EURO,129,1544,3,53
04-04-2020,GR,Greece,EURO,69,1613,6,59
05-04-2020,GR,Greece,EURO,60,1673,9,68
06-04-2020,GR,Greece,EURO,62,1735,5,73
07-04-2020,GR,Greece,EURO,20,1755,6,79
08-04-2020,GR,Greece,EURO,77,1832,2,81
09-04-2020,GR,Greece,EURO,52,1884,2,83
10-04-2020,GR,Greece,EURO,71,1955,3,86
11-04-2020,GR,Greece,EURO,56,2011,4,90
12-04-2020,GR,Greece,EURO,72,2083,3,93
13-04-2020,GR,Greece,EURO,33,2116,5,98
14-04-2020,GR,Greece,EURO,31,2147,1,99
15-04-2020,GR,Greece,EURO,25,2172,2,101
16-04-2020,GR,Greece,EURO,22,2194,1,102
17-04-2020,GR,Greece,EURO,15,2209,3,105
18-04-2020,GR,Greece,EURO,17,2226,3,108
19-04-2020,GR,Greece,EURO,11,2237,2,110
20-04-2020,GR,Greece,EURO,0,2237,3,113
21-04-2020,GR,Greece,EURO,10,2247,3,116
22-04-2020,GR,Greece,EURO,156,2403,5,121
23-04-2020,GR,Greece,EURO,7,2410,0,121
24-04-2020,GR,Greece,EURO,55,2465,4,125
25-04-2020,GR,Greece,EURO,27,2492,5,130
26-04-2020,GR,Greece,EURO,16,2508,0,130
27-04-2020,GR,Greece,EURO,11,2519,4,134
28-04-2020,GR,Greece,EURO,17,2536,2,136
29-04-2020,GR,Greece,EURO,32,2568,2,138
30-04-2020,GR,Greece,EURO,10,2578,1,139
01-05-2020,GR,Greece,EURO,15,2593,1,140
02-05-2020,GR,Greece,EURO,21,2614,0,140
03-05-2020,GR,Greece,EURO,8,2622,3,143
04-05-2020,GR,Greece,EURO,6,2628,1,144
05-05-2020,GR,Greece,EURO,6,2634,2,146
