date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,IS,Iceland,EURO,0,0,0,0
04-01-2020,IS,Iceland,EURO,0,0,0,0
05-01-2020,IS,Iceland,EURO,0,0,0,0
06-01-2020,IS,Iceland,EURO,0,0,0,0
07-01-2020,IS,Iceland,EURO,0,0,0,0
08-01-2020,IS,Iceland,EURO,0,0,0,0
09-01-2020,IS,Iceland,EURO,0,0,0,0
10-01-2020,IS,Iceland,EURO,0,0,0,0
11-01-2020,IS,Iceland,EURO,0,0,0,0
12-01-2020,IS,Iceland,EURO,0,0,0,0
13-01-2020,IS,Iceland,EURO,0,0,0,0
14-01-2020,IS,Iceland,EURO,0,0,0,0
15-01-2020,IS,Iceland,EURO,0,0,0,0
16-01-2020,IS,Iceland,EURO,0,0,0,0
17-01-2020,IS,Iceland,EURO,0,0,0,0
18-01-2020,IS,Iceland,EURO,0,0,0,0
19-01-2020,IS,Iceland,EURO,0,0,0,0
20-01-2020,IS,Iceland,EURO,0,0,0,0
21-01-2020,IS,Iceland,EURO,0,0,0,0
22-01-2020,IS,Iceland,EURO,0,0,0,0
23-01-2020,IS,Iceland,EURO,0,0,0,0
24-01-2020,IS,Iceland,EURO,0,0,0,0
25-01-2020,IS,Iceland,EURO,0,0,0,0
26-01-2020,IS,Iceland,EURO,0,0,0,0
27-01-2020,IS,Iceland,EURO,0,0,0,0
28-01-2020,IS,Iceland,EURO,0,0,0,0
29-01-2020,IS,Iceland,EURO,0,0,0,0
30-01-2020,IS,Iceland,EURO,0,0,0,0
31-01-2020,IS,Iceland,EURO,0,0,0,0
01-02-2020,IS,Iceland,EURO,0,0,0,0
02-02-2020,IS,Iceland,EURO,0,0,0,0
03-02-2020,IS,Iceland,EURO,0,0,0,0
04-02-2020,IS,Iceland,EURO,0,0,0,0
05-02-2020,IS,Iceland,EURO,0,0,0,0
06-02-2020,IS,Iceland,EURO,0,0,0,0
07-02-2020,IS,Iceland,EURO,0,0,0,0
08-02-2020,IS,Iceland,EURO,0,0,0,0
09-02-2020,IS,Iceland,EURO,0,0,0,0
10-02-2020,IS,Iceland,EURO,0,0,0,0
11-02-2020,IS,Iceland,EURO,0,0,0,0
12-02-2020,IS,Iceland,EURO,0,0,0,0
13-02-2020,IS,Iceland,EURO,0,0,0,0
14-02-2020,IS,Iceland,EURO,0,0,0,0
15-02-2020,IS,Iceland,EURO,0,0,0,0
16-02-2020,IS,Iceland,EURO,0,0,0,0
17-02-2020,IS,Iceland,EURO,0,0,0,0
18-02-2020,IS,Iceland,EURO,0,0,0,0
19-02-2020,IS,Iceland,EURO,0,0,0,0
20-02-2020,IS,Iceland,EURO,0,0,0,0
21-02-2020,IS,Iceland,EURO,0,0,0,0
22-02-2020,IS,Iceland,EURO,0,0,0,0
23-02-2020,IS,Iceland,EURO,0,0,0,0
24-02-2020,IS,Iceland,EURO,0,0,0,0
25-02-2020,IS,Iceland,EURO,0,0,0,0
26-02-2020,IS,Iceland,EURO,0,0,0,0
27-02-2020,IS,Iceland,EURO,0,0,0,0
28-02-2020,IS,Iceland,EURO,0,0,0,0
29-02-2020,IS,Iceland,EURO,1,1,0,0
01-03-2020,IS,Iceland,EURO,0,1,0,0
02-03-2020,IS,Iceland,EURO,2,3,0,0
03-03-2020,IS,Iceland,EURO,3,6,0,0
04-03-2020,IS,Iceland,EURO,10,16,0,0
05-03-2020,IS,Iceland,EURO,10,26,0,0
06-03-2020,IS,Iceland,EURO,9,35,0,0
07-03-2020,IS,Iceland,EURO,8,43,0,0
08-03-2020,IS,Iceland,EURO,10,53,0,0
09-03-2020,IS,Iceland,EURO,2,55,0,0
10-03-2020,IS,Iceland,EURO,10,65,0,0
11-03-2020,IS,Iceland,EURO,5,70,0,0
12-03-2020,IS,Iceland,EURO,15,85,0,0
13-03-2020,IS,Iceland,EURO,32,117,0,0
14-03-2020,IS,Iceland,EURO,0,117,0,0
15-03-2020,IS,Iceland,EURO,21,138,0,0
16-03-2020,IS,Iceland,EURO,40,178,0,0
17-03-2020,IS,Iceland,EURO,21,199,0,0
18-03-2020,IS,Iceland,EURO,48,247,0,0
19-03-2020,IS,Iceland,EURO,3,250,0,0
20-03-2020,IS,Iceland,EURO,80,330,1,1
21-03-2020,IS,Iceland,EURO,79,409,0,1
22-03-2020,IS,Iceland,EURO,64,473,0,1
23-03-2020,IS,Iceland,EURO,95,568,0,1
24-03-2020,IS,Iceland,EURO,20,588,1,2
25-03-2020,IS,Iceland,EURO,60,648,0,2
26-03-2020,IS,Iceland,EURO,89,737,0,2
27-03-2020,IS,Iceland,EURO,65,802,0,2
28-03-2020,IS,Iceland,EURO,88,890,0,2
29-03-2020,IS,Iceland,EURO,73,963,0,2
30-03-2020,IS,Iceland,EURO,57,1020,0,2
31-03-2020,IS,Iceland,EURO,66,1086,0,2
01-04-2020,IS,Iceland,EURO,49,1135,0,2
02-04-2020,IS,Iceland,EURO,85,1220,0,2
03-04-2020,IS,Iceland,EURO,99,1319,2,4
04-04-2020,IS,Iceland,EURO,45,1364,0,4
05-04-2020,IS,Iceland,EURO,53,1417,0,4
06-04-2020,IS,Iceland,EURO,69,1486,0,4
07-04-2020,IS,Iceland,EURO,76,1562,2,6
08-04-2020,IS,Iceland,EURO,24,1586,0,6
09-04-2020,IS,Iceland,EURO,30,1616,0,6
10-04-2020,IS,Iceland,EURO,32,1648,0,6
11-04-2020,IS,Iceland,EURO,27,1675,1,7
12-04-2020,IS,Iceland,EURO,14,1689,1,8
13-04-2020,IS,Iceland,EURO,12,1701,0,8
14-04-2020,IS,Iceland,EURO,10,1711,0,8
15-04-2020,IS,Iceland,EURO,9,1720,0,8
16-04-2020,IS,Iceland,EURO,7,1727,0,8
17-04-2020,IS,Iceland,EURO,12,1739,0,8
18-04-2020,IS,Iceland,EURO,15,1754,0,8
19-04-2020,IS,Iceland,EURO,6,1760,1,9
20-04-2020,IS,Iceland,EURO,11,1771,0,9
21-04-2020,IS,Iceland,EURO,2,1773,1,10
22-04-2020,IS,Iceland,EURO,5,1778,0,10
23-04-2020,IS,Iceland,EURO,7,1785,0,10
24-04-2020,IS,Iceland,EURO,4,1789,0,10
25-04-2020,IS,Iceland,EURO,0,1789,0,10
26-04-2020,IS,Iceland,EURO,1,1790,0,10
27-04-2020,IS,Iceland,EURO,2,1792,0,10
28-04-2020,IS,Iceland,EURO,0,1792,0,10
29-04-2020,IS,Iceland,EURO,3,1795,0,10
30-04-2020,IS,Iceland,EURO,2,1797,0,10
01-05-2020,IS,Iceland,EURO,0,1797,0,10
02-05-2020,IS,Iceland,EURO,1,1798,0,10
03-05-2020,IS,Iceland,EURO,0,1798,0,10
04-05-2020,IS,Iceland,EURO,1,1799,0,10
05-05-2020,IS,Iceland,EURO,0,1799,0,10
06-05-2020,IS,Iceland,EURO,0,1799,0,10
07-05-2020,IS,Iceland,EURO,0,1799,0,10
08-05-2020,IS,Iceland,EURO,2,1801,0,10
09-05-2020,IS,Iceland,EURO,0,1801,0,10
10-05-2020,IS,Iceland,EURO,0,1801,0,10
11-05-2020,IS,Iceland,EURO,0,1801,0,10
12-05-2020,IS,Iceland,EURO,0,1801,0,10
13-05-2020,IS,Iceland,EURO,0,1801,0,10
14-05-2020,IS,Iceland,EURO,1,1802,0,10
15-05-2020,IS,Iceland,EURO,0,1802,0,10
16-05-2020,IS,Iceland,EURO,0,1802,0,10
17-05-2020,IS,Iceland,EURO,0,1802,0,10
18-05-2020,IS,Iceland,EURO,0,1802,0,10
19-05-2020,IS,Iceland,EURO,0,1802,0,10
20-05-2020,IS,Iceland,EURO,0,1802,0,10
21-05-2020,IS,Iceland,EURO,1,1803,0,10
22-05-2020,IS,Iceland,EURO,0,1803,0,10
23-05-2020,IS,Iceland,EURO,0,1803,0,10
24-05-2020,IS,Iceland,EURO,1,1804,0,10
25-05-2020,IS,Iceland,EURO,0,1804,0,10
26-05-2020,IS,Iceland,EURO,0,1804,0,10
27-05-2020,IS,Iceland,EURO,0,1804,0,10
28-05-2020,IS,Iceland,EURO,1,1805,0,10
29-05-2020,IS,Iceland,EURO,0,1805,0,10
30-05-2020,IS,Iceland,EURO,0,1805,0,10
31-05-2020,IS,Iceland,EURO,1,1806,0,10
01-06-2020,IS,Iceland,EURO,0,1806,0,10
02-06-2020,IS,Iceland,EURO,0,1806,0,10
03-06-2020,IS,Iceland,EURO,0,1806,0,10
04-06-2020,IS,Iceland,EURO,0,1806,0,10
05-06-2020,IS,Iceland,EURO,0,1806,0,10
06-06-2020,IS,Iceland,EURO,0,1806,0,10
07-06-2020,IS,Iceland,EURO,0,1806,0,10
08-06-2020,IS,Iceland,EURO,1,1807,0,10
09-06-2020,IS,Iceland,EURO,0,1807,0,10
10-06-2020,IS,Iceland,EURO,0,1807,0,10
11-06-2020,IS,Iceland,EURO,0,1807,0,10
12-06-2020,IS,Iceland,EURO,0,1807,0,10
13-06-2020,IS,Iceland,EURO,1,1808,0,10
14-06-2020,IS,Iceland,EURO,2,1810,0,10
15-06-2020,IS,Iceland,EURO,0,1810,0,10
16-06-2020,IS,Iceland,EURO,1,1811,0,10
17-06-2020,IS,Iceland,EURO,1,1812,0,10
18-06-2020,IS,Iceland,EURO,0,1812,0,10
19-06-2020,IS,Iceland,EURO,2,1814,0,10
20-06-2020,IS,Iceland,EURO,1,1815,0,10
21-06-2020,IS,Iceland,EURO,0,1815,0,10
22-06-2020,IS,Iceland,EURO,0,1815,0,10
23-06-2020,IS,Iceland,EURO,0,1815,0,10
24-06-2020,IS,Iceland,EURO,0,1815,0,10
25-06-2020,IS,Iceland,EURO,2,1817,0,10
26-06-2020,IS,Iceland,EURO,1,1818,0,10
27-06-2020,IS,Iceland,EURO,2,1820,0,10
28-06-2020,IS,Iceland,EURO,0,1820,0,10
29-06-2020,IS,Iceland,EURO,1,1821,0,10
30-06-2020,IS,Iceland,EURO,1,1822,0,10
01-07-2020,IS,Iceland,EURO,2,1824,0,10
02-07-2020,IS,Iceland,EURO,1,1825,0,10
03-07-2020,IS,Iceland,EURO,5,1830,0,10
04-07-2020,IS,Iceland,EURO,0,1830,0,10
05-07-2020,IS,Iceland,EURO,0,1830,0,10
06-07-2020,IS,Iceland,EURO,0,1830,0,10
07-07-2020,IS,Iceland,EURO,2,1832,0,10
08-07-2020,IS,Iceland,EURO,1,1833,0,10
09-07-2020,IS,Iceland,EURO,0,1833,0,10
10-07-2020,IS,Iceland,EURO,0,1833,0,10
11-07-2020,IS,Iceland,EURO,0,1833,0,10
12-07-2020,IS,Iceland,EURO,0,1833,0,10
13-07-2020,IS,Iceland,EURO,0,1833,0,10
14-07-2020,IS,Iceland,EURO,0,1833,0,10
15-07-2020,IS,Iceland,EURO,2,1835,0,10
