date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
04-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
05-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
06-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
07-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
08-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
09-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
10-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
11-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
12-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
13-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
14-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
15-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
16-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
17-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
18-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
19-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
20-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
21-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
22-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
23-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
24-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
25-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
26-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
27-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
28-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
29-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
30-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
31-01-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
01-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
02-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
03-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
04-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
05-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
06-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
07-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
08-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
09-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
10-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
11-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
12-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
13-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
14-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
15-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
16-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
17-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
18-02-2020,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
19-02-2020,IR,Iran (Islamic Republic of),EMRO,6,6,0,0
20-02-2020,IR,Iran (Islamic Republic of),EMRO,3,9,2,2
21-02-2020,IR,Iran (Islamic Republic of),EMRO,13,22,0,2
22-02-2020,IR,Iran (Islamic Republic of),EMRO,10,32,2,4
23-02-2020,IR,Iran (Islamic Republic of),EMRO,15,47,1,5
24-02-2020,IR,Iran (Islamic Republic of),EMRO,4,51,3,8
25-02-2020,IR,Iran (Islamic Republic of),EMRO,48,99,4,12
26-02-2020,IR,Iran (Islamic Republic of),EMRO,44,143,3,15
27-02-2020,IR,Iran (Islamic Republic of),EMRO,0,143,7,22
28-02-2020,IR,Iran (Islamic Republic of),EMRO,249,392,12,34
29-02-2020,IR,Iran (Islamic Republic of),EMRO,0,392,9,43
01-03-2020,IR,Iran (Islamic Republic of),EMRO,205,597,0,43
02-03-2020,IR,Iran (Islamic Republic of),EMRO,0,597,11,54
03-03-2020,IR,Iran (Islamic Republic of),EMRO,908,1505,23,77
04-03-2020,IR,Iran (Islamic Republic of),EMRO,1421,2926,15,92
05-03-2020,IR,Iran (Islamic Republic of),EMRO,591,3517,15,107
06-03-2020,IR,Iran (Islamic Republic of),EMRO,1234,4751,17,124
07-03-2020,IR,Iran (Islamic Republic of),EMRO,1076,5827,21,145
08-03-2020,IR,Iran (Islamic Republic of),EMRO,743,6570,49,194
09-03-2020,IR,Iran (Islamic Republic of),EMRO,595,7165,43,237
10-03-2020,IR,Iran (Islamic Republic of),EMRO,881,8046,54,291
11-03-2020,IR,Iran (Islamic Republic of),EMRO,958,9004,63,354
12-03-2020,IR,Iran (Islamic Republic of),EMRO,1075,10079,75,429
13-03-2020,IR,Iran (Islamic Republic of),EMRO,1289,11368,85,514
14-03-2020,IR,Iran (Islamic Republic of),EMRO,1365,12733,94,608
15-03-2020,IR,Iran (Islamic Republic of),EMRO,1254,13987,116,724
16-03-2020,IR,Iran (Islamic Republic of),EMRO,1008,14995,129,853
17-03-2020,IR,Iran (Islamic Republic of),EMRO,1178,16173,135,988
18-03-2020,IR,Iran (Islamic Republic of),EMRO,1192,17365,147,1135
19-03-2020,IR,Iran (Islamic Republic of),EMRO,1046,18411,149,1284
20-03-2020,IR,Iran (Islamic Republic of),EMRO,1233,19644,149,1433
21-03-2020,IR,Iran (Islamic Republic of),EMRO,966,20610,123,1556
22-03-2020,IR,Iran (Islamic Republic of),EMRO,1028,21638,129,1685
23-03-2020,IR,Iran (Islamic Republic of),EMRO,1411,23049,127,1812
24-03-2020,IR,Iran (Islamic Republic of),EMRO,1762,24811,122,1934
25-03-2020,IR,Iran (Islamic Republic of),EMRO,2206,27017,143,2077
26-03-2020,IR,Iran (Islamic Republic of),EMRO,2389,29406,157,2234
27-03-2020,IR,Iran (Islamic Republic of),EMRO,2926,32332,144,2378
28-03-2020,IR,Iran (Islamic Republic of),EMRO,3076,35408,139,2517
29-03-2020,IR,Iran (Islamic Republic of),EMRO,2901,38309,123,2640
30-03-2020,IR,Iran (Islamic Republic of),EMRO,3186,41495,117,2757
31-03-2020,IR,Iran (Islamic Republic of),EMRO,3111,44606,141,2898
01-04-2020,IR,Iran (Islamic Republic of),EMRO,2987,47593,138,3036
02-04-2020,IR,Iran (Islamic Republic of),EMRO,2875,50468,124,3160
03-04-2020,IR,Iran (Islamic Republic of),EMRO,2715,53183,134,3294
04-04-2020,IR,Iran (Islamic Republic of),EMRO,2560,55743,158,3452
05-04-2020,IR,Iran (Islamic Republic of),EMRO,0,55743,0,3452
06-04-2020,IR,Iran (Islamic Republic of),EMRO,2483,58226,151,3603
07-04-2020,IR,Iran (Islamic Republic of),EMRO,2274,60500,136,3739
08-04-2020,IR,Iran (Islamic Republic of),EMRO,2089,62589,133,3872
09-04-2020,IR,Iran (Islamic Republic of),EMRO,1997,64586,121,3993
10-04-2020,IR,Iran (Islamic Republic of),EMRO,1634,66220,117,4110
11-04-2020,IR,Iran (Islamic Republic of),EMRO,1972,68192,122,4232
12-04-2020,IR,Iran (Islamic Republic of),EMRO,1837,70029,125,4357
13-04-2020,IR,Iran (Islamic Republic of),EMRO,1657,71686,117,4474
14-04-2020,IR,Iran (Islamic Republic of),EMRO,1617,73303,111,4585
15-04-2020,IR,Iran (Islamic Republic of),EMRO,1574,74877,98,4683
16-04-2020,IR,Iran (Islamic Republic of),EMRO,1512,76389,94,4777
17-04-2020,IR,Iran (Islamic Republic of),EMRO,1606,77995,92,4869
18-04-2020,IR,Iran (Islamic Republic of),EMRO,1499,79494,89,4958
19-04-2020,IR,Iran (Islamic Republic of),EMRO,1374,80868,73,5031
20-04-2020,IR,Iran (Islamic Republic of),EMRO,1343,82211,87,5118
21-04-2020,IR,Iran (Islamic Republic of),EMRO,1294,83505,91,5209
22-04-2020,IR,Iran (Islamic Republic of),EMRO,1297,84802,88,5297
23-04-2020,IR,Iran (Islamic Republic of),EMRO,1194,85996,94,5391
24-04-2020,IR,Iran (Islamic Republic of),EMRO,1030,87026,90,5481
25-04-2020,IR,Iran (Islamic Republic of),EMRO,1168,88194,93,5574
26-04-2020,IR,Iran (Islamic Republic of),EMRO,1134,89328,76,5650
