date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,IQ,Iraq,EMRO,0,0,0,0
04-01-2020,IQ,Iraq,EMRO,0,0,0,0
05-01-2020,IQ,Iraq,EMRO,0,0,0,0
06-01-2020,IQ,Iraq,EMRO,0,0,0,0
07-01-2020,IQ,Iraq,EMRO,0,0,0,0
08-01-2020,IQ,Iraq,EMRO,0,0,0,0
09-01-2020,IQ,Iraq,EMRO,0,0,0,0
10-01-2020,IQ,Iraq,EMRO,0,0,0,0
11-01-2020,IQ,Iraq,EMRO,0,0,0,0
12-01-2020,IQ,Iraq,EMRO,0,0,0,0
13-01-2020,IQ,Iraq,EMRO,0,0,0,0
14-01-2020,IQ,Iraq,EMRO,0,0,0,0
15-01-2020,IQ,Iraq,EMRO,0,0,0,0
16-01-2020,IQ,Iraq,EMRO,0,0,0,0
17-01-2020,IQ,Iraq,EMRO,0,0,0,0
18-01-2020,IQ,Iraq,EMRO,0,0,0,0
19-01-2020,IQ,Iraq,EMRO,0,0,0,0
20-01-2020,IQ,Iraq,EMRO,0,0,0,0
21-01-2020,IQ,Iraq,EMRO,0,0,0,0
22-01-2020,IQ,Iraq,EMRO,0,0,0,0
23-01-2020,IQ,Iraq,EMRO,0,0,0,0
24-01-2020,IQ,Iraq,EMRO,0,0,0,0
25-01-2020,IQ,Iraq,EMRO,0,0,0,0
26-01-2020,IQ,Iraq,EMRO,0,0,0,0
27-01-2020,IQ,Iraq,EMRO,0,0,0,0
28-01-2020,IQ,Iraq,EMRO,0,0,0,0
29-01-2020,IQ,Iraq,EMRO,0,0,0,0
30-01-2020,IQ,Iraq,EMRO,0,0,0,0
31-01-2020,IQ,Iraq,EMRO,0,0,0,0
01-02-2020,IQ,Iraq,EMRO,0,0,0,0
02-02-2020,IQ,Iraq,EMRO,0,0,0,0
03-02-2020,IQ,Iraq,EMRO,0,0,0,0
04-02-2020,IQ,Iraq,EMRO,0,0,0,0
05-02-2020,IQ,Iraq,EMRO,0,0,0,0
06-02-2020,IQ,Iraq,EMRO,0,0,0,0
07-02-2020,IQ,Iraq,EMRO,0,0,0,0
08-02-2020,IQ,Iraq,EMRO,0,0,0,0
09-02-2020,IQ,Iraq,EMRO,0,0,0,0
10-02-2020,IQ,Iraq,EMRO,0,0,0,0
11-02-2020,IQ,Iraq,EMRO,0,0,0,0
12-02-2020,IQ,Iraq,EMRO,0,0,0,0
13-02-2020,IQ,Iraq,EMRO,0,0,0,0
14-02-2020,IQ,Iraq,EMRO,0,0,0,0
15-02-2020,IQ,Iraq,EMRO,0,0,0,0
16-02-2020,IQ,Iraq,EMRO,0,0,0,0
17-02-2020,IQ,Iraq,EMRO,0,0,0,0
18-02-2020,IQ,Iraq,EMRO,0,0,0,0
19-02-2020,IQ,Iraq,EMRO,0,0,0,0
20-02-2020,IQ,Iraq,EMRO,0,0,0,0
21-02-2020,IQ,Iraq,EMRO,0,0,0,0
22-02-2020,IQ,Iraq,EMRO,0,0,0,0
23-02-2020,IQ,Iraq,EMRO,0,0,0,0
24-02-2020,IQ,Iraq,EMRO,5,5,0,0
25-02-2020,IQ,Iraq,EMRO,4,9,0,0
26-02-2020,IQ,Iraq,EMRO,0,9,0,0
27-02-2020,IQ,Iraq,EMRO,1,10,0,0
28-02-2020,IQ,Iraq,EMRO,1,11,0,0
29-02-2020,IQ,Iraq,EMRO,6,17,0,0
01-03-2020,IQ,Iraq,EMRO,6,23,0,0
02-03-2020,IQ,Iraq,EMRO,2,25,0,0
03-03-2020,IQ,Iraq,EMRO,10,35,0,0
04-03-2020,IQ,Iraq,EMRO,0,35,1,1
05-03-2020,IQ,Iraq,EMRO,5,40,1,2
06-03-2020,IQ,Iraq,EMRO,8,48,2,4
07-03-2020,IQ,Iraq,EMRO,10,58,0,4
08-03-2020,IQ,Iraq,EMRO,6,64,0,4
09-03-2020,IQ,Iraq,EMRO,0,64,2,6
10-03-2020,IQ,Iraq,EMRO,1,65,0,6
11-03-2020,IQ,Iraq,EMRO,9,74,1,7
12-03-2020,IQ,Iraq,EMRO,0,74,0,7
13-03-2020,IQ,Iraq,EMRO,0,74,0,7
14-03-2020,IQ,Iraq,EMRO,23,97,2,9
15-03-2020,IQ,Iraq,EMRO,31,128,0,9
16-03-2020,IQ,Iraq,EMRO,0,128,0,9
17-03-2020,IQ,Iraq,EMRO,30,158,2,11
18-03-2020,IQ,Iraq,EMRO,10,168,1,12
19-03-2020,IQ,Iraq,EMRO,13,181,0,12
20-03-2020,IQ,Iraq,EMRO,12,193,2,14
21-03-2020,IQ,Iraq,EMRO,21,214,3,17
