date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,IE,Ireland,EURO,0,0,0,0
04-01-2020,IE,Ireland,EURO,0,0,0,0
05-01-2020,IE,Ireland,EURO,0,0,0,0
06-01-2020,IE,Ireland,EURO,0,0,0,0
07-01-2020,IE,Ireland,EURO,0,0,0,0
08-01-2020,IE,Ireland,EURO,0,0,0,0
09-01-2020,IE,Ireland,EURO,0,0,0,0
10-01-2020,IE,Ireland,EURO,0,0,0,0
11-01-2020,IE,Ireland,EURO,0,0,0,0
12-01-2020,IE,Ireland,EURO,0,0,0,0
13-01-2020,IE,Ireland,EURO,0,0,0,0
14-01-2020,IE,Ireland,EURO,0,0,0,0
15-01-2020,IE,Ireland,EURO,0,0,0,0
16-01-2020,IE,Ireland,EURO,0,0,0,0
17-01-2020,IE,Ireland,EURO,0,0,0,0
18-01-2020,IE,Ireland,EURO,0,0,0,0
19-01-2020,IE,Ireland,EURO,0,0,0,0
20-01-2020,IE,Ireland,EURO,0,0,0,0
21-01-2020,IE,Ireland,EURO,0,0,0,0
22-01-2020,IE,Ireland,EURO,0,0,0,0
23-01-2020,IE,Ireland,EURO,0,0,0,0
24-01-2020,IE,Ireland,EURO,0,0,0,0
25-01-2020,IE,Ireland,EURO,0,0,0,0
26-01-2020,IE,Ireland,EURO,0,0,0,0
27-01-2020,IE,Ireland,EURO,0,0,0,0
28-01-2020,IE,Ireland,EURO,0,0,0,0
29-01-2020,IE,Ireland,EURO,0,0,0,0
30-01-2020,IE,Ireland,EURO,0,0,0,0
31-01-2020,IE,Ireland,EURO,0,0,0,0
01-02-2020,IE,Ireland,EURO,0,0,0,0
02-02-2020,IE,Ireland,EURO,0,0,0,0
03-02-2020,IE,Ireland,EURO,0,0,0,0
04-02-2020,IE,Ireland,EURO,0,0,0,0
05-02-2020,IE,Ireland,EURO,0,0,0,0
06-02-2020,IE,Ireland,EURO,0,0,0,0
07-02-2020,IE,Ireland,EURO,0,0,0,0
08-02-2020,IE,Ireland,EURO,0,0,0,0
09-02-2020,IE,Ireland,EURO,0,0,0,0
10-02-2020,IE,Ireland,EURO,0,0,0,0
11-02-2020,IE,Ireland,EURO,0,0,0,0
12-02-2020,IE,Ireland,EURO,0,0,0,0
13-02-2020,IE,Ireland,EURO,0,0,0,0
14-02-2020,IE,Ireland,EURO,0,0,0,0
15-02-2020,IE,Ireland,EURO,0,0,0,0
16-02-2020,IE,Ireland,EURO,0,0,0,0
17-02-2020,IE,Ireland,EURO,0,0,0,0
18-02-2020,IE,Ireland,EURO,0,0,0,0
19-02-2020,IE,Ireland,EURO,0,0,0,0
20-02-2020,IE,Ireland,EURO,0,0,0,0
21-02-2020,IE,Ireland,EURO,0,0,0,0
22-02-2020,IE,Ireland,EURO,0,0,0,0
23-02-2020,IE,Ireland,EURO,0,0,0,0
24-02-2020,IE,Ireland,EURO,0,0,0,0
25-02-2020,IE,Ireland,EURO,0,0,0,0
26-02-2020,IE,Ireland,EURO,0,0,0,0
27-02-2020,IE,Ireland,EURO,0,0,0,0
28-02-2020,IE,Ireland,EURO,0,0,0,0
29-02-2020,IE,Ireland,EURO,0,0,0,0
01-03-2020,IE,Ireland,EURO,0,0,0,0
02-03-2020,IE,Ireland,EURO,0,0,0,0
03-03-2020,IE,Ireland,EURO,0,0,0,0
04-03-2020,IE,Ireland,EURO,1,1,0,0
05-03-2020,IE,Ireland,EURO,1,2,0,0
06-03-2020,IE,Ireland,EURO,3,5,0,0
07-03-2020,IE,Ireland,EURO,3,8,0,0
08-03-2020,IE,Ireland,EURO,5,13,0,0
09-03-2020,IE,Ireland,EURO,3,16,0,0
10-03-2020,IE,Ireland,EURO,2,18,0,0
11-03-2020,IE,Ireland,EURO,7,25,0,0
12-03-2020,IE,Ireland,EURO,12,37,1,1
13-03-2020,IE,Ireland,EURO,12,49,0,1
14-03-2020,IE,Ireland,EURO,29,78,0,1
15-03-2020,IE,Ireland,EURO,32,110,1,2
16-03-2020,IE,Ireland,EURO,33,143,0,2
17-03-2020,IE,Ireland,EURO,27,170,0,2
18-03-2020,IE,Ireland,EURO,98,268,0,2
19-03-2020,IE,Ireland,EURO,79,347,0,2
20-03-2020,IE,Ireland,EURO,84,431,1,3
21-03-2020,IE,Ireland,EURO,142,573,0,3
22-03-2020,IE,Ireland,EURO,126,699,0,3
23-03-2020,IE,Ireland,EURO,124,823,1,4
24-03-2020,IE,Ireland,EURO,128,951,2,6
25-03-2020,IE,Ireland,EURO,198,1149,1,7
26-03-2020,IE,Ireland,EURO,220,1369,2,9
27-03-2020,IE,Ireland,EURO,248,1617,10,19
28-03-2020,IE,Ireland,EURO,262,1879,3,22
29-03-2020,IE,Ireland,EURO,309,2188,14,36
30-03-2020,IE,Ireland,EURO,258,2446,10,46
31-03-2020,IE,Ireland,EURO,194,2640,8,54
01-04-2020,IE,Ireland,EURO,303,2943,17,71
02-04-2020,IE,Ireland,EURO,290,3233,14,85
03-04-2020,IE,Ireland,EURO,366,3599,13,98
04-04-2020,IE,Ireland,EURO,360,3959,22,120
05-04-2020,IE,Ireland,EURO,427,4386,17,137
06-04-2020,IE,Ireland,EURO,463,4849,21,158
07-04-2020,IE,Ireland,EURO,676,5525,16,174
08-04-2020,IE,Ireland,EURO,385,5910,36,210
09-04-2020,IE,Ireland,EURO,464,6374,25,235
10-04-2020,IE,Ireland,EURO,613,6987,28,263
11-04-2020,IE,Ireland,EURO,698,7685,25,288
12-04-2020,IE,Ireland,EURO,705,8390,33,321
13-04-2020,IE,Ireland,EURO,969,9359,14,335
14-04-2020,IE,Ireland,EURO,893,10252,31,366
15-04-2020,IE,Ireland,EURO,866,11118,41,407
16-04-2020,IE,Ireland,EURO,1130,12248,38,445
17-04-2020,IE,Ireland,EURO,580,12828,43,488
18-04-2020,IE,Ireland,EURO,721,13549,44,532
19-04-2020,IE,Ireland,EURO,853,14402,41,573
20-04-2020,IE,Ireland,EURO,555,14957,39,612
21-04-2020,IE,Ireland,EURO,266,15223,77,689
22-04-2020,IE,Ireland,EURO,395,15618,44,733
23-04-2020,IE,Ireland,EURO,510,16128,49,782
24-04-2020,IE,Ireland,EURO,946,17074,28,810
25-04-2020,IE,Ireland,EURO,537,17611,37,847
26-04-2020,IE,Ireland,EURO,449,18060,42,889
27-04-2020,IE,Ireland,EURO,664,18724,26,915
28-04-2020,IE,Ireland,EURO,399,19123,18,933
29-04-2020,IE,Ireland,EURO,367,19490,45,978
30-04-2020,IE,Ireland,EURO,366,19856,31,1009
01-05-2020,IE,Ireland,EURO,396,20252,43,1052
02-05-2020,IE,Ireland,EURO,271,20523,34,1086
03-05-2020,IE,Ireland,EURO,351,20874,25,1111
04-05-2020,IE,Ireland,EURO,383,21257,19,1130
05-05-2020,IE,Ireland,EURO,205,21462,16,1146
06-05-2020,IE,Ireland,EURO,249,21711,23,1169
07-05-2020,IE,Ireland,EURO,281,21992,37,1206
08-05-2020,IE,Ireland,EURO,137,22129,29,1235
09-05-2020,IE,Ireland,EURO,186,22315,27,1262
10-05-2020,IE,Ireland,EURO,158,22473,18,1280
11-05-2020,IE,Ireland,EURO,261,22734,12,1292
12-05-2020,IE,Ireland,EURO,181,22915,15,1307
13-05-2020,IE,Ireland,EURO,85,23000,24,1331
14-05-2020,IE,Ireland,EURO,124,23124,10,1341
15-05-2020,IE,Ireland,EURO,363,23487,10,1351
16-05-2020,IE,Ireland,EURO,233,23720,16,1367
17-05-2020,IE,Ireland,EURO,105,23825,15,1382
18-05-2020,IE,Ireland,EURO,84,23909,10,1392
19-05-2020,IE,Ireland,EURO,130,24039,4,1396
20-05-2020,IE,Ireland,EURO,42,24081,16,1412
21-05-2020,IE,Ireland,EURO,75,24156,11,1423
22-05-2020,IE,Ireland,EURO,75,24231,12,1435
23-05-2020,IE,Ireland,EURO,95,24326,11,1446
24-05-2020,IE,Ireland,EURO,115,24441,13,1459
25-05-2020,IE,Ireland,EURO,39,24480,4,1463
26-05-2020,IE,Ireland,EURO,40,24520,0,1463
27-05-2020,IE,Ireland,EURO,105,24625,9,1472
28-05-2020,IE,Ireland,EURO,68,24693,17,1489
29-05-2020,IE,Ireland,EURO,40,24733,9,1498
30-05-2020,IE,Ireland,EURO,37,24770,6,1504
31-05-2020,IE,Ireland,EURO,55,24825,9,1513
01-06-2020,IE,Ireland,EURO,66,24891,2,1515
