date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,JP,Japan,WPRO,0,0,0,0
04-01-2020,JP,Japan,WPRO,0,0,0,0
05-01-2020,JP,Japan,WPRO,0,0,0,0
06-01-2020,JP,Japan,WPRO,0,0,0,0
07-01-2020,JP,Japan,WPRO,0,0,0,0
08-01-2020,JP,Japan,WPRO,0,0,0,0
09-01-2020,JP,Japan,WPRO,0,0,0,0
10-01-2020,JP,Japan,WPRO,0,0,0,0
11-01-2020,JP,Japan,WPRO,0,0,0,0
12-01-2020,JP,Japan,WPRO,0,0,0,0
13-01-2020,JP,Japan,WPRO,0,0,0,0
14-01-2020,JP,Japan,WPRO,1,1,0,0
15-01-2020,JP,Japan,WPRO,0,1,0,0
16-01-2020,JP,Japan,WPRO,0,1,0,0
17-01-2020,JP,Japan,WPRO,0,1,0,0
18-01-2020,JP,Japan,WPRO,0,1,0,0
19-01-2020,JP,Japan,WPRO,0,1,0,0
20-01-2020,JP,Japan,WPRO,0,1,0,0
21-01-2020,JP,Japan,WPRO,0,1,0,0
22-01-2020,JP,Japan,WPRO,0,1,0,0
23-01-2020,JP,Japan,WPRO,0,1,0,0
24-01-2020,JP,Japan,WPRO,0,1,0,0
25-01-2020,JP,Japan,WPRO,1,2,0,0
26-01-2020,JP,Japan,WPRO,1,3,0,0
27-01-2020,JP,Japan,WPRO,1,4,0,0
28-01-2020,JP,Japan,WPRO,0,4,0,0
29-01-2020,JP,Japan,WPRO,3,7,0,0
30-01-2020,JP,Japan,WPRO,1,8,0,0
31-01-2020,JP,Japan,WPRO,4,12,0,0
01-02-2020,JP,Japan,WPRO,1,13,0,0
02-02-2020,JP,Japan,WPRO,2,15,0,0
03-02-2020,JP,Japan,WPRO,5,20,0,0
04-02-2020,JP,Japan,WPRO,0,20,0,0
05-02-2020,JP,Japan,WPRO,3,23,0,0
06-02-2020,JP,Japan,WPRO,2,25,0,0
07-02-2020,JP,Japan,WPRO,0,25,0,0
08-02-2020,JP,Japan,WPRO,0,25,0,0
09-02-2020,JP,Japan,WPRO,0,25,0,0
10-02-2020,JP,Japan,WPRO,0,25,0,0
11-02-2020,JP,Japan,WPRO,1,26,0,0
12-02-2020,JP,Japan,WPRO,2,28,0,0
13-02-2020,JP,Japan,WPRO,0,28,1,1
14-02-2020,JP,Japan,WPRO,5,33,0,1
15-02-2020,JP,Japan,WPRO,7,40,0,1
16-02-2020,JP,Japan,WPRO,12,52,0,1
17-02-2020,JP,Japan,WPRO,6,58,0,1
18-02-2020,JP,Japan,WPRO,7,65,0,1
19-02-2020,JP,Japan,WPRO,8,73,0,1
20-02-2020,JP,Japan,WPRO,1,74,0,1
21-02-2020,JP,Japan,WPRO,19,93,0,1
22-02-2020,JP,Japan,WPRO,12,105,0,1
23-02-2020,JP,Japan,WPRO,27,132,0,1
24-02-2020,JP,Japan,WPRO,12,144,0,1
25-02-2020,JP,Japan,WPRO,12,156,0,1
26-02-2020,JP,Japan,WPRO,8,164,1,2
27-02-2020,JP,Japan,WPRO,22,186,2,4
28-02-2020,JP,Japan,WPRO,24,210,0,4
29-02-2020,JP,Japan,WPRO,20,230,1,5
01-03-2020,JP,Japan,WPRO,9,239,1,6
02-03-2020,JP,Japan,WPRO,15,254,0,6
03-03-2020,JP,Japan,WPRO,14,268,0,6
04-03-2020,JP,Japan,WPRO,16,284,0,6
05-03-2020,JP,Japan,WPRO,33,317,0,6
06-03-2020,JP,Japan,WPRO,32,349,0,6
07-03-2020,JP,Japan,WPRO,59,408,0,6
08-03-2020,JP,Japan,WPRO,47,455,0,6
09-03-2020,JP,Japan,WPRO,34,489,4,10
10-03-2020,JP,Japan,WPRO,25,514,0,10
11-03-2020,JP,Japan,WPRO,54,568,5,15
12-03-2020,JP,Japan,WPRO,51,619,1,16
13-03-2020,JP,Japan,WPRO,56,675,3,19
14-03-2020,JP,Japan,WPRO,41,716,3,22
15-03-2020,JP,Japan,WPRO,64,780,0,22
16-03-2020,JP,Japan,WPRO,34,814,5,27
17-03-2020,JP,Japan,WPRO,15,829,2,29
18-03-2020,JP,Japan,WPRO,44,873,0,29
19-03-2020,JP,Japan,WPRO,41,914,0,29
20-03-2020,JP,Japan,WPRO,36,950,4,33
21-03-2020,JP,Japan,WPRO,46,996,2,35
22-03-2020,JP,Japan,WPRO,50,1046,5,40
23-03-2020,JP,Japan,WPRO,43,1089,0,40
24-03-2020,JP,Japan,WPRO,39,1128,2,42
25-03-2020,JP,Japan,WPRO,65,1193,1,43
26-03-2020,JP,Japan,WPRO,98,1291,2,45
27-03-2020,JP,Japan,WPRO,96,1387,1,46
28-03-2020,JP,Japan,WPRO,112,1499,3,49
29-03-2020,JP,Japan,WPRO,194,1693,3,52
30-03-2020,JP,Japan,WPRO,173,1866,2,54
31-03-2020,JP,Japan,WPRO,87,1953,2,56
01-04-2020,JP,Japan,WPRO,225,2178,1,57
02-04-2020,JP,Japan,WPRO,378,2556,3,60
03-04-2020,JP,Japan,WPRO,61,2617,3,63
04-04-2020,JP,Japan,WPRO,318,2935,6,69
05-04-2020,JP,Japan,WPRO,336,3271,1,70
06-04-2020,JP,Japan,WPRO,383,3654,3,73
07-04-2020,JP,Japan,WPRO,252,3906,7,80
08-04-2020,JP,Japan,WPRO,351,4257,1,81
09-04-2020,JP,Japan,WPRO,511,4768,4,85
10-04-2020,JP,Japan,WPRO,579,5347,3,88
11-04-2020,JP,Japan,WPRO,658,6005,6,94
12-04-2020,JP,Japan,WPRO,743,6748,4,98
13-04-2020,JP,Japan,WPRO,507,7255,4,102
14-04-2020,JP,Japan,WPRO,390,7645,7,109
15-04-2020,JP,Japan,WPRO,455,8100,10,119
16-04-2020,JP,Japan,WPRO,482,8582,17,136
17-04-2020,JP,Japan,WPRO,585,9167,12,148
18-04-2020,JP,Japan,WPRO,628,9795,6,154
19-04-2020,JP,Japan,WPRO,566,10361,7,161
20-04-2020,JP,Japan,WPRO,390,10751,10,171
21-04-2020,JP,Japan,WPRO,368,11119,15,186
22-04-2020,JP,Japan,WPRO,377,11496,91,277
23-04-2020,JP,Japan,WPRO,423,11919,10,287
24-04-2020,JP,Japan,WPRO,469,12388,30,317
25-04-2020,JP,Japan,WPRO,441,12829,17,334
26-04-2020,JP,Japan,WPRO,353,13182,14,348
27-04-2020,JP,Japan,WPRO,203,13385,3,351
28-04-2020,JP,Japan,WPRO,191,13576,25,376
29-04-2020,JP,Japan,WPRO,276,13852,13,389
30-04-2020,JP,Japan,WPRO,236,14088,26,415
01-05-2020,JP,Japan,WPRO,193,14281,17,432
02-05-2020,JP,Japan,WPRO,264,14545,26,458
03-05-2020,JP,Japan,WPRO,294,14839,34,492
04-05-2020,JP,Japan,WPRO,218,15057,18,510
05-05-2020,JP,Japan,WPRO,174,15231,11,521
06-05-2020,JP,Japan,WPRO,123,15354,22,543
07-05-2020,JP,Japan,WPRO,109,15463,8,551
08-05-2020,JP,Japan,WPRO,84,15547,6,557
09-05-2020,JP,Japan,WPRO,81,15628,44,601
10-05-2020,JP,Japan,WPRO,119,15747,12,613
11-05-2020,JP,Japan,WPRO,51,15798,8,621
12-05-2020,JP,Japan,WPRO,76,15874,22,643
13-05-2020,JP,Japan,WPRO,150,16024,25,668
14-05-2020,JP,Japan,WPRO,55,16079,19,687
