date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,LB,Lebanon,EMRO,0,0,0,0
04-01-2020,LB,Lebanon,EMRO,0,0,0,0
05-01-2020,LB,Lebanon,EMRO,0,0,0,0
06-01-2020,LB,Lebanon,EMRO,0,0,0,0
07-01-2020,LB,Lebanon,EMRO,0,0,0,0
08-01-2020,LB,Lebanon,EMRO,0,0,0,0
09-01-2020,LB,Lebanon,EMRO,0,0,0,0
10-01-2020,LB,Lebanon,EMRO,0,0,0,0
11-01-2020,LB,Lebanon,EMRO,0,0,0,0
12-01-2020,LB,Lebanon,EMRO,0,0,0,0
13-01-2020,LB,Lebanon,EMRO,0,0,0,0
14-01-2020,LB,Lebanon,EMRO,0,0,0,0
15-01-2020,LB,Lebanon,EMRO,0,0,0,0
16-01-2020,LB,Lebanon,EMRO,0,0,0,0
17-01-2020,LB,Lebanon,EMRO,0,0,0,0
18-01-2020,LB,Lebanon,EMRO,0,0,0,0
19-01-2020,LB,Lebanon,EMRO,0,0,0,0
20-01-2020,LB,Lebanon,EMRO,0,0,0,0
21-01-2020,LB,Lebanon,EMRO,0,0,0,0
22-01-2020,LB,Lebanon,EMRO,0,0,0,0
23-01-2020,LB,Lebanon,EMRO,0,0,0,0
24-01-2020,LB,Lebanon,EMRO,0,0,0,0
25-01-2020,LB,Lebanon,EMRO,0,0,0,0
26-01-2020,LB,Lebanon,EMRO,0,0,0,0
27-01-2020,LB,Lebanon,EMRO,0,0,0,0
28-01-2020,LB,Lebanon,EMRO,0,0,0,0
29-01-2020,LB,Lebanon,EMRO,0,0,0,0
30-01-2020,LB,Lebanon,EMRO,0,0,0,0
31-01-2020,LB,Lebanon,EMRO,0,0,0,0
01-02-2020,LB,Lebanon,EMRO,0,0,0,0
02-02-2020,LB,Lebanon,EMRO,0,0,0,0
03-02-2020,LB,Lebanon,EMRO,0,0,0,0
04-02-2020,LB,Lebanon,EMRO,0,0,0,0
05-02-2020,LB,Lebanon,EMRO,0,0,0,0
06-02-2020,LB,Lebanon,EMRO,0,0,0,0
07-02-2020,LB,Lebanon,EMRO,0,0,0,0
08-02-2020,LB,Lebanon,EMRO,0,0,0,0
09-02-2020,LB,Lebanon,EMRO,0,0,0,0
10-02-2020,LB,Lebanon,EMRO,0,0,0,0
11-02-2020,LB,Lebanon,EMRO,0,0,0,0
12-02-2020,LB,Lebanon,EMRO,0,0,0,0
13-02-2020,LB,Lebanon,EMRO,0,0,0,0
14-02-2020,LB,Lebanon,EMRO,0,0,0,0
15-02-2020,LB,Lebanon,EMRO,0,0,0,0
16-02-2020,LB,Lebanon,EMRO,0,0,0,0
17-02-2020,LB,Lebanon,EMRO,0,0,0,0
18-02-2020,LB,Lebanon,EMRO,0,0,0,0
19-02-2020,LB,Lebanon,EMRO,0,0,0,0
20-02-2020,LB,Lebanon,EMRO,0,0,0,0
21-02-2020,LB,Lebanon,EMRO,5,5,0,0
22-02-2020,LB,Lebanon,EMRO,0,5,0,0
23-02-2020,LB,Lebanon,EMRO,0,5,0,0
24-02-2020,LB,Lebanon,EMRO,0,5,0,0
25-02-2020,LB,Lebanon,EMRO,0,5,0,0
26-02-2020,LB,Lebanon,EMRO,1,6,0,0
27-02-2020,LB,Lebanon,EMRO,1,7,0,0
28-02-2020,LB,Lebanon,EMRO,1,8,0,0
29-02-2020,LB,Lebanon,EMRO,3,11,0,0
01-03-2020,LB,Lebanon,EMRO,2,13,0,0
02-03-2020,LB,Lebanon,EMRO,4,17,0,0
03-03-2020,LB,Lebanon,EMRO,0,17,0,0
04-03-2020,LB,Lebanon,EMRO,0,17,0,0
05-03-2020,LB,Lebanon,EMRO,2,19,0,0
06-03-2020,LB,Lebanon,EMRO,7,26,0,0
07-03-2020,LB,Lebanon,EMRO,0,26,0,0
08-03-2020,LB,Lebanon,EMRO,6,32,0,0
09-03-2020,LB,Lebanon,EMRO,-6,26,0,0
10-03-2020,LB,Lebanon,EMRO,10,36,0,0
11-03-2020,LB,Lebanon,EMRO,9,45,1,1
12-03-2020,LB,Lebanon,EMRO,25,70,2,3
13-03-2020,LB,Lebanon,EMRO,0,70,0,3
14-03-2020,LB,Lebanon,EMRO,11,81,0,3
15-03-2020,LB,Lebanon,EMRO,22,103,0,3
16-03-2020,LB,Lebanon,EMRO,0,103,0,3
17-03-2020,LB,Lebanon,EMRO,10,113,0,3
18-03-2020,LB,Lebanon,EMRO,11,124,1,4
19-03-2020,LB,Lebanon,EMRO,29,153,0,4
20-03-2020,LB,Lebanon,EMRO,10,163,0,4
21-03-2020,LB,Lebanon,EMRO,24,187,0,4
22-03-2020,LB,Lebanon,EMRO,61,248,0,4
23-03-2020,LB,Lebanon,EMRO,19,267,0,4
24-03-2020,LB,Lebanon,EMRO,37,304,0,4
25-03-2020,LB,Lebanon,EMRO,29,333,0,4
26-03-2020,LB,Lebanon,EMRO,35,368,2,6
27-03-2020,LB,Lebanon,EMRO,23,391,1,7
28-03-2020,LB,Lebanon,EMRO,0,391,1,8
29-03-2020,LB,Lebanon,EMRO,47,438,2,10
30-03-2020,LB,Lebanon,EMRO,8,446,1,11
31-03-2020,LB,Lebanon,EMRO,17,463,1,12
01-04-2020,LB,Lebanon,EMRO,16,479,0,12
02-04-2020,LB,Lebanon,EMRO,15,494,4,16
03-04-2020,LB,Lebanon,EMRO,14,508,1,17
04-04-2020,LB,Lebanon,EMRO,12,520,0,17
05-04-2020,LB,Lebanon,EMRO,7,527,1,18
06-04-2020,LB,Lebanon,EMRO,0,527,0,18
07-04-2020,LB,Lebanon,EMRO,14,541,1,19
08-04-2020,LB,Lebanon,EMRO,7,548,0,19
09-04-2020,LB,Lebanon,EMRO,27,575,0,19
10-04-2020,LB,Lebanon,EMRO,7,582,0,19
11-04-2020,LB,Lebanon,EMRO,27,609,1,20
12-04-2020,LB,Lebanon,EMRO,10,619,0,20
13-04-2020,LB,Lebanon,EMRO,11,630,0,20
14-04-2020,LB,Lebanon,EMRO,2,632,0,20
15-04-2020,LB,Lebanon,EMRO,9,641,1,21
16-04-2020,LB,Lebanon,EMRO,17,658,0,21
17-04-2020,LB,Lebanon,EMRO,5,663,0,21
18-04-2020,LB,Lebanon,EMRO,5,668,0,21
19-04-2020,LB,Lebanon,EMRO,5,673,0,21
20-04-2020,LB,Lebanon,EMRO,0,673,0,21
21-04-2020,LB,Lebanon,EMRO,4,677,0,21
22-04-2020,LB,Lebanon,EMRO,5,682,1,22
23-04-2020,LB,Lebanon,EMRO,0,682,0,22
24-04-2020,LB,Lebanon,EMRO,6,688,0,22
25-04-2020,LB,Lebanon,EMRO,8,696,0,22
26-04-2020,LB,Lebanon,EMRO,8,704,2,24
27-04-2020,LB,Lebanon,EMRO,3,707,0,24
28-04-2020,LB,Lebanon,EMRO,3,710,0,24
29-04-2020,LB,Lebanon,EMRO,7,717,0,24
30-04-2020,LB,Lebanon,EMRO,4,721,0,24
01-05-2020,LB,Lebanon,EMRO,4,725,0,24
02-05-2020,LB,Lebanon,EMRO,4,729,0,24
03-05-2020,LB,Lebanon,EMRO,4,733,1,25
04-05-2020,LB,Lebanon,EMRO,4,737,0,25
05-05-2020,LB,Lebanon,EMRO,3,740,0,25
06-05-2020,LB,Lebanon,EMRO,1,741,0,25
07-05-2020,LB,Lebanon,EMRO,9,750,0,25
08-05-2020,LB,Lebanon,EMRO,34,784,0,25
09-05-2020,LB,Lebanon,EMRO,12,796,1,26
10-05-2020,LB,Lebanon,EMRO,13,809,0,26
11-05-2020,LB,Lebanon,EMRO,36,845,0,26
12-05-2020,LB,Lebanon,EMRO,14,859,0,26
13-05-2020,LB,Lebanon,EMRO,11,870,0,26
14-05-2020,LB,Lebanon,EMRO,8,878,0,26
15-05-2020,LB,Lebanon,EMRO,8,886,0,26
16-05-2020,LB,Lebanon,EMRO,5,891,0,26
17-05-2020,LB,Lebanon,EMRO,11,902,0,26
