date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,MY,Malaysia,WPRO,0,0,0,0
04-01-2020,MY,Malaysia,WPRO,0,0,0,0
05-01-2020,MY,Malaysia,WPRO,0,0,0,0
06-01-2020,MY,Malaysia,WPRO,0,0,0,0
07-01-2020,MY,Malaysia,WPRO,0,0,0,0
08-01-2020,MY,Malaysia,WPRO,0,0,0,0
09-01-2020,MY,Malaysia,WPRO,0,0,0,0
10-01-2020,MY,Malaysia,WPRO,0,0,0,0
11-01-2020,MY,Malaysia,WPRO,0,0,0,0
12-01-2020,MY,Malaysia,WPRO,0,0,0,0
13-01-2020,MY,Malaysia,WPRO,0,0,0,0
14-01-2020,MY,Malaysia,WPRO,0,0,0,0
15-01-2020,MY,Malaysia,WPRO,0,0,0,0
16-01-2020,MY,Malaysia,WPRO,0,0,0,0
17-01-2020,MY,Malaysia,WPRO,0,0,0,0
18-01-2020,MY,Malaysia,WPRO,0,0,0,0
19-01-2020,MY,Malaysia,WPRO,0,0,0,0
20-01-2020,MY,Malaysia,WPRO,0,0,0,0
21-01-2020,MY,Malaysia,WPRO,0,0,0,0
22-01-2020,MY,Malaysia,WPRO,0,0,0,0
23-01-2020,MY,Malaysia,WPRO,0,0,0,0
24-01-2020,MY,Malaysia,WPRO,0,0,0,0
25-01-2020,MY,Malaysia,WPRO,7,7,0,0
26-01-2020,MY,Malaysia,WPRO,-3,4,0,0
27-01-2020,MY,Malaysia,WPRO,0,4,0,0
28-01-2020,MY,Malaysia,WPRO,0,4,0,0
29-01-2020,MY,Malaysia,WPRO,0,4,0,0
30-01-2020,MY,Malaysia,WPRO,3,7,0,0
31-01-2020,MY,Malaysia,WPRO,1,8,0,0
01-02-2020,MY,Malaysia,WPRO,0,8,0,0
02-02-2020,MY,Malaysia,WPRO,0,8,0,0
03-02-2020,MY,Malaysia,WPRO,0,8,0,0
04-02-2020,MY,Malaysia,WPRO,1,9,0,0
05-02-2020,MY,Malaysia,WPRO,1,10,0,0
06-02-2020,MY,Malaysia,WPRO,2,12,0,0
07-02-2020,MY,Malaysia,WPRO,2,14,0,0
08-02-2020,MY,Malaysia,WPRO,1,15,0,0
09-02-2020,MY,Malaysia,WPRO,1,16,0,0
10-02-2020,MY,Malaysia,WPRO,1,17,0,0
11-02-2020,MY,Malaysia,WPRO,1,18,0,0
12-02-2020,MY,Malaysia,WPRO,0,18,0,0
13-02-2020,MY,Malaysia,WPRO,0,18,0,0
14-02-2020,MY,Malaysia,WPRO,1,19,0,0
15-02-2020,MY,Malaysia,WPRO,0,19,0,0
16-02-2020,MY,Malaysia,WPRO,3,22,0,0
17-02-2020,MY,Malaysia,WPRO,0,22,0,0
18-02-2020,MY,Malaysia,WPRO,0,22,0,0
19-02-2020,MY,Malaysia,WPRO,0,22,0,0
20-02-2020,MY,Malaysia,WPRO,0,22,0,0
21-02-2020,MY,Malaysia,WPRO,0,22,0,0
22-02-2020,MY,Malaysia,WPRO,0,22,0,0
23-02-2020,MY,Malaysia,WPRO,0,22,0,0
24-02-2020,MY,Malaysia,WPRO,0,22,0,0
25-02-2020,MY,Malaysia,WPRO,0,22,0,0
26-02-2020,MY,Malaysia,WPRO,0,22,0,0
27-02-2020,MY,Malaysia,WPRO,0,22,0,0
28-02-2020,MY,Malaysia,WPRO,2,24,0,0
29-02-2020,MY,Malaysia,WPRO,1,25,0,0
01-03-2020,MY,Malaysia,WPRO,0,25,0,0
02-03-2020,MY,Malaysia,WPRO,0,25,0,0
03-03-2020,MY,Malaysia,WPRO,4,29,0,0
04-03-2020,MY,Malaysia,WPRO,7,36,0,0
05-03-2020,MY,Malaysia,WPRO,14,50,0,0
06-03-2020,MY,Malaysia,WPRO,5,55,0,0
07-03-2020,MY,Malaysia,WPRO,28,83,0,0
08-03-2020,MY,Malaysia,WPRO,10,93,0,0
09-03-2020,MY,Malaysia,WPRO,6,99,0,0
10-03-2020,MY,Malaysia,WPRO,18,117,0,0
11-03-2020,MY,Malaysia,WPRO,0,117,0,0
12-03-2020,MY,Malaysia,WPRO,32,149,0,0
13-03-2020,MY,Malaysia,WPRO,9,158,0,0
14-03-2020,MY,Malaysia,WPRO,39,197,0,0
15-03-2020,MY,Malaysia,WPRO,41,238,0,0
16-03-2020,MY,Malaysia,WPRO,190,428,0,0
17-03-2020,MY,Malaysia,WPRO,125,553,2,2
18-03-2020,MY,Malaysia,WPRO,120,673,0,2
19-03-2020,MY,Malaysia,WPRO,117,790,0,2
20-03-2020,MY,Malaysia,WPRO,110,900,1,3
21-03-2020,MY,Malaysia,WPRO,130,1030,1,4
22-03-2020,MY,Malaysia,WPRO,153,1183,6,10
23-03-2020,MY,Malaysia,WPRO,123,1306,0,10
24-03-2020,MY,Malaysia,WPRO,212,1518,4,14
25-03-2020,MY,Malaysia,WPRO,106,1624,2,16
26-03-2020,MY,Malaysia,WPRO,172,1796,3,19
27-03-2020,MY,Malaysia,WPRO,235,2031,4,23
28-03-2020,MY,Malaysia,WPRO,130,2161,3,26
29-03-2020,MY,Malaysia,WPRO,159,2320,1,27
30-03-2020,MY,Malaysia,WPRO,150,2470,7,34
31-03-2020,MY,Malaysia,WPRO,156,2626,3,37
01-04-2020,MY,Malaysia,WPRO,140,2766,6,43
02-04-2020,MY,Malaysia,WPRO,142,2908,2,45
03-04-2020,MY,Malaysia,WPRO,208,3116,5,50
04-04-2020,MY,Malaysia,WPRO,217,3333,3,53
05-04-2020,MY,Malaysia,WPRO,150,3483,4,57
06-04-2020,MY,Malaysia,WPRO,179,3662,4,61
07-04-2020,MY,Malaysia,WPRO,131,3793,1,62
08-04-2020,MY,Malaysia,WPRO,170,3963,1,63
09-04-2020,MY,Malaysia,WPRO,156,4119,2,65
10-04-2020,MY,Malaysia,WPRO,109,4228,2,67
11-04-2020,MY,Malaysia,WPRO,118,4346,3,70
12-04-2020,MY,Malaysia,WPRO,184,4530,3,73
13-04-2020,MY,Malaysia,WPRO,153,4683,3,76
14-04-2020,MY,Malaysia,WPRO,134,4817,1,77
15-04-2020,MY,Malaysia,WPRO,170,4987,5,82
16-04-2020,MY,Malaysia,WPRO,85,5072,1,83
17-04-2020,MY,Malaysia,WPRO,110,5182,1,84
18-04-2020,MY,Malaysia,WPRO,69,5251,2,86
19-04-2020,MY,Malaysia,WPRO,54,5305,2,88
20-04-2020,MY,Malaysia,WPRO,84,5389,1,89
21-04-2020,MY,Malaysia,WPRO,35,5424,0,89
22-04-2020,MY,Malaysia,WPRO,58,5482,3,92
23-04-2020,MY,Malaysia,WPRO,50,5532,1,93
24-04-2020,MY,Malaysia,WPRO,71,5603,2,95
25-04-2020,MY,Malaysia,WPRO,88,5691,1,96
26-04-2020,MY,Malaysia,WPRO,51,5742,2,98
27-04-2020,MY,Malaysia,WPRO,38,5780,0,98
28-04-2020,MY,Malaysia,WPRO,40,5820,1,99
29-04-2020,MY,Malaysia,WPRO,31,5851,1,100
30-04-2020,MY,Malaysia,WPRO,94,5945,0,100
01-05-2020,MY,Malaysia,WPRO,57,6002,2,102
02-05-2020,MY,Malaysia,WPRO,69,6071,1,103
03-05-2020,MY,Malaysia,WPRO,105,6176,0,103
04-05-2020,MY,Malaysia,WPRO,122,6298,2,105
05-05-2020,MY,Malaysia,WPRO,55,6353,0,105
06-05-2020,MY,Malaysia,WPRO,30,6383,1,106
07-05-2020,MY,Malaysia,WPRO,45,6428,1,107
08-05-2020,MY,Malaysia,WPRO,39,6467,0,107
09-05-2020,MY,Malaysia,WPRO,68,6535,0,107
10-05-2020,MY,Malaysia,WPRO,54,6589,1,108
11-05-2020,MY,Malaysia,WPRO,67,6656,0,108
12-05-2020,MY,Malaysia,WPRO,70,6726,1,109
13-05-2020,MY,Malaysia,WPRO,16,6742,0,109
14-05-2020,MY,Malaysia,WPRO,37,6779,2,111
15-05-2020,MY,Malaysia,WPRO,40,6819,1,112
16-05-2020,MY,Malaysia,WPRO,36,6855,0,112
17-05-2020,MY,Malaysia,WPRO,17,6872,1,113
18-05-2020,MY,Malaysia,WPRO,22,6894,0,113
19-05-2020,MY,Malaysia,WPRO,47,6941,0,113
