date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,MX,Mexico,AMRO,0,0,0,0
04-01-2020,MX,Mexico,AMRO,0,0,0,0
05-01-2020,MX,Mexico,AMRO,0,0,0,0
06-01-2020,MX,Mexico,AMRO,0,0,0,0
07-01-2020,MX,Mexico,AMRO,0,0,0,0
08-01-2020,MX,Mexico,AMRO,0,0,0,0
09-01-2020,MX,Mexico,AMRO,0,0,0,0
10-01-2020,MX,Mexico,AMRO,0,0,0,0
11-01-2020,MX,Mexico,AMRO,0,0,0,0
12-01-2020,MX,Mexico,AMRO,0,0,0,0
13-01-2020,MX,Mexico,AMRO,0,0,0,0
14-01-2020,MX,Mexico,AMRO,0,0,0,0
15-01-2020,MX,Mexico,AMRO,0,0,0,0
16-01-2020,MX,Mexico,AMRO,0,0,0,0
17-01-2020,MX,Mexico,AMRO,0,0,0,0
18-01-2020,MX,Mexico,AMRO,0,0,0,0
19-01-2020,MX,Mexico,AMRO,0,0,0,0
20-01-2020,MX,Mexico,AMRO,0,0,0,0
21-01-2020,MX,Mexico,AMRO,0,0,0,0
22-01-2020,MX,Mexico,AMRO,0,0,0,0
23-01-2020,MX,Mexico,AMRO,0,0,0,0
24-01-2020,MX,Mexico,AMRO,0,0,0,0
25-01-2020,MX,Mexico,AMRO,0,0,0,0
26-01-2020,MX,Mexico,AMRO,0,0,0,0
27-01-2020,MX,Mexico,AMRO,0,0,0,0
28-01-2020,MX,Mexico,AMRO,0,0,0,0
29-01-2020,MX,Mexico,AMRO,0,0,0,0
30-01-2020,MX,Mexico,AMRO,0,0,0,0
31-01-2020,MX,Mexico,AMRO,0,0,0,0
01-02-2020,MX,Mexico,AMRO,0,0,0,0
02-02-2020,MX,Mexico,AMRO,0,0,0,0
03-02-2020,MX,Mexico,AMRO,0,0,0,0
04-02-2020,MX,Mexico,AMRO,0,0,0,0
05-02-2020,MX,Mexico,AMRO,0,0,0,0
06-02-2020,MX,Mexico,AMRO,0,0,0,0
07-02-2020,MX,Mexico,AMRO,0,0,0,0
08-02-2020,MX,Mexico,AMRO,0,0,0,0
09-02-2020,MX,Mexico,AMRO,0,0,0,0
10-02-2020,MX,Mexico,AMRO,0,0,0,0
11-02-2020,MX,Mexico,AMRO,0,0,0,0
12-02-2020,MX,Mexico,AMRO,0,0,0,0
13-02-2020,MX,Mexico,AMRO,0,0,0,0
14-02-2020,MX,Mexico,AMRO,0,0,0,0
15-02-2020,MX,Mexico,AMRO,0,0,0,0
16-02-2020,MX,Mexico,AMRO,0,0,0,0
17-02-2020,MX,Mexico,AMRO,0,0,0,0
18-02-2020,MX,Mexico,AMRO,0,0,0,0
19-02-2020,MX,Mexico,AMRO,0,0,0,0
20-02-2020,MX,Mexico,AMRO,0,0,0,0
21-02-2020,MX,Mexico,AMRO,0,0,0,0
22-02-2020,MX,Mexico,AMRO,0,0,0,0
23-02-2020,MX,Mexico,AMRO,0,0,0,0
24-02-2020,MX,Mexico,AMRO,0,0,0,0
25-02-2020,MX,Mexico,AMRO,0,0,0,0
26-02-2020,MX,Mexico,AMRO,0,0,0,0
27-02-2020,MX,Mexico,AMRO,0,0,0,0
28-02-2020,MX,Mexico,AMRO,6,6,0,0
29-02-2020,MX,Mexico,AMRO,0,6,0,0
01-03-2020,MX,Mexico,AMRO,0,6,0,0
02-03-2020,MX,Mexico,AMRO,3,9,0,0
03-03-2020,MX,Mexico,AMRO,0,9,0,0
04-03-2020,MX,Mexico,AMRO,0,9,0,0
05-03-2020,MX,Mexico,AMRO,0,9,0,0
06-03-2020,MX,Mexico,AMRO,0,9,0,0
07-03-2020,MX,Mexico,AMRO,0,9,0,0
08-03-2020,MX,Mexico,AMRO,2,11,0,0
09-03-2020,MX,Mexico,AMRO,0,11,0,0
10-03-2020,MX,Mexico,AMRO,0,11,0,0
11-03-2020,MX,Mexico,AMRO,0,11,0,0
12-03-2020,MX,Mexico,AMRO,4,15,0,0
13-03-2020,MX,Mexico,AMRO,1,16,0,0
14-03-2020,MX,Mexico,AMRO,3,19,0,0
15-03-2020,MX,Mexico,AMRO,26,45,0,0
16-03-2020,MX,Mexico,AMRO,12,57,0,0
17-03-2020,MX,Mexico,AMRO,29,86,0,0
18-03-2020,MX,Mexico,AMRO,11,97,0,0
19-03-2020,MX,Mexico,AMRO,21,118,0,0
20-03-2020,MX,Mexico,AMRO,46,164,1,1
21-03-2020,MX,Mexico,AMRO,0,164,0,1
22-03-2020,MX,Mexico,AMRO,0,164,0,1
23-03-2020,MX,Mexico,AMRO,87,251,1,2
24-03-2020,MX,Mexico,AMRO,65,316,0,2
25-03-2020,MX,Mexico,AMRO,54,370,2,4
26-03-2020,MX,Mexico,AMRO,108,478,1,5
27-03-2020,MX,Mexico,AMRO,0,478,0,5
28-03-2020,MX,Mexico,AMRO,111,589,3,8
29-03-2020,MX,Mexico,AMRO,128,717,4,12
30-03-2020,MX,Mexico,AMRO,131,848,4,16
31-03-2020,MX,Mexico,AMRO,145,993,4,20
01-04-2020,MX,Mexico,AMRO,101,1094,8,28
02-04-2020,MX,Mexico,AMRO,121,1215,1,29
03-04-2020,MX,Mexico,AMRO,163,1378,8,37
04-04-2020,MX,Mexico,AMRO,132,1510,13,50
05-04-2020,MX,Mexico,AMRO,178,1688,10,60
06-04-2020,MX,Mexico,AMRO,202,1890,19,79
07-04-2020,MX,Mexico,AMRO,253,2143,15,94
08-04-2020,MX,Mexico,AMRO,296,2439,31,125
09-04-2020,MX,Mexico,AMRO,346,2785,16,141
10-04-2020,MX,Mexico,AMRO,396,3181,33,174
11-04-2020,MX,Mexico,AMRO,260,3441,20,194
12-04-2020,MX,Mexico,AMRO,403,3844,39,233
13-04-2020,MX,Mexico,AMRO,375,4219,40,273
14-04-2020,MX,Mexico,AMRO,442,4661,23,296
15-04-2020,MX,Mexico,AMRO,353,5014,36,332
16-04-2020,MX,Mexico,AMRO,385,5399,74,406
17-04-2020,MX,Mexico,AMRO,448,5847,43,449
18-04-2020,MX,Mexico,AMRO,450,6297,37,486
19-04-2020,MX,Mexico,AMRO,578,6875,60,546
20-04-2020,MX,Mexico,AMRO,622,7497,104,650
21-04-2020,MX,Mexico,AMRO,764,8261,36,686
22-04-2020,MX,Mexico,AMRO,511,8772,26,712
23-04-2020,MX,Mexico,AMRO,729,9501,145,857
24-04-2020,MX,Mexico,AMRO,1043,10544,113,970
25-04-2020,MX,Mexico,AMRO,1089,11633,99,1069
26-04-2020,MX,Mexico,AMRO,1239,12872,152,1221
27-04-2020,MX,Mexico,AMRO,970,13842,84,1305
28-04-2020,MX,Mexico,AMRO,835,14677,46,1351
29-04-2020,MX,Mexico,AMRO,852,15529,83,1434
30-04-2020,MX,Mexico,AMRO,1223,16752,135,1569
01-05-2020,MX,Mexico,AMRO,1047,17799,163,1732
02-05-2020,MX,Mexico,AMRO,1425,19224,127,1859
03-05-2020,MX,Mexico,AMRO,1515,20739,113,1972
04-05-2020,MX,Mexico,AMRO,1349,22088,89,2061
05-05-2020,MX,Mexico,AMRO,1383,23471,93,2154
06-05-2020,MX,Mexico,AMRO,1434,24905,117,2271
07-05-2020,MX,Mexico,AMRO,1120,26025,236,2507
08-05-2020,MX,Mexico,AMRO,1609,27634,197,2704
09-05-2020,MX,Mexico,AMRO,1982,29616,257,2961
10-05-2020,MX,Mexico,AMRO,1906,31522,199,3160
11-05-2020,MX,Mexico,AMRO,1938,33460,193,3353
12-05-2020,MX,Mexico,AMRO,1562,35022,112,3465
13-05-2020,MX,Mexico,AMRO,1305,36327,108,3573
14-05-2020,MX,Mexico,AMRO,1997,38324,353,3926
15-05-2020,MX,Mexico,AMRO,1862,40186,294,4220
16-05-2020,MX,Mexico,AMRO,2409,42595,257,4477
17-05-2020,MX,Mexico,AMRO,2437,45032,290,4767
18-05-2020,MX,Mexico,AMRO,2112,47144,278,5045
19-05-2020,MX,Mexico,AMRO,2075,49219,132,5177
20-05-2020,MX,Mexico,AMRO,2414,51633,155,5332
21-05-2020,MX,Mexico,AMRO,2713,54346,334,5666
22-05-2020,MX,Mexico,AMRO,2248,56594,424,6090
23-05-2020,MX,Mexico,AMRO,2973,59567,420,6510
24-05-2020,MX,Mexico,AMRO,2960,62527,479,6989
25-05-2020,MX,Mexico,AMRO,3329,65856,190,7179
26-05-2020,MX,Mexico,AMRO,2764,68620,215,7394
27-05-2020,MX,Mexico,AMRO,2485,71105,239,7633
28-05-2020,MX,Mexico,AMRO,3455,74560,501,8134
29-05-2020,MX,Mexico,AMRO,3463,78023,463,8597
30-05-2020,MX,Mexico,AMRO,3377,81400,447,9044
31-05-2020,MX,Mexico,AMRO,3227,84627,371,9415
01-06-2020,MX,Mexico,AMRO,2885,87512,364,9779
02-06-2020,MX,Mexico,AMRO,3152,90664,151,9930
03-06-2020,MX,Mexico,AMRO,2771,93435,237,10167
04-06-2020,MX,Mexico,AMRO,3891,97326,470,10637
05-06-2020,MX,Mexico,AMRO,3912,101238,1091,11728
06-06-2020,MX,Mexico,AMRO,4442,105680,817,12545
07-06-2020,MX,Mexico,AMRO,4346,110026,625,13170
08-06-2020,MX,Mexico,AMRO,3593,113619,341,13511
09-06-2020,MX,Mexico,AMRO,3484,117103,188,13699
10-06-2020,MX,Mexico,AMRO,2999,120102,354,14053
11-06-2020,MX,Mexico,AMRO,4199,124301,596,14649
12-06-2020,MX,Mexico,AMRO,4883,129184,708,15357
13-06-2020,MX,Mexico,AMRO,4790,133974,587,15944
14-06-2020,MX,Mexico,AMRO,5222,139196,504,16448
15-06-2020,MX,Mexico,AMRO,3494,142690,424,16872
16-06-2020,MX,Mexico,AMRO,4147,146837,269,17141
17-06-2020,MX,Mexico,AMRO,3427,150264,439,17580
18-06-2020,MX,Mexico,AMRO,4599,154863,730,18310
19-06-2020,MX,Mexico,AMRO,4930,159793,770,19080
20-06-2020,MX,Mexico,AMRO,5662,165455,667,19747
21-06-2020,MX,Mexico,AMRO,5030,170485,647,20394
22-06-2020,MX,Mexico,AMRO,4717,175202,387,20781
23-06-2020,MX,Mexico,AMRO,5343,180545,1044,21825
24-06-2020,MX,Mexico,AMRO,4577,185122,759,22584
25-06-2020,MX,Mexico,AMRO,6288,191410,793,23377
26-06-2020,MX,Mexico,AMRO,5437,196847,947,24324
27-06-2020,MX,Mexico,AMRO,6104,202951,736,25060
28-06-2020,MX,Mexico,AMRO,5441,208392,719,25779
29-06-2020,MX,Mexico,AMRO,4410,212802,602,26381
30-06-2020,MX,Mexico,AMRO,4050,216852,267,26648
01-07-2020,MX,Mexico,AMRO,3805,220657,473,27121
02-07-2020,MX,Mexico,AMRO,5432,226089,648,27769
03-07-2020,MX,Mexico,AMRO,5681,231770,741,28510
04-07-2020,MX,Mexico,AMRO,6741,238511,679,29189
05-07-2020,MX,Mexico,AMRO,6740,245251,654,29843
06-07-2020,MX,Mexico,AMRO,6914,252165,523,30366
07-07-2020,MX,Mexico,AMRO,4683,256848,273,30639
08-07-2020,MX,Mexico,AMRO,4902,261750,480,31119
09-07-2020,MX,Mexico,AMRO,6258,268008,895,32014
10-07-2020,MX,Mexico,AMRO,6995,275003,782,32796
11-07-2020,MX,Mexico,AMRO,7280,282283,730,33526
12-07-2020,MX,Mexico,AMRO,6891,289174,665,34191
13-07-2020,MX,Mexico,AMRO,6094,295268,539,34730
14-07-2020,MX,Mexico,AMRO,4482,299750,276,35006
15-07-2020,MX,Mexico,AMRO,4685,304435,485,35491
16-07-2020,MX,Mexico,AMRO,7051,311486,836,36327
17-07-2020,MX,Mexico,AMRO,6149,317635,579,36906
18-07-2020,MX,Mexico,AMRO,6406,324041,668,37574
19-07-2020,MX,Mexico,AMRO,7257,331298,736,38310
20-07-2020,MX,Mexico,AMRO,7615,338913,578,38888
21-07-2020,MX,Mexico,AMRO,5311,344224,296,39184
22-07-2020,MX,Mexico,AMRO,5172,349396,301,39485
23-07-2020,MX,Mexico,AMRO,6859,356255,915,40400
24-07-2020,MX,Mexico,AMRO,6019,362274,790,41190
25-07-2020,MX,Mexico,AMRO,8438,370712,718,41908
26-07-2020,MX,Mexico,AMRO,7573,378285,737,42645
27-07-2020,MX,Mexico,AMRO,6751,385036,729,43374
28-07-2020,MX,Mexico,AMRO,5480,390516,306,43680
29-07-2020,MX,Mexico,AMRO,4973,395489,342,44022
30-07-2020,MX,Mexico,AMRO,7208,402697,854,44876
31-07-2020,MX,Mexico,AMRO,5752,408449,485,45361
01-08-2020,MX,Mexico,AMRO,7730,416179,639,46000
02-08-2020,MX,Mexico,AMRO,8458,424637,688,46688
03-08-2020,MX,Mexico,AMRO,9556,434193,784,47472
04-08-2020,MX,Mexico,AMRO,4853,439046,274,47746
05-08-2020,MX,Mexico,AMRO,4767,443813,266,48012
06-08-2020,MX,Mexico,AMRO,6148,449961,857,48869
07-08-2020,MX,Mexico,AMRO,6139,456100,829,49698
08-08-2020,MX,Mexico,AMRO,6590,462690,819,50517
09-08-2020,MX,Mexico,AMRO,6717,469407,794,51311
10-08-2020,MX,Mexico,AMRO,6495,475902,695,52006
11-08-2020,MX,Mexico,AMRO,4376,480278,292,52298
12-08-2020,MX,Mexico,AMRO,5558,485836,705,53003
13-08-2020,MX,Mexico,AMRO,6686,492522,926,53929
14-08-2020,MX,Mexico,AMRO,5858,498380,737,54666
15-08-2020,MX,Mexico,AMRO,7371,505751,627,55293
16-08-2020,MX,Mexico,AMRO,5618,511369,615,55908
17-08-2020,MX,Mexico,AMRO,6345,517714,635,56543
18-08-2020,MX,Mexico,AMRO,4448,522162,214,56757
19-08-2020,MX,Mexico,AMRO,3571,525733,266,57023
20-08-2020,MX,Mexico,AMRO,5506,531239,751,57774
21-08-2020,MX,Mexico,AMRO,5792,537031,707,58481
22-08-2020,MX,Mexico,AMRO,6775,543806,625,59106
23-08-2020,MX,Mexico,AMRO,5928,549734,504,59610
24-08-2020,MX,Mexico,AMRO,6482,556216,644,60254
25-08-2020,MX,Mexico,AMRO,3948,560164,226,60480
26-08-2020,MX,Mexico,AMRO,3541,563705,320,60800
27-08-2020,MX,Mexico,AMRO,4916,568621,650,61450
28-08-2020,MX,Mexico,AMRO,5267,573888,626,62076
29-08-2020,MX,Mexico,AMRO,6026,579914,518,62594
30-08-2020,MX,Mexico,AMRO,5824,585738,552,63146
31-08-2020,MX,Mexico,AMRO,5974,591712,673,63819
01-09-2020,MX,Mexico,AMRO,4129,595841,339,64158
02-09-2020,MX,Mexico,AMRO,3719,599560,256,64414
03-09-2020,MX,Mexico,AMRO,6476,606036,827,65241
04-09-2020,MX,Mexico,AMRO,4921,610957,575,65816
05-09-2020,MX,Mexico,AMRO,5937,616894,513,66329
06-09-2020,MX,Mexico,AMRO,6196,623090,522,66851
07-09-2020,MX,Mexico,AMRO,6319,629409,475,67326
08-09-2020,MX,Mexico,AMRO,4614,634023,232,67558
09-09-2020,MX,Mexico,AMRO,3486,637509,223,67781
10-09-2020,MX,Mexico,AMRO,5351,642860,703,68484
11-09-2020,MX,Mexico,AMRO,4647,647507,611,69095
12-09-2020,MX,Mexico,AMRO,4857,652364,554,69649
13-09-2020,MX,Mexico,AMRO,5935,658299,534,70183
14-09-2020,MX,Mexico,AMRO,5674,663973,421,70604
15-09-2020,MX,Mexico,AMRO,4408,668381,217,70821
16-09-2020,MX,Mexico,AMRO,3335,671716,228,71049
17-09-2020,MX,Mexico,AMRO,4771,676487,629,71678
18-09-2020,MX,Mexico,AMRO,4444,680931,300,71978
19-09-2020,MX,Mexico,AMRO,3182,684113,201,72179
20-09-2020,MX,Mexico,AMRO,4841,688954,624,72803
21-09-2020,MX,Mexico,AMRO,5167,694121,455,73258
22-09-2020,MX,Mexico,AMRO,3542,697663,235,73493
23-09-2020,MX,Mexico,AMRO,2917,700580,204,73697
24-09-2020,MX,Mexico,AMRO,4683,705263,651,74348
25-09-2020,MX,Mexico,AMRO,4786,710049,601,74949
26-09-2020,MX,Mexico,AMRO,5408,715457,490,75439
27-09-2020,MX,Mexico,AMRO,5401,720858,405,75844
28-09-2020,MX,Mexico,AMRO,5573,726431,399,76243
29-09-2020,MX,Mexico,AMRO,3886,730317,187,76430
30-09-2020,MX,Mexico,AMRO,3400,733717,173,76603
01-10-2020,MX,Mexico,AMRO,4446,738163,560,77163
02-10-2020,MX,Mexico,AMRO,5053,743216,483,77646
03-10-2020,MX,Mexico,AMRO,5099,748315,432,78078
04-10-2020,MX,Mexico,AMRO,4775,753090,414,78492
05-10-2020,MX,Mexico,AMRO,4863,757953,388,78880
06-10-2020,MX,Mexico,AMRO,3712,761665,208,79088
07-10-2020,MX,Mexico,AMRO,3417,765082,180,79268
08-10-2020,MX,Mexico,AMRO,4476,769558,446,79714
09-10-2020,MX,Mexico,AMRO,4462,774020,369,80083
10-10-2020,MX,Mexico,AMRO,30468,804488,3013,83096
11-10-2020,MX,Mexico,AMRO,5263,809751,411,83507
12-10-2020,MX,Mexico,AMRO,4577,814328,135,83642
13-10-2020,MX,Mexico,AMRO,3175,817503,139,83781
14-10-2020,MX,Mexico,AMRO,3542,821045,164,83945
15-10-2020,MX,Mexico,AMRO,4295,825340,475,84420
16-10-2020,MX,Mexico,AMRO,4056,829396,478,84898
17-10-2020,MX,Mexico,AMRO,5514,834910,387,85285
18-10-2020,MX,Mexico,AMRO,6751,841661,419,85704
19-10-2020,MX,Mexico,AMRO,5447,847108,355,86059
20-10-2020,MX,Mexico,AMRO,4119,851227,108,86167
21-10-2020,MX,Mexico,AMRO,3699,854926,171,86338
22-10-2020,MX,Mexico,AMRO,5788,860714,555,86893
23-10-2020,MX,Mexico,AMRO,6845,867559,522,87415
24-10-2020,MX,Mexico,AMRO,6612,874171,479,87894
25-10-2020,MX,Mexico,AMRO,6604,880775,418,88312
26-10-2020,MX,Mexico,AMRO,6025,886800,431,88743
27-10-2020,MX,Mexico,AMRO,4360,891160,181,88924
28-10-2020,MX,Mexico,AMRO,4166,895326,247,89171
29-10-2020,MX,Mexico,AMRO,5942,901268,643,89814
30-10-2020,MX,Mexico,AMRO,5595,906863,495,90309
31-10-2020,MX,Mexico,AMRO,5948,912811,464,90773
01-11-2020,MX,Mexico,AMRO,6000,918811,516,91289
02-11-2020,MX,Mexico,AMRO,6151,924962,464,91753
03-11-2020,MX,Mexico,AMRO,4430,929392,142,91895
04-11-2020,MX,Mexico,AMRO,3763,933155,205,92100
05-11-2020,MX,Mexico,AMRO,5250,938405,493,92593
06-11-2020,MX,Mexico,AMRO,5225,943630,635,93228
07-11-2020,MX,Mexico,AMRO,5567,949197,544,93772
08-11-2020,MX,Mexico,AMRO,5931,955128,551,94323
09-11-2020,MX,Mexico,AMRO,6810,961938,485,94808
10-11-2020,MX,Mexico,AMRO,5887,967825,219,95027
11-11-2020,MX,Mexico,AMRO,4960,972785,198,95225
12-11-2020,MX,Mexico,AMRO,5746,978531,617,95842
13-11-2020,MX,Mexico,AMRO,7646,986177,588,96430
14-11-2020,MX,Mexico,AMRO,5658,991835,626,97056
