date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,MA,Morocco,EMRO,0,0,0,0
04-01-2020,MA,Morocco,EMRO,0,0,0,0
05-01-2020,MA,Morocco,EMRO,0,0,0,0
06-01-2020,MA,Morocco,EMRO,0,0,0,0
07-01-2020,MA,Morocco,EMRO,0,0,0,0
08-01-2020,MA,Morocco,EMRO,0,0,0,0
09-01-2020,MA,Morocco,EMRO,0,0,0,0
10-01-2020,MA,Morocco,EMRO,0,0,0,0
11-01-2020,MA,Morocco,EMRO,0,0,0,0
12-01-2020,MA,Morocco,EMRO,0,0,0,0
13-01-2020,MA,Morocco,EMRO,0,0,0,0
14-01-2020,MA,Morocco,EMRO,0,0,0,0
15-01-2020,MA,Morocco,EMRO,0,0,0,0
16-01-2020,MA,Morocco,EMRO,0,0,0,0
17-01-2020,MA,Morocco,EMRO,0,0,0,0
18-01-2020,MA,Morocco,EMRO,0,0,0,0
19-01-2020,MA,Morocco,EMRO,0,0,0,0
20-01-2020,MA,Morocco,EMRO,0,0,0,0
21-01-2020,MA,Morocco,EMRO,0,0,0,0
22-01-2020,MA,Morocco,EMRO,0,0,0,0
23-01-2020,MA,Morocco,EMRO,0,0,0,0
24-01-2020,MA,Morocco,EMRO,0,0,0,0
25-01-2020,MA,Morocco,EMRO,0,0,0,0
26-01-2020,MA,Morocco,EMRO,0,0,0,0
27-01-2020,MA,Morocco,EMRO,0,0,0,0
28-01-2020,MA,Morocco,EMRO,0,0,0,0
29-01-2020,MA,Morocco,EMRO,0,0,0,0
30-01-2020,MA,Morocco,EMRO,0,0,0,0
31-01-2020,MA,Morocco,EMRO,0,0,0,0
01-02-2020,MA,Morocco,EMRO,0,0,0,0
02-02-2020,MA,Morocco,EMRO,0,0,0,0
03-02-2020,MA,Morocco,EMRO,0,0,0,0
04-02-2020,MA,Morocco,EMRO,0,0,0,0
05-02-2020,MA,Morocco,EMRO,0,0,0,0
06-02-2020,MA,Morocco,EMRO,0,0,0,0
07-02-2020,MA,Morocco,EMRO,0,0,0,0
08-02-2020,MA,Morocco,EMRO,0,0,0,0
09-02-2020,MA,Morocco,EMRO,0,0,0,0
10-02-2020,MA,Morocco,EMRO,0,0,0,0
11-02-2020,MA,Morocco,EMRO,0,0,0,0
12-02-2020,MA,Morocco,EMRO,0,0,0,0
13-02-2020,MA,Morocco,EMRO,0,0,0,0
14-02-2020,MA,Morocco,EMRO,0,0,0,0
15-02-2020,MA,Morocco,EMRO,0,0,0,0
16-02-2020,MA,Morocco,EMRO,0,0,0,0
17-02-2020,MA,Morocco,EMRO,0,0,0,0
18-02-2020,MA,Morocco,EMRO,0,0,0,0
19-02-2020,MA,Morocco,EMRO,0,0,0,0
20-02-2020,MA,Morocco,EMRO,0,0,0,0
21-02-2020,MA,Morocco,EMRO,0,0,0,0
22-02-2020,MA,Morocco,EMRO,0,0,0,0
23-02-2020,MA,Morocco,EMRO,0,0,0,0
24-02-2020,MA,Morocco,EMRO,0,0,0,0
25-02-2020,MA,Morocco,EMRO,0,0,0,0
26-02-2020,MA,Morocco,EMRO,0,0,0,0
27-02-2020,MA,Morocco,EMRO,0,0,0,0
28-02-2020,MA,Morocco,EMRO,0,0,0,0
29-02-2020,MA,Morocco,EMRO,0,0,0,0
01-03-2020,MA,Morocco,EMRO,0,0,0,0
02-03-2020,MA,Morocco,EMRO,5,5,0,0
03-03-2020,MA,Morocco,EMRO,0,5,0,0
04-03-2020,MA,Morocco,EMRO,0,5,0,0
05-03-2020,MA,Morocco,EMRO,1,6,0,0
06-03-2020,MA,Morocco,EMRO,0,6,0,0
07-03-2020,MA,Morocco,EMRO,0,6,0,0
08-03-2020,MA,Morocco,EMRO,0,6,0,0
09-03-2020,MA,Morocco,EMRO,0,6,0,0
10-03-2020,MA,Morocco,EMRO,1,7,0,0
11-03-2020,MA,Morocco,EMRO,2,9,1,1
12-03-2020,MA,Morocco,EMRO,1,10,0,1
13-03-2020,MA,Morocco,EMRO,0,10,0,1
14-03-2020,MA,Morocco,EMRO,1,11,0,1
15-03-2020,MA,Morocco,EMRO,21,32,0,1
16-03-2020,MA,Morocco,EMRO,1,33,0,1
17-03-2020,MA,Morocco,EMRO,9,42,1,2
18-03-2020,MA,Morocco,EMRO,11,53,0,2
19-03-2020,MA,Morocco,EMRO,9,62,0,2
20-03-2020,MA,Morocco,EMRO,12,74,1,3
21-03-2020,MA,Morocco,EMRO,12,86,0,3
22-03-2020,MA,Morocco,EMRO,18,104,0,3
23-03-2020,MA,Morocco,EMRO,11,115,1,4
24-03-2020,MA,Morocco,EMRO,28,143,0,4
25-03-2020,MA,Morocco,EMRO,27,170,1,5
26-03-2020,MA,Morocco,EMRO,55,225,1,6
27-03-2020,MA,Morocco,EMRO,50,275,4,10
28-03-2020,MA,Morocco,EMRO,83,358,13,23
29-03-2020,MA,Morocco,EMRO,79,437,3,26
30-03-2020,MA,Morocco,EMRO,79,516,1,27
31-03-2020,MA,Morocco,EMRO,58,574,6,33
01-04-2020,MA,Morocco,EMRO,64,638,3,36
02-04-2020,MA,Morocco,EMRO,38,676,3,39
03-04-2020,MA,Morocco,EMRO,59,735,8,47
04-04-2020,MA,Morocco,EMRO,109,844,3,50
05-04-2020,MA,Morocco,EMRO,116,960,16,66
06-04-2020,MA,Morocco,EMRO,153,1113,5,71
07-04-2020,MA,Morocco,EMRO,28,1141,12,83
08-04-2020,MA,Morocco,EMRO,43,1184,7,90
09-04-2020,MA,Morocco,EMRO,91,1275,3,93
10-04-2020,MA,Morocco,EMRO,102,1377,4,97
11-04-2020,MA,Morocco,EMRO,71,1448,10,107
12-04-2020,MA,Morocco,EMRO,97,1545,4,111
13-04-2020,MA,Morocco,EMRO,116,1661,7,118
14-04-2020,MA,Morocco,EMRO,102,1763,8,126
15-04-2020,MA,Morocco,EMRO,125,1888,0,126
16-04-2020,MA,Morocco,EMRO,136,2024,1,127
17-04-2020,MA,Morocco,EMRO,259,2283,3,130
18-04-2020,MA,Morocco,EMRO,281,2564,5,135
19-04-2020,MA,Morocco,EMRO,121,2685,2,137
20-04-2020,MA,Morocco,EMRO,170,2855,4,141
21-04-2020,MA,Morocco,EMRO,191,3046,2,143
22-04-2020,MA,Morocco,EMRO,163,3209,2,145
23-04-2020,MA,Morocco,EMRO,237,3446,4,149
24-04-2020,MA,Morocco,EMRO,122,3568,6,155
25-04-2020,MA,Morocco,EMRO,190,3758,3,158
26-04-2020,MA,Morocco,EMRO,139,3897,1,159
27-04-2020,MA,Morocco,EMRO,168,4065,2,161
28-04-2020,MA,Morocco,EMRO,55,4120,1,162
29-04-2020,MA,Morocco,EMRO,132,4252,3,165
30-04-2020,MA,Morocco,EMRO,107,4359,3,168
