date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,OM,Oman,EMRO,0,0,0,0
04-01-2020,OM,Oman,EMRO,0,0,0,0
05-01-2020,OM,Oman,EMRO,0,0,0,0
06-01-2020,OM,Oman,EMRO,0,0,0,0
07-01-2020,OM,Oman,EMRO,0,0,0,0
08-01-2020,OM,Oman,EMRO,0,0,0,0
09-01-2020,OM,Oman,EMRO,0,0,0,0
10-01-2020,OM,Oman,EMRO,0,0,0,0
11-01-2020,OM,Oman,EMRO,0,0,0,0
12-01-2020,OM,Oman,EMRO,0,0,0,0
13-01-2020,OM,Oman,EMRO,0,0,0,0
14-01-2020,OM,Oman,EMRO,0,0,0,0
15-01-2020,OM,Oman,EMRO,0,0,0,0
16-01-2020,OM,Oman,EMRO,0,0,0,0
17-01-2020,OM,Oman,EMRO,0,0,0,0
18-01-2020,OM,Oman,EMRO,0,0,0,0
19-01-2020,OM,Oman,EMRO,0,0,0,0
20-01-2020,OM,Oman,EMRO,0,0,0,0
21-01-2020,OM,Oman,EMRO,0,0,0,0
22-01-2020,OM,Oman,EMRO,0,0,0,0
23-01-2020,OM,Oman,EMRO,0,0,0,0
24-01-2020,OM,Oman,EMRO,0,0,0,0
25-01-2020,OM,Oman,EMRO,0,0,0,0
26-01-2020,OM,Oman,EMRO,0,0,0,0
27-01-2020,OM,Oman,EMRO,0,0,0,0
28-01-2020,OM,Oman,EMRO,0,0,0,0
29-01-2020,OM,Oman,EMRO,0,0,0,0
30-01-2020,OM,Oman,EMRO,0,0,0,0
31-01-2020,OM,Oman,EMRO,0,0,0,0
01-02-2020,OM,Oman,EMRO,0,0,0,0
02-02-2020,OM,Oman,EMRO,0,0,0,0
03-02-2020,OM,Oman,EMRO,0,0,0,0
04-02-2020,OM,Oman,EMRO,0,0,0,0
05-02-2020,OM,Oman,EMRO,0,0,0,0
06-02-2020,OM,Oman,EMRO,0,0,0,0
07-02-2020,OM,Oman,EMRO,0,0,0,0
08-02-2020,OM,Oman,EMRO,0,0,0,0
09-02-2020,OM,Oman,EMRO,0,0,0,0
10-02-2020,OM,Oman,EMRO,0,0,0,0
11-02-2020,OM,Oman,EMRO,0,0,0,0
12-02-2020,OM,Oman,EMRO,0,0,0,0
13-02-2020,OM,Oman,EMRO,0,0,0,0
14-02-2020,OM,Oman,EMRO,0,0,0,0
15-02-2020,OM,Oman,EMRO,0,0,0,0
16-02-2020,OM,Oman,EMRO,0,0,0,0
17-02-2020,OM,Oman,EMRO,0,0,0,0
18-02-2020,OM,Oman,EMRO,0,0,0,0
19-02-2020,OM,Oman,EMRO,0,0,0,0
20-02-2020,OM,Oman,EMRO,0,0,0,0
21-02-2020,OM,Oman,EMRO,0,0,0,0
22-02-2020,OM,Oman,EMRO,0,0,0,0
23-02-2020,OM,Oman,EMRO,0,0,0,0
24-02-2020,OM,Oman,EMRO,6,6,0,0
25-02-2020,OM,Oman,EMRO,2,8,0,0
26-02-2020,OM,Oman,EMRO,0,8,0,0
27-02-2020,OM,Oman,EMRO,1,9,0,0
28-02-2020,OM,Oman,EMRO,0,9,0,0
29-02-2020,OM,Oman,EMRO,0,9,0,0
01-03-2020,OM,Oman,EMRO,0,9,0,0
02-03-2020,OM,Oman,EMRO,0,9,0,0
03-03-2020,OM,Oman,EMRO,7,16,0,0
04-03-2020,OM,Oman,EMRO,3,19,0,0
05-03-2020,OM,Oman,EMRO,1,20,0,0
06-03-2020,OM,Oman,EMRO,0,20,0,0
07-03-2020,OM,Oman,EMRO,0,20,0,0
08-03-2020,OM,Oman,EMRO,0,20,0,0
09-03-2020,OM,Oman,EMRO,0,20,0,0
10-03-2020,OM,Oman,EMRO,2,22,0,0
11-03-2020,OM,Oman,EMRO,0,22,0,0
12-03-2020,OM,Oman,EMRO,0,22,0,0
13-03-2020,OM,Oman,EMRO,0,22,0,0
14-03-2020,OM,Oman,EMRO,1,23,0,0
15-03-2020,OM,Oman,EMRO,3,26,0,0
16-03-2020,OM,Oman,EMRO,0,26,0,0
17-03-2020,OM,Oman,EMRO,2,28,0,0
18-03-2020,OM,Oman,EMRO,9,37,0,0
19-03-2020,OM,Oman,EMRO,6,43,0,0
20-03-2020,OM,Oman,EMRO,5,48,0,0
21-03-2020,OM,Oman,EMRO,4,52,0,0
22-03-2020,OM,Oman,EMRO,3,55,0,0
23-03-2020,OM,Oman,EMRO,11,66,0,0
24-03-2020,OM,Oman,EMRO,18,84,0,0
25-03-2020,OM,Oman,EMRO,15,99,0,0
26-03-2020,OM,Oman,EMRO,10,109,0,0
27-03-2020,OM,Oman,EMRO,22,131,0,0
28-03-2020,OM,Oman,EMRO,21,152,0,0
29-03-2020,OM,Oman,EMRO,15,167,0,0
30-03-2020,OM,Oman,EMRO,12,179,0,0
31-03-2020,OM,Oman,EMRO,13,192,0,0
01-04-2020,OM,Oman,EMRO,18,210,1,1
02-04-2020,OM,Oman,EMRO,21,231,0,1
03-04-2020,OM,Oman,EMRO,21,252,0,1
04-04-2020,OM,Oman,EMRO,25,277,0,1
05-04-2020,OM,Oman,EMRO,21,298,1,2
06-04-2020,OM,Oman,EMRO,33,331,0,2
07-04-2020,OM,Oman,EMRO,40,371,0,2
08-04-2020,OM,Oman,EMRO,48,419,0,2
09-04-2020,OM,Oman,EMRO,38,457,0,2
10-04-2020,OM,Oman,EMRO,27,484,1,3
11-04-2020,OM,Oman,EMRO,62,546,0,3
12-04-2020,OM,Oman,EMRO,53,599,0,3
13-04-2020,OM,Oman,EMRO,128,727,1,4
14-04-2020,OM,Oman,EMRO,86,813,0,4
15-04-2020,OM,Oman,EMRO,97,910,0,4
16-04-2020,OM,Oman,EMRO,109,1019,0,4
17-04-2020,OM,Oman,EMRO,50,1069,1,5
18-04-2020,OM,Oman,EMRO,111,1180,1,6
19-04-2020,OM,Oman,EMRO,86,1266,0,6
