date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020, ,Other,Other,0,0,0,0
04-01-2020, ,Other,Other,0,0,0,0
05-01-2020, ,Other,Other,0,0,0,0
06-01-2020, ,Other,Other,0,0,0,0
07-01-2020, ,Other,Other,0,0,0,0
08-01-2020, ,Other,Other,0,0,0,0
09-01-2020, ,Other,Other,0,0,0,0
10-01-2020, ,Other,Other,0,0,0,0
11-01-2020, ,Other,Other,0,0,0,0
12-01-2020, ,Other,Other,0,0,0,0
13-01-2020, ,Other,Other,0,0,0,0
14-01-2020, ,Other,Other,0,0,0,0
15-01-2020, ,Other,Other,0,0,0,0
16-01-2020, ,Other,Other,0,0,0,0
17-01-2020, ,Other,Other,0,0,0,0
18-01-2020, ,Other,Other,0,0,0,0
19-01-2020, ,Other,Other,0,0,0,0
20-01-2020, ,Other,Other,0,0,0,0
21-01-2020, ,Other,Other,0,0,0,0
22-01-2020, ,Other,Other,0,0,0,0
23-01-2020, ,Other,Other,0,0,0,0
24-01-2020, ,Other,Other,0,0,0,0
25-01-2020, ,Other,Other,0,0,0,0
26-01-2020, ,Other,Other,0,0,0,0
27-01-2020, ,Other,Other,0,0,0,0
28-01-2020, ,Other,Other,0,0,0,0
29-01-2020, ,Other,Other,0,0,0,0
30-01-2020, ,Other,Other,0,0,0,0
31-01-2020, ,Other,Other,0,0,0,0
01-02-2020, ,Other,Other,0,0,0,0
02-02-2020, ,Other,Other,0,0,0,0
03-02-2020, ,Other,Other,0,0,0,0
04-02-2020, ,Other,Other,0,0,0,0
05-02-2020, ,Other,Other,14,14,0,0
06-02-2020, ,Other,Other,10,24,0,0
07-02-2020, ,Other,Other,41,65,0,0
08-02-2020, ,Other,Other,3,68,0,0
09-02-2020, ,Other,Other,6,74,0,0
10-02-2020, ,Other,Other,65,139,0,0
11-02-2020, ,Other,Other,0,139,0,0
12-02-2020, ,Other,Other,39,178,0,0
13-02-2020, ,Other,Other,44,222,0,0
14-02-2020, ,Other,Other,0,222,0,0
15-02-2020, ,Other,Other,67,289,0,0
16-02-2020, ,Other,Other,70,359,0,0
17-02-2020, ,Other,Other,99,458,0,0
18-02-2020, ,Other,Other,88,546,0,0
19-02-2020, ,Other,Other,79,625,0,0
20-02-2020, ,Other,Other,0,625,2,2
21-02-2020, ,Other,Other,13,638,0,2
22-02-2020, ,Other,Other,0,638,0,2
23-02-2020, ,Other,Other,57,695,0,2
24-02-2020, ,Other,Other,0,695,1,3
25-02-2020, ,Other,Other,0,695,1,4
26-02-2020, ,Other,Other,4,699,0,4
27-02-2020, ,Other,Other,0,699,0,4
28-02-2020, ,Other,Other,0,699,1,5
29-02-2020, ,Other,Other,0,699,1,6
01-03-2020, ,Other,Other,1,700,0,6
02-03-2020, ,Other,Other,0,700,0,6
03-03-2020, ,Other,Other,0,700,0,6
04-03-2020, ,Other,Other,0,700,0,6
05-03-2020, ,Other,Other,0,700,0,6
06-03-2020, ,Other,Other,0,700,0,6
07-03-2020, ,Other,Other,0,700,0,6
08-03-2020, ,Other,Other,0,700,1,7
09-03-2020, ,Other,Other,0,700,0,7
10-03-2020, ,Other,Other,0,700,0,7
11-03-2020, ,Other,Other,0,700,0,7
12-03-2020, ,Other,Other,0,700,0,7
13-03-2020, ,Other,Other,1,701,0,7
14-03-2020, ,Other,Other,0,701,0,7
15-03-2020, ,Other,Other,15,716,0,7
16-03-2020, ,Other,Other,0,716,0,7
17-03-2020, ,Other,Other,0,716,0,7
18-03-2020, ,Other,Other,0,716,0,7
19-03-2020, ,Other,Other,0,716,0,7
20-03-2020, ,Other,Other,-4,712,1,8
21-03-2020, ,Other,Other,0,712,0,8
22-03-2020, ,Other,Other,0,712,0,8
23-03-2020, ,Other,Other,0,712,0,8
24-03-2020, ,Other,Other,0,712,2,10
25-03-2020, ,Other,Other,0,712,0,10
26-03-2020, ,Other,Other,0,712,0,10
27-03-2020, ,Other,Other,0,712,0,10
28-03-2020, ,Other,Other,0,712,0,10
29-03-2020, ,Other,Other,0,712,0,10
30-03-2020, ,Other,Other,0,712,0,10
31-03-2020, ,Other,Other,0,712,1,11
01-04-2020, ,Other,Other,0,712,0,11
02-04-2020, ,Other,Other,0,712,0,11
03-04-2020, ,Other,Other,0,712,0,11
04-04-2020, ,Other,Other,0,712,0,11
05-04-2020, ,Other,Other,0,712,0,11
06-04-2020, ,Other,Other,0,712,0,11
07-04-2020, ,Other,Other,0,712,0,11
08-04-2020, ,Other,Other,0,712,0,11
09-04-2020, ,Other,Other,0,712,0,11
10-04-2020, ,Other,Other,0,712,0,11
11-04-2020, ,Other,Other,0,712,0,11
12-04-2020, ,Other,Other,0,712,0,11
13-04-2020, ,Other,Other,0,712,1,12
14-04-2020, ,Other,Other,0,712,0,12
15-04-2020, ,Other,Other,0,712,0,12
16-04-2020, ,Other,Other,0,712,0,12
17-04-2020, ,Other,Other,0,712,1,13
18-04-2020, ,Other,Other,0,712,0,13
19-04-2020, ,Other,Other,0,712,0,13
20-04-2020, ,Other,Other,0,712,0,13
21-04-2020, ,Other,Other,0,712,0,13
22-04-2020, ,Other,Other,0,712,0,13
23-04-2020, ,Other,Other,0,712,0,13
24-04-2020, ,Other,Other,0,712,0,13
25-04-2020, ,Other,Other,0,712,0,13
26-04-2020, ,Other,Other,0,712,0,13
27-04-2020, ,Other,Other,0,712,0,13
28-04-2020, ,Other,Other,0,712,0,13
29-04-2020, ,Other,Other,0,712,0,13
30-04-2020, ,Other,Other,0,712,0,13
01-05-2020, ,Other,Other,0,712,0,13
02-05-2020, ,Other,Other,0,712,0,13
03-05-2020, ,Other,Other,0,712,0,13
04-05-2020, ,Other,Other,0,712,0,13
05-05-2020, ,Other,Other,0,712,0,13
06-05-2020, ,Other,Other,0,712,0,13
07-05-2020, ,Other,Other,0,712,0,13
08-05-2020, ,Other,Other,0,712,0,13
09-05-2020, ,Other,Other,0,712,0,13
10-05-2020, ,Other,Other,0,712,0,13
11-05-2020, ,Other,Other,0,712,0,13
12-05-2020, ,Other,Other,0,712,0,13
13-05-2020, ,Other,Other,0,712,0,13
14-05-2020, ,Other,Other,0,712,0,13
15-05-2020, ,Other,Other,0,712,0,13
16-05-2020, ,Other,Other,0,712,0,13
17-05-2020, ,Other,Other,0,712,0,13
18-05-2020, ,Other,Other,0,712,0,13
19-05-2020, ,Other,Other,0,712,0,13
20-05-2020, ,Other,Other,0,712,0,13
21-05-2020, ,Other,Other,0,712,0,13
