date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,PK,Pakistan,EMRO,0,0,0,0
04-01-2020,PK,Pakistan,EMRO,0,0,0,0
05-01-2020,PK,Pakistan,EMRO,0,0,0,0
06-01-2020,PK,Pakistan,EMRO,0,0,0,0
07-01-2020,PK,Pakistan,EMRO,0,0,0,0
08-01-2020,PK,Pakistan,EMRO,0,0,0,0
09-01-2020,PK,Pakistan,EMRO,0,0,0,0
10-01-2020,PK,Pakistan,EMRO,0,0,0,0
11-01-2020,PK,Pakistan,EMRO,0,0,0,0
12-01-2020,PK,Pakistan,EMRO,0,0,0,0
13-01-2020,PK,Pakistan,EMRO,0,0,0,0
14-01-2020,PK,Pakistan,EMRO,0,0,0,0
15-01-2020,PK,Pakistan,EMRO,0,0,0,0
16-01-2020,PK,Pakistan,EMRO,0,0,0,0
17-01-2020,PK,Pakistan,EMRO,0,0,0,0
18-01-2020,PK,Pakistan,EMRO,0,0,0,0
19-01-2020,PK,Pakistan,EMRO,0,0,0,0
20-01-2020,PK,Pakistan,EMRO,0,0,0,0
21-01-2020,PK,Pakistan,EMRO,0,0,0,0
22-01-2020,PK,Pakistan,EMRO,0,0,0,0
23-01-2020,PK,Pakistan,EMRO,0,0,0,0
24-01-2020,PK,Pakistan,EMRO,0,0,0,0
25-01-2020,PK,Pakistan,EMRO,0,0,0,0
26-01-2020,PK,Pakistan,EMRO,0,0,0,0
27-01-2020,PK,Pakistan,EMRO,0,0,0,0
28-01-2020,PK,Pakistan,EMRO,0,0,0,0
29-01-2020,PK,Pakistan,EMRO,0,0,0,0
30-01-2020,PK,Pakistan,EMRO,0,0,0,0
31-01-2020,PK,Pakistan,EMRO,0,0,0,0
01-02-2020,PK,Pakistan,EMRO,0,0,0,0
02-02-2020,PK,Pakistan,EMRO,0,0,0,0
03-02-2020,PK,Pakistan,EMRO,0,0,0,0
04-02-2020,PK,Pakistan,EMRO,0,0,0,0
05-02-2020,PK,Pakistan,EMRO,0,0,0,0
06-02-2020,PK,Pakistan,EMRO,0,0,0,0
07-02-2020,PK,Pakistan,EMRO,0,0,0,0
08-02-2020,PK,Pakistan,EMRO,0,0,0,0
09-02-2020,PK,Pakistan,EMRO,0,0,0,0
10-02-2020,PK,Pakistan,EMRO,0,0,0,0
11-02-2020,PK,Pakistan,EMRO,0,0,0,0
12-02-2020,PK,Pakistan,EMRO,0,0,0,0
13-02-2020,PK,Pakistan,EMRO,0,0,0,0
14-02-2020,PK,Pakistan,EMRO,0,0,0,0
15-02-2020,PK,Pakistan,EMRO,0,0,0,0
16-02-2020,PK,Pakistan,EMRO,0,0,0,0
17-02-2020,PK,Pakistan,EMRO,0,0,0,0
18-02-2020,PK,Pakistan,EMRO,0,0,0,0
19-02-2020,PK,Pakistan,EMRO,0,0,0,0
20-02-2020,PK,Pakistan,EMRO,0,0,0,0
21-02-2020,PK,Pakistan,EMRO,0,0,0,0
22-02-2020,PK,Pakistan,EMRO,0,0,0,0
23-02-2020,PK,Pakistan,EMRO,0,0,0,0
24-02-2020,PK,Pakistan,EMRO,0,0,0,0
25-02-2020,PK,Pakistan,EMRO,0,0,0,0
26-02-2020,PK,Pakistan,EMRO,6,6,0,0
27-02-2020,PK,Pakistan,EMRO,0,6,0,0
28-02-2020,PK,Pakistan,EMRO,0,6,0,0
29-02-2020,PK,Pakistan,EMRO,2,8,0,0
01-03-2020,PK,Pakistan,EMRO,0,8,0,0
02-03-2020,PK,Pakistan,EMRO,1,9,0,0
03-03-2020,PK,Pakistan,EMRO,0,9,0,0
04-03-2020,PK,Pakistan,EMRO,0,9,0,0
05-03-2020,PK,Pakistan,EMRO,0,9,0,0
06-03-2020,PK,Pakistan,EMRO,0,9,0,0
07-03-2020,PK,Pakistan,EMRO,0,9,0,0
08-03-2020,PK,Pakistan,EMRO,1,10,0,0
09-03-2020,PK,Pakistan,EMRO,0,10,0,0
10-03-2020,PK,Pakistan,EMRO,10,20,0,0
11-03-2020,PK,Pakistan,EMRO,3,23,0,0
12-03-2020,PK,Pakistan,EMRO,1,24,0,0
13-03-2020,PK,Pakistan,EMRO,0,24,0,0
14-03-2020,PK,Pakistan,EMRO,1,25,0,0
15-03-2020,PK,Pakistan,EMRO,31,56,0,0
16-03-2020,PK,Pakistan,EMRO,1,57,0,0
17-03-2020,PK,Pakistan,EMRO,134,191,0,0
18-03-2020,PK,Pakistan,EMRO,54,245,0,0
19-03-2020,PK,Pakistan,EMRO,61,306,2,2
20-03-2020,PK,Pakistan,EMRO,155,461,0,2
21-03-2020,PK,Pakistan,EMRO,34,495,1,3
22-03-2020,PK,Pakistan,EMRO,151,646,0,3
23-03-2020,PK,Pakistan,EMRO,138,784,2,5
24-03-2020,PK,Pakistan,EMRO,103,887,1,6
25-03-2020,PK,Pakistan,EMRO,104,991,1,7
26-03-2020,PK,Pakistan,EMRO,66,1057,1,8
27-03-2020,PK,Pakistan,EMRO,140,1197,1,9
28-03-2020,PK,Pakistan,EMRO,38,1235,0,9
29-03-2020,PK,Pakistan,EMRO,291,1526,4,13
30-03-2020,PK,Pakistan,EMRO,99,1625,5,18
31-03-2020,PK,Pakistan,EMRO,240,1865,7,25
01-04-2020,PK,Pakistan,EMRO,174,2039,1,26
02-04-2020,PK,Pakistan,EMRO,252,2291,5,31
03-04-2020,PK,Pakistan,EMRO,159,2450,4,35
04-04-2020,PK,Pakistan,EMRO,0,2450,0,35
05-04-2020,PK,Pakistan,EMRO,430,2880,10,45
06-04-2020,PK,Pakistan,EMRO,397,3277,5,50
07-04-2020,PK,Pakistan,EMRO,587,3864,4,54
08-04-2020,PK,Pakistan,EMRO,208,4072,4,58
09-04-2020,PK,Pakistan,EMRO,250,4322,5,63
10-04-2020,PK,Pakistan,EMRO,279,4601,3,66
11-04-2020,PK,Pakistan,EMRO,187,4788,5,71
12-04-2020,PK,Pakistan,EMRO,250,5038,15,86
13-04-2020,PK,Pakistan,EMRO,336,5374,7,93
14-04-2020,PK,Pakistan,EMRO,342,5716,3,96
15-04-2020,PK,Pakistan,EMRO,272,5988,11,107
16-04-2020,PK,Pakistan,EMRO,517,6505,17,124
17-04-2020,PK,Pakistan,EMRO,520,7025,11,135
18-04-2020,PK,Pakistan,EMRO,456,7481,8,143
19-04-2020,PK,Pakistan,EMRO,512,7993,16,159
20-04-2020,PK,Pakistan,EMRO,425,8418,17,176
21-04-2020,PK,Pakistan,EMRO,798,9216,16,192
