date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,PL,Poland,EURO,0,0,0,0
04-01-2020,PL,Poland,EURO,0,0,0,0
05-01-2020,PL,Poland,EURO,0,0,0,0
06-01-2020,PL,Poland,EURO,0,0,0,0
07-01-2020,PL,Poland,EURO,0,0,0,0
08-01-2020,PL,Poland,EURO,0,0,0,0
09-01-2020,PL,Poland,EURO,0,0,0,0
10-01-2020,PL,Poland,EURO,0,0,0,0
11-01-2020,PL,Poland,EURO,0,0,0,0
12-01-2020,PL,Poland,EURO,0,0,0,0
13-01-2020,PL,Poland,EURO,0,0,0,0
14-01-2020,PL,Poland,EURO,0,0,0,0
15-01-2020,PL,Poland,EURO,0,0,0,0
16-01-2020,PL,Poland,EURO,0,0,0,0
17-01-2020,PL,Poland,EURO,0,0,0,0
18-01-2020,PL,Poland,EURO,0,0,0,0
19-01-2020,PL,Poland,EURO,0,0,0,0
20-01-2020,PL,Poland,EURO,0,0,0,0
21-01-2020,PL,Poland,EURO,0,0,0,0
22-01-2020,PL,Poland,EURO,0,0,0,0
23-01-2020,PL,Poland,EURO,0,0,0,0
24-01-2020,PL,Poland,EURO,0,0,0,0
25-01-2020,PL,Poland,EURO,0,0,0,0
26-01-2020,PL,Poland,EURO,0,0,0,0
27-01-2020,PL,Poland,EURO,0,0,0,0
28-01-2020,PL,Poland,EURO,0,0,0,0
29-01-2020,PL,Poland,EURO,0,0,0,0
30-01-2020,PL,Poland,EURO,0,0,0,0
31-01-2020,PL,Poland,EURO,0,0,0,0
01-02-2020,PL,Poland,EURO,0,0,0,0
02-02-2020,PL,Poland,EURO,0,0,0,0
03-02-2020,PL,Poland,EURO,0,0,0,0
04-02-2020,PL,Poland,EURO,0,0,0,0
05-02-2020,PL,Poland,EURO,0,0,0,0
06-02-2020,PL,Poland,EURO,0,0,0,0
07-02-2020,PL,Poland,EURO,0,0,0,0
08-02-2020,PL,Poland,EURO,0,0,0,0
09-02-2020,PL,Poland,EURO,0,0,0,0
10-02-2020,PL,Poland,EURO,0,0,0,0
11-02-2020,PL,Poland,EURO,0,0,0,0
12-02-2020,PL,Poland,EURO,0,0,0,0
13-02-2020,PL,Poland,EURO,0,0,0,0
14-02-2020,PL,Poland,EURO,0,0,0,0
15-02-2020,PL,Poland,EURO,0,0,0,0
16-02-2020,PL,Poland,EURO,0,0,0,0
17-02-2020,PL,Poland,EURO,0,0,0,0
18-02-2020,PL,Poland,EURO,0,0,0,0
19-02-2020,PL,Poland,EURO,0,0,0,0
20-02-2020,PL,Poland,EURO,0,0,0,0
21-02-2020,PL,Poland,EURO,0,0,0,0
22-02-2020,PL,Poland,EURO,0,0,0,0
23-02-2020,PL,Poland,EURO,0,0,0,0
24-02-2020,PL,Poland,EURO,0,0,0,0
25-02-2020,PL,Poland,EURO,0,0,0,0
26-02-2020,PL,Poland,EURO,0,0,0,0
27-02-2020,PL,Poland,EURO,0,0,0,0
28-02-2020,PL,Poland,EURO,0,0,0,0
29-02-2020,PL,Poland,EURO,0,0,0,0
01-03-2020,PL,Poland,EURO,0,0,0,0
02-03-2020,PL,Poland,EURO,0,0,0,0
03-03-2020,PL,Poland,EURO,0,0,0,0
04-03-2020,PL,Poland,EURO,1,1,0,0
05-03-2020,PL,Poland,EURO,0,1,0,0
06-03-2020,PL,Poland,EURO,0,1,0,0
07-03-2020,PL,Poland,EURO,4,5,0,0
08-03-2020,PL,Poland,EURO,1,6,0,0
09-03-2020,PL,Poland,EURO,5,11,0,0
10-03-2020,PL,Poland,EURO,6,17,0,0
11-03-2020,PL,Poland,EURO,5,22,0,0
12-03-2020,PL,Poland,EURO,9,31,0,0
13-03-2020,PL,Poland,EURO,18,49,1,1
14-03-2020,PL,Poland,EURO,19,68,1,2
15-03-2020,PL,Poland,EURO,36,104,1,3
16-03-2020,PL,Poland,EURO,21,125,0,3
17-03-2020,PL,Poland,EURO,52,177,1,4
18-03-2020,PL,Poland,EURO,61,238,1,5
19-03-2020,PL,Poland,EURO,49,287,0,5
20-03-2020,PL,Poland,EURO,68,355,0,5
21-03-2020,PL,Poland,EURO,70,425,0,5
22-03-2020,PL,Poland,EURO,111,536,0,5
23-03-2020,PL,Poland,EURO,98,634,2,7
24-03-2020,PL,Poland,EURO,115,749,1,8
25-03-2020,PL,Poland,EURO,152,901,2,10
26-03-2020,PL,Poland,EURO,150,1051,4,14
27-03-2020,PL,Poland,EURO,170,1221,2,16
28-03-2020,PL,Poland,EURO,168,1389,0,16
