date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,PT,Portugal,EURO,0,0,0,0
04-01-2020,PT,Portugal,EURO,0,0,0,0
05-01-2020,PT,Portugal,EURO,0,0,0,0
06-01-2020,PT,Portugal,EURO,0,0,0,0
07-01-2020,PT,Portugal,EURO,0,0,0,0
08-01-2020,PT,Portugal,EURO,0,0,0,0
09-01-2020,PT,Portugal,EURO,0,0,0,0
10-01-2020,PT,Portugal,EURO,0,0,0,0
11-01-2020,PT,Portugal,EURO,0,0,0,0
12-01-2020,PT,Portugal,EURO,0,0,0,0
13-01-2020,PT,Portugal,EURO,0,0,0,0
14-01-2020,PT,Portugal,EURO,0,0,0,0
15-01-2020,PT,Portugal,EURO,0,0,0,0
16-01-2020,PT,Portugal,EURO,0,0,0,0
17-01-2020,PT,Portugal,EURO,0,0,0,0
18-01-2020,PT,Portugal,EURO,0,0,0,0
19-01-2020,PT,Portugal,EURO,0,0,0,0
20-01-2020,PT,Portugal,EURO,0,0,0,0
21-01-2020,PT,Portugal,EURO,0,0,0,0
22-01-2020,PT,Portugal,EURO,0,0,0,0
23-01-2020,PT,Portugal,EURO,0,0,0,0
24-01-2020,PT,Portugal,EURO,0,0,0,0
25-01-2020,PT,Portugal,EURO,0,0,0,0
26-01-2020,PT,Portugal,EURO,0,0,0,0
27-01-2020,PT,Portugal,EURO,0,0,0,0
28-01-2020,PT,Portugal,EURO,0,0,0,0
29-01-2020,PT,Portugal,EURO,0,0,0,0
30-01-2020,PT,Portugal,EURO,0,0,0,0
31-01-2020,PT,Portugal,EURO,0,0,0,0
01-02-2020,PT,Portugal,EURO,0,0,0,0
02-02-2020,PT,Portugal,EURO,0,0,0,0
03-02-2020,PT,Portugal,EURO,0,0,0,0
04-02-2020,PT,Portugal,EURO,0,0,0,0
05-02-2020,PT,Portugal,EURO,0,0,0,0
06-02-2020,PT,Portugal,EURO,0,0,0,0
07-02-2020,PT,Portugal,EURO,0,0,0,0
08-02-2020,PT,Portugal,EURO,0,0,0,0
09-02-2020,PT,Portugal,EURO,0,0,0,0
10-02-2020,PT,Portugal,EURO,0,0,0,0
11-02-2020,PT,Portugal,EURO,0,0,0,0
12-02-2020,PT,Portugal,EURO,0,0,0,0
13-02-2020,PT,Portugal,EURO,0,0,0,0
14-02-2020,PT,Portugal,EURO,0,0,0,0
15-02-2020,PT,Portugal,EURO,0,0,0,0
16-02-2020,PT,Portugal,EURO,0,0,0,0
17-02-2020,PT,Portugal,EURO,0,0,0,0
18-02-2020,PT,Portugal,EURO,0,0,0,0
19-02-2020,PT,Portugal,EURO,0,0,0,0
20-02-2020,PT,Portugal,EURO,0,0,0,0
21-02-2020,PT,Portugal,EURO,0,0,0,0
22-02-2020,PT,Portugal,EURO,0,0,0,0
23-02-2020,PT,Portugal,EURO,0,0,0,0
24-02-2020,PT,Portugal,EURO,0,0,0,0
25-02-2020,PT,Portugal,EURO,0,0,0,0
26-02-2020,PT,Portugal,EURO,0,0,0,0
27-02-2020,PT,Portugal,EURO,0,0,0,0
28-02-2020,PT,Portugal,EURO,0,0,0,0
29-02-2020,PT,Portugal,EURO,0,0,0,0
01-03-2020,PT,Portugal,EURO,0,0,0,0
02-03-2020,PT,Portugal,EURO,2,2,0,0
03-03-2020,PT,Portugal,EURO,0,2,0,0
04-03-2020,PT,Portugal,EURO,2,4,0,0
05-03-2020,PT,Portugal,EURO,1,5,0,0
06-03-2020,PT,Portugal,EURO,4,9,0,0
07-03-2020,PT,Portugal,EURO,4,13,0,0
08-03-2020,PT,Portugal,EURO,8,21,0,0
09-03-2020,PT,Portugal,EURO,9,30,0,0
10-03-2020,PT,Portugal,EURO,9,39,0,0
11-03-2020,PT,Portugal,EURO,2,41,0,0
12-03-2020,PT,Portugal,EURO,18,59,0,0
13-03-2020,PT,Portugal,EURO,19,78,0,0
14-03-2020,PT,Portugal,EURO,34,112,0,0
15-03-2020,PT,Portugal,EURO,57,169,0,0
16-03-2020,PT,Portugal,EURO,76,245,0,0
17-03-2020,PT,Portugal,EURO,86,331,0,0
18-03-2020,PT,Portugal,EURO,117,448,1,1
19-03-2020,PT,Portugal,EURO,194,642,1,2
20-03-2020,PT,Portugal,EURO,143,785,1,3
21-03-2020,PT,Portugal,EURO,235,1020,3,6
22-03-2020,PT,Portugal,EURO,260,1280,6,12
23-03-2020,PT,Portugal,EURO,320,1600,2,14
24-03-2020,PT,Portugal,EURO,460,2060,9,23
25-03-2020,PT,Portugal,EURO,302,2362,10,33
26-03-2020,PT,Portugal,EURO,633,2995,10,43
27-03-2020,PT,Portugal,EURO,549,3544,17,60
28-03-2020,PT,Portugal,EURO,724,4268,16,76
29-03-2020,PT,Portugal,EURO,902,5170,24,100
30-03-2020,PT,Portugal,EURO,792,5962,19,119
31-03-2020,PT,Portugal,EURO,446,6408,21,140
01-04-2020,PT,Portugal,EURO,1035,7443,20,160
02-04-2020,PT,Portugal,EURO,808,8251,27,187
03-04-2020,PT,Portugal,EURO,783,9034,22,209
04-04-2020,PT,Portugal,EURO,852,9886,37,246
05-04-2020,PT,Portugal,EURO,638,10524,20,266
06-04-2020,PT,Portugal,EURO,754,11278,29,295
07-04-2020,PT,Portugal,EURO,452,11730,16,311
08-04-2020,PT,Portugal,EURO,712,12442,34,345
09-04-2020,PT,Portugal,EURO,699,13141,35,380
10-04-2020,PT,Portugal,EURO,815,13956,29,409
11-04-2020,PT,Portugal,EURO,1516,15472,26,435
12-04-2020,PT,Portugal,EURO,515,15987,35,470
13-04-2020,PT,Portugal,EURO,598,16585,34,504
14-04-2020,PT,Portugal,EURO,349,16934,31,535
15-04-2020,PT,Portugal,EURO,514,17448,32,567
16-04-2020,PT,Portugal,EURO,643,18091,32,599
17-04-2020,PT,Portugal,EURO,750,18841,30,629
18-04-2020,PT,Portugal,EURO,181,19022,28,657
19-04-2020,PT,Portugal,EURO,663,19685,30,687
20-04-2020,PT,Portugal,EURO,521,20206,27,714
21-04-2020,PT,Portugal,EURO,657,20863,21,735
22-04-2020,PT,Portugal,EURO,516,21379,27,762
23-04-2020,PT,Portugal,EURO,603,21982,23,785
24-04-2020,PT,Portugal,EURO,371,22353,35,820
25-04-2020,PT,Portugal,EURO,918,23271,60,880
26-04-2020,PT,Portugal,EURO,412,23683,23,903
27-04-2020,PT,Portugal,EURO,163,23846,25,928
28-04-2020,PT,Portugal,EURO,298,24144,20,948
29-04-2020,PT,Portugal,EURO,180,24324,25,973
30-04-2020,PT,Portugal,EURO,368,24692,16,989
01-05-2020,PT,Portugal,EURO,295,24987,18,1007
02-05-2020,PT,Portugal,EURO,364,25351,0,1007
03-05-2020,PT,Portugal,EURO,-161,25190,16,1023
04-05-2020,PT,Portugal,EURO,334,25524,40,1063
05-05-2020,PT,Portugal,EURO,0,25524,0,1063
06-05-2020,PT,Portugal,EURO,178,25702,11,1074
07-05-2020,PT,Portugal,EURO,480,26182,15,1089
08-05-2020,PT,Portugal,EURO,533,26715,16,1105
09-05-2020,PT,Portugal,EURO,553,27268,9,1114
10-05-2020,PT,Portugal,EURO,138,27406,12,1126
11-05-2020,PT,Portugal,EURO,175,27581,9,1135
12-05-2020,PT,Portugal,EURO,98,27679,9,1144
13-05-2020,PT,Portugal,EURO,234,27913,19,1163
14-05-2020,PT,Portugal,EURO,219,28132,12,1175
15-05-2020,PT,Portugal,EURO,187,28319,9,1184
16-05-2020,PT,Portugal,EURO,264,28583,6,1190
17-05-2020,PT,Portugal,EURO,227,28810,13,1203
18-05-2020,PT,Portugal,EURO,226,29036,15,1218
19-05-2020,PT,Portugal,EURO,173,29209,13,1231
20-05-2020,PT,Portugal,EURO,223,29432,16,1247
21-05-2020,PT,Portugal,EURO,228,29660,16,1263
22-05-2020,PT,Portugal,EURO,252,29912,14,1277
23-05-2020,PT,Portugal,EURO,288,30200,12,1289
24-05-2020,PT,Portugal,EURO,271,30471,13,1302
25-05-2020,PT,Portugal,EURO,152,30623,14,1316
26-05-2020,PT,Portugal,EURO,165,30788,14,1330
27-05-2020,PT,Portugal,EURO,219,31007,12,1342
28-05-2020,PT,Portugal,EURO,285,31292,14,1356
29-05-2020,PT,Portugal,EURO,304,31596,13,1369
30-05-2020,PT,Portugal,EURO,350,31946,14,1383
31-05-2020,PT,Portugal,EURO,257,32203,13,1396
01-06-2020,PT,Portugal,EURO,297,32500,14,1410
02-06-2020,PT,Portugal,EURO,200,32700,14,1424
03-06-2020,PT,Portugal,EURO,195,32895,12,1436
04-06-2020,PT,Portugal,EURO,366,33261,11,1447
05-06-2020,PT,Portugal,EURO,331,33592,8,1455
06-06-2020,PT,Portugal,EURO,377,33969,10,1465
07-06-2020,PT,Portugal,EURO,382,34351,9,1474
08-06-2020,PT,Portugal,EURO,142,34493,5,1479
09-06-2020,PT,Portugal,EURO,392,34885,6,1485
10-06-2020,PT,Portugal,EURO,421,35306,7,1492
