date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,QA,Qatar,EMRO,0,0,0,0
04-01-2020,QA,Qatar,EMRO,0,0,0,0
05-01-2020,QA,Qatar,EMRO,0,0,0,0
06-01-2020,QA,Qatar,EMRO,0,0,0,0
07-01-2020,QA,Qatar,EMRO,0,0,0,0
08-01-2020,QA,Qatar,EMRO,0,0,0,0
09-01-2020,QA,Qatar,EMRO,0,0,0,0
10-01-2020,QA,Qatar,EMRO,0,0,0,0
11-01-2020,QA,Qatar,EMRO,0,0,0,0
12-01-2020,QA,Qatar,EMRO,0,0,0,0
13-01-2020,QA,Qatar,EMRO,0,0,0,0
14-01-2020,QA,Qatar,EMRO,0,0,0,0
15-01-2020,QA,Qatar,EMRO,0,0,0,0
16-01-2020,QA,Qatar,EMRO,0,0,0,0
17-01-2020,QA,Qatar,EMRO,0,0,0,0
18-01-2020,QA,Qatar,EMRO,0,0,0,0
19-01-2020,QA,Qatar,EMRO,0,0,0,0
20-01-2020,QA,Qatar,EMRO,0,0,0,0
21-01-2020,QA,Qatar,EMRO,0,0,0,0
22-01-2020,QA,Qatar,EMRO,0,0,0,0
23-01-2020,QA,Qatar,EMRO,0,0,0,0
24-01-2020,QA,Qatar,EMRO,0,0,0,0
25-01-2020,QA,Qatar,EMRO,0,0,0,0
26-01-2020,QA,Qatar,EMRO,0,0,0,0
27-01-2020,QA,Qatar,EMRO,0,0,0,0
28-01-2020,QA,Qatar,EMRO,0,0,0,0
29-01-2020,QA,Qatar,EMRO,0,0,0,0
30-01-2020,QA,Qatar,EMRO,0,0,0,0
31-01-2020,QA,Qatar,EMRO,0,0,0,0
01-02-2020,QA,Qatar,EMRO,0,0,0,0
02-02-2020,QA,Qatar,EMRO,0,0,0,0
03-02-2020,QA,Qatar,EMRO,0,0,0,0
04-02-2020,QA,Qatar,EMRO,0,0,0,0
05-02-2020,QA,Qatar,EMRO,0,0,0,0
06-02-2020,QA,Qatar,EMRO,0,0,0,0
07-02-2020,QA,Qatar,EMRO,0,0,0,0
08-02-2020,QA,Qatar,EMRO,0,0,0,0
09-02-2020,QA,Qatar,EMRO,0,0,0,0
10-02-2020,QA,Qatar,EMRO,0,0,0,0
11-02-2020,QA,Qatar,EMRO,0,0,0,0
12-02-2020,QA,Qatar,EMRO,0,0,0,0
13-02-2020,QA,Qatar,EMRO,0,0,0,0
14-02-2020,QA,Qatar,EMRO,0,0,0,0
15-02-2020,QA,Qatar,EMRO,0,0,0,0
16-02-2020,QA,Qatar,EMRO,0,0,0,0
17-02-2020,QA,Qatar,EMRO,0,0,0,0
18-02-2020,QA,Qatar,EMRO,0,0,0,0
19-02-2020,QA,Qatar,EMRO,0,0,0,0
20-02-2020,QA,Qatar,EMRO,0,0,0,0
21-02-2020,QA,Qatar,EMRO,0,0,0,0
22-02-2020,QA,Qatar,EMRO,0,0,0,0
23-02-2020,QA,Qatar,EMRO,0,0,0,0
24-02-2020,QA,Qatar,EMRO,0,0,0,0
25-02-2020,QA,Qatar,EMRO,0,0,0,0
26-02-2020,QA,Qatar,EMRO,0,0,0,0
27-02-2020,QA,Qatar,EMRO,0,0,0,0
28-02-2020,QA,Qatar,EMRO,0,0,0,0
29-02-2020,QA,Qatar,EMRO,5,5,0,0
01-03-2020,QA,Qatar,EMRO,2,7,0,0
02-03-2020,QA,Qatar,EMRO,4,11,0,0
03-03-2020,QA,Qatar,EMRO,1,12,0,0
04-03-2020,QA,Qatar,EMRO,0,12,0,0
05-03-2020,QA,Qatar,EMRO,0,12,0,0
06-03-2020,QA,Qatar,EMRO,3,15,0,0
07-03-2020,QA,Qatar,EMRO,1,16,0,0
08-03-2020,QA,Qatar,EMRO,0,16,0,0
09-03-2020,QA,Qatar,EMRO,3,19,0,0
10-03-2020,QA,Qatar,EMRO,3,22,0,0
11-03-2020,QA,Qatar,EMRO,6,28,0,0
12-03-2020,QA,Qatar,EMRO,0,28,0,0
13-03-2020,QA,Qatar,EMRO,0,28,0,0
14-03-2020,QA,Qatar,EMRO,313,341,0,0
15-03-2020,QA,Qatar,EMRO,0,341,0,0
16-03-2020,QA,Qatar,EMRO,64,405,0,0
17-03-2020,QA,Qatar,EMRO,38,443,0,0
18-03-2020,QA,Qatar,EMRO,3,446,0,0
19-03-2020,QA,Qatar,EMRO,10,456,0,0
20-03-2020,QA,Qatar,EMRO,4,460,0,0
21-03-2020,QA,Qatar,EMRO,10,470,0,0
22-03-2020,QA,Qatar,EMRO,11,481,0,0
23-03-2020,QA,Qatar,EMRO,13,494,0,0
24-03-2020,QA,Qatar,EMRO,7,501,0,0
25-03-2020,QA,Qatar,EMRO,25,526,0,0
26-03-2020,QA,Qatar,EMRO,11,537,0,0
27-03-2020,QA,Qatar,EMRO,12,549,0,0
28-03-2020,QA,Qatar,EMRO,13,562,0,0
29-03-2020,QA,Qatar,EMRO,28,590,0,0
30-03-2020,QA,Qatar,EMRO,44,634,1,1
31-03-2020,QA,Qatar,EMRO,59,693,0,1
01-04-2020,QA,Qatar,EMRO,88,781,1,2
02-04-2020,QA,Qatar,EMRO,54,835,0,2
03-04-2020,QA,Qatar,EMRO,114,949,1,3
04-04-2020,QA,Qatar,EMRO,0,949,0,3
05-04-2020,QA,Qatar,EMRO,376,1325,0,3
06-04-2020,QA,Qatar,EMRO,279,1604,1,4
07-04-2020,QA,Qatar,EMRO,228,1832,0,4
08-04-2020,QA,Qatar,EMRO,225,2057,2,6
09-04-2020,QA,Qatar,EMRO,153,2210,0,6
10-04-2020,QA,Qatar,EMRO,166,2376,0,6
11-04-2020,QA,Qatar,EMRO,136,2512,0,6
12-04-2020,QA,Qatar,EMRO,216,2728,0,6
13-04-2020,QA,Qatar,EMRO,251,2979,1,7
14-04-2020,QA,Qatar,EMRO,252,3231,0,7
15-04-2020,QA,Qatar,EMRO,197,3428,0,7
16-04-2020,QA,Qatar,EMRO,283,3711,0,7
17-04-2020,QA,Qatar,EMRO,392,4103,0,7
18-04-2020,QA,Qatar,EMRO,560,4663,0,7
19-04-2020,QA,Qatar,EMRO,345,5008,1,8
20-04-2020,QA,Qatar,EMRO,440,5448,0,8
21-04-2020,QA,Qatar,EMRO,567,6015,1,9
22-04-2020,QA,Qatar,EMRO,518,6533,0,9
23-04-2020,QA,Qatar,EMRO,608,7141,1,10
24-04-2020,QA,Qatar,EMRO,623,7764,0,10
25-04-2020,QA,Qatar,EMRO,761,8525,0,10
26-04-2020,QA,Qatar,EMRO,833,9358,0,10
27-04-2020,QA,Qatar,EMRO,929,10287,0,10
28-04-2020,QA,Qatar,EMRO,957,11244,0,10
29-04-2020,QA,Qatar,EMRO,677,11921,0,10
30-04-2020,QA,Qatar,EMRO,643,12564,0,10
01-05-2020,QA,Qatar,EMRO,845,13409,0,10
02-05-2020,QA,Qatar,EMRO,687,14096,2,12
03-05-2020,QA,Qatar,EMRO,776,14872,0,12
04-05-2020,QA,Qatar,EMRO,679,15551,0,12
05-05-2020,QA,Qatar,EMRO,640,16191,0,12
06-05-2020,QA,Qatar,EMRO,951,17142,0,12
07-05-2020,QA,Qatar,EMRO,830,17972,0,12
08-05-2020,QA,Qatar,EMRO,918,18890,0,12
09-05-2020,QA,Qatar,EMRO,1311,20201,0,12
10-05-2020,QA,Qatar,EMRO,1130,21331,1,13
11-05-2020,QA,Qatar,EMRO,1189,22520,1,14
12-05-2020,QA,Qatar,EMRO,1103,23623,0,14
13-05-2020,QA,Qatar,EMRO,1526,25149,0,14
14-05-2020,QA,Qatar,EMRO,1390,26539,0,14
15-05-2020,QA,Qatar,EMRO,1733,28272,0,14
16-05-2020,QA,Qatar,EMRO,1153,29425,0,14
17-05-2020,QA,Qatar,EMRO,1547,30972,1,15
18-05-2020,QA,Qatar,EMRO,1632,32604,0,15
19-05-2020,QA,Qatar,EMRO,1365,33969,0,15
20-05-2020,QA,Qatar,EMRO,1637,35606,0,15
21-05-2020,QA,Qatar,EMRO,1491,37097,1,16
22-05-2020,QA,Qatar,EMRO,1554,38651,1,17
23-05-2020,QA,Qatar,EMRO,1830,40481,2,19
24-05-2020,QA,Qatar,EMRO,1732,42213,2,21
25-05-2020,QA,Qatar,EMRO,1501,43714,2,23
26-05-2020,QA,Qatar,EMRO,1751,45465,3,26
