date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
04-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
05-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
06-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
07-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
08-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
09-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
10-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
11-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
12-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
13-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
14-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
15-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
16-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
17-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
18-01-2020,KR,Republic of Korea,WPRO,0,0,0,0
19-01-2020,KR,Republic of Korea,WPRO,5,5,0,0
20-01-2020,KR,Republic of Korea,WPRO,0,5,0,0
21-01-2020,KR,Republic of Korea,WPRO,0,5,0,0
22-01-2020,KR,Republic of Korea,WPRO,-4,1,0,0
23-01-2020,KR,Republic of Korea,WPRO,0,1,0,0
24-01-2020,KR,Republic of Korea,WPRO,1,2,0,0
25-01-2020,KR,Republic of Korea,WPRO,0,2,0,0
26-01-2020,KR,Republic of Korea,WPRO,1,3,0,0
27-01-2020,KR,Republic of Korea,WPRO,1,4,0,0
28-01-2020,KR,Republic of Korea,WPRO,0,4,0,0
29-01-2020,KR,Republic of Korea,WPRO,0,4,0,0
30-01-2020,KR,Republic of Korea,WPRO,3,7,0,0
31-01-2020,KR,Republic of Korea,WPRO,4,11,0,0
01-02-2020,KR,Republic of Korea,WPRO,1,12,0,0
02-02-2020,KR,Republic of Korea,WPRO,3,15,0,0
03-02-2020,KR,Republic of Korea,WPRO,0,15,0,0
04-02-2020,KR,Republic of Korea,WPRO,1,16,0,0
05-02-2020,KR,Republic of Korea,WPRO,5,21,0,0
06-02-2020,KR,Republic of Korea,WPRO,3,24,0,0
07-02-2020,KR,Republic of Korea,WPRO,0,24,0,0
08-02-2020,KR,Republic of Korea,WPRO,0,24,0,0
09-02-2020,KR,Republic of Korea,WPRO,3,27,0,0
10-02-2020,KR,Republic of Korea,WPRO,1,28,0,0
11-02-2020,KR,Republic of Korea,WPRO,0,28,0,0
12-02-2020,KR,Republic of Korea,WPRO,0,28,0,0
13-02-2020,KR,Republic of Korea,WPRO,0,28,0,0
14-02-2020,KR,Republic of Korea,WPRO,0,28,0,0
15-02-2020,KR,Republic of Korea,WPRO,0,28,0,0
16-02-2020,KR,Republic of Korea,WPRO,2,30,0,0
17-02-2020,KR,Republic of Korea,WPRO,0,30,0,0
18-02-2020,KR,Republic of Korea,WPRO,2,32,0,0
19-02-2020,KR,Republic of Korea,WPRO,34,66,0,0
20-02-2020,KR,Republic of Korea,WPRO,16,82,1,1
21-02-2020,KR,Republic of Korea,WPRO,74,156,0,1
22-02-2020,KR,Republic of Korea,WPRO,190,346,2,3
23-02-2020,KR,Republic of Korea,WPRO,210,556,0,3
24-02-2020,KR,Republic of Korea,WPRO,207,763,4,7
25-02-2020,KR,Republic of Korea,WPRO,130,893,1,8
26-02-2020,KR,Republic of Korea,WPRO,253,1146,3,11
27-02-2020,KR,Republic of Korea,WPRO,449,1595,1,12
28-02-2020,KR,Republic of Korea,WPRO,427,2022,1,13
29-02-2020,KR,Republic of Korea,WPRO,909,2931,3,16
01-03-2020,KR,Republic of Korea,WPRO,595,3526,1,17
02-03-2020,KR,Republic of Korea,WPRO,686,4212,6,23
03-03-2020,KR,Republic of Korea,WPRO,600,4812,5,28
04-03-2020,KR,Republic of Korea,WPRO,516,5328,4,32
05-03-2020,KR,Republic of Korea,WPRO,438,5766,3,35
06-03-2020,KR,Republic of Korea,WPRO,518,6284,7,42
07-03-2020,KR,Republic of Korea,WPRO,483,6767,2,44
08-03-2020,KR,Republic of Korea,WPRO,367,7134,6,50
09-03-2020,KR,Republic of Korea,WPRO,248,7382,1,51
10-03-2020,KR,Republic of Korea,WPRO,131,7513,3,54
11-03-2020,KR,Republic of Korea,WPRO,242,7755,6,60
12-03-2020,KR,Republic of Korea,WPRO,114,7869,6,66
13-03-2020,KR,Republic of Korea,WPRO,110,7979,1,67
14-03-2020,KR,Republic of Korea,WPRO,107,8086,5,72
15-03-2020,KR,Republic of Korea,WPRO,76,8162,3,75
16-03-2020,KR,Republic of Korea,WPRO,74,8236,0,75
17-03-2020,KR,Republic of Korea,WPRO,84,8320,6,81
18-03-2020,KR,Republic of Korea,WPRO,93,8413,3,84
19-03-2020,KR,Republic of Korea,WPRO,152,8565,7,91
20-03-2020,KR,Republic of Korea,WPRO,87,8652,3,94
21-03-2020,KR,Republic of Korea,WPRO,147,8799,8,102
22-03-2020,KR,Republic of Korea,WPRO,98,8897,2,104
23-03-2020,KR,Republic of Korea,WPRO,64,8961,7,111
24-03-2020,KR,Republic of Korea,WPRO,76,9037,9,120
25-03-2020,KR,Republic of Korea,WPRO,100,9137,6,126
26-03-2020,KR,Republic of Korea,WPRO,104,9241,5,131
27-03-2020,KR,Republic of Korea,WPRO,91,9332,8,139
28-03-2020,KR,Republic of Korea,WPRO,146,9478,5,144
29-03-2020,KR,Republic of Korea,WPRO,105,9583,8,152
30-03-2020,KR,Republic of Korea,WPRO,78,9661,6,158
31-03-2020,KR,Republic of Korea,WPRO,125,9786,4,162
01-04-2020,KR,Republic of Korea,WPRO,101,9887,3,165
02-04-2020,KR,Republic of Korea,WPRO,89,9976,4,169
03-04-2020,KR,Republic of Korea,WPRO,86,10062,5,174
04-04-2020,KR,Republic of Korea,WPRO,94,10156,3,177
05-04-2020,KR,Republic of Korea,WPRO,81,10237,6,183
06-04-2020,KR,Republic of Korea,WPRO,47,10284,3,186
07-04-2020,KR,Republic of Korea,WPRO,47,10331,6,192
08-04-2020,KR,Republic of Korea,WPRO,53,10384,8,200
09-04-2020,KR,Republic of Korea,WPRO,39,10423,4,204
10-04-2020,KR,Republic of Korea,WPRO,27,10450,4,208
11-04-2020,KR,Republic of Korea,WPRO,30,10480,3,211
12-04-2020,KR,Republic of Korea,WPRO,32,10512,3,214
13-04-2020,KR,Republic of Korea,WPRO,25,10537,3,217
14-04-2020,KR,Republic of Korea,WPRO,27,10564,5,222
15-04-2020,KR,Republic of Korea,WPRO,27,10591,3,225
16-04-2020,KR,Republic of Korea,WPRO,22,10613,4,229
17-04-2020,KR,Republic of Korea,WPRO,22,10635,1,230
18-04-2020,KR,Republic of Korea,WPRO,18,10653,2,232
19-04-2020,KR,Republic of Korea,WPRO,8,10661,2,234
20-04-2020,KR,Republic of Korea,WPRO,13,10674,2,236
21-04-2020,KR,Republic of Korea,WPRO,9,10683,1,237
22-04-2020,KR,Republic of Korea,WPRO,11,10694,1,238
23-04-2020,KR,Republic of Korea,WPRO,8,10702,2,240
24-04-2020,KR,Republic of Korea,WPRO,6,10708,0,240
25-04-2020,KR,Republic of Korea,WPRO,10,10718,0,240
26-04-2020,KR,Republic of Korea,WPRO,10,10728,2,242
27-04-2020,KR,Republic of Korea,WPRO,10,10738,1,243
28-04-2020,KR,Republic of Korea,WPRO,14,10752,1,244
29-04-2020,KR,Republic of Korea,WPRO,9,10761,2,246
30-04-2020,KR,Republic of Korea,WPRO,4,10765,1,247
01-05-2020,KR,Republic of Korea,WPRO,9,10774,1,248
02-05-2020,KR,Republic of Korea,WPRO,6,10780,2,250
03-05-2020,KR,Republic of Korea,WPRO,13,10793,0,250
04-05-2020,KR,Republic of Korea,WPRO,8,10801,2,252
05-05-2020,KR,Republic of Korea,WPRO,3,10804,2,254
06-05-2020,KR,Republic of Korea,WPRO,2,10806,1,255
07-05-2020,KR,Republic of Korea,WPRO,4,10810,1,256
08-05-2020,KR,Republic of Korea,WPRO,12,10822,0,256
09-05-2020,KR,Republic of Korea,WPRO,18,10840,0,256
10-05-2020,KR,Republic of Korea,WPRO,34,10874,0,256
11-05-2020,KR,Republic of Korea,WPRO,35,10909,0,256
12-05-2020,KR,Republic of Korea,WPRO,27,10936,2,258
13-05-2020,KR,Republic of Korea,WPRO,26,10962,1,259
14-05-2020,KR,Republic of Korea,WPRO,29,10991,1,260
15-05-2020,KR,Republic of Korea,WPRO,27,11018,0,260
16-05-2020,KR,Republic of Korea,WPRO,19,11037,2,262
17-05-2020,KR,Republic of Korea,WPRO,13,11050,0,262
18-05-2020,KR,Republic of Korea,WPRO,15,11065,1,263
19-05-2020,KR,Republic of Korea,WPRO,13,11078,0,263
20-05-2020,KR,Republic of Korea,WPRO,32,11110,0,263
21-05-2020,KR,Republic of Korea,WPRO,12,11122,1,264
22-05-2020,KR,Republic of Korea,WPRO,20,11142,0,264
23-05-2020,KR,Republic of Korea,WPRO,23,11165,2,266
24-05-2020,KR,Republic of Korea,WPRO,25,11190,0,266
25-05-2020,KR,Republic of Korea,WPRO,16,11206,1,267
26-05-2020,KR,Republic of Korea,WPRO,19,11225,2,269
27-05-2020,KR,Republic of Korea,WPRO,40,11265,0,269
28-05-2020,KR,Republic of Korea,WPRO,79,11344,0,269
29-05-2020,KR,Republic of Korea,WPRO,58,11402,0,269
30-05-2020,KR,Republic of Korea,WPRO,39,11441,0,269
31-05-2020,KR,Republic of Korea,WPRO,27,11468,1,270
01-06-2020,KR,Republic of Korea,WPRO,35,11503,1,271
02-06-2020,KR,Republic of Korea,WPRO,38,11541,1,272
03-06-2020,KR,Republic of Korea,WPRO,49,11590,1,273
04-06-2020,KR,Republic of Korea,WPRO,39,11629,0,273
05-06-2020,KR,Republic of Korea,WPRO,39,11668,0,273
06-06-2020,KR,Republic of Korea,WPRO,51,11719,0,273
07-06-2020,KR,Republic of Korea,WPRO,57,11776,0,273
08-06-2020,KR,Republic of Korea,WPRO,37,11813,0,273
09-06-2020,KR,Republic of Korea,WPRO,38,11851,1,274
10-06-2020,KR,Republic of Korea,WPRO,50,11901,2,276
11-06-2020,KR,Republic of Korea,WPRO,45,11946,0,276
12-06-2020,KR,Republic of Korea,WPRO,56,12002,1,277
13-06-2020,KR,Republic of Korea,WPRO,48,12050,0,277
14-06-2020,KR,Republic of Korea,WPRO,34,12084,0,277
15-06-2020,KR,Republic of Korea,WPRO,37,12121,0,277
16-06-2020,KR,Republic of Korea,WPRO,34,12155,1,278
17-06-2020,KR,Republic of Korea,WPRO,43,12198,1,279
18-06-2020,KR,Republic of Korea,WPRO,59,12257,1,280
19-06-2020,KR,Republic of Korea,WPRO,49,12306,0,280
20-06-2020,KR,Republic of Korea,WPRO,67,12373,0,280
21-06-2020,KR,Republic of Korea,WPRO,48,12421,0,280
22-06-2020,KR,Republic of Korea,WPRO,17,12438,0,280
23-06-2020,KR,Republic of Korea,WPRO,46,12484,1,281
24-06-2020,KR,Republic of Korea,WPRO,51,12535,0,281
25-06-2020,KR,Republic of Korea,WPRO,28,12563,1,282
26-06-2020,KR,Republic of Korea,WPRO,39,12602,0,282
27-06-2020,KR,Republic of Korea,WPRO,51,12653,0,282
28-06-2020,KR,Republic of Korea,WPRO,62,12715,0,282
29-06-2020,KR,Republic of Korea,WPRO,42,12757,0,282
30-06-2020,KR,Republic of Korea,WPRO,42,12799,0,282
01-07-2020,KR,Republic of Korea,WPRO,51,12850,0,282
02-07-2020,KR,Republic of Korea,WPRO,54,12904,0,282
03-07-2020,KR,Republic of Korea,WPRO,61,12965,0,282
04-07-2020,KR,Republic of Korea,WPRO,63,13028,1,283
05-07-2020,KR,Republic of Korea,WPRO,61,13089,0,283
06-07-2020,KR,Republic of Korea,WPRO,48,13137,1,284
07-07-2020,KR,Republic of Korea,WPRO,44,13181,1,285
08-07-2020,KR,Republic of Korea,WPRO,62,13243,0,285
09-07-2020,KR,Republic of Korea,WPRO,50,13293,2,287
10-07-2020,KR,Republic of Korea,WPRO,45,13338,1,288
11-07-2020,KR,Republic of Korea,WPRO,35,13373,0,288
12-07-2020,KR,Republic of Korea,WPRO,44,13417,1,289
13-07-2020,KR,Republic of Korea,WPRO,62,13479,0,289
14-07-2020,KR,Republic of Korea,WPRO,33,13512,0,289
15-07-2020,KR,Republic of Korea,WPRO,39,13551,0,289
16-07-2020,KR,Republic of Korea,WPRO,61,13612,2,291
17-07-2020,KR,Republic of Korea,WPRO,60,13672,2,293
18-07-2020,KR,Republic of Korea,WPRO,39,13711,1,294
19-07-2020,KR,Republic of Korea,WPRO,34,13745,1,295
20-07-2020,KR,Republic of Korea,WPRO,26,13771,1,296
21-07-2020,KR,Republic of Korea,WPRO,45,13816,0,296
22-07-2020,KR,Republic of Korea,WPRO,63,13879,1,297
23-07-2020,KR,Republic of Korea,WPRO,59,13938,0,297
24-07-2020,KR,Republic of Korea,WPRO,41,13979,1,298
25-07-2020,KR,Republic of Korea,WPRO,113,14092,0,298
26-07-2020,KR,Republic of Korea,WPRO,58,14150,0,298
27-07-2020,KR,Republic of Korea,WPRO,25,14175,1,299
28-07-2020,KR,Republic of Korea,WPRO,28,14203,1,300
29-07-2020,KR,Republic of Korea,WPRO,48,14251,0,300
30-07-2020,KR,Republic of Korea,WPRO,18,14269,0,300
31-07-2020,KR,Republic of Korea,WPRO,36,14305,1,301
01-08-2020,KR,Republic of Korea,WPRO,31,14336,0,301
02-08-2020,KR,Republic of Korea,WPRO,30,14366,0,301
03-08-2020,KR,Republic of Korea,WPRO,23,14389,0,301
04-08-2020,KR,Republic of Korea,WPRO,34,14423,0,301
05-08-2020,KR,Republic of Korea,WPRO,33,14456,1,302
06-08-2020,KR,Republic of Korea,WPRO,43,14499,0,302
07-08-2020,KR,Republic of Korea,WPRO,20,14519,1,303
08-08-2020,KR,Republic of Korea,WPRO,43,14562,1,304
09-08-2020,KR,Republic of Korea,WPRO,36,14598,1,305
10-08-2020,KR,Republic of Korea,WPRO,28,14626,0,305
11-08-2020,KR,Republic of Korea,WPRO,34,14660,0,305
12-08-2020,KR,Republic of Korea,WPRO,54,14714,0,305
13-08-2020,KR,Republic of Korea,WPRO,56,14770,0,305
14-08-2020,KR,Republic of Korea,WPRO,103,14873,0,305
15-08-2020,KR,Republic of Korea,WPRO,166,15039,0,305
16-08-2020,KR,Republic of Korea,WPRO,279,15318,0,305
17-08-2020,KR,Republic of Korea,WPRO,197,15515,0,305
18-08-2020,KR,Republic of Korea,WPRO,246,15761,1,306
19-08-2020,KR,Republic of Korea,WPRO,297,16058,0,306
20-08-2020,KR,Republic of Korea,WPRO,288,16346,1,307
21-08-2020,KR,Republic of Korea,WPRO,324,16670,2,309
22-08-2020,KR,Republic of Korea,WPRO,332,17002,0,309
23-08-2020,KR,Republic of Korea,WPRO,397,17399,0,309
24-08-2020,KR,Republic of Korea,WPRO,266,17665,0,309
25-08-2020,KR,Republic of Korea,WPRO,280,17945,1,310
26-08-2020,KR,Republic of Korea,WPRO,320,18265,2,312
27-08-2020,KR,Republic of Korea,WPRO,441,18706,1,313
28-08-2020,KR,Republic of Korea,WPRO,371,19077,3,316
29-08-2020,KR,Republic of Korea,WPRO,323,19400,5,321
30-08-2020,KR,Republic of Korea,WPRO,299,19699,2,323
31-08-2020,KR,Republic of Korea,WPRO,248,19947,1,324
01-09-2020,KR,Republic of Korea,WPRO,235,20182,0,324
02-09-2020,KR,Republic of Korea,WPRO,267,20449,2,326
03-09-2020,KR,Republic of Korea,WPRO,195,20644,3,329
04-09-2020,KR,Republic of Korea,WPRO,198,20842,2,331
05-09-2020,KR,Republic of Korea,WPRO,168,21010,2,333
06-09-2020,KR,Republic of Korea,WPRO,167,21177,1,334
07-09-2020,KR,Republic of Korea,WPRO,119,21296,2,336
08-09-2020,KR,Republic of Korea,WPRO,136,21432,5,341
09-09-2020,KR,Republic of Korea,WPRO,156,21588,3,344
10-09-2020,KR,Republic of Korea,WPRO,155,21743,2,346
11-09-2020,KR,Republic of Korea,WPRO,176,21919,4,350
12-09-2020,KR,Republic of Korea,WPRO,136,22055,5,355
13-09-2020,KR,Republic of Korea,WPRO,121,22176,3,358
14-09-2020,KR,Republic of Korea,WPRO,109,22285,5,363
15-09-2020,KR,Republic of Korea,WPRO,106,22391,4,367
16-09-2020,KR,Republic of Korea,WPRO,113,22504,0,367
17-09-2020,KR,Republic of Korea,WPRO,153,22657,5,372
18-09-2020,KR,Republic of Korea,WPRO,126,22783,5,377
19-09-2020,KR,Republic of Korea,WPRO,110,22893,1,378
20-09-2020,KR,Republic of Korea,WPRO,82,22975,5,383
21-09-2020,KR,Republic of Korea,WPRO,70,23045,2,385
22-09-2020,KR,Republic of Korea,WPRO,61,23106,3,388
23-09-2020,KR,Republic of Korea,WPRO,110,23216,0,388
24-09-2020,KR,Republic of Korea,WPRO,125,23341,5,393
25-09-2020,KR,Republic of Korea,WPRO,114,23455,2,395
26-09-2020,KR,Republic of Korea,WPRO,61,23516,4,399
27-09-2020,KR,Republic of Korea,WPRO,95,23611,2,401
28-09-2020,KR,Republic of Korea,WPRO,50,23661,5,406
29-09-2020,KR,Republic of Korea,WPRO,38,23699,1,407
30-09-2020,KR,Republic of Korea,WPRO,113,23812,6,413
01-10-2020,KR,Republic of Korea,WPRO,77,23889,2,415
02-10-2020,KR,Republic of Korea,WPRO,63,23952,1,416
03-10-2020,KR,Republic of Korea,WPRO,75,24027,4,420
04-10-2020,KR,Republic of Korea,WPRO,64,24091,1,421
05-10-2020,KR,Republic of Korea,WPRO,73,24164,1,422
06-10-2020,KR,Republic of Korea,WPRO,75,24239,0,422
07-10-2020,KR,Republic of Korea,WPRO,114,24353,3,425
08-10-2020,KR,Republic of Korea,WPRO,69,24422,2,427
09-10-2020,KR,Republic of Korea,WPRO,54,24476,1,428
10-10-2020,KR,Republic of Korea,WPRO,72,24548,2,430
11-10-2020,KR,Republic of Korea,WPRO,58,24606,2,432
12-10-2020,KR,Republic of Korea,WPRO,97,24703,1,433
13-10-2020,KR,Republic of Korea,WPRO,102,24805,1,434
14-10-2020,KR,Republic of Korea,WPRO,73,24878,4,438
15-10-2020,KR,Republic of Korea,WPRO,110,24988,1,439
16-10-2020,KR,Republic of Korea,WPRO,47,25035,2,441
17-10-2020,KR,Republic of Korea,WPRO,73,25108,2,443
18-10-2020,KR,Republic of Korea,WPRO,91,25199,1,444
19-10-2020,KR,Republic of Korea,WPRO,76,25275,0,444
20-10-2020,KR,Republic of Korea,WPRO,58,25333,3,447
21-10-2020,KR,Republic of Korea,WPRO,89,25422,3,450
22-10-2020,KR,Republic of Korea,WPRO,121,25543,3,453
23-10-2020,KR,Republic of Korea,WPRO,155,25698,2,455
24-10-2020,KR,Republic of Korea,WPRO,77,25775,2,457
25-10-2020,KR,Republic of Korea,WPRO,61,25836,0,457
26-10-2020,KR,Republic of Korea,WPRO,119,25955,0,457
27-10-2020,KR,Republic of Korea,WPRO,88,26043,3,460
28-10-2020,KR,Republic of Korea,WPRO,103,26146,1,461
29-10-2020,KR,Republic of Korea,WPRO,125,26271,1,462
30-10-2020,KR,Republic of Korea,WPRO,113,26384,1,463
31-10-2020,KR,Republic of Korea,WPRO,127,26511,1,464
01-11-2020,KR,Republic of Korea,WPRO,124,26635,2,466
02-11-2020,KR,Republic of Korea,WPRO,97,26732,2,468
03-11-2020,KR,Republic of Korea,WPRO,75,26807,4,472
04-11-2020,KR,Republic of Korea,WPRO,117,26924,2,474
05-11-2020,KR,Republic of Korea,WPRO,125,27049,1,475
06-11-2020,KR,Republic of Korea,WPRO,145,27194,1,476
