date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,SG,Singapore,WPRO,0,0,0,0
04-01-2020,SG,Singapore,WPRO,0,0,0,0
05-01-2020,SG,Singapore,WPRO,0,0,0,0
06-01-2020,SG,Singapore,WPRO,0,0,0,0
07-01-2020,SG,Singapore,WPRO,0,0,0,0
08-01-2020,SG,Singapore,WPRO,0,0,0,0
09-01-2020,SG,Singapore,WPRO,0,0,0,0
10-01-2020,SG,Singapore,WPRO,0,0,0,0
11-01-2020,SG,Singapore,WPRO,0,0,0,0
12-01-2020,SG,Singapore,WPRO,0,0,0,0
13-01-2020,SG,Singapore,WPRO,0,0,0,0
14-01-2020,SG,Singapore,WPRO,0,0,0,0
15-01-2020,SG,Singapore,WPRO,0,0,0,0
16-01-2020,SG,Singapore,WPRO,0,0,0,0
17-01-2020,SG,Singapore,WPRO,0,0,0,0
18-01-2020,SG,Singapore,WPRO,0,0,0,0
19-01-2020,SG,Singapore,WPRO,0,0,0,0
20-01-2020,SG,Singapore,WPRO,0,0,0,0
21-01-2020,SG,Singapore,WPRO,0,0,0,0
22-01-2020,SG,Singapore,WPRO,0,0,0,0
23-01-2020,SG,Singapore,WPRO,0,0,0,0
24-01-2020,SG,Singapore,WPRO,1,1,0,0
25-01-2020,SG,Singapore,WPRO,2,3,0,0
26-01-2020,SG,Singapore,WPRO,1,4,0,0
27-01-2020,SG,Singapore,WPRO,0,4,0,0
28-01-2020,SG,Singapore,WPRO,1,5,0,0
29-01-2020,SG,Singapore,WPRO,2,7,0,0
30-01-2020,SG,Singapore,WPRO,3,10,0,0
31-01-2020,SG,Singapore,WPRO,3,13,0,0
01-02-2020,SG,Singapore,WPRO,3,16,0,0
02-02-2020,SG,Singapore,WPRO,2,18,0,0
03-02-2020,SG,Singapore,WPRO,0,18,0,0
04-02-2020,SG,Singapore,WPRO,0,18,0,0
05-02-2020,SG,Singapore,WPRO,6,24,0,0
06-02-2020,SG,Singapore,WPRO,4,28,0,0
07-02-2020,SG,Singapore,WPRO,2,30,0,0
08-02-2020,SG,Singapore,WPRO,3,33,0,0
09-02-2020,SG,Singapore,WPRO,7,40,0,0
10-02-2020,SG,Singapore,WPRO,3,43,0,0
11-02-2020,SG,Singapore,WPRO,2,45,0,0
12-02-2020,SG,Singapore,WPRO,2,47,0,0
13-02-2020,SG,Singapore,WPRO,3,50,0,0
14-02-2020,SG,Singapore,WPRO,8,58,0,0
15-02-2020,SG,Singapore,WPRO,9,67,0,0
16-02-2020,SG,Singapore,WPRO,5,72,0,0
17-02-2020,SG,Singapore,WPRO,3,75,0,0
18-02-2020,SG,Singapore,WPRO,2,77,0,0
19-02-2020,SG,Singapore,WPRO,4,81,0,0
20-02-2020,SG,Singapore,WPRO,3,84,0,0
21-02-2020,SG,Singapore,WPRO,1,85,0,0
22-02-2020,SG,Singapore,WPRO,1,86,0,0
23-02-2020,SG,Singapore,WPRO,3,89,0,0
24-02-2020,SG,Singapore,WPRO,0,89,0,0
25-02-2020,SG,Singapore,WPRO,1,90,0,0
26-02-2020,SG,Singapore,WPRO,1,91,0,0
27-02-2020,SG,Singapore,WPRO,2,93,0,0
28-02-2020,SG,Singapore,WPRO,3,96,0,0
29-02-2020,SG,Singapore,WPRO,2,98,0,0
01-03-2020,SG,Singapore,WPRO,4,102,0,0
02-03-2020,SG,Singapore,WPRO,4,106,0,0
03-03-2020,SG,Singapore,WPRO,2,108,0,0
04-03-2020,SG,Singapore,WPRO,2,110,0,0
05-03-2020,SG,Singapore,WPRO,2,112,0,0
06-03-2020,SG,Singapore,WPRO,5,117,0,0
07-03-2020,SG,Singapore,WPRO,13,130,0,0
08-03-2020,SG,Singapore,WPRO,8,138,0,0
09-03-2020,SG,Singapore,WPRO,12,150,0,0
10-03-2020,SG,Singapore,WPRO,10,160,0,0
11-03-2020,SG,Singapore,WPRO,6,166,0,0
12-03-2020,SG,Singapore,WPRO,12,178,0,0
13-03-2020,SG,Singapore,WPRO,9,187,0,0
14-03-2020,SG,Singapore,WPRO,13,200,0,0
15-03-2020,SG,Singapore,WPRO,12,212,0,0
16-03-2020,SG,Singapore,WPRO,14,226,0,0
17-03-2020,SG,Singapore,WPRO,17,243,0,0
18-03-2020,SG,Singapore,WPRO,23,266,0,0
19-03-2020,SG,Singapore,WPRO,47,313,0,0
20-03-2020,SG,Singapore,WPRO,32,345,0,0
21-03-2020,SG,Singapore,WPRO,40,385,2,2
22-03-2020,SG,Singapore,WPRO,47,432,0,2
23-03-2020,SG,Singapore,WPRO,23,455,0,2
24-03-2020,SG,Singapore,WPRO,54,509,0,2
25-03-2020,SG,Singapore,WPRO,49,558,0,2
26-03-2020,SG,Singapore,WPRO,73,631,0,2
27-03-2020,SG,Singapore,WPRO,52,683,0,2
28-03-2020,SG,Singapore,WPRO,49,732,0,2
29-03-2020,SG,Singapore,WPRO,70,802,0,2
30-03-2020,SG,Singapore,WPRO,42,844,1,3
31-03-2020,SG,Singapore,WPRO,35,879,0,3
01-04-2020,SG,Singapore,WPRO,47,926,0,3
02-04-2020,SG,Singapore,WPRO,74,1000,0,3
03-04-2020,SG,Singapore,WPRO,49,1049,1,4
04-04-2020,SG,Singapore,WPRO,65,1114,1,5
05-04-2020,SG,Singapore,WPRO,75,1189,0,5
06-04-2020,SG,Singapore,WPRO,120,1309,1,6
07-04-2020,SG,Singapore,WPRO,66,1375,0,6
08-04-2020,SG,Singapore,WPRO,106,1481,0,6
09-04-2020,SG,Singapore,WPRO,142,1623,0,6
10-04-2020,SG,Singapore,WPRO,287,1910,1,7
11-04-2020,SG,Singapore,WPRO,198,2108,0,7
12-04-2020,SG,Singapore,WPRO,191,2299,1,8
13-04-2020,SG,Singapore,WPRO,233,2532,0,8
14-04-2020,SG,Singapore,WPRO,386,2918,1,9
15-04-2020,SG,Singapore,WPRO,334,3252,1,10
