date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,TH,Thailand,SEARO,0,0,0,0
04-01-2020,TH,Thailand,SEARO,0,0,0,0
05-01-2020,TH,Thailand,SEARO,0,0,0,0
06-01-2020,TH,Thailand,SEARO,0,0,0,0
07-01-2020,TH,Thailand,SEARO,0,0,0,0
08-01-2020,TH,Thailand,SEARO,0,0,0,0
09-01-2020,TH,Thailand,SEARO,0,0,0,0
10-01-2020,TH,Thailand,SEARO,0,0,0,0
11-01-2020,TH,Thailand,SEARO,0,0,0,0
12-01-2020,TH,Thailand,SEARO,0,0,0,0
13-01-2020,TH,Thailand,SEARO,1,1,0,0
14-01-2020,TH,Thailand,SEARO,4,5,0,0
15-01-2020,TH,Thailand,SEARO,0,5,0,0
16-01-2020,TH,Thailand,SEARO,0,5,0,0
17-01-2020,TH,Thailand,SEARO,-3,2,0,0
18-01-2020,TH,Thailand,SEARO,4,6,0,0
19-01-2020,TH,Thailand,SEARO,0,6,0,0
20-01-2020,TH,Thailand,SEARO,0,6,0,0
21-01-2020,TH,Thailand,SEARO,0,6,0,0
22-01-2020,TH,Thailand,SEARO,1,7,0,0
23-01-2020,TH,Thailand,SEARO,-3,4,0,0
24-01-2020,TH,Thailand,SEARO,4,8,0,0
25-01-2020,TH,Thailand,SEARO,0,8,0,0
26-01-2020,TH,Thailand,SEARO,-3,5,0,0
27-01-2020,TH,Thailand,SEARO,7,12,0,0
28-01-2020,TH,Thailand,SEARO,2,14,0,0
29-01-2020,TH,Thailand,SEARO,4,18,0,0
30-01-2020,TH,Thailand,SEARO,0,18,0,0
31-01-2020,TH,Thailand,SEARO,5,23,0,0
01-02-2020,TH,Thailand,SEARO,-4,19,0,0
02-02-2020,TH,Thailand,SEARO,4,23,0,0
03-02-2020,TH,Thailand,SEARO,0,23,0,0
04-02-2020,TH,Thailand,SEARO,6,29,0,0
05-02-2020,TH,Thailand,SEARO,-4,25,0,0
06-02-2020,TH,Thailand,SEARO,4,29,0,0
07-02-2020,TH,Thailand,SEARO,0,29,0,0
08-02-2020,TH,Thailand,SEARO,3,32,0,0
09-02-2020,TH,Thailand,SEARO,-3,29,0,0
10-02-2020,TH,Thailand,SEARO,0,29,0,0
11-02-2020,TH,Thailand,SEARO,4,33,0,0
12-02-2020,TH,Thailand,SEARO,4,37,0,0
13-02-2020,TH,Thailand,SEARO,0,37,0,0
14-02-2020,TH,Thailand,SEARO,0,37,0,0
15-02-2020,TH,Thailand,SEARO,-3,34,0,0
16-02-2020,TH,Thailand,SEARO,4,38,0,0
17-02-2020,TH,Thailand,SEARO,-3,35,0,0
18-02-2020,TH,Thailand,SEARO,4,39,0,0
19-02-2020,TH,Thailand,SEARO,0,39,0,0
20-02-2020,TH,Thailand,SEARO,0,39,0,0
21-02-2020,TH,Thailand,SEARO,0,39,0,0
22-02-2020,TH,Thailand,SEARO,0,39,0,0
23-02-2020,TH,Thailand,SEARO,0,39,0,0
24-02-2020,TH,Thailand,SEARO,0,39,0,0
25-02-2020,TH,Thailand,SEARO,-2,37,0,0
26-02-2020,TH,Thailand,SEARO,3,40,0,0
27-02-2020,TH,Thailand,SEARO,4,44,0,0
28-02-2020,TH,Thailand,SEARO,-3,41,0,0
29-02-2020,TH,Thailand,SEARO,1,42,0,0
01-03-2020,TH,Thailand,SEARO,4,46,1,1
02-03-2020,TH,Thailand,SEARO,-3,43,0,1
03-03-2020,TH,Thailand,SEARO,4,47,0,1
04-03-2020,TH,Thailand,SEARO,0,47,0,1
05-03-2020,TH,Thailand,SEARO,0,47,0,1
