date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,GB,The United Kingdom,EURO,0,0,0,0
04-01-2020,GB,The United Kingdom,EURO,0,0,0,0
05-01-2020,GB,The United Kingdom,EURO,0,0,0,0
06-01-2020,GB,The United Kingdom,EURO,0,0,0,0
07-01-2020,GB,The United Kingdom,EURO,0,0,0,0
08-01-2020,GB,The United Kingdom,EURO,0,0,0,0
09-01-2020,GB,The United Kingdom,EURO,0,0,0,0
10-01-2020,GB,The United Kingdom,EURO,0,0,0,0
11-01-2020,GB,The United Kingdom,EURO,0,0,0,0
12-01-2020,GB,The United Kingdom,EURO,0,0,0,0
13-01-2020,GB,The United Kingdom,EURO,0,0,0,0
14-01-2020,GB,The United Kingdom,EURO,0,0,0,0
15-01-2020,GB,The United Kingdom,EURO,0,0,0,0
16-01-2020,GB,The United Kingdom,EURO,0,0,0,0
17-01-2020,GB,The United Kingdom,EURO,0,0,0,0
18-01-2020,GB,The United Kingdom,EURO,0,0,0,0
19-01-2020,GB,The United Kingdom,EURO,0,0,0,0
20-01-2020,GB,The United Kingdom,EURO,0,0,0,0
21-01-2020,GB,The United Kingdom,EURO,0,0,0,0
22-01-2020,GB,The United Kingdom,EURO,0,0,0,0
23-01-2020,GB,The United Kingdom,EURO,0,0,0,0
24-01-2020,GB,The United Kingdom,EURO,0,0,0,0
25-01-2020,GB,The United Kingdom,EURO,0,0,0,0
26-01-2020,GB,The United Kingdom,EURO,0,0,0,0
27-01-2020,GB,The United Kingdom,EURO,0,0,0,0
28-01-2020,GB,The United Kingdom,EURO,0,0,0,0
29-01-2020,GB,The United Kingdom,EURO,0,0,0,0
30-01-2020,GB,The United Kingdom,EURO,0,0,0,0
31-01-2020,GB,The United Kingdom,EURO,0,0,0,0
01-02-2020,GB,The United Kingdom,EURO,2,2,0,0
02-02-2020,GB,The United Kingdom,EURO,0,2,0,0
03-02-2020,GB,The United Kingdom,EURO,0,2,0,0
04-02-2020,GB,The United Kingdom,EURO,0,2,0,0
05-02-2020,GB,The United Kingdom,EURO,0,2,0,0
06-02-2020,GB,The United Kingdom,EURO,0,2,0,0
07-02-2020,GB,The United Kingdom,EURO,1,3,0,0
08-02-2020,GB,The United Kingdom,EURO,0,3,0,0
09-02-2020,GB,The United Kingdom,EURO,0,3,0,0
10-02-2020,GB,The United Kingdom,EURO,4,7,0,0
11-02-2020,GB,The United Kingdom,EURO,1,8,0,0
12-02-2020,GB,The United Kingdom,EURO,0,8,0,0
13-02-2020,GB,The United Kingdom,EURO,1,9,0,0
14-02-2020,GB,The United Kingdom,EURO,0,9,0,0
15-02-2020,GB,The United Kingdom,EURO,0,9,0,0
16-02-2020,GB,The United Kingdom,EURO,0,9,0,0
17-02-2020,GB,The United Kingdom,EURO,0,9,0,0
18-02-2020,GB,The United Kingdom,EURO,0,9,0,0
19-02-2020,GB,The United Kingdom,EURO,0,9,0,0
20-02-2020,GB,The United Kingdom,EURO,0,9,0,0
21-02-2020,GB,The United Kingdom,EURO,0,9,0,0
22-02-2020,GB,The United Kingdom,EURO,0,9,0,0
23-02-2020,GB,The United Kingdom,EURO,1,10,0,0
24-02-2020,GB,The United Kingdom,EURO,0,10,0,0
25-02-2020,GB,The United Kingdom,EURO,1,11,0,0
26-02-2020,GB,The United Kingdom,EURO,2,13,0,0
27-02-2020,GB,The United Kingdom,EURO,5,18,0,0
28-02-2020,GB,The United Kingdom,EURO,4,22,0,0
29-02-2020,GB,The United Kingdom,EURO,8,30,0,0
01-03-2020,GB,The United Kingdom,EURO,12,42,0,0
02-03-2020,GB,The United Kingdom,EURO,5,47,0,0
03-03-2020,GB,The United Kingdom,EURO,22,69,0,0
04-03-2020,GB,The United Kingdom,EURO,39,108,0,0
05-03-2020,GB,The United Kingdom,EURO,56,164,0,0
06-03-2020,GB,The United Kingdom,EURO,56,220,0,0
07-03-2020,GB,The United Kingdom,EURO,50,270,1,1
08-03-2020,GB,The United Kingdom,EURO,81,351,1,2
09-03-2020,GB,The United Kingdom,EURO,68,419,0,2
10-03-2020,GB,The United Kingdom,EURO,57,476,1,3
11-03-2020,GB,The United Kingdom,EURO,147,623,4,7
12-03-2020,GB,The United Kingdom,EURO,265,888,0,7
13-03-2020,GB,The United Kingdom,EURO,405,1293,2,9
14-03-2020,GB,The United Kingdom,EURO,481,1774,1,10
15-03-2020,GB,The United Kingdom,EURO,479,2253,19,29
16-03-2020,GB,The United Kingdom,EURO,363,2616,14,43
17-03-2020,GB,The United Kingdom,EURO,442,3058,22,65
18-03-2020,GB,The United Kingdom,EURO,610,3668,17,82
19-03-2020,GB,The United Kingdom,EURO,770,4438,34,116
20-03-2020,GB,The United Kingdom,EURO,1002,5440,46,162
21-03-2020,GB,The United Kingdom,EURO,1048,6488,32,194
22-03-2020,GB,The United Kingdom,EURO,1263,7751,58,252
23-03-2020,GB,The United Kingdom,EURO,1190,8941,36,288
24-03-2020,GB,The United Kingdom,EURO,1375,10316,76,364
25-03-2020,GB,The United Kingdom,EURO,2325,12641,148,512
26-03-2020,GB,The United Kingdom,EURO,2376,15017,191,703
27-03-2020,GB,The United Kingdom,EURO,2690,17707,181,884
28-03-2020,GB,The United Kingdom,EURO,3086,20793,288,1172
29-03-2020,GB,The United Kingdom,EURO,3186,23979,292,1464
30-03-2020,GB,The United Kingdom,EURO,2814,26793,212,1676
31-03-2020,GB,The United Kingdom,EURO,2856,29649,374,2050
01-04-2020,GB,The United Kingdom,EURO,4262,33911,403,2453
02-04-2020,GB,The United Kingdom,EURO,4512,38423,672,3125
03-04-2020,GB,The United Kingdom,EURO,4935,43358,657,3782
04-04-2020,GB,The United Kingdom,EURO,4858,48216,736,4518
05-04-2020,GB,The United Kingdom,EURO,4896,53112,756,5274
06-04-2020,GB,The United Kingdom,EURO,4003,57115,599,5873
07-04-2020,GB,The United Kingdom,EURO,3585,60700,567,6440
08-04-2020,GB,The United Kingdom,EURO,5263,65963,1105,7545
09-04-2020,GB,The United Kingdom,EURO,5433,71396,1030,8575
10-04-2020,GB,The United Kingdom,EURO,5119,76515,1116,9691
11-04-2020,GB,The United Kingdom,EURO,4854,81369,1122,10813
12-04-2020,GB,The United Kingdom,EURO,4308,85677,843,11656
13-04-2020,GB,The United Kingdom,EURO,3559,89236,657,12313
14-04-2020,GB,The United Kingdom,EURO,3479,92715,724,13037
15-04-2020,GB,The United Kingdom,EURO,4167,96882,1076,14113
16-04-2020,GB,The United Kingdom,EURO,4294,101176,880,14993
17-04-2020,GB,The United Kingdom,EURO,5042,106218,1036,16029
18-04-2020,GB,The United Kingdom,EURO,5274,111492,913,16942
19-04-2020,GB,The United Kingdom,EURO,4936,116428,1105,18047
20-04-2020,GB,The United Kingdom,EURO,4699,121127,432,18479
21-04-2020,GB,The United Kingdom,EURO,3852,124979,570,19049
22-04-2020,GB,The United Kingdom,EURO,4844,129823,1224,20273
23-04-2020,GB,The United Kingdom,EURO,4767,134590,847,21120
24-04-2020,GB,The United Kingdom,EURO,5492,140082,682,21802
25-04-2020,GB,The United Kingdom,EURO,5139,145221,1010,22812
26-04-2020,GB,The United Kingdom,EURO,4948,150169,815,23627
27-04-2020,GB,The United Kingdom,EURO,3746,153915,364,23991
28-04-2020,GB,The United Kingdom,EURO,3471,157386,320,24311
29-04-2020,GB,The United Kingdom,EURO,4697,162083,969,25280
30-04-2020,GB,The United Kingdom,EURO,4718,166801,769,26049
01-05-2020,GB,The United Kingdom,EURO,5424,172225,634,26683
02-05-2020,GB,The United Kingdom,EURO,4960,177185,698,27381
03-05-2020,GB,The United Kingdom,EURO,4730,181915,584,27965
04-05-2020,GB,The United Kingdom,EURO,3227,185142,253,28218
05-05-2020,GB,The United Kingdom,EURO,2980,188122,272,28490
06-05-2020,GB,The United Kingdom,EURO,3384,191506,726,29216
07-05-2020,GB,The United Kingdom,EURO,3677,195183,647,29863
08-05-2020,GB,The United Kingdom,EURO,3822,199005,458,30321
09-05-2020,GB,The United Kingdom,EURO,3766,202771,579,30900
10-05-2020,GB,The United Kingdom,EURO,3059,205830,275,31175
11-05-2020,GB,The United Kingdom,EURO,2161,207991,217,31392
12-05-2020,GB,The United Kingdom,EURO,2319,210310,187,31579
13-05-2020,GB,The United Kingdom,EURO,3574,213884,614,32193
14-05-2020,GB,The United Kingdom,EURO,3389,217273,447,32640
15-05-2020,GB,The United Kingdom,EURO,3309,220582,352,32992
16-05-2020,GB,The United Kingdom,EURO,2627,223209,350,33342
17-05-2020,GB,The United Kingdom,EURO,2527,225736,411,33753
18-05-2020,GB,The United Kingdom,EURO,2078,227814,67,33820
19-05-2020,GB,The United Kingdom,EURO,1832,229646,146,33966
20-05-2020,GB,The United Kingdom,EURO,2574,232220,500,34466
21-05-2020,GB,The United Kingdom,EURO,3051,235271,328,34794
22-05-2020,GB,The United Kingdom,EURO,2706,237977,273,35067
23-05-2020,GB,The United Kingdom,EURO,2566,240543,291,35358
24-05-2020,GB,The United Kingdom,EURO,2054,242597,220,35578
25-05-2020,GB,The United Kingdom,EURO,1527,244124,379,35957
26-05-2020,GB,The United Kingdom,EURO,1364,245488,104,36061
27-05-2020,GB,The United Kingdom,EURO,1617,247105,131,36192
28-05-2020,GB,The United Kingdom,EURO,1655,248760,422,36614
29-05-2020,GB,The United Kingdom,EURO,1826,250586,343,36957
30-05-2020,GB,The United Kingdom,EURO,1754,252340,274,37231
31-05-2020,GB,The United Kingdom,EURO,1527,253867,154,37385
01-06-2020,GB,The United Kingdom,EURO,1120,254987,60,37445
02-06-2020,GB,The United Kingdom,EURO,1082,256069,86,37531
03-06-2020,GB,The United Kingdom,EURO,1440,257509,249,37780
04-06-2020,GB,The United Kingdom,EURO,1486,258995,254,38034
05-06-2020,GB,The United Kingdom,EURO,1362,260357,130,38164
06-06-2020,GB,The United Kingdom,EURO,1254,261611,258,38422
07-06-2020,GB,The United Kingdom,EURO,1124,262735,143,38565
08-06-2020,GB,The United Kingdom,EURO,807,263542,54,38619
09-06-2020,GB,The United Kingdom,EURO,721,264263,47,38666
10-06-2020,GB,The United Kingdom,EURO,1099,265362,195,38861
11-06-2020,GB,The United Kingdom,EURO,1152,266514,164,39025
12-06-2020,GB,The United Kingdom,EURO,1190,267704,76,39101
13-06-2020,GB,The United Kingdom,EURO,1010,268714,131,39232
14-06-2020,GB,The United Kingdom,EURO,1058,269772,107,39339
15-06-2020,GB,The United Kingdom,EURO,894,270666,27,39366
16-06-2020,GB,The United Kingdom,EURO,818,271484,29,39395
17-06-2020,GB,The United Kingdom,EURO,1044,272528,120,39515
18-06-2020,GB,The United Kingdom,EURO,1103,273631,110,39625
19-06-2020,GB,The United Kingdom,EURO,1012,274643,67,39692
20-06-2020,GB,The United Kingdom,EURO,1028,275671,84,39776
21-06-2020,GB,The United Kingdom,EURO,995,276666,71,39847
22-06-2020,GB,The United Kingdom,EURO,687,277353,31,39878
23-06-2020,GB,The United Kingdom,EURO,637,277990,14,39892
24-06-2020,GB,The United Kingdom,EURO,896,278886,94,39986
25-06-2020,GB,The United Kingdom,EURO,887,279773,87,40073
26-06-2020,GB,The United Kingdom,EURO,778,280551,99,40172
27-06-2020,GB,The United Kingdom,EURO,719,281270,77,40249
28-06-2020,GB,The United Kingdom,EURO,671,281941,40,40289
29-06-2020,GB,The United Kingdom,EURO,652,282593,31,40320
30-06-2020,GB,The United Kingdom,EURO,446,283039,21,40341
01-07-2020,GB,The United Kingdom,EURO,729,283768,53,40394
02-07-2020,GB,The United Kingdom,EURO,618,284386,97,40491
03-07-2020,GB,The United Kingdom,EURO,660,285046,41,40532
04-07-2020,GB,The United Kingdom,EURO,607,285653,49,40581
05-07-2020,GB,The United Kingdom,EURO,574,286227,32,40613
06-07-2020,GB,The United Kingdom,EURO,401,286628,19,40632
07-07-2020,GB,The United Kingdom,EURO,556,287184,11,40643
08-07-2020,GB,The United Kingdom,EURO,706,287890,54,40697
09-07-2020,GB,The United Kingdom,EURO,605,288495,57,40754
10-07-2020,GB,The United Kingdom,EURO,702,289197,31,40785
11-07-2020,GB,The United Kingdom,EURO,718,289915,34,40819
12-07-2020,GB,The United Kingdom,EURO,564,290479,17,40836
13-07-2020,GB,The United Kingdom,EURO,447,290926,9,40845
14-07-2020,GB,The United Kingdom,EURO,370,291296,10,40855
15-07-2020,GB,The United Kingdom,EURO,736,292032,44,40899
16-07-2020,GB,The United Kingdom,EURO,690,292722,26,40925
17-07-2020,GB,The United Kingdom,EURO,774,293496,24,40949
18-07-2020,GB,The United Kingdom,EURO,706,294202,26,40975
19-07-2020,GB,The United Kingdom,EURO,581,294783,9,40984
20-07-2020,GB,The United Kingdom,EURO,498,295281,11,40995
21-07-2020,GB,The United Kingdom,EURO,443,295724,10,41005
22-07-2020,GB,The United Kingdom,EURO,813,296537,25,41030
23-07-2020,GB,The United Kingdom,EURO,782,297319,17,41047
24-07-2020,GB,The United Kingdom,EURO,797,298116,9,41056
25-07-2020,GB,The United Kingdom,EURO,798,298914,32,41088
26-07-2020,GB,The United Kingdom,EURO,774,299688,15,41103
27-07-2020,GB,The United Kingdom,EURO,523,300211,8,41111
28-07-2020,GB,The United Kingdom,EURO,558,300769,3,41114
29-07-2020,GB,The United Kingdom,EURO,855,301624,21,41135
30-07-2020,GB,The United Kingdom,EURO,841,302465,34,41169
31-07-2020,GB,The United Kingdom,EURO,1038,303503,0,41169
01-08-2020,GB,The United Kingdom,EURO,925,304428,20,41189
02-08-2020,GB,The United Kingdom,EURO,677,305105,13,41202
03-08-2020,GB,The United Kingdom,EURO,543,305648,5,41207
04-08-2020,GB,The United Kingdom,EURO,555,306203,1,41208
05-08-2020,GB,The United Kingdom,EURO,1040,307243,18,41226
06-08-2020,GB,The United Kingdom,EURO,1018,308261,14,41240
07-08-2020,GB,The United Kingdom,EURO,1059,309320,18,41258
08-08-2020,GB,The United Kingdom,EURO,1083,310403,12,41270
09-08-2020,GB,The United Kingdom,EURO,944,311347,3,41273
10-08-2020,GB,The United Kingdom,EURO,694,312041,5,41278
11-08-2020,GB,The United Kingdom,EURO,615,312656,18,41296
12-08-2020,GB,The United Kingdom,EURO,1473,314129,13,41309
13-08-2020,GB,The United Kingdom,EURO,1339,315468,20,41329
14-08-2020,GB,The United Kingdom,EURO,1207,316675,18,41347
15-08-2020,GB,The United Kingdom,EURO,1147,317822,11,41358
16-08-2020,GB,The United Kingdom,EURO,1162,318984,3,41361
17-08-2020,GB,The United Kingdom,EURO,694,319678,5,41366
18-08-2020,GB,The United Kingdom,EURO,601,320279,3,41369
19-08-2020,GB,The United Kingdom,EURO,1283,321562,12,41381
20-08-2020,GB,The United Kingdom,EURO,1084,322646,16,41397
21-08-2020,GB,The United Kingdom,EURO,1243,323889,6,41403
22-08-2020,GB,The United Kingdom,EURO,1462,325351,2,41405
23-08-2020,GB,The United Kingdom,EURO,1199,326550,18,41423
24-08-2020,GB,The United Kingdom,EURO,828,327378,6,41429
25-08-2020,GB,The United Kingdom,EURO,827,328205,4,41433
26-08-2020,GB,The United Kingdom,EURO,1273,329478,16,41449
27-08-2020,GB,The United Kingdom,EURO,1247,330725,16,41465
28-08-2020,GB,The United Kingdom,EURO,1351,332076,12,41477
29-08-2020,GB,The United Kingdom,EURO,1549,333625,9,41486
30-08-2020,GB,The United Kingdom,EURO,1625,335250,12,41498
31-08-2020,GB,The United Kingdom,EURO,1222,336472,1,41499
01-09-2020,GB,The United Kingdom,EURO,1159,337631,2,41501
02-09-2020,GB,The United Kingdom,EURO,1502,339133,3,41504
03-09-2020,GB,The United Kingdom,EURO,2249,341382,10,41514
04-09-2020,GB,The United Kingdom,EURO,2993,344375,13,41527
05-09-2020,GB,The United Kingdom,EURO,3098,347473,10,41537
06-09-2020,GB,The United Kingdom,EURO,3039,350512,12,41549
07-09-2020,GB,The United Kingdom,EURO,2545,353057,2,41551
08-09-2020,GB,The United Kingdom,EURO,2447,355504,3,41554
09-09-2020,GB,The United Kingdom,EURO,3860,359364,32,41586
10-09-2020,GB,The United Kingdom,EURO,3301,362665,8,41594
11-09-2020,GB,The United Kingdom,EURO,3331,365996,14,41608
12-09-2020,GB,The United Kingdom,EURO,3597,369593,6,41614
13-09-2020,GB,The United Kingdom,EURO,3288,372881,9,41623
14-09-2020,GB,The United Kingdom,EURO,2668,375549,5,41628
15-09-2020,GB,The United Kingdom,EURO,2141,377690,9,41637
16-09-2020,GB,The United Kingdom,EURO,3392,381082,27,41664
17-09-2020,GB,The United Kingdom,EURO,3549,384631,20,41684
18-09-2020,GB,The United Kingdom,EURO,4363,388994,21,41705
19-09-2020,GB,The United Kingdom,EURO,4632,393626,27,41732
20-09-2020,GB,The United Kingdom,EURO,4958,398584,27,41759
21-09-2020,GB,The United Kingdom,EURO,4853,403437,18,41777
22-09-2020,GB,The United Kingdom,EURO,5321,408758,11,41788
23-09-2020,GB,The United Kingdom,EURO,5601,414359,37,41825
24-09-2020,GB,The United Kingdom,EURO,6405,420764,37,41862
25-09-2020,GB,The United Kingdom,EURO,7061,427825,40,41902
26-09-2020,GB,The United Kingdom,EURO,7607,435432,34,41936
27-09-2020,GB,The United Kingdom,EURO,7241,442673,35,41971
28-09-2020,GB,The United Kingdom,EURO,6758,449431,17,41988
29-09-2020,GB,The United Kingdom,EURO,6971,456402,13,42001
30-09-2020,GB,The United Kingdom,EURO,9926,466328,71,42072
01-10-2020,GB,The United Kingdom,EURO,10239,476567,71,42143
02-10-2020,GB,The United Kingdom,EURO,12559,489126,59,42202
03-10-2020,GB,The United Kingdom,EURO,13183,502309,66,42268
04-10-2020,GB,The United Kingdom,EURO,13693,516002,49,42317
05-10-2020,GB,The United Kingdom,EURO,11544,527546,33,42350
06-10-2020,GB,The United Kingdom,EURO,11807,539353,19,42369
07-10-2020,GB,The United Kingdom,EURO,16549,555902,76,42445
08-10-2020,GB,The United Kingdom,EURO,17067,572969,70,42515
09-10-2020,GB,The United Kingdom,EURO,18330,591299,77,42592
10-10-2020,GB,The United Kingdom,EURO,18248,609547,87,42679
11-10-2020,GB,The United Kingdom,EURO,15730,625277,81,42760
12-10-2020,GB,The United Kingdom,EURO,12516,637793,65,42825
13-10-2020,GB,The United Kingdom,EURO,12070,649863,50,42875
14-10-2020,GB,The United Kingdom,EURO,19446,669309,143,43018
15-10-2020,GB,The United Kingdom,EURO,18900,688209,137,43155
16-10-2020,GB,The United Kingdom,EURO,19699,707908,138,43293
17-10-2020,GB,The United Kingdom,EURO,18438,726346,136,43429
18-10-2020,GB,The United Kingdom,EURO,17720,744066,150,43579
19-10-2020,GB,The United Kingdom,EURO,14765,758831,67,43646
20-10-2020,GB,The United Kingdom,EURO,14191,773022,80,43726
21-10-2020,GB,The United Kingdom,EURO,25609,798631,241,43967
22-10-2020,GB,The United Kingdom,EURO,25325,823956,191,44158
23-10-2020,GB,The United Kingdom,EURO,25447,849403,189,44347
24-10-2020,GB,The United Kingdom,EURO,23251,872654,224,44571
25-10-2020,GB,The United Kingdom,EURO,21478,894132,174,44745
26-10-2020,GB,The United Kingdom,EURO,16237,910369,151,44896
27-10-2020,GB,The United Kingdom,EURO,15727,926096,102,44998
28-10-2020,GB,The United Kingdom,EURO,26553,952649,367,45365
29-10-2020,GB,The United Kingdom,EURO,24096,976745,310,45675
30-10-2020,GB,The United Kingdom,EURO,23618,1000363,280,45955
31-10-2020,GB,The United Kingdom,EURO,23350,1023713,274,46229
01-11-2020,GB,The United Kingdom,EURO,22683,1046396,326,46555
02-11-2020,GB,The United Kingdom,EURO,16490,1062886,162,46717
03-11-2020,GB,The United Kingdom,EURO,15757,1078643,136,46853
04-11-2020,GB,The United Kingdom,EURO,31510,1110153,397,47250
05-11-2020,GB,The United Kingdom,EURO,25586,1135739,492,47742
06-11-2020,GB,The United Kingdom,EURO,23683,1159422,378,48120
07-11-2020,GB,The United Kingdom,EURO,23748,1183170,355,48475
08-11-2020,GB,The United Kingdom,EURO,23330,1206500,413,48888
09-11-2020,GB,The United Kingdom,EURO,18525,1225025,156,49044
