date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,TR,Turkey,EURO,0,0,0,0
04-01-2020,TR,Turkey,EURO,0,0,0,0
05-01-2020,TR,Turkey,EURO,0,0,0,0
06-01-2020,TR,Turkey,EURO,0,0,0,0
07-01-2020,TR,Turkey,EURO,0,0,0,0
08-01-2020,TR,Turkey,EURO,0,0,0,0
09-01-2020,TR,Turkey,EURO,0,0,0,0
10-01-2020,TR,Turkey,EURO,0,0,0,0
11-01-2020,TR,Turkey,EURO,0,0,0,0
12-01-2020,TR,Turkey,EURO,0,0,0,0
13-01-2020,TR,Turkey,EURO,0,0,0,0
14-01-2020,TR,Turkey,EURO,0,0,0,0
15-01-2020,TR,Turkey,EURO,0,0,0,0
16-01-2020,TR,Turkey,EURO,0,0,0,0
17-01-2020,TR,Turkey,EURO,0,0,0,0
18-01-2020,TR,Turkey,EURO,0,0,0,0
19-01-2020,TR,Turkey,EURO,0,0,0,0
20-01-2020,TR,Turkey,EURO,0,0,0,0
21-01-2020,TR,Turkey,EURO,0,0,0,0
22-01-2020,TR,Turkey,EURO,0,0,0,0
23-01-2020,TR,Turkey,EURO,0,0,0,0
24-01-2020,TR,Turkey,EURO,0,0,0,0
25-01-2020,TR,Turkey,EURO,0,0,0,0
26-01-2020,TR,Turkey,EURO,0,0,0,0
27-01-2020,TR,Turkey,EURO,0,0,0,0
28-01-2020,TR,Turkey,EURO,0,0,0,0
29-01-2020,TR,Turkey,EURO,0,0,0,0
30-01-2020,TR,Turkey,EURO,0,0,0,0
31-01-2020,TR,Turkey,EURO,0,0,0,0
01-02-2020,TR,Turkey,EURO,0,0,0,0
02-02-2020,TR,Turkey,EURO,0,0,0,0
03-02-2020,TR,Turkey,EURO,0,0,0,0
04-02-2020,TR,Turkey,EURO,0,0,0,0
05-02-2020,TR,Turkey,EURO,0,0,0,0
06-02-2020,TR,Turkey,EURO,0,0,0,0
07-02-2020,TR,Turkey,EURO,0,0,0,0
08-02-2020,TR,Turkey,EURO,0,0,0,0
09-02-2020,TR,Turkey,EURO,0,0,0,0
10-02-2020,TR,Turkey,EURO,0,0,0,0
11-02-2020,TR,Turkey,EURO,0,0,0,0
12-02-2020,TR,Turkey,EURO,0,0,0,0
13-02-2020,TR,Turkey,EURO,0,0,0,0
14-02-2020,TR,Turkey,EURO,0,0,0,0
15-02-2020,TR,Turkey,EURO,0,0,0,0
16-02-2020,TR,Turkey,EURO,0,0,0,0
17-02-2020,TR,Turkey,EURO,0,0,0,0
18-02-2020,TR,Turkey,EURO,0,0,0,0
19-02-2020,TR,Turkey,EURO,0,0,0,0
20-02-2020,TR,Turkey,EURO,0,0,0,0
21-02-2020,TR,Turkey,EURO,0,0,0,0
22-02-2020,TR,Turkey,EURO,0,0,0,0
23-02-2020,TR,Turkey,EURO,0,0,0,0
24-02-2020,TR,Turkey,EURO,0,0,0,0
25-02-2020,TR,Turkey,EURO,0,0,0,0
26-02-2020,TR,Turkey,EURO,0,0,0,0
27-02-2020,TR,Turkey,EURO,0,0,0,0
28-02-2020,TR,Turkey,EURO,0,0,0,0
29-02-2020,TR,Turkey,EURO,0,0,0,0
01-03-2020,TR,Turkey,EURO,0,0,0,0
02-03-2020,TR,Turkey,EURO,0,0,0,0
03-03-2020,TR,Turkey,EURO,0,0,0,0
04-03-2020,TR,Turkey,EURO,0,0,0,0
05-03-2020,TR,Turkey,EURO,0,0,0,0
06-03-2020,TR,Turkey,EURO,0,0,0,0
07-03-2020,TR,Turkey,EURO,0,0,0,0
08-03-2020,TR,Turkey,EURO,0,0,0,0
09-03-2020,TR,Turkey,EURO,0,0,0,0
10-03-2020,TR,Turkey,EURO,0,0,0,0
11-03-2020,TR,Turkey,EURO,1,1,0,0
12-03-2020,TR,Turkey,EURO,0,1,0,0
13-03-2020,TR,Turkey,EURO,0,1,0,0
14-03-2020,TR,Turkey,EURO,4,5,0,0
15-03-2020,TR,Turkey,EURO,1,6,0,0
16-03-2020,TR,Turkey,EURO,12,18,0,0
17-03-2020,TR,Turkey,EURO,29,47,0,0
18-03-2020,TR,Turkey,EURO,51,98,1,1
19-03-2020,TR,Turkey,EURO,93,191,1,2
20-03-2020,TR,Turkey,EURO,168,359,2,4
21-03-2020,TR,Turkey,EURO,311,670,5,9
22-03-2020,TR,Turkey,EURO,277,947,12,21
23-03-2020,TR,Turkey,EURO,289,1236,9,30
24-03-2020,TR,Turkey,EURO,293,1529,7,37
25-03-2020,TR,Turkey,EURO,343,1872,7,44
26-03-2020,TR,Turkey,EURO,561,2433,15,59
27-03-2020,TR,Turkey,EURO,1196,3629,16,75
28-03-2020,TR,Turkey,EURO,2069,5698,17,92
29-03-2020,TR,Turkey,EURO,1704,7402,16,108
30-03-2020,TR,Turkey,EURO,1815,9217,23,131
31-03-2020,TR,Turkey,EURO,1610,10827,37,168
01-04-2020,TR,Turkey,EURO,2704,13531,46,214
02-04-2020,TR,Turkey,EURO,2148,15679,63,277
03-04-2020,TR,Turkey,EURO,2456,18135,79,356
04-04-2020,TR,Turkey,EURO,2786,20921,69,425
05-04-2020,TR,Turkey,EURO,3013,23934,76,501
06-04-2020,TR,Turkey,EURO,3135,27069,73,574
07-04-2020,TR,Turkey,EURO,3148,30217,75,649
08-04-2020,TR,Turkey,EURO,3892,34109,76,725
09-04-2020,TR,Turkey,EURO,4117,38226,87,812
10-04-2020,TR,Turkey,EURO,4056,42282,96,908
11-04-2020,TR,Turkey,EURO,4747,47029,98,1006
12-04-2020,TR,Turkey,EURO,5138,52167,95,1101
13-04-2020,TR,Turkey,EURO,4789,56956,97,1198
14-04-2020,TR,Turkey,EURO,4093,61049,98,1296
15-04-2020,TR,Turkey,EURO,4062,65111,107,1403
16-04-2020,TR,Turkey,EURO,4281,69392,115,1518
17-04-2020,TR,Turkey,EURO,4801,74193,125,1643
18-04-2020,TR,Turkey,EURO,4353,78546,126,1769
19-04-2020,TR,Turkey,EURO,3783,82329,121,1890
20-04-2020,TR,Turkey,EURO,3977,86306,127,2017
21-04-2020,TR,Turkey,EURO,4674,90980,123,2140
22-04-2020,TR,Turkey,EURO,4611,95591,119,2259
23-04-2020,TR,Turkey,EURO,3083,98674,117,2376
24-04-2020,TR,Turkey,EURO,3116,101790,115,2491
25-04-2020,TR,Turkey,EURO,3122,104912,109,2600
26-04-2020,TR,Turkey,EURO,2861,107773,106,2706
27-04-2020,TR,Turkey,EURO,2357,110130,99,2805
28-04-2020,TR,Turkey,EURO,2131,112261,95,2900
29-04-2020,TR,Turkey,EURO,2392,114653,92,2992
30-04-2020,TR,Turkey,EURO,2936,117589,89,3081
01-05-2020,TR,Turkey,EURO,2615,120204,93,3174
02-05-2020,TR,Turkey,EURO,2188,122392,84,3258
03-05-2020,TR,Turkey,EURO,1983,124375,78,3336
04-05-2020,TR,Turkey,EURO,1670,126045,61,3397
05-05-2020,TR,Turkey,EURO,1614,127659,64,3461
06-05-2020,TR,Turkey,EURO,1832,129491,59,3520
07-05-2020,TR,Turkey,EURO,2253,131744,64,3584
08-05-2020,TR,Turkey,EURO,1977,133721,57,3641
09-05-2020,TR,Turkey,EURO,1848,135569,48,3689
10-05-2020,TR,Turkey,EURO,1546,137115,50,3739
11-05-2020,TR,Turkey,EURO,1542,138657,47,3786
12-05-2020,TR,Turkey,EURO,1114,139771,55,3841
13-05-2020,TR,Turkey,EURO,1704,141475,53,3894
14-05-2020,TR,Turkey,EURO,1639,143114,58,3952
15-05-2020,TR,Turkey,EURO,1635,144749,55,4007
16-05-2020,TR,Turkey,EURO,1708,146457,48,4055
17-05-2020,TR,Turkey,EURO,1610,148067,41,4096
18-05-2020,TR,Turkey,EURO,1368,149435,44,4140
19-05-2020,TR,Turkey,EURO,1158,150593,31,4171
20-05-2020,TR,Turkey,EURO,1022,151615,28,4199
21-05-2020,TR,Turkey,EURO,972,152587,23,4222
22-05-2020,TR,Turkey,EURO,961,153548,27,4249
23-05-2020,TR,Turkey,EURO,952,154500,27,4276
24-05-2020,TR,Turkey,EURO,1186,155686,32,4308
25-05-2020,TR,Turkey,EURO,1141,156827,32,4340
26-05-2020,TR,Turkey,EURO,987,157814,29,4369
27-05-2020,TR,Turkey,EURO,948,158762,28,4397
28-05-2020,TR,Turkey,EURO,1035,159797,34,4431
29-05-2020,TR,Turkey,EURO,1182,160979,30,4461
30-05-2020,TR,Turkey,EURO,1141,162120,28,4489
31-05-2020,TR,Turkey,EURO,983,163103,26,4515
01-06-2020,TR,Turkey,EURO,839,163942,25,4540
02-06-2020,TR,Turkey,EURO,827,164769,23,4563
03-06-2020,TR,Turkey,EURO,786,165555,22,4585
04-06-2020,TR,Turkey,EURO,867,166422,24,4609
05-06-2020,TR,Turkey,EURO,988,167410,21,4630
06-06-2020,TR,Turkey,EURO,930,168340,18,4648
07-06-2020,TR,Turkey,EURO,878,169218,21,4669
08-06-2020,TR,Turkey,EURO,914,170132,23,4692
09-06-2020,TR,Turkey,EURO,989,171121,19,4711
10-06-2020,TR,Turkey,EURO,993,172114,18,4729
11-06-2020,TR,Turkey,EURO,922,173036,17,4746
12-06-2020,TR,Turkey,EURO,987,174023,17,4763
13-06-2020,TR,Turkey,EURO,1195,175218,15,4778
14-06-2020,TR,Turkey,EURO,1459,176677,14,4792
15-06-2020,TR,Turkey,EURO,1562,178239,15,4807
16-06-2020,TR,Turkey,EURO,1592,179831,18,4825
17-06-2020,TR,Turkey,EURO,1467,181298,17,4842
18-06-2020,TR,Turkey,EURO,1429,182727,19,4861
19-06-2020,TR,Turkey,EURO,1304,184031,21,4882
20-06-2020,TR,Turkey,EURO,1214,185245,23,4905
21-06-2020,TR,Turkey,EURO,1248,186493,22,4927
22-06-2020,TR,Turkey,EURO,1192,187685,23,4950
23-06-2020,TR,Turkey,EURO,1212,188897,24,4974
24-06-2020,TR,Turkey,EURO,1268,190165,27,5001
25-06-2020,TR,Turkey,EURO,1492,191657,24,5025
26-06-2020,TR,Turkey,EURO,1458,193115,21,5046
27-06-2020,TR,Turkey,EURO,1396,194511,19,5065
28-06-2020,TR,Turkey,EURO,1372,195883,17,5082
29-06-2020,TR,Turkey,EURO,1356,197239,15,5097
30-06-2020,TR,Turkey,EURO,1374,198613,18,5115
01-07-2020,TR,Turkey,EURO,1293,199906,16,5131
02-07-2020,TR,Turkey,EURO,1192,201098,19,5150
03-07-2020,TR,Turkey,EURO,1186,202284,17,5167
04-07-2020,TR,Turkey,EURO,1172,203456,19,5186
05-07-2020,TR,Turkey,EURO,1154,204610,20,5206
06-07-2020,TR,Turkey,EURO,1148,205758,19,5225
07-07-2020,TR,Turkey,EURO,1086,206844,16,5241
08-07-2020,TR,Turkey,EURO,1053,207897,19,5260
09-07-2020,TR,Turkey,EURO,1041,208938,22,5282
10-07-2020,TR,Turkey,EURO,1024,209962,18,5300
11-07-2020,TR,Turkey,EURO,1003,210965,23,5323
12-07-2020,TR,Turkey,EURO,1016,211981,21,5344
13-07-2020,TR,Turkey,EURO,1012,212993,19,5363
14-07-2020,TR,Turkey,EURO,1008,214001,19,5382
15-07-2020,TR,Turkey,EURO,992,214993,20,5402
