tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585180800000,1,0,0,1,1,0,0,1
1585267200000,3,0,0,3,4,0,0,4
1585353600000,1,0,0,1,5,0,0,5
1585440000000,0,0,0,0,5,0,0,5
1585526400000,0,0,0,0,5,0,0,5
1585612800000,0,0,0,0,5,0,0,5
1585699200000,0,0,0,0,5,0,0,5
1585785600000,0,0,0,0,5,0,0,5
1585872000000,0,0,0,0,5,0,0,5
1585958400000,0,0,0,0,5,0,0,5
1586044800000,0,0,0,0,5,0,0,5
1586131200000,0,0,0,0,5,0,0,5
1586217600000,0,0,0,0,5,0,0,5
1586304000000,0,0,0,0,5,0,0,5
1586390400000,0,0,1,-1,5,1,0,4
1586476800000,0,0,0,0,5,1,0,4
1586563200000,0,0,0,0,5,1,0,4
1586649600000,0,0,0,0,5,1,0,4
1586736000000,0,0,2,-2,5,3,0,2
1586822400000,0,0,0,0,5,3,0,2
1586908800000,0,0,0,0,5,3,0,2
1586995200000,0,0,0,0,5,3,0,2
1587081600000,0,0,0,0,5,3,0,2
1587168000000,1,0,0,1,6,3,0,3
1587254400000,1,0,0,1,7,3,0,4
1587340800000,0,0,0,0,7,3,0,4
1587427200000,0,0,0,0,7,3,0,4
1587513600000,0,0,0,0,7,3,0,4
1587600000000,0,1,0,-1,7,3,1,3
1587686400000,1,0,0,1,8,3,1,4
1587772800000,1,0,0,1,9,3,1,5
1587859200000,0,0,0,0,9,3,1,5
1587945600000,0,0,1,-1,9,4,1,4
1588032000000,0,0,1,-1,9,5,1,3
1588118400000,0,0,1,-1,9,6,1,2
1588204800000,1,0,0,1,10,6,1,3
1588291200000,1,0,0,1,11,6,1,4
1588377600000,0,0,0,0,11,6,1,4
1588464000000,1,0,2,-1,12,8,1,3
1588550400000,0,0,0,0,12,8,1,3
1588636800000,0,0,0,0,12,8,1,3
1588723200000,5,0,0,5,17,8,1,8
1588809600000,0,0,0,0,17,8,1,8
1588896000000,0,0,3,-3,17,11,1,5
1588982400000,0,0,0,0,17,11,1,5
1589068800000,0,0,0,0,17,11,1,5
1589155200000,0,0,1,-1,17,12,1,4
1589241600000,0,0,0,0,17,12,1,4
1589328000000,0,0,1,-1,17,13,1,3
1589414400000,0,0,0,0,17,13,1,3
1589500800000,0,0,0,0,17,13,1,3
1589587200000,1,0,2,-1,18,15,1,2
1589673600000,0,0,0,0,18,15,1,2
1589760000000,0,0,0,0,18,15,1,2
1589846400000,0,0,0,0,18,15,1,2
1589932800000,0,0,0,0,18,15,1,2
1590019200000,0,0,0,0,18,15,1,2
1590105600000,1,0,1,0,19,16,1,2
1590192000000,0,0,1,-1,19,17,1,1
1590278400000,0,0,0,0,19,17,1,1
1590364800000,0,0,0,0,19,17,1,1
1590451200000,0,0,0,0,19,17,1,1
1590537600000,0,0,0,0,19,17,1,1
1590624000000,1,0,0,1,20,17,1,2
1590710400000,0,0,0,0,20,17,1,2
1590796800000,0,0,0,0,20,17,1,2
1590883200000,0,0,0,0,20,17,1,2
1590969600000,0,0,0,0,20,17,1,2
1591056000000,0,0,0,0,20,17,1,2
1591142400000,0,0,1,-1,20,18,1,1
1591228800000,0,0,0,0,20,18,1,1
1591315200000,0,0,0,0,20,18,1,1
1591401600000,0,0,0,0,20,18,1,1
1591488000000,0,0,0,0,20,18,1,1
1591574400000,0,0,0,0,20,18,1,1
1591660800000,0,0,0,0,20,18,1,1
1591747200000,2,0,0,2,22,18,1,3
1591833600000,0,0,0,0,22,18,1,3
1591920000000,0,0,0,0,22,18,1,3
1592006400000,0,0,1,-1,22,19,1,2
1592092800000,5,0,0,5,27,19,1,7
1592179200000,0,0,0,0,27,19,1,7
1592265600000,0,0,1,-1,27,20,1,6
1592352000000,10,1,0,9,37,20,2,15
1592438400000,1,0,0,1,38,20,2,16
1592524800000,0,0,0,0,38,20,2,16
1592611200000,1,0,0,1,39,20,2,17
1592697600000,10,0,0,10,49,20,2,27
1592784000000,0,0,0,0,49,20,2,27
1592870400000,0,0,0,0,49,20,2,27
1592956800000,4,0,0,4,53,20,2,31
1593043200000,13,0,0,13,66,20,2,44
1593129600000,3,0,0,3,69,20,2,47
1593216000000,8,0,2,6,77,22,2,53
1593302400000,2,0,3,-1,79,25,2,52
1593388800000,0,1,0,-1,79,25,3,51
1593475200000,1,0,1,0,80,26,3,51
1593561600000,6,0,5,1,86,31,3,52
1593648000000,0,0,0,0,86,31,3,52
1593734400000,1,0,0,1,87,31,3,53
1593820800000,0,0,0,0,87,31,3,53
1593907200000,0,0,0,0,87,31,3,53
1593993600000,0,0,9,-9,87,40,3,44
1594080000000,1,0,2,-1,88,42,3,43
1594166400000,1,0,9,-8,89,51,3,35
1594252800000,1,0,3,-2,90,54,3,33
1594339200000,0,0,5,-5,90,59,3,28
1594425600000,9,1,4,4,99,63,4,32
1594512000000,7,0,0,7,106,63,4,39
1594598400000,0,1,0,-1,106,63,5,38
1594684800000,4,0,1,3,110,64,5,41
1594771200000,27,2,1,24,137,65,7,65
1594857600000,3,1,1,1,140,66,8,66
1594944000000,5,0,0,5,145,66,8,71
1595030400000,0,0,0,0,145,66,8,71
1595116800000,1,1,0,0,146,66,9,71
1595203200000,2,0,1,1,148,67,9,72
1595289600000,1,0,5,-4,149,72,9,68
1595376000000,2,0,4,-2,151,76,9,66
1595462400000,7,1,1,5,158,77,10,71
1595548800000,4,0,12,-8,162,89,10,63
1595635200000,6,0,2,4,168,91,10,67
1595721600000,0,0,0,0,168,91,10,67
1595808000000,0,0,0,0,168,91,10,67
1595894400000,25,0,0,25,193,91,10,92
