tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583884800000,1,1,0,0,1,0,1,0
1583971200000,0,0,0,0,1,0,1,0
1584057600000,0,0,0,0,1,0,1,0
1584144000000,0,0,0,0,1,0,1,0
1584230400000,0,0,0,0,1,0,1,0
1584316800000,0,0,0,0,1,0,1,0
1584403200000,0,0,0,0,1,0,1,0
1584489600000,0,0,0,0,1,0,1,0
1584576000000,1,1,0,0,2,0,2,0
1584662400000,0,0,0,0,2,0,2,0
1584748800000,0,0,0,0,2,0,2,0
1584835200000,0,0,0,0,2,0,2,0
1584921600000,0,0,0,0,2,0,2,0
1585008000000,0,0,0,0,2,0,2,0
1585094400000,0,0,0,0,2,0,2,0
1585180800000,0,0,0,0,2,0,2,0
1585267200000,0,0,0,0,2,0,2,0
1585353600000,0,0,0,0,2,0,2,0
1585440000000,1,0,0,1,3,0,2,1
1585526400000,9,0,0,9,12,0,2,10
1585612800000,0,0,1,-1,12,1,2,9
1585699200000,6,0,1,5,18,2,2,14
1585785600000,0,0,0,0,18,2,2,14
1585872000000,3,0,0,3,21,2,2,17
1585958400000,5,0,0,5,26,2,2,22
1586044800000,5,0,4,1,31,6,2,23
1586131200000,7,0,0,7,38,6,2,30
1586217600000,0,0,0,0,38,6,2,30
1586304000000,6,0,0,6,44,6,2,36
1586390400000,14,0,0,14,58,6,2,50
1586476800000,12,0,1,11,70,7,2,61
1586563200000,4,0,0,4,74,7,2,65
1586649600000,2,0,0,2,76,7,2,67
1586736000000,5,0,0,5,81,7,2,72
1586822400000,6,0,0,6,87,7,2,78
1586908800000,6,0,0,6,93,7,2,84
1586995200000,15,0,2,13,108,9,2,97
1587081600000,11,0,1,10,119,10,2,107
1587168000000,7,0,1,6,126,11,2,113
1587254400000,4,0,2,2,130,13,2,115
1587340800000,5,0,4,1,135,17,2,116
1587427200000,10,0,0,10,145,17,2,126
1587513600000,2,1,5,-4,147,22,3,122
1587600000000,15,0,7,8,162,29,3,130
1587686400000,10,0,2,8,172,31,3,138
1587772800000,6,0,9,-3,178,40,3,135
1587859200000,3,0,0,3,181,40,3,138
1587945600000,7,0,6,1,188,46,3,139
1588032000000,22,0,6,16,210,52,3,155
1588118400000,0,0,7,-7,210,59,3,148
1588204800000,7,0,11,-4,217,70,3,144
1588291200000,13,0,5,8,230,75,3,152
1588377600000,2,0,1,1,232,76,3,153
1588464000000,25,0,17,8,257,93,3,161
1588550400000,9,0,10,-1,266,103,3,160
1588636800000,6,0,0,6,272,103,3,166
1588723200000,0,0,3,-3,272,106,3,163
1588809600000,10,0,11,-1,282,117,3,162
1588896000000,13,0,9,4,295,126,3,166
1588982400000,6,0,0,6,301,126,3,172
1589068800000,5,0,4,1,306,130,3,173
1589155200000,3,0,5,-2,309,135,3,171
1589241600000,14,0,2,12,323,137,3,183
1589328000000,4,0,1,3,327,138,3,186
1589414400000,5,0,3,2,332,141,3,188
1589500800000,6,0,8,-2,338,149,3,186
1589587200000,3,0,4,-1,341,153,3,185
1589673600000,2,0,4,-2,343,157,3,183
1589760000000,11,0,3,8,354,160,3,191
1589846400000,4,0,7,-3,358,167,3,188
1589932800000,8,0,7,1,366,174,3,189
1590019200000,3,0,2,1,369,176,3,190
1590105600000,6,0,2,4,375,178,3,194
1590192000000,8,0,0,8,383,178,3,202
1590278400000,6,0,4,2,389,182,3,204
1590364800000,2,0,1,1,391,183,3,205
1590451200000,12,0,1,11,403,184,3,216
1590537600000,8,0,4,4,411,188,3,220
1590624000000,5,0,7,-2,416,195,3,218
1590710400000,23,0,4,19,439,199,3,237
1590796800000,12,0,6,6,451,205,3,243
1590883200000,10,0,0,10,461,205,3,253
1590969600000,17,1,4,12,478,209,4,265
1591056000000,5,0,1,4,483,210,4,269
1591142400000,3,0,3,0,486,213,4,269
1591228800000,20,0,8,12,506,221,4,281
1591315200000,14,0,4,10,520,225,4,291
1591401600000,33,0,1,32,553,226,4,323
1591488000000,25,0,1,24,578,227,4,347
1591574400000,12,0,3,9,590,230,4,356
1591660800000,14,0,12,2,604,242,4,358
1591747200000,32,0,1,31,636,243,4,389
1591833600000,19,0,7,12,655,250,4,401
1591920000000,36,0,9,27,691,259,4,428
1592006400000,28,1,7,20,719,266,5,448
1592092800000,18,0,8,10,737,274,5,458
1592179200000,19,0,27,-8,756,301,5,450
1592265600000,22,0,8,14,778,309,5,464
1592352000000,47,0,20,27,825,329,5,491
1592438400000,65,0,3,62,890,332,5,553
1592524800000,81,0,11,70,971,343,5,623
1592611200000,35,1,9,25,1006,352,6,648
1592697600000,35,1,7,27,1041,359,7,675
1592784000000,31,0,9,22,1072,368,7,697
1592870400000,35,0,9,26,1107,377,7,723
1592956800000,43,0,3,40,1150,380,7,763
1593043200000,56,1,8,47,1206,388,8,810
1593129600000,49,0,27,22,1255,415,8,832
1593216000000,107,0,6,101,1362,421,8,933
1593302400000,45,2,10,33,1407,431,10,966
1593388800000,28,0,8,20,1435,439,10,986
1593475200000,49,0,13,36,1484,452,10,1022
1593561600000,32,1,17,14,1516,469,11,1036
1593648000000,114,0,5,109,1630,474,11,1145
1593734400000,66,0,9,57,1696,483,11,1202
1593820800000,92,2,8,82,1788,491,13,1284
1593907200000,52,2,12,38,1840,503,15,1322
1593993600000,50,0,7,43,1890,510,15,1365
1594080000000,39,0,18,21,1929,528,15,1386
1594166400000,30,1,12,17,1959,540,16,1403
1594252800000,53,0,39,14,2012,579,16,1417
1594339200000,86,0,15,71,2098,594,16,1488
1594425600000,35,0,47,-12,2133,641,16,1476
1594512000000,45,0,12,33,2178,653,16,1509
1594598400000,63,0,43,20,2241,696,16,1529
1594684800000,101,0,25,76,2342,721,16,1605
1594771200000,64,0,12,52,2406,733,16,1657
1594857600000,112,0,26,86,2518,759,16,1743
1594944000000,85,1,20,64,2603,779,17,1807
1595030400000,71,0,14,57,2674,793,17,1864
1595116800000,54,1,36,17,2728,829,18,1881
1595203200000,36,1,17,18,2764,846,19,1899
1595289600000,88,0,9,79,2852,855,19,1978
1595376000000,77,0,34,43,2929,889,19,2021
1595462400000,62,2,20,40,2991,909,21,2061
1595548800000,62,0,15,47,3053,924,21,2108
1595635200000,56,0,15,41,3109,939,21,2149
1595721600000,43,0,13,30,3152,952,21,2179
1595808000000,63,0,9,54,3215,961,21,2233
1595894400000,30,0,11,19,3245,972,21,2252
1595980800000,61,0,21,40,3306,993,21,2292
1596067200000,50,0,18,32,3356,1011,21,2324
1596153600000,47,0,10,37,3403,1021,21,2361
1596240000000,41,0,8,33,3444,1029,21,2394
1596326400000,40,0,6,34,3484,1035,21,2428
1596412800000,41,0,4,37,3525,1039,21,2465
1596499200000,49,0,12,37,3574,1051,21,2502
1596585600000,39,0,3,36,3613,1054,21,2538
1596672000000,27,0,17,10,3640,1071,21,2548
1596758400000,38,0,9,29,3678,1080,21,2577
1596844800000,38,0,9,29,3716,1089,21,2606
1596931200000,59,0,2,57,3775,1091,21,2663
1597017600000,38,0,9,29,3813,1100,21,2692
1597104000000,45,0,12,33,3858,1112,21,2725
1597190400000,30,0,1,29,3888,1113,21,2754
1597276800000,35,0,13,22,3923,1126,21,2776
1597363200000,53,0,4,49,3976,1130,21,2825
1597449600000,44,0,4,40,4020,1134,21,2865
1597536000000,41,0,15,26,4061,1149,21,2891
1597622400000,45,0,12,33,4106,1161,21,2924
1597708800000,48,0,9,39,4154,1170,21,2963
1597795200000,62,0,8,54,4216,1178,21,3017
1597881600000,72,0,7,65,4288,1185,21,3082
1597968000000,76,0,6,70,4364,1191,21,3152
1598054400000,78,0,6,72,4442,1197,21,3224
1598140800000,67,0,11,56,4509,1208,21,3280
1598227200000,63,0,8,55,4572,1216,21,3335
1598313600000,74,0,12,62,4646,1228,21,3397
1598400000000,76,0,9,67,4722,1237,21,3464
1598486400000,82,0,19,63,4804,1256,21,3527
1598572800000,93,0,6,87,4897,1262,21,3614
1598659200000,88,1,13,74,4985,1275,22,3688
1598745600000,89,1,1,87,5074,1276,23,3775
1598832000000,129,2,10,117,5203,1286,25,3892
1598918400000,160,0,18,142,5363,1304,25,4034
1599004800000,169,2,14,153,5532,1318,27,4187
1599091200000,174,1,19,154,5706,1337,28,4341
1599177600000,196,1,7,188,5902,1344,29,4529
1599264000000,165,3,12,150,6067,1356,32,4679
1599350400000,141,2,5,134,6208,1361,34,4813
1599436800000,173,3,17,153,6381,1378,37,4966
1599523200000,164,2,4,158,6545,1382,39,5124
1599609600000,173,1,12,160,6718,1394,40,5284
1599696000000,111,2,11,98,6829,1405,42,5382
1599782400000,143,0,8,135,6972,1413,42,5517
1599868800000,135,0,11,124,7107,1424,42,5641
1599955200000,113,3,10,100,7220,1434,45,5741
1600041600000,86,2,8,76,7306,1442,47,5817
1600128000000,68,1,12,55,7374,1454,48,5872
1600214400000,49,0,6,43,7423,1460,48,5915
1600300800000,63,2,25,36,7486,1485,50,5951
1600387200000,50,2,12,36,7536,1497,52,5987
1600473600000,85,0,13,72,7621,1510,52,6059
1600560000000,121,3,7,111,7742,1517,55,6170
1600646400000,139,0,9,130,7881,1526,55,6300
1600732800000,108,1,24,83,7989,1550,56,6383
1600819200000,132,1,23,108,8121,1573,57,6491
1600905600000,119,13,14,92,8240,1587,70,6583
1600992000000,144,3,13,128,8384,1600,73,6711
1601078400000,63,1,8,54,8447,1608,74,6765
1601164800000,80,1,12,67,8527,1620,75,6832
1601251200000,107,4,25,78,8634,1645,79,6910
1601337600000,106,1,19,86,8740,1664,80,6996
1601424000000,133,2,22,109,8873,1686,82,7105
1601510400000,141,1,24,116,9014,1710,83,7221
1601596800000,130,2,17,111,9144,1727,85,7332
1601683200000,105,0,20,85,9249,1747,85,7417
1601769600000,111,0,25,86,9360,1772,85,7503
1601856000000,83,1,10,72,9443,1782,86,7575
1601942400000,99,1,21,77,9542,1803,87,7652
1602028800000,105,5,7,93,9647,1810,92,7745
1602115200000,107,0,21,86,9754,1831,92,7831
1602201600000,138,0,7,131,9892,1838,92,7962
1602288000000,131,1,20,110,10023,1858,93,8072
1602374400000,107,1,14,92,10130,1872,94,8164
1602460800000,93,2,25,66,10223,1897,96,8230
1602547200000,76,2,19,55,10299,1916,98,8285
1602633600000,109,2,14,93,10408,1930,100,8378
1602720000000,100,0,31,69,10508,1961,100,8447
1602806400000,92,0,42,50,10600,2003,100,8497
1602892800000,92,1,20,71,10692,2023,101,8568
1602979200000,74,0,13,61,10766,2036,101,8629
1603065600000,110,2,30,78,10876,2066,103,8707
1603152000000,75,1,26,48,10951,2092,104,8755
1603238400000,87,0,13,74,11038,2105,104,8829
1603324800000,83,2,26,55,11121,2131,106,8884
1603411200000,78,2,17,59,11199,2148,108,8943
1603497600000,76,2,22,52,11275,2170,110,8995
1603584000000,109,0,18,91,11384,2188,110,9086
1603670400000,67,0,13,54,11451,2201,110,9140
1603756800000,65,2,19,44,11516,2220,112,9184
1603843200000,72,269,8184,-8381,11588,10404,381,803
1603929600000,59,2,57,0,11647,10461,383,803
1604016000000,65,3,105,-43,11712,10566,386,760
1604102400000,52,2,63,-13,11764,10629,388,747
1604188800000,57,2,53,2,11821,10682,390,749
1604275200000,25,1,82,-58,11846,10764,391,691
1604361600000,60,1,77,-18,11906,10841,392,673
1604448000000,73,0,86,-13,11979,10927,392,660
1604534400000,60,3,102,-45,12039,11029,395,615
1604620800000,74,2,73,-1,12113,11102,397,614
1604707200000,68,0,46,22,12181,11148,397,636
1604793600000,44,0,56,-12,12225,11204,397,624
1604880000000,68,1,88,-21,12293,11292,398,603
1604966400000,44,2,92,-50,12337,11384,400,553
1605052800000,93,0,63,30,12430,11447,400,583
1605139200000,89,1,51,37,12519,11498,401,620
1605225600000,64,1,59,4,12583,11557,402,624
1605312000000,48,0,50,-2,12631,11607,402,622
1605398400000,60,0,49,11,12691,11656,402,633
1605484800000,7,1,38,-32,12698,11694,403,601
1605571200000,2,2,60,-60,12700,11754,405,541
1605657600000,69,0,99,-30,12769,11853,405,511
1605744000000,88,0,65,23,12857,11918,405,534
1605830400000,61,2,70,-11,12918,11988,407,523
1605916800000,94,0,70,24,13012,12058,407,547
1606003200000,103,1,68,34,13115,12126,408,581
1606089600000,68,3,76,-11,13183,12202,411,570
1606176000000,111,2,93,16,13294,12295,413,586
1606262400000,95,2,68,25,13389,12363,415,611
1606348800000,111,4,59,48,13500,12422,419,659
1606435200000,82,4,52,26,13582,12474,423,685
1606521600000,99,1,90,8,13681,12564,424,693
1606608000000,109,2,54,53,13790,12618,426,746
1606694400000,89,4,134,-49,13879,12752,430,697
1606780800000,109,2,42,65,13988,12794,432,762
1606867200000,202,0,96,106,14190,12890,432,868
1606953600000,230,6,103,121,14420,12993,438,989
1607040000000,122,3,88,31,14542,13081,441,1020
1607126400000,91,1,105,-15,14633,13186,442,1005
1607212800000,110,2,78,30,14743,13264,444,1035
1607299200000,102,1,356,-255,14845,13620,445,780
1607385600000,86,1,85,0,14931,13705,446,780
1607472000000,139,4,91,44,15070,13796,450,824
1607558400000,112,4,105,3,15182,13901,454,827
1607644800000,110,4,92,14,15292,13993,458,841
1607731200000,69,0,91,-22,15361,14084,458,819
1607817600000,72,2,70,0,15433,14154,460,819
1607904000000,77,0,102,-25,15510,14256,460,794
1607990400000,73,7,66,0,15583,14322,467,794
1608076800000,145,1,150,-6,15728,14472,468,788
1608163200000,132,2,81,49,15860,14553,470,837
1608249600000,121,3,79,39,15981,14632,473,876
1608336000000,96,0,60,36,16077,14692,473,912
1608422400000,99,3,79,17,16176,14771,476,929
1608508800000,135,1,161,-27,16311,14932,477,902
1608595200000,117,1,134,-18,16428,15066,478,884
1608681600000,122,4,126,-8,16550,15192,482,876
1608768000000,123,3,109,11,16673,15301,485,887
1608854400000,112,4,95,13,16785,15396,489,900
1608940800000,96,5,102,-11,16881,15498,494,889
1609027200000,66,3,112,-49,16947,15610,497,840
1609113600000,138,4,123,11,17085,15733,501,851
1609200000000,172,3,187,-18,17257,15920,504,833
1609286400000,157,8,125,24,17414,16045,512,857
1609372800000,179,4,99,76,17593,16144,516,933
1609459200000,101,1,76,24,17694,16220,517,957
1609545600000,165,5,125,35,17859,16345,522,992
1609632000000,119,0,84,35,17978,16429,522,1027
1609718400000,118,8,114,-4,18096,16543,530,1023
1609804800000,167,1,126,40,18263,16669,531,1063
1609891200000,191,11,170,10,18454,16839,542,1073
1609977600000,189,5,147,37,18643,16986,547,1110
1610064000000,231,3,105,123,18874,17091,550,1233
1610150400000,189,4,100,85,19063,17191,554,1318
1610236800000,169,2,137,30,19232,17328,556,1348
1610323200000,253,4,135,114,19485,17463,560,1462
1610409600000,350,10,159,181,19835,17622,570,1643
1610496000000,268,3,97,168,20103,17719,573,1811
1610582400000,297,1,265,31,20400,17984,574,1842
1610668800000,311,6,197,108,20711,18181,580,1950
1610755200000,319,1,124,194,21030,18305,581,2144
1610841600000,262,2,150,110,21292,18455,583,2254
1610928000000,238,8,210,20,21530,18665,591,2274
1611014400000,247,5,248,-6,21777,18913,596,2268
1611100800000,494,7,241,246,22271,19154,603,2514
1611187200000,483,4,179,300,22754,19333,607,2814
1611273600000,313,9,269,35,23067,19602,616,2849
1611360000000,253,8,223,22,23320,19825,624,2871
1611446400000,292,5,212,75,23612,20037,629,2946
1611532800000,186,10,260,-84,23798,20297,639,2862
1611619200000,542,7,254,281,24340,20551,646,3143
1611705600000,540,3,240,297,24880,20791,649,3440
1611792000000,366,7,237,122,25246,21028,656,3562
1611878400000,415,7,349,59,25661,21377,663,3621
1611964800000,253,5,222,26,25914,21599,668,3647
1612051200000,238,8,228,2,26152,21827,676,3649
1612137600000,253,6,331,-84,26405,22158,682,3565
1612224000000,309,6,385,-82,26714,22543,688,3483
1612310400000,261,5,202,54,26975,22745,693,3537
1612396800000,216,9,448,-241,27191,23193,702,3296
1612483200000,508,9,354,145,27699,23547,711,3441
1612569600000,197,14,389,-206,27896,23936,725,3235
1612656000000,381,5,217,159,28277,24153,730,3394
1612742400000,260,11,471,-222,28537,24624,741,3172
1612828800000,453,6,328,119,28990,24952,747,3291
1612915200000,305,11,305,-11,29295,25257,758,3280
1613001600000,371,13,377,-19,29666,25634,771,3261
1613088000000,312,9,307,-4,29978,25941,780,3257
1613174400000,156,14,201,-59,30134,26142,794,3198
1613260800000,139,6,196,-63,30273,26338,800,3135
1613347200000,274,9,279,-14,30547,26617,809,3121
1613433600000,274,11,301,-38,30821,26918,820,3083
1613520000000,374,11,232,131,31195,27150,831,3214
1613606400000,306,12,416,-122,31501,27566,843,3092
1613692800000,330,10,411,-91,31831,27977,853,3001
1613779200000,202,5,417,-220,32033,28394,858,2781
1613865600000,326,7,204,115,32359,28598,865,2896
1613952000000,278,8,300,-30,32637,28898,873,2866
1614038400000,288,10,354,-76,32925,29252,883,2790
1614124800000,307,6,303,-2,33232,29555,889,2788
1614211200000,263,9,307,-53,33495,29862,898,2735
1614297600000,330,10,307,13,33825,30169,908,2748
1614384000000,151,6,280,-135,33976,30449,914,2613
