tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583452800000,1,0,1,0,1,1,0,0
1583539200000,0,0,0,0,1,1,0,0
1583625600000,1,0,3,-2,2,4,0,-2
1583712000000,0,0,0,0,2,4,0,-2
1583798400000,0,0,8,-8,2,12,0,-10
1583884800000,0,0,8,-8,2,20,0,-18
1583971200000,0,1,2,-3,2,22,1,-21
1584057600000,1,1,0,0,3,22,2,-21
1584144000000,1,0,2,-1,4,24,2,-22
1584230400000,1,0,5,-4,5,29,2,-26
1584316800000,1,0,4,-3,6,33,2,-29
1584403200000,0,1,3,-4,6,36,3,-33
1584489600000,0,1,1,-2,6,37,4,-35
1584576000000,0,1,3,-4,6,40,5,-39
1584662400000,0,3,3,-6,6,43,8,-45
1584748800000,0,0,2,-2,6,45,8,-47
1584835200000,0,2,0,-2,6,45,10,-49
1584921600000,0,2,3,-5,6,48,12,-54
1585008000000,0,1,3,-4,6,51,13,-58
1585094400000,0,1,3,-4,6,54,14,-62
1585180800000,0,0,4,-4,6,58,14,-66
1585267200000,25,2,3,20,31,61,16,-46
1585353600000,10,2,7,1,41,68,18,-45
1585440000000,2,2,2,-2,43,70,20,-47
1585526400000,22,0,3,19,65,73,20,-28
1585612800000,14,2,1,11,79,74,22,-17
1585699200000,12,1,6,5,91,80,23,-12
1585785600000,6,2,1,3,97,81,25,-9
1585872000000,4,0,4,0,101,85,25,-9
1585958400000,3,2,2,-1,104,87,27,-10
1586044800000,4,2,4,-2,108,91,29,-12
1586131200000,11,2,8,1,119,99,31,-11
1586217600000,6,0,4,2,125,103,31,-9
1586304000000,19,0,6,13,144,109,31,4
1586390400000,4,3,10,-9,148,119,34,-5
1586476800000,21,1,4,16,169,123,35,11
1586563200000,31,2,19,10,200,142,37,21
1586649600000,2,1,7,-6,202,149,38,15
1586736000000,4,2,9,-7,206,158,40,8
1586822400000,6,2,3,1,212,161,42,9
1586908800000,1,1,8,-8,213,169,43,1
1586995200000,15,0,4,11,228,173,43,12
1587081600000,9,1,8,0,237,181,44,12
1587168000000,12,1,4,7,249,185,45,19
1587254400000,3,0,4,-1,252,189,45,18
1587340800000,30,0,8,22,282,197,45,40
1587427200000,0,4,6,-10,282,203,49,30
1587513600000,3,0,7,-4,285,210,49,26
1587600000000,3,0,1,2,288,211,49,28
1587686400000,23,0,2,21,311,213,49,49
1587772800000,11,2,2,7,322,215,51,56
1587859200000,0,4,1,-5,322,216,55,51
1587945600000,12,1,5,6,334,221,56,57
1588032000000,6,0,3,3,340,224,56,60
1588118400000,0,0,11,-11,340,235,56,49
1588204800000,16,0,9,7,356,244,56,56
1588291200000,15,0,3,12,371,247,56,68
1588377600000,9,1,9,-1,380,256,57,67
1588464000000,5,0,1,4,385,257,57,71
1588550400000,14,0,9,5,399,266,57,76
1588636800000,12,2,19,-9,411,285,59,67
1588723200000,29,0,4,25,440,289,59,92
1588809600000,0,0,3,-3,440,292,59,89
1588896000000,20,1,7,12,460,299,60,101
1588982400000,22,1,5,16,482,304,61,117
1589068800000,10,0,7,3,492,311,61,120
1589155200000,8,0,5,3,500,316,61,123
1589241600000,18,0,5,13,518,321,61,136
1589328000000,20,0,6,14,538,327,61,150
1589414400000,14,2,16,-4,552,343,63,146
1589500800000,28,0,18,10,580,361,63,156
1589587200000,0,0,9,-9,580,370,63,147
1589673600000,24,0,9,15,604,379,63,162
1589760000000,31,0,18,13,635,397,63,175
1589846400000,21,0,15,6,656,412,63,181
1589932800000,1,0,30,-29,657,442,63,152
1590019200000,53,1,8,44,710,450,64,196
1590105600000,15,1,7,7,725,457,65,203
1590192000000,0,0,6,-6,725,463,65,197
1590278400000,21,0,4,17,746,467,65,214
1590364800000,0,0,6,-6,746,473,65,208
1590451200000,18,0,10,8,764,483,65,216
1590537600000,11,0,10,1,775,493,65,217
1590624000000,14,3,19,-8,789,512,68,209
1590710400000,13,0,12,1,802,524,68,210
1590796800000,14,0,25,-11,816,549,68,199
1590883200000,3,0,0,3,819,549,68,202
1590969600000,7,1,11,-5,826,560,69,197
1591056000000,14,0,21,-7,840,581,69,190
1591142400000,71,0,25,46,911,606,69,236
1591228800000,10,0,11,-1,921,617,69,235
1591315200000,24,1,25,-2,945,642,70,233
1591401600000,36,1,6,29,981,648,71,262
1591488000000,10,1,2,7,991,650,72,269
1591574400000,11,1,5,5,1002,655,73,274
1591660800000,16,1,8,7,1018,663,74,281
1591747200000,33,0,46,-13,1051,709,74,268
1591833600000,25,0,25,0,1076,734,74,268
1591920000000,35,0,12,23,1111,746,74,291
1592006400000,74,1,2,71,1185,748,75,362
1592092800000,9,0,8,1,1194,756,75,363
1592179200000,4,0,25,-21,1198,781,75,342
1592265600000,37,0,9,28,1235,790,75,370
1592352000000,31,0,25,6,1266,815,75,376
1592438400000,17,0,16,1,1283,831,75,377
1592524800000,5,0,24,-19,1288,855,75,358
1592611200000,16,0,14,2,1304,869,75,360
1592697600000,9,0,6,3,1313,875,75,363
1592784000000,8,1,21,-14,1321,896,76,349
1592870400000,11,0,15,-4,1332,911,76,345
1592956800000,20,1,36,-17,1352,947,77,328
1593043200000,17,0,6,11,1369,953,77,339
1593129600000,13,0,6,7,1382,959,77,346
1593216000000,20,0,3,17,1402,962,77,363
1593302400000,4,1,12,-9,1406,974,78,354
1593388800000,3,0,6,-3,1409,980,78,351
1593475200000,11,0,7,4,1420,987,78,355
1593561600000,11,0,12,-1,1431,999,78,354
1593648000000,10,0,10,0,1441,1009,78,354
1593734400000,21,0,21,0,1462,1030,78,354
1593820800000,14,1,12,1,1476,1042,79,355
1593907200000,7,1,6,0,1483,1048,80,355
1593993600000,12,1,5,6,1495,1053,81,361
1594080000000,6,0,10,-4,1501,1063,81,357
1594166400000,16,0,15,1,1517,1078,81,358
1594252800000,13,1,24,-12,1530,1102,82,346
1594339200000,11,0,27,-16,1541,1129,82,330
1594425600000,7,1,16,-10,1548,1145,83,320
1594512000000,13,0,9,4,1561,1154,83,324
1594598400000,11,3,4,4,1572,1158,86,328
1594684800000,9,0,7,2,1581,1165,86,330
1594771200000,4,0,7,-3,1585,1172,86,327
1594857600000,17,0,13,4,1602,1185,86,331
1594944000000,11,0,5,6,1613,1190,86,337
1595030400000,8,1,11,-4,1621,1201,87,333
1595116800000,17,3,4,10,1638,1205,90,343
1595203200000,8,0,23,-15,1646,1228,90,328
1595289600000,8,0,21,-13,1654,1249,90,315
1595376000000,3,0,15,-12,1657,1264,90,303
1595462400000,10,1,4,5,1667,1268,91,308
1595548800000,12,0,10,2,1679,1278,91,310
1595635200000,5,1,12,-8,1684,1290,92,302
1595721600000,14,0,3,11,1698,1293,92,313
1595808000000,10,0,23,-13,1708,1316,92,300
1595894400000,9,1,15,-7,1717,1331,93,293
1595980800000,15,1,28,-14,1732,1359,94,279
1596067200000,29,3,17,9,1761,1376,97,288
1596153600000,34,1,11,22,1795,1387,98,310
1596240000000,23,0,39,-16,1818,1426,98,294
1596326400000,12,1,10,1,1830,1436,99,295
1596412800000,21,0,15,6,1851,1451,99,301
1596499200000,33,0,14,19,1884,1465,99,320
1596585600000,23,0,13,10,1907,1478,99,330
1596672000000,32,2,13,17,1939,1491,101,347
1596758400000,34,0,15,19,1973,1506,101,366
1596844800000,22,0,23,-1,1995,1529,101,365
1596931200000,24,0,9,15,2019,1538,101,380
1597017600000,23,1,37,-15,2042,1575,102,365
1597104000000,19,2,18,-1,2061,1593,104,364
1597190400000,48,1,16,31,2109,1609,105,395
1597276800000,37,2,16,19,2146,1625,107,414
1597363200000,21,2,9,10,2167,1634,109,424
1597449600000,33,1,35,-3,2200,1669,110,421
1597536000000,43,1,18,24,2243,1687,111,445
1597622400000,17,0,6,11,2260,1693,111,456
1597708800000,64,0,29,35,2324,1722,111,491
1597795200000,47,1,13,33,2371,1735,112,524
1597881600000,23,2,35,-14,2394,1770,114,510
1597968000000,36,1,42,-7,2430,1812,115,503
1598054400000,42,2,21,19,2472,1833,117,522
1598140800000,32,2,46,-16,2504,1879,119,506
1598227200000,60,3,27,30,2564,1906,122,536
1598313600000,33,0,52,-19,2597,1958,122,517
1598400000000,29,0,28,1,2626,1986,122,518
1598486400000,59,1,124,-66,2685,2110,123,452
1598572800000,42,3,73,-34,2727,2183,126,418
1598659200000,61,2,20,39,2788,2203,128,457
1598745600000,45,0,20,25,2833,2223,128,482
1598832000000,31,2,44,-15,2864,2267,130,467
1598918400000,29,1,57,-29,2893,2324,131,438
1599004800000,70,0,30,40,2963,2354,131,478
1599091200000,33,3,100,-70,2996,2454,134,408
1599177600000,23,0,49,-26,3019,2503,134,382
1599264000000,49,1,39,9,3068,2542,135,391
1599350400000,85,2,51,32,3153,2593,137,423
1599436800000,75,1,51,23,3228,2644,138,446
1599523200000,57,2,48,7,3285,2692,140,453
1599609600000,37,5,53,-21,3322,2745,145,432
1599696000000,42,5,66,-29,3364,2811,150,403
1599782400000,48,4,84,-40,3412,2895,154,363
1599868800000,23,3,43,-23,3435,2938,157,340
1599955200000,50,0,25,25,3485,2963,157,365
1600041600000,57,1,69,-13,3542,3032,158,352
1600128000000,63,2,46,15,3605,3078,160,367
1600214400000,138,2,72,64,3743,3150,162,431
1600300800000,121,3,39,79,3864,3189,165,510
1600387200000,141,0,66,75,4005,3255,165,585
1600473600000,128,0,76,52,4133,3331,165,637
1600560000000,179,0,146,33,4312,3477,165,670
1600646400000,122,2,268,-148,4434,3745,167,522
1600732800000,131,4,64,63,4565,3809,171,585
1600819200000,217,2,149,66,4782,3958,173,651
1600905600000,130,4,53,73,4912,4011,177,724
1600992000000,109,2,177,-70,5021,4188,179,654
1601078400000,135,0,198,-63,5156,4386,179,591
1601164800000,106,1,73,32,5262,4459,180,623
1601251200000,129,2,125,2,5391,4584,182,625
1601337600000,85,8,259,-182,5476,4843,190,443
1601424000000,144,1,125,18,5620,4968,191,461
1601510400000,102,5,129,-32,5722,5097,196,429
1601596800000,82,0,190,-108,5804,5287,196,321
1601683200000,134,5,107,22,5938,5394,201,343
1601769600000,168,2,102,64,6106,5496,203,407
1601856000000,137,2,165,-30,6243,5661,205,377
1601942400000,98,3,134,-39,6341,5795,208,338
1602028800000,81,3,63,15,6422,5858,211,353
1602115200000,122,1,108,13,6544,5966,212,366
1602201600000,141,1,101,39,6685,6067,213,405
1602288000000,170,4,110,56,6855,6177,217,461
1602374400000,106,1,81,24,6961,6258,218,485
1602460800000,81,4,134,-57,7042,6392,222,428
1602547200000,79,3,80,-4,7121,6472,225,424
1602633600000,94,2,72,20,7215,6544,227,444
1602720000000,111,3,99,9,7326,6643,230,453
1602806400000,114,2,75,37,7440,6718,232,490
1602892800000,127,2,60,65,7567,6778,234,555
1602979200000,130,3,62,65,7697,6840,237,620
1603065600000,122,4,118,0,7819,6958,241,620
1603152000000,89,1,166,-78,7908,7124,242,542
1603238400000,171,5,54,112,8079,7178,247,654
1603324800000,220,2,124,94,8299,7302,249,748
1603411200000,145,3,74,68,8444,7376,252,816
1603497600000,102,3,123,-24,8546,7499,255,792
1603584000000,226,4,126,96,8772,7625,259,888
1603670400000,120,0,86,34,8892,7711,259,922
1603756800000,124,5,94,25,9016,7805,264,947
