tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585612800000,1,1,0,0,1,0,1,0
1585699200000,0,0,0,0,1,0,1,0
1585785600000,0,0,0,0,1,0,1,0
1585872000000,1,0,0,1,2,0,1,1
1585958400000,0,0,0,0,2,0,1,1
1586044800000,0,0,0,0,2,0,1,1
1586131200000,0,0,0,0,2,0,1,1
1586217600000,0,0,0,0,2,0,1,1
1586304000000,0,0,0,0,2,0,1,1
1586390400000,2,0,0,2,4,0,1,3
1586476800000,0,0,0,0,4,0,1,3
1586563200000,0,0,0,0,4,0,1,3
1586649600000,0,0,0,0,4,0,1,3
1586736000000,0,0,0,0,4,0,1,3
1586822400000,0,0,0,0,4,0,1,3
1586908800000,0,0,0,0,4,0,1,3
1586995200000,0,0,0,0,4,0,1,3
1587081600000,0,0,0,0,4,0,1,3
1587168000000,0,0,1,-1,4,1,1,2
1587254400000,0,0,0,0,4,1,1,2
1587340800000,0,0,0,0,4,1,1,2
1587427200000,4,0,0,4,8,1,1,6
1587513600000,0,0,0,0,8,1,1,6
1587600000000,0,0,0,0,8,1,1,6
1587686400000,0,0,0,0,8,1,1,6
1587772800000,0,0,0,0,8,1,1,6
1587859200000,0,0,0,0,8,1,1,6
1587945600000,0,0,0,0,8,1,1,6
1588032000000,0,1,0,-1,8,1,2,5
1588118400000,4,0,0,4,12,1,2,9
1588204800000,0,0,0,0,12,1,2,9
1588291200000,0,0,0,0,12,1,2,9
1588377600000,0,0,0,0,12,1,2,9
1588464000000,0,0,0,0,12,1,2,9
1588550400000,0,0,0,0,12,1,2,9
1588636800000,0,0,0,0,12,1,2,9
1588723200000,2,0,0,2,14,1,2,11
1588809600000,0,0,0,0,14,1,2,11
1588896000000,0,0,0,0,14,1,2,11
1588982400000,23,0,0,23,37,1,2,34
1589068800000,0,0,0,0,37,1,2,34
1589155200000,0,0,0,0,37,1,2,34
1589241600000,3,0,0,3,40,1,2,37
1589328000000,0,0,0,0,40,1,2,37
1589414400000,2,0,0,2,42,1,2,39
1589500800000,11,0,0,11,53,1,2,50
1589587200000,3,0,0,3,56,1,2,53
1589673600000,9,0,0,9,65,1,2,62
1589760000000,1,0,0,1,66,1,2,63
1589846400000,1,0,0,1,67,1,2,64
1589932800000,0,0,6,-6,67,7,2,58
1590019200000,2,0,2,0,69,9,2,58
1590105600000,0,0,0,0,69,9,2,58
1590192000000,0,0,0,0,69,9,2,58
1590278400000,0,0,0,0,69,9,2,58
1590364800000,0,0,0,0,69,9,2,58
1590451200000,0,1,2,-3,69,11,3,55
1590537600000,0,0,8,-8,69,19,3,47
1590624000000,2,0,1,1,71,20,3,48
1590710400000,1,0,2,-1,72,22,3,47
1590796800000,14,0,0,14,86,22,3,61
1590883200000,5,0,0,5,91,22,3,66
1590969600000,0,0,3,-3,91,25,3,63
1591056000000,1,0,0,1,92,25,3,64
1591142400000,0,0,0,0,92,25,3,64
1591228800000,0,0,0,0,92,25,3,64
1591315200000,0,1,0,-1,92,25,4,63
1591401600000,0,0,12,-12,92,37,4,51
1591488000000,0,0,3,-3,92,40,4,48
1591574400000,0,0,0,0,92,40,4,48
1591660800000,0,0,6,-6,92,46,4,42
1591747200000,0,0,1,-1,92,47,4,41
1591833600000,0,0,1,-1,92,48,4,40
1591920000000,3,1,1,1,95,49,5,41
1592006400000,3,1,9,-7,98,58,6,34
1592092800000,3,0,0,3,101,58,6,37
1592179200000,0,0,4,-4,101,62,6,33
1592265600000,3,0,1,2,104,63,6,35
1592352000000,1,0,2,-1,105,65,6,34
1592438400000,0,2,0,-2,105,65,8,32
1592524800000,2,0,3,-1,107,68,8,31
1592611200000,9,0,3,6,116,71,8,37
1592697600000,0,1,1,-2,116,72,9,35
1592784000000,0,0,0,0,116,72,9,35
1592870400000,2,1,0,1,118,72,10,36
1592956800000,0,0,1,-1,118,73,10,35
