tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584316800000,1,0,0,1,1,0,0,1
1584403200000,0,0,0,0,1,0,0,1
1584489600000,0,0,0,0,1,0,0,1
1584576000000,0,0,0,0,1,0,0,1
1584662400000,1,0,1,0,2,1,0,1
1584748800000,0,0,0,0,2,1,0,1
1584835200000,0,0,0,0,2,1,0,1
1584921600000,0,1,0,-1,2,1,1,0
1585008000000,0,0,0,0,2,1,1,0
1585094400000,1,1,0,0,3,1,2,0
1585180800000,0,0,0,0,3,1,2,0
1585267200000,1,0,0,1,4,1,2,1
1585353600000,0,0,0,0,4,1,2,1
1585440000000,0,0,0,0,4,1,2,1
1585526400000,2,0,1,1,6,2,2,2
1585612800000,5,0,0,5,11,2,2,7
1585699200000,6,0,1,5,17,3,2,12
1585785600000,0,1,0,-1,17,3,3,11
1585872000000,0,0,0,0,17,3,3,11
1585958400000,5,0,0,5,22,3,3,16
1586044800000,1,0,0,1,23,3,3,17
1586131200000,3,0,1,2,26,4,3,19
1586217600000,1,0,0,1,27,4,3,20
1586304000000,4,3,3,-2,31,7,6,18
1586390400000,3,0,3,0,34,10,6,18
1586476800000,3,0,3,0,37,13,6,18
1586563200000,0,0,0,0,37,13,6,18
1586649600000,1,0,5,-4,38,18,6,14
1586736000000,16,0,0,16,54,18,6,30
1586822400000,5,0,4,1,59,22,6,31
1586908800000,1,0,0,1,60,22,6,32
1586995200000,1,0,0,1,61,22,6,33
1587081600000,1,1,3,-3,62,25,7,30
1587168000000,3,0,2,1,65,27,7,31
1587254400000,1,0,1,0,66,28,7,31
1587340800000,2,0,0,2,68,28,7,33
1587427200000,3,0,3,0,71,31,7,33
1587513600000,3,0,5,-2,74,36,7,31
1587600000000,1,0,1,0,75,37,7,31
1587686400000,1,0,0,1,76,37,7,32
1587772800000,2,0,0,2,78,37,7,34
1587859200000,3,0,0,3,81,37,7,37
1587945600000,1,0,2,-1,82,39,7,36
1588032000000,10,0,1,9,92,40,7,45
1588118400000,1,0,3,-2,93,43,7,43
1588204800000,1,0,0,1,94,43,7,44
1588291200000,9,0,5,4,103,48,7,48
1588377600000,10,0,0,10,113,48,7,58
1588464000000,1,0,0,1,114,48,7,59
1588550400000,0,0,4,-4,114,52,7,55
1588636800000,6,0,1,5,120,53,7,60
1588723200000,1,0,5,-4,121,58,7,56
1588809600000,15,0,1,14,136,59,7,70
1588896000000,6,0,0,6,142,59,7,76
1588982400000,3,0,2,1,145,61,7,77
1589068800000,7,0,0,7,152,61,7,84
1589155200000,6,1,6,-1,158,67,8,83
1589241600000,10,0,0,10,168,67,8,93
1589328000000,12,0,1,11,180,68,8,104
1589414400000,4,0,7,-3,184,75,8,101
1589500800000,3,0,12,-9,187,87,8,92
1589587200000,6,0,1,5,193,88,8,97
1589673600000,5,0,3,2,198,91,8,99
1589760000000,1,0,3,-2,199,94,8,97
1589846400000,7,0,12,-5,206,106,8,92
1589932800000,2,0,8,-6,208,114,8,86
1590019200000,6,0,7,-1,214,121,8,85
1590105600000,5,0,2,3,219,123,8,88
1590192000000,5,0,6,-1,224,129,8,87
1590278400000,1,0,4,-3,225,133,8,84
1590364800000,0,0,1,-1,225,134,8,83
1590451200000,0,0,4,-4,225,138,8,79
1590537600000,2,0,9,-7,227,147,8,72
1590624000000,0,0,8,-8,227,155,8,64
1590710400000,2,0,6,-4,229,161,8,60
1590796800000,3,0,1,2,232,162,8,62
1590883200000,3,0,7,-4,235,169,8,58
1590969600000,1,0,0,1,236,169,8,59
1591056000000,0,0,1,-1,236,170,8,58
1591142400000,0,0,1,-1,236,171,8,57
1591228800000,0,0,3,-3,236,174,8,54
1591315200000,1,0,6,-5,237,180,8,49
1591401600000,4,0,5,-1,241,185,8,48
1591488000000,2,0,2,0,243,187,8,48
1591574400000,3,0,7,-4,246,194,8,44
1591660800000,2,0,0,2,248,194,8,46
1591747200000,1,0,1,0,249,195,8,46
1591833600000,2,0,5,-3,251,200,8,43
1591920000000,10,0,5,5,261,205,8,48
1592006400000,2,0,6,-4,263,211,8,44
1592092800000,5,0,1,4,268,212,8,48
1592179200000,3,0,2,1,271,214,8,49
1592265600000,1,0,4,-3,272,218,8,46
1592352000000,3,0,2,1,275,220,8,47
1592438400000,0,0,7,-7,275,227,8,40
1592524800000,1,0,4,-3,276,231,8,37
1592611200000,8,0,0,8,284,231,8,45
1592697600000,3,0,7,-4,287,238,8,41
1592784000000,0,0,0,0,287,238,8,41
1592870400000,3,0,5,-2,290,243,8,39
1592956800000,1,0,13,-12,291,256,8,27
1593043200000,7,0,3,4,298,259,8,31
1593129600000,3,0,3,0,301,262,8,31
1593216000000,2,0,1,1,303,263,8,32
1593302400000,2,0,1,1,305,264,8,33
1593388800000,0,0,1,-1,305,265,8,32
1593475200000,7,0,1,6,312,266,8,38
1593561600000,1,0,3,-2,313,269,8,36
1593648000000,6,1,4,1,319,273,9,37
1593734400000,4,0,3,1,323,276,9,38
1593820800000,1,0,1,0,324,277,9,38
1593907200000,6,0,0,6,330,277,9,44
1593993600000,8,0,5,3,338,282,9,47
1594080000000,7,0,3,4,345,285,9,51
1594166400000,3,1,1,1,348,286,10,52
1594252800000,7,0,4,3,355,290,10,55
1594339200000,7,0,3,4,362,293,10,59
1594425600000,7,0,1,6,369,294,10,65
1594512000000,1,0,3,-2,370,297,10,63
1594598400000,8,0,8,0,378,305,10,63
1594684800000,8,1,5,2,386,310,11,65
1594771200000,9,0,3,6,395,313,11,71
1594857600000,8,0,0,8,403,313,11,79
1594944000000,4,0,2,2,407,315,11,81
1595030400000,8,0,8,0,415,323,11,81
1595116800000,15,1,0,14,430,323,12,95
1595203200000,6,1,3,2,436,326,13,97
1595289600000,28,1,3,24,464,329,14,121
1595376000000,21,2,1,18,485,330,16,139
1595462400000,10,0,4,6,495,334,16,145
1595548800000,23,1,6,16,518,340,17,161
1595635200000,17,1,6,10,535,346,18,171
1595721600000,7,1,0,6,542,346,19,177
1595808000000,15,0,4,11,557,350,19,188
1595894400000,14,1,5,8,571,355,20,196
1595980800000,15,0,12,3,586,367,20,199
