tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583020800000,2,0,0,2,2,0,0,2
1583107200000,2,0,0,2,4,0,0,4
1583193600000,2,0,0,2,6,0,0,6
1583280000000,2,0,0,2,8,0,0,8
1583366400000,0,1,0,-1,8,0,1,7
1583452800000,0,0,0,0,8,0,1,7
1583539200000,0,2,0,-2,8,0,3,5
1583625600000,0,0,0,0,8,0,3,5
1583712000000,0,1,0,-1,8,0,4,4
1583798400000,0,0,0,0,8,0,4,4
1583884800000,0,0,0,0,8,0,4,4
1583971200000,2,1,4,-3,10,4,5,1
1584057600000,4,1,3,0,14,7,6,1
1584144000000,2,1,1,0,16,8,7,1
1584230400000,8,3,0,5,24,8,10,6
1584316800000,2,3,0,-1,26,8,13,5
1584403200000,2,1,0,1,28,8,14,6
1584489600000,1,1,0,0,29,8,15,6
1584576000000,2,0,1,1,31,9,15,7
1584662400000,5,3,1,1,36,10,18,8
1584748800000,8,3,6,-1,44,16,21,7
1584835200000,2,0,3,-1,46,19,21,6
1584921600000,0,0,0,0,46,19,21,6
1585008000000,16,19,3,-6,62,22,40,0
1585094400000,1,1,0,0,63,22,41,0
1585180800000,57,2,0,55,120,22,43,55
1585267200000,74,7,6,61,194,28,50,116
1585353600000,48,9,9,30,242,37,59,146
1585440000000,52,10,0,42,294,37,69,188
1585526400000,33,7,0,26,327,37,76,214
1585612800000,44,10,0,34,371,37,86,248
1585699200000,59,1,0,58,430,37,87,306
1585785600000,70,5,2,63,500,39,92,369
1585872000000,71,6,2,63,571,41,98,432
1585958400000,57,8,5,44,628,46,106,476
1586044800000,87,11,2,74,715,48,117,550
1586131200000,103,7,7,89,818,55,124,639
1586217600000,113,14,3,96,931,58,138,735
1586304000000,90,8,5,77,1021,63,146,812
1586390400000,228,34,5,189,1249,68,180,1001
1586476800000,53,11,4,38,1302,72,191,1039
1586563200000,190,10,7,173,1492,79,201,1212
1586649600000,156,33,37,86,1648,116,234,1298
1586736000000,135,7,1,127,1783,117,241,1425
1586822400000,122,10,0,112,1905,117,251,1537
1586908800000,143,9,20,114,2048,137,260,1651
1586995200000,174,1,0,173,2222,137,261,1824
