tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1586476800000,1,0,0,1,1,0,0,1
1586563200000,0,0,0,0,1,0,0,1
1586649600000,0,0,0,0,1,0,0,1
1586736000000,0,0,0,0,1,0,0,1
1586822400000,0,0,0,0,1,0,0,1
1586908800000,0,0,0,0,1,0,0,1
1586995200000,3,0,0,3,4,0,0,4
1587081600000,0,0,0,0,4,0,0,4
1587168000000,0,0,0,0,4,0,0,4
1587254400000,0,0,0,0,4,0,0,4
1587340800000,0,0,0,0,4,0,0,4
1587427200000,3,1,0,2,7,0,1,6
1587513600000,0,0,0,0,7,0,1,6
1587600000000,0,0,0,0,7,0,1,6
1587686400000,5,0,0,5,12,0,1,11
1587772800000,2,0,0,2,14,0,1,13
1587859200000,0,0,0,0,14,0,1,13
1587945600000,0,0,0,0,14,0,1,13
1588032000000,1,0,2,-1,15,2,1,12
1588118400000,0,0,0,0,15,2,1,12
1588204800000,0,0,0,0,15,2,1,12
1588291200000,0,0,0,0,15,2,1,12
1588377600000,0,0,0,0,15,2,1,12
1588464000000,0,0,0,0,15,2,1,12
1588550400000,0,0,0,0,15,2,1,12
1588636800000,0,0,4,-4,15,6,1,8
1588723200000,0,0,1,-1,15,7,1,7
1588809600000,4,0,0,4,19,7,1,11
1588896000000,0,0,3,-3,19,10,1,8
1588982400000,0,0,0,0,19,10,1,8
1589068800000,0,0,1,-1,19,11,1,7
1589155200000,0,0,0,0,19,11,1,7
1589241600000,0,0,0,0,19,11,1,7
1589328000000,0,0,1,-1,19,12,1,6
1589414400000,2,0,1,1,21,13,1,7
1589500800000,1,0,1,0,22,14,1,7
1589587200000,1,1,0,0,23,14,2,7
1589673600000,1,0,0,1,24,14,2,8
1589760000000,4,0,0,4,28,14,2,12
1589846400000,0,0,0,0,28,14,2,12
1589932800000,0,0,1,-1,28,15,2,11
1590019200000,16,0,0,16,44,15,2,27
1590105600000,3,0,2,1,47,17,2,28
1590192000000,2,0,1,1,49,18,2,29
1590278400000,9,0,0,9,58,18,2,38
1590364800000,0,0,0,0,58,18,2,38
1590451200000,0,0,0,0,58,18,2,38
1590537600000,2,0,0,2,60,18,2,40
1590624000000,5,1,1,3,65,19,3,43
1590710400000,3,0,4,-1,68,23,3,42
1590796800000,1,2,0,-1,69,23,5,41
1590883200000,25,1,3,21,94,26,6,62
1590969600000,0,0,0,0,94,26,6,62
1591056000000,14,0,3,11,108,29,6,73
1591142400000,10,0,0,10,118,29,6,83
1591228800000,3,0,1,2,121,30,6,85
1591315200000,0,0,4,-4,121,34,6,81
1591401600000,5,0,21,-16,126,55,6,65
1591488000000,8,0,4,4,134,59,6,69
1591574400000,0,1,4,-5,134,63,7,64
1591660800000,5,0,7,-2,139,70,7,62
1591747200000,6,0,2,4,145,72,7,66
1591833600000,3,0,10,-7,148,82,7,59
1591920000000,33,0,1,32,181,83,7,91
1592006400000,4,1,0,3,185,83,8,94
1592092800000,0,0,8,-8,185,91,8,86
1592179200000,23,0,1,22,208,92,8,108
1592265600000,6,0,2,4,214,94,8,112
1592352000000,0,0,32,-32,214,126,8,80
1592438400000,0,0,0,0,214,126,8,80
1592524800000,6,0,0,6,220,126,8,86
1592611200000,0,0,13,-13,220,139,8,73
1592697600000,7,0,1,6,227,140,8,79
1592784000000,3,0,5,-2,230,145,8,77
1592870400000,1,0,30,-29,231,175,8,48
1592956800000,7,0,0,7,238,175,8,55
1593043200000,5,0,26,-21,243,201,8,34
1593129600000,0,0,0,0,243,201,8,34
1593216000000,0,0,0,0,243,201,8,34
1593302400000,0,0,0,0,243,201,8,34
1593388800000,0,1,12,-13,243,213,9,21
1593475200000,6,1,0,5,249,213,10,26
1593561600000,0,1,10,-11,249,223,11,15
1593648000000,7,0,3,4,256,226,11,19
1593734400000,5,0,0,5,261,226,11,24
1593820800000,8,0,1,7,269,227,11,31
1593907200000,0,0,0,0,269,227,11,31
1593993600000,2,2,0,0,271,227,13,31
1594080000000,5,2,0,3,276,227,15,34
1594166400000,10,2,0,8,286,227,17,42
1594252800000,0,0,0,0,286,227,17,42
1594339200000,30,0,2,28,316,229,17,70
1594425600000,29,0,1,28,345,230,17,98
1594512000000,14,0,2,12,359,232,17,110
1594598400000,4,3,5,-4,363,237,20,106
1594684800000,22,0,7,15,385,244,20,121
1594771200000,7,0,13,-6,392,257,20,115
1594857600000,24,1,9,14,416,266,21,129
1594944000000,9,3,35,-29,425,301,24,100
1595030400000,1,2,3,-4,426,304,26,96
1595116800000,6,0,7,-1,432,311,26,95
1595203200000,105,2,0,103,537,311,28,198
1595289600000,79,1,0,78,616,311,29,276
1595376000000,0,1,0,-1,616,311,30,275
1595462400000,4,1,11,-8,620,322,31,267
1595548800000,74,0,11,63,694,333,31,330
1595635200000,102,0,13,89,796,346,31,419
1595721600000,24,2,35,-13,820,381,33,406
1595808000000,31,0,15,16,851,396,33,422
1595894400000,4,0,42,-38,855,438,33,384
1595980800000,102,0,11,91,957,449,33,475
1596067200000,58,0,18,40,1015,467,33,515
1596153600000,0,0,76,-76,1015,543,33,439
1596240000000,142,1,45,96,1157,588,34,535
1596326400000,127,0,61,66,1284,649,34,601
1596412800000,38,1,49,-12,1322,698,35,589
1596499200000,65,2,63,0,1387,761,37,589
1596585600000,40,0,31,9,1427,792,37,598
1596672000000,4,0,121,-117,1431,913,37,481
1596758400000,38,0,102,-64,1469,1015,37,417
1596844800000,80,0,98,-18,1549,1113,37,399
1596931200000,7,2,0,5,1556,1113,39,404
1597017600000,58,1,19,38,1614,1132,40,442
1597104000000,3,0,56,-53,1617,1188,40,389
1597190400000,47,1,32,14,1664,1220,41,403
1597276800000,8,0,24,-16,1672,1244,41,387
1597363200000,3,2,25,-24,1675,1269,43,363
1597449600000,40,1,18,21,1715,1287,44,384
1597536000000,6,0,16,-10,1721,1303,44,374
1597622400000,67,2,4,61,1788,1307,46,435
1597708800000,33,0,53,-20,1821,1360,46,415
1597795200000,54,0,39,15,1875,1399,46,430
1597881600000,0,0,47,-47,1875,1446,46,383
1597968000000,12,2,28,-18,1887,1474,48,365
1598054400000,0,0,32,-32,1887,1506,48,333
1598140800000,72,1,7,64,1959,1513,49,397
1598227200000,0,1,50,-51,1959,1563,50,346
1598313600000,11,0,0,11,1970,1563,50,357
1598400000000,0,0,27,-27,1970,1590,50,330
1598486400000,53,0,11,42,2023,1601,50,372
1598572800000,12,1,151,-140,2035,1752,51,232
1598659200000,6,2,13,-9,2041,1765,53,223
1598745600000,0,0,5,-5,2041,1770,53,218
1598832000000,0,1,16,-17,2041,1786,54,201
1598918400000,34,0,27,7,2075,1813,54,208
1599004800000,15,0,17,-2,2090,1830,54,206
1599091200000,61,1,16,44,2151,1846,55,250
1599177600000,9,0,6,3,2160,1852,55,253
1599264000000,22,4,20,-2,2182,1872,59,251
1599350400000,4,0,4,0,2186,1876,59,251
1599436800000,15,0,26,-11,2201,1902,59,240
1599523200000,24,1,11,12,2225,1913,60,252
1599609600000,16,0,7,9,2241,1920,60,261
1599696000000,28,1,28,-1,2269,1948,61,260
1599782400000,2,1,8,-7,2271,1956,62,253
1599868800000,11,0,8,3,2282,1964,62,256
1599955200000,32,2,4,26,2314,1968,64,282
1600041600000,0,2,48,-50,2314,2016,66,232
1600128000000,16,0,39,-23,2330,2055,66,209
1600214400000,6,0,23,-17,2336,2078,66,192
1600300800000,5,0,11,-6,2341,2089,66,186
1600387200000,12,2,17,-7,2353,2106,68,179
1600473600000,22,0,12,10,2375,2118,68,189
1600560000000,60,0,3,57,2435,2121,68,246
1600646400000,2,0,20,-18,2437,2141,68,228
1600732800000,4,2,11,-9,2441,2152,70,219
1600819200000,48,2,15,31,2489,2167,72,250
1600905600000,0,0,21,-21,2489,2188,72,229
1600992000000,45,2,9,34,2534,2197,74,263
1601078400000,5,0,6,-1,2539,2203,74,262
1601164800000,33,0,12,21,2572,2215,74,283
1601251200000,87,0,10,77,2659,2225,74,360
1601337600000,12,0,16,-4,2671,2241,74,356
1601424000000,82,1,20,61,2753,2261,75,417
1601510400000,6,0,35,-29,2759,2296,75,388
1601596800000,16,0,21,-5,2775,2317,75,383
1601683200000,0,0,9,-9,2775,2326,75,374
1601769600000,41,0,31,10,2816,2357,75,384
1601856000000,23,1,33,-11,2839,2390,76,373
1601942400000,0,0,27,-27,2839,2417,76,346
1602028800000,83,0,24,59,2922,2441,76,405
1602115200000,9,1,0,8,2931,2441,77,413
1602201600000,2,0,106,-104,2933,2547,77,309
1602288000000,7,0,28,-21,2940,2575,77,288
1602374400000,7,0,36,-29,2947,2611,77,259
1602460800000,2,0,46,-44,2949,2657,77,215
1602547200000,0,0,36,-36,2949,2693,77,179
1602633600000,10,0,16,-6,2959,2709,77,173
1602720000000,1,1,48,-48,2960,2757,78,125
1602806400000,4,0,0,4,2964,2757,78,129
1602892800000,0,0,17,-17,2964,2774,78,112
1602979200000,3,0,0,3,2967,2774,78,115
1603065600000,2,0,22,-20,2969,2796,78,95
1603152000000,0,1,1,-2,2969,2797,79,93
1603238400000,3,1,4,-2,2972,2801,80,91
1603324800000,3,0,13,-10,2975,2814,80,81
1603411200000,0,0,0,0,2975,2814,80,81
1603497600000,7,0,2,5,2982,2816,80,86
1603584000000,19,4,18,-3,3001,2834,84,83
1603670400000,2,0,3,-1,3003,2837,84,82
1603756800000,2,0,1,1,3005,2838,84,83
1603843200000,2,0,0,2,3007,2838,84,85
1603929600000,0,0,6,-6,3007,2844,84,79
1604016000000,10,0,2,8,3017,2846,84,87
1604102400000,0,0,5,-5,3017,2851,84,82
1604188800000,4,0,1,3,3021,2852,84,85
1604275200000,0,0,6,-6,3021,2858,84,79
1604361600000,10,1,2,7,3031,2860,85,86
1604448000000,0,0,5,-5,3031,2865,85,81
1604534400000,0,0,0,0,3031,2865,85,81
1604620800000,1,0,5,-4,3032,2870,85,77
1604707200000,5,0,0,5,3037,2870,85,82
1604793600000,8,0,1,7,3045,2871,85,89
1604880000000,4,0,3,1,3049,2874,85,90
1604966400000,0,0,3,-3,3049,2877,85,87
1605052800000,0,0,0,0,3049,2877,85,87
1605139200000,5,0,14,-9,3054,2891,85,78
1605225600000,0,0,1,-1,3054,2892,85,77
1605312000000,0,2,1,-3,3054,2893,87,74
1605398400000,0,0,1,-1,3054,2894,87,73
1605484800000,0,1,4,-5,3054,2898,88,68
1605571200000,0,0,7,-7,3054,2905,88,61
1605657600000,3,0,3,0,3057,2908,88,61
1605744000000,0,0,0,0,3057,2908,88,61
1605830400000,0,0,0,0,3057,2908,88,61
1605916800000,0,0,2,-2,3057,2910,88,59
1606003200000,5,0,0,5,3062,2910,88,64
1606089600000,1,0,48,-47,3063,2958,88,17
1606176000000,2,0,0,2,3065,2958,88,19
1606262400000,0,0,0,0,3065,2958,88,19
1606348800000,8,0,0,8,3073,2958,88,27
1606435200000,0,0,0,0,3073,2958,88,27
1606521600000,18,1,7,10,3091,2965,89,37
1606608000000,19,2,1,16,3110,2966,91,53
1606694400000,0,0,3,-3,3110,2969,91,50
1606780800000,0,0,0,0,3110,2969,91,50
1606867200000,29,0,0,29,3139,2969,91,79
1606953600000,18,0,3,15,3157,2972,91,94
1607040000000,15,0,11,4,3172,2983,91,98
1607126400000,0,0,24,-24,3172,3007,91,74
1607212800000,91,1,2,88,3263,3009,92,162
1607299200000,0,0,11,-11,3263,3020,92,151
1607385600000,3,0,4,-1,3266,3024,92,150
1607472000000,24,3,60,-39,3290,3084,95,111
1607558400000,0,0,32,-32,3290,3116,95,79
1607644800000,5,0,10,-5,3295,3126,95,74
1607731200000,11,0,6,5,3306,3132,95,79
1607817600000,0,0,5,-5,3306,3137,95,74
1607904000000,15,0,6,9,3321,3143,95,83
1607990400000,1,0,2,-1,3322,3145,95,82
1608076800000,20,1,6,13,3342,3151,96,95
1608163200000,12,0,27,-15,3354,3178,96,80
1608249600000,11,0,0,11,3365,3178,96,91
1608336000000,0,0,1,-1,3365,3179,96,90
1608422400000,3,0,4,-1,3368,3183,96,89
1608508800000,0,0,3,-3,3368,3186,96,86
1608595200000,47,1,3,43,3415,3189,97,129
1608681600000,50,2,0,48,3465,3189,99,177
1608768000000,30,2,9,19,3495,3198,101,196
1608854400000,64,0,7,57,3559,3205,101,253
1608940800000,44,0,1,43,3603,3206,101,296
1609027200000,0,0,38,-38,3603,3244,101,258
1609113600000,73,0,3,70,3676,3247,101,328
1609200000000,12,0,16,-4,3688,3263,101,324
1609286400000,7,0,20,-13,3695,3283,101,311
1609372800000,146,3,25,118,3841,3308,104,429
1609459200000,25,0,16,9,3866,3324,104,438
1609545600000,0,0,30,-30,3866,3354,104,408
1609632000000,1,0,35,-34,3867,3389,104,374
